Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	27.685548	2	0.440219	0.173865	0.173865	0.173865	
2000	27.685548	2	0.362007	0.362007	0.362007	1.036578	
3000	27.685548	2	0.320480	0.435195	0.320480	0.435195	
4000	27.685548	3	0.375442	0.375442	0.364547	0.572859	
5000	27.685548	3	0.299759	0.347832	0.345851	0.347832	
6000	27.685548	4	0.497570	0.330379	0.286657	0.375409	
7000	27.685548	3	0.291917	0.321126	0.337543	0.337543	
8000	27.685548	2	0.333817	0.333817	0.333817	0.602305	
9000	27.685548	3	0.307716	0.294765	0.307716	1.167840	
10000	27.685548	2	0.360241	0.360241	0.360241	1.223570	
11000	27.685548	3	0.351122	0.423276	0.351122	0.832015	
12000	27.685548	3	0.407314	0.275331	0.275331	0.432894	
13000	27.685548	4	0.346182	0.319631	0.415010	0.917084	
14000	27.685548	3	0.331164	0.331164	0.365097	0.561574	
15000	27.685548	2	0.343744	0.343744	0.363089	0.343744	
16000	27.685548	2	0.385972	0.325096	0.385972	0.385972	
17000	27.685548	2	0.280949	0.280949	0.386057	0.386057	
18000	27.685548	3	0.279393	0.327964	0.279393	1.044539	
19000	27.685548	4	0.330541	0.259598	0.352164	0.336343	
20000	27.685548	4	0.369282	0.401593	0.332995	0.687031	
21000	27.685548	4	0.398015	0.289725	0.306252	0.441826	
22000	27.685548	4	0.349110	0.302586	0.214287	0.452633	
23000	27.685548	2	0.357709	0.357709	0.357709	0.606831	
24000	27.685548	4	0.382607	0.287600	0.285268	0.759116	
25000	27.685548	2	0.382035	0.382035	0.382035	0.358997	
26000	27.685548	2	0.262068	0.262068	0.262068	0.321552	
27000	27.685548	2	0.287208	0.287208	0.339384	0.339384	
28000	27.685548	4	0.336448	0.380791	0.288396	0.440025	
29000	27.685548	3	0.354060	0.402659	0.354060	0.555764	
30000	27.685548	2	0.315792	0.303083	0.303083	0.315792	
31000	27.685548	3	0.365976	0.365976	0.341264	0.519753	
32000	27.685548	2	0.314391	0.314391	0.314391	0.352561	
33000	27.685548	4	0.387887	0.305207	0.281780	0.504050	
34000	27.685548	4	0.402468	0.269760	0.283400	0.476373	
35000	27.685548	2	0.350426	0.350426	0.350426	0.764120	
36000	27.685548	2	0.381031	0.381031	0.381031	0.849731	
37000	27.685548	3	0.285034	0.309484	0.285034	0.673466	
38000	27.685548	4	0.379319	0.316871	0.314092	0.898975	
39000	27.685548	2	0.283291	0.353078	0.353078	0.353078	
40000	27.685548	2	0.337188	0.337188	0.337188	0.390282	
41000	27.685548	1	0.345778	0.345778	0.345778	0.345778	
42000	27.685548	3	0.427520	0.314682	0.314682	0.583378	
43000	27.685548	3	0.345613	0.345613	0.366391	0.413732	
44000	27.685548	2	0.357726	0.407398	0.357726	0.407398	
45000	27.685548	4	0.424459	0.236623	0.249439	0.629312	
46000	27.685548	4	0.399942	0.307076	0.257430	0.808672	
47000	27.685548	4	0.373993	0.409627	0.407170	0.899062	
48000	27.685548	2	0.333802	0.333802	0.375057	0.375057	
49000	27.685548	3	0.388287	0.330552	0.330552	0.483217	
50000	27.685548	2	0.326272	0.404144	0.326272	0.404144	
51000	27.685548	3	0.435191	0.371886	0.236160	0.435191	
52000	27.685548	4	0.360928	0.311516	0.326707	0.420450	
53000	27.685548	3	0.357742	0.357742	0.392007	0.465561	
54000	27.685548	2	0.337176	0.337176	0.337176	0.727996	
55000	27.685548	3	0.393192	0.393192	0.230351	0.850062	
56000	27.685548	3	0.386574	0.426031	0.686992	0.386574	
57000	27.685548	2	0.332778	0.332778	0.332778	0.706745	
58000	27.685548	1	0.366086	0.366086	0.366086	0.366086	
59000	27.685548	2	0.251687	0.387273	0.387273	0.387273	
