Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	27.685548	1	0.115965	0.216113	0.033178	0.147826	0.330713	0.156204	0.115965	0.216113	0.033178	0.147826	0.330713	0.156204	0.115965	0.216113	0.033178	0.147826	0.330713	0.156204	0.115965	0.216113	0.033178	0.147826	0.330713	0.156204	
2000	27.685548	1	0.118172	0.228836	0.039874	0.183220	0.252808	0.177091	0.118172	0.228836	0.039874	0.183220	0.252808	0.177091	0.118172	0.228836	0.039874	0.183220	0.252808	0.177091	0.118172	0.228836	0.039874	0.183220	0.252808	0.177091	
3000	27.685548	1	0.122231	0.226898	0.039163	0.195952	0.296225	0.119530	0.122231	0.226898	0.039163	0.195952	0.296225	0.119530	0.122231	0.226898	0.039163	0.195952	0.296225	0.119530	0.122231	0.226898	0.039163	0.195952	0.296225	0.119530	
4000	27.685548	1	0.126264	0.221985	0.039676	0.192048	0.275265	0.144762	0.126264	0.221985	0.039676	0.192048	0.275265	0.144762	0.126264	0.221985	0.039676	0.192048	0.275265	0.144762	0.126264	0.221985	0.039676	0.192048	0.275265	0.144762	
5000	27.685548	1	0.114987	0.246681	0.032276	0.185280	0.239987	0.180788	0.114987	0.246681	0.032276	0.185280	0.239987	0.180788	0.114987	0.246681	0.032276	0.185280	0.239987	0.180788	0.114987	0.246681	0.032276	0.185280	0.239987	0.180788	
6000	27.685548	1	0.118280	0.228178	0.036238	0.159051	0.272293	0.185961	0.118280	0.228178	0.036238	0.159051	0.272293	0.185961	0.118280	0.228178	0.036238	0.159051	0.272293	0.185961	0.118280	0.228178	0.036238	0.159051	0.272293	0.185961	
7000	27.685548	2	0.112988	0.213648	0.053065	0.189828	0.277039	0.153432	0.112988	0.213648	0.053065	0.189828	0.277039	0.153432	0.112988	0.213648	0.053065	0.189828	0.277039	0.153432	0.283759	0.268697	0.075916	0.040643	0.233848	0.097137	
8000	27.685548	1	0.110643	0.238829	0.030083	0.185406	0.290984	0.144056	0.110643	0.238829	0.030083	0.185406	0.290984	0.144056	0.110643	0.238829	0.030083	0.185406	0.290984	0.144056	0.110643	0.238829	0.030083	0.185406	0.290984	0.144056	
9000	27.685548	1	0.139341	0.224245	0.028867	0.183933	0.303621	0.119994	0.139341	0.224245	0.028867	0.183933	0.303621	0.119994	0.139341	0.224245	0.028867	0.183933	0.303621	0.119994	0.139341	0.224245	0.028867	0.183933	0.303621	0.119994	
10000	27.685548	1	0.129618	0.215603	0.039208	0.206043	0.254024	0.155504	0.129618	0.215603	0.039208	0.206043	0.254024	0.155504	0.129618	0.215603	0.039208	0.206043	0.254024	0.155504	0.129618	0.215603	0.039208	0.206043	0.254024	0.155504	
11000	27.685548	1	0.124793	0.263100	0.037469	0.175085	0.254761	0.144792	0.124793	0.263100	0.037469	0.175085	0.254761	0.144792	0.124793	0.263100	0.037469	0.175085	0.254761	0.144792	0.124793	0.263100	0.037469	0.175085	0.254761	0.144792	
12000	27.685548	1	0.117945	0.247394	0.031879	0.185411	0.269923	0.147448	0.117945	0.247394	0.031879	0.185411	0.269923	0.147448	0.117945	0.247394	0.031879	0.185411	0.269923	0.147448	0.117945	0.247394	0.031879	0.185411	0.269923	0.147448	
13000	27.685548	1	0.127704	0.265501	0.025067	0.205519	0.235841	0.140368	0.127704	0.265501	0.025067	0.205519	0.235841	0.140368	0.127704	0.265501	0.025067	0.205519	0.235841	0.140368	0.127704	0.265501	0.025067	0.205519	0.235841	0.140368	
14000	27.685548	1	0.116139	0.243554	0.027312	0.227175	0.259766	0.126053	0.116139	0.243554	0.027312	0.227175	0.259766	0.126053	0.116139	0.243554	0.027312	0.227175	0.259766	0.126053	0.116139	0.243554	0.027312	0.227175	0.259766	0.126053	
