Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	27.685548	1	0.273695	0.241025	0.196291	0.288989	0.273695	0.241025	0.196291	0.288989	0.273695	0.241025	0.196291	0.288989	0.273695	0.241025	0.196291	0.288989	
2000	27.685548	1	0.291745	0.216637	0.175788	0.315830	0.291745	0.216637	0.175788	0.315830	0.291745	0.216637	0.175788	0.315830	0.291745	0.216637	0.175788	0.315830	
3000	27.685548	1	0.299193	0.198484	0.194292	0.308031	0.299193	0.198484	0.194292	0.308031	0.299193	0.198484	0.194292	0.308031	0.299193	0.198484	0.194292	0.308031	
4000	27.685548	1	0.290470	0.204412	0.201536	0.303582	0.290470	0.204412	0.201536	0.303582	0.290470	0.204412	0.201536	0.303582	0.290470	0.204412	0.201536	0.303582	
5000	27.685548	1	0.295734	0.208582	0.195648	0.300036	0.295734	0.208582	0.195648	0.300036	0.295734	0.208582	0.195648	0.300036	0.295734	0.208582	0.195648	0.300036	
6000	27.685548	2	0.315239	0.230545	0.316553	0.137663	0.308296	0.224777	0.146879	0.320047	0.308296	0.224777	0.146879	0.320047	0.308296	0.224777	0.146879	0.320047	
7000	27.685548	2	0.213142	0.293381	0.249916	0.243561	0.285089	0.209975	0.188074	0.316862	0.285089	0.209975	0.188074	0.316862	0.285089	0.209975	0.188074	0.316862	
8000	27.685548	1	0.302310	0.200874	0.184134	0.312682	0.302310	0.200874	0.184134	0.312682	0.302310	0.200874	0.184134	0.312682	0.302310	0.200874	0.184134	0.312682	
9000	27.685548	1	0.279192	0.209388	0.200498	0.310922	0.279192	0.209388	0.200498	0.310922	0.279192	0.209388	0.200498	0.310922	0.279192	0.209388	0.200498	0.310922	
10000	27.685548	2	0.197472	0.264606	0.288497	0.249424	0.287407	0.207767	0.183292	0.321534	0.287407	0.207767	0.183292	0.321534	0.287407	0.207767	0.183292	0.321534	
11000	27.685548	1	0.277141	0.225138	0.193633	0.304089	0.277141	0.225138	0.193633	0.304089	0.277141	0.225138	0.193633	0.304089	0.277141	0.225138	0.193633	0.304089	
12000	27.685548	1	0.321197	0.169159	0.194379	0.315265	0.321197	0.169159	0.194379	0.315265	0.321197	0.169159	0.194379	0.315265	0.321197	0.169159	0.194379	0.315265	
13000	27.685548	1	0.297098	0.181883	0.162879	0.358140	0.297098	0.181883	0.162879	0.358140	0.297098	0.181883	0.162879	0.358140	0.297098	0.181883	0.162879	0.358140	
14000	27.685548	1	0.300580	0.200015	0.180187	0.319218	0.300580	0.200015	0.180187	0.319218	0.300580	0.200015	0.180187	0.319218	0.300580	0.200015	0.180187	0.319218	
15000	27.685548	2	0.265485	0.213819	0.206080	0.314616	0.265485	0.213819	0.206080	0.314616	0.326537	0.166516	0.145487	0.361460	0.326537	0.166516	0.145487	0.361460	
16000	27.685548	1	0.272968	0.208571	0.203995	0.314466	0.272968	0.208571	0.203995	0.314466	0.272968	0.208571	0.203995	0.314466	0.272968	0.208571	0.203995	0.314466	
17000	27.685548	1	0.287002	0.228544	0.185820	0.298634	0.287002	0.228544	0.185820	0.298634	0.287002	0.228544	0.185820	0.298634	0.287002	0.228544	0.185820	0.298634	
