Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	27.685548	1	2.462445	2.462445	2.462445	2.462445	
2000	27.685548	1	0.797547	0.797547	0.797547	0.797547	
3000	27.685548	1	0.920297	0.920297	0.920297	0.920297	
4000	27.685548	1	0.916100	0.916100	0.916100	0.916100	
5000	27.685548	1	0.874127	0.874127	0.874127	0.874127	
6000	27.685548	1	1.047981	1.047981	1.047981	1.047981	
7000	27.685548	1	0.963452	0.963452	0.963452	0.963452	
8000	27.685548	1	0.909225	0.909225	0.909225	0.909225	
9000	27.685548	1	0.933934	0.933934	0.933934	0.933934	
10000	27.685548	1	0.858341	0.858341	0.858341	0.858341	
11000	27.685548	1	0.894019	0.894019	0.894019	0.894019	
12000	27.685548	1	0.900333	0.900333	0.900333	0.900333	
13000	27.685548	1	0.827649	0.827649	0.827649	0.827649	
14000	27.685548	1	0.855180	0.855180	0.855180	0.855180	
15000	27.685548	1	0.920140	0.920140	0.920140	0.920140	
16000	27.685548	1	0.912005	0.912005	0.912005	0.912005	
17000	27.685548	1	0.951463	0.951463	0.951463	0.951463	
18000	27.685548	1	0.878903	0.878903	0.878903	0.878903	
19000	27.685548	1	0.942192	0.942192	0.942192	0.942192	
20000	27.685548	1	0.852274	0.852274	0.852274	0.852274	
21000	27.685548	1	0.969171	0.969171	0.969171	0.969171	
22000	27.685548	1	0.929295	0.929295	0.929295	0.929295	
23000	27.685548	1	0.831275	0.831275	0.831275	0.831275	
24000	27.685548	1	0.884566	0.884566	0.884566	0.884566	
25000	27.685548	1	0.911912	0.911912	0.911912	0.911912	
26000	27.685548	1	0.872041	0.872041	0.872041	0.872041	
27000	27.685548	1	0.835908	0.835908	0.835908	0.835908	
28000	27.685548	1	0.860797	0.860797	0.860797	0.860797	
29000	27.685548	1	0.894877	0.894877	0.894877	0.894877	
30000	27.685548	1	0.993740	0.993740	0.993740	0.993740	
31000	27.685548	1	0.859752	0.859752	0.859752	0.859752	
32000	27.685548	1	0.939991	0.939991	0.939991	0.939991	
33000	27.685548	1	0.954618	0.954618	0.954618	0.954618	
34000	27.685548	1	0.936894	0.936894	0.936894	0.936894	
35000	27.685548	1	0.799340	0.799340	0.799340	0.799340	
36000	27.685548	1	0.863705	0.863705	0.863705	0.863705	
37000	27.685548	1	0.893062	0.893062	0.893062	0.893062	
38000	27.685548	1	0.916813	0.916813	0.916813	0.916813	
