Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.188029	0.056551	0.813109	0.813109	0.056551	0.188029	
2000	1.695768	3	0.187319	0.054638	0.781059	0.781059	0.054638	0.187319	
3000	1.695768	3	0.193824	0.053646	0.740272	0.740272	0.053646	0.193824	
4000	1.695768	3	0.197948	0.054633	0.751012	0.751012	0.054633	0.197948	
5000	1.695768	3	0.196392	0.052884	0.788902	0.788902	0.052884	0.196392	
6000	1.695768	3	0.194842	0.056344	0.775809	0.775809	0.056344	0.194842	
7000	1.695768	4	0.184632	0.056512	0.728067	0.730970	0.056512	0.184632	
8000	1.695768	3	0.186785	0.055562	0.803399	0.803399	0.055562	0.186785	
9000	1.695768	3	0.191601	0.057146	0.756609	0.756609	0.057146	0.191601	
10000	1.695768	3	0.187197	0.057542	0.834764	0.834764	0.057542	0.187197	
11000	1.695768	3	0.183445	0.056618	0.768223	0.768223	0.056618	0.183445	
12000	1.695768	4	0.198230	0.054676	0.807990	0.807990	0.054676	0.186834	
13000	1.695768	3	0.195814	0.054560	0.775097	0.775097	0.054560	0.195814	
14000	1.695768	3	0.183837	0.056465	0.735770	0.735770	0.056465	0.183837	
15000	1.695768	3	0.189400	0.056430	0.784945	0.784945	0.056430	0.189400	
16000	1.695768	3	0.189717	0.055929	0.755332	0.755332	0.055929	0.189717	
17000	1.695768	3	0.189345	0.057902	0.756521	0.756521	0.057902	0.189345	
18000	1.695768	3	0.190015	0.054361	0.745221	0.745221	0.054361	0.190015	
19000	1.695768	3	0.183777	0.057509	0.778442	0.778442	0.057509	0.183777	
20000	1.695768	3	0.194413	0.056146	0.749870	0.749870	0.056146	0.194413	
21000	1.695768	3	0.197873	0.056218	0.734704	0.734704	0.056218	0.197873	
22000	1.695768	3	0.184116	0.057990	0.758463	0.758463	0.057990	0.184116	
23000	1.695768	3	0.182085	0.057285	0.691231	0.691231	0.057285	0.182085	
24000	1.695768	3	0.192839	0.056859	0.745456	0.745456	0.056859	0.192839	
25000	1.695768	3	0.184491	0.058420	0.768127	0.768127	0.058420	0.184491	
26000	1.695768	3	0.191410	0.057449	0.770610	0.770610	0.057449	0.191410	
27000	1.695768	3	0.184755	0.058791	0.736684	0.736684	0.058791	0.184755	
28000	1.695768	4	0.178526	0.055096	0.755176	0.722368	0.055096	0.178526	
29000	1.695768	3	0.187191	0.057371	0.732113	0.732113	0.057371	0.187191	
30000	1.695768	3	0.183045	0.055897	0.736306	0.736306	0.055897	0.183045	
31000	1.695768	5	0.183821	0.059571	0.819915	0.652626	0.058491	0.183821	
32000	1.695768	3	0.182158	0.057865	0.724432	0.724432	0.057865	0.182158	
33000	1.695768	3	0.197647	0.058118	0.749748	0.749748	0.058118	0.197647	
34000	1.695768	3	0.185163	0.054554	0.763050	0.763050	0.054554	0.185163	
35000	1.695768	3	0.192991	0.055893	0.785409	0.785409	0.055893	0.192991	
36000	1.695768	3	0.192275	0.060178	0.731166	0.731166	0.060178	0.192275	
37000	1.695768	4	0.179111	0.059302	0.726805	0.726805	0.059302	0.174116	
38000	1.695768	3	0.183874	0.060169	0.748502	0.748502	0.060169	0.183874	
39000	1.695768	3	0.188567	0.060597	0.777747	0.777747	0.060597	0.188567	
40000	1.695768	3	0.184409	0.060003	0.756825	0.756825	0.060003	0.184409	
41000	1.695768	3	0.187045	0.061049	0.740372	0.740372	0.061049	0.187045	
42000	1.695768	3	0.187900	0.061254	0.768067	0.768067	0.061254	0.187900	
43000	1.695768	3	0.182819	0.061711	0.724301	0.724301	0.061711	0.182819	
44000	1.695768	3	0.189209	0.056414	0.783169	0.783169	0.056414	0.189209	
45000	1.695768	3	0.190214	0.061739	0.765347	0.765347	0.061739	0.190214	
46000	1.695768	3	0.191133	0.060021	0.759186	0.759186	0.060021	0.191133	
47000	1.695768	3	0.188360	0.062689	0.772111	0.772111	0.062689	0.188360	
48000	1.695768	3	0.179036	0.059411	0.738281	0.738281	0.059411	0.179036	
49000	1.695768	3	0.182199	0.060685	0.772078	0.772078	0.060685	0.182199	
50000	1.695768	3	0.181183	0.058629	0.774150	0.774150	0.058629	0.181183	
51000	1.695768	4	0.188357	0.062308	0.833365	0.714581	0.062308	0.188357	
52000	1.695768	4	0.185190	0.057652	0.772784	0.772784	0.057263	0.185190	
53000	1.695768	3	0.185543	0.058205	0.751134	0.751134	0.058205	0.185543	
54000	1.695768	3	0.178302	0.057924	0.765186	0.765186	0.057924	0.178302	
55000	1.695768	3	0.186823	0.059335	0.753491	0.753491	0.059335	0.186823	
56000	1.695768	3	0.176254	0.059096	0.765992	0.765992	0.059096	0.176254	
57000	1.695768	3	0.191463	0.059115	0.783999	0.783999	0.059115	0.191463	
58000	1.695768	3	0.197765	0.061116	0.801458	0.801458	0.061116	0.197765	
59000	1.695768	3	0.182836	0.059173	0.730321	0.730321	0.059173	0.182836	
60000	1.695768	3	0.181937	0.060794	0.738392	0.738392	0.060794	0.181937	
61000	1.695768	3	0.181407	0.058847	0.681653	0.681653	0.058847	0.181407	
62000	1.695768	3	0.192478	0.056836	0.815538	0.815538	0.056836	0.192478	
63000	1.695768	4	0.187507	0.058125	0.823550	0.669132	0.058125	0.187507	
64000	1.695768	3	0.193363	0.057361	0.792510	0.792510	0.057361	0.193363	
65000	1.695768	3	0.192383	0.060133	0.776588	0.776588	0.060133	0.192383	
66000	1.695768	3	0.193979	0.057296	0.745902	0.745902	0.057296	0.193979	
67000	1.695768	3	0.189749	0.058751	0.770787	0.770787	0.058751	0.189749	
68000	1.695768	3	0.191178	0.059994	0.714848	0.714848	0.059994	0.191178	
69000	1.695768	3	0.192125	0.060695	0.829997	0.829997	0.060695	0.192125	
70000	1.695768	4	0.191696	0.058183	0.828720	0.628957	0.058183	0.191696	
71000	1.695768	3	0.189434	0.057363	0.728920	0.728920	0.057363	0.189434	
72000	1.695768	3	0.196299	0.061062	0.766619	0.766619	0.061062	0.196299	
73000	1.695768	4	0.202993	0.059136	0.819550	0.819550	0.059136	0.197953	
74000	1.695768	3	0.191974	0.060684	0.762161	0.762161	0.060684	0.191974	
75000	1.695768	3	0.189747	0.059289	0.772138	0.772138	0.059289	0.189747	
76000	1.695768	4	0.201604	0.057343	0.770412	0.778623	0.057343	0.201604	
77000	1.695768	3	0.188992	0.058046	0.719640	0.719640	0.058046	0.188992	
78000	1.695768	3	0.192526	0.061370	0.718269	0.718269	0.061370	0.192526	
79000	1.695768	4	0.185934	0.060947	0.781198	0.694675	0.060947	0.185934	
80000	1.695768	3	0.201909	0.061341	0.756001	0.756001	0.061341	0.201909	
81000	1.695768	3	0.203083	0.061004	0.770447	0.770447	0.061004	0.203083	
82000	1.695768	3	0.195092	0.059309	0.767327	0.767327	0.059309	0.195092	
83000	1.695768	3	0.189435	0.059192	0.733900	0.733900	0.059192	0.189435	
84000	1.695768	3	0.188847	0.056118	0.790250	0.790250	0.056118	0.188847	
85000	1.695768	3	0.188791	0.059577	0.763187	0.763187	0.059577	0.188791	
86000	1.695768	3	0.188698	0.060816	0.662672	0.662672	0.060816	0.188698	
87000	1.695768	4	0.186990	0.054498	0.799913	0.731194	0.054498	0.186990	
88000	1.695768	3	0.193841	0.059740	0.781692	0.781692	0.059740	0.193841	
89000	1.695768	3	0.186211	0.059936	0.765097	0.765097	0.059936	0.186211	
90000	1.695768	3	0.206982	0.058079	0.810151	0.810151	0.058079	0.206982	
91000	1.695768	3	0.194573	0.059241	0.782769	0.782769	0.059241	0.194573	
92000	1.695768	4	0.189673	0.061025	0.810684	0.674284	0.061025	0.189673	
93000	1.695768	3	0.196012	0.059551	0.757166	0.757166	0.059551	0.196012	
94000	1.695768	3	0.195491	0.059999	0.740578	0.740578	0.059999	0.195491	
95000	1.695768	3	0.195978	0.059582	0.795110	0.795110	0.059582	0.195978	
96000	1.695768	3	0.188632	0.060499	0.785725	0.785725	0.060499	0.188632	
97000	1.695768	3	0.192500	0.059799	0.794847	0.794847	0.059799	0.192500	
98000	1.695768	3	0.202783	0.061551	0.831800	0.831800	0.061551	0.202783	
99000	1.695768	3	0.200054	0.059153	0.763789	0.763789	0.059153	0.200054	
100000	1.695768	3	0.192497	0.060188	0.810583	0.810583	0.060188	0.192497	
101000	1.695768	5	0.191164	0.062618	0.885410	0.649177	0.062618	0.201559	
102000	1.695768	3	0.199029	0.058685	0.802002	0.802002	0.058685	0.199029	
103000	1.695768	4	0.203850	0.058349	0.891823	0.751432	0.058349	0.203850	
104000	1.695768	4	0.181552	0.058829	0.755912	0.755912	0.058829	0.194454	
105000	1.695768	4	0.201181	0.061159	0.738659	0.738659	0.061159	0.205561	
106000	1.695768	3	0.195060	0.061908	0.758000	0.758000	0.061908	0.195060	
107000	1.695768	3	0.193294	0.060301	0.823698	0.823698	0.060301	0.193294	
108000	1.695768	3	0.193473	0.060790	0.812488	0.812488	0.060790	0.193473	
109000	1.695768	3	0.199336	0.060004	0.737575	0.737575	0.060004	0.199336	
110000	1.695768	3	0.194471	0.062106	0.805450	0.805450	0.062106	0.194471	
111000	1.695768	3	0.201856	0.060381	0.827550	0.827550	0.060381	0.201856	
112000	1.695768	4	0.200546	0.061042	0.829128	0.729756	0.061042	0.200546	
113000	1.695768	5	0.193656	0.055429	0.871946	0.664485	0.055429	0.194835	
114000	1.695768	4	0.201743	0.059517	0.897277	0.737438	0.059517	0.201743	
115000	1.695768	3	0.199009	0.061554	0.799912	0.799912	0.061554	0.199009	
116000	1.695768	4	0.198996	0.058796	0.688953	0.776073	0.058796	0.198996	
117000	1.695768	4	0.198809	0.057574	0.767762	0.746225	0.057574	0.198809	
118000	1.695768	3	0.207990	0.057722	0.764737	0.764737	0.057722	0.207990	
119000	1.695768	3	0.201183	0.058700	0.804303	0.804303	0.058700	0.201183	
120000	1.695768	3	0.186134	0.063291	0.782457	0.782457	0.063291	0.186134	
121000	1.695768	3	0.192624	0.062793	0.863391	0.863391	0.062793	0.192624	
122000	1.695768	3	0.197523	0.062764	0.778213	0.778213	0.062764	0.197523	
123000	1.695768	3	0.194116	0.061548	0.787296	0.787296	0.061548	0.194116	
124000	1.695768	4	0.197867	0.063359	0.851995	0.786589	0.063359	0.197867	
125000	1.695768	3	0.197687	0.060079	0.791532	0.791532	0.060079	0.197687	
126000	1.695768	3	0.202537	0.062312	0.773703	0.773703	0.062312	0.202537	
