Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.190231	0.056241	0.789770	0.789770	0.056241	0.190231	
2000	1.695768	3	0.204739	0.056265	0.831276	0.831276	0.056265	0.204739	
3000	1.695768	4	0.187317	0.053345	0.829436	0.729155	0.053345	0.187317	
4000	1.695768	3	0.197374	0.052664	0.802218	0.802218	0.052664	0.197374	
5000	1.695768	3	0.191587	0.056275	0.785811	0.785811	0.056275	0.191587	
6000	1.695768	3	0.197765	0.053827	0.752120	0.752120	0.053827	0.197765	
7000	1.695768	3	0.198111	0.055009	0.767827	0.767827	0.055009	0.198111	
8000	1.695768	3	0.179055	0.053980	0.729883	0.729883	0.053980	0.179055	
9000	1.695768	3	0.200606	0.052271	0.792469	0.792469	0.052271	0.200606	
10000	1.695768	3	0.185867	0.052327	0.766890	0.766890	0.052327	0.185867	
11000	1.695768	3	0.189880	0.053993	0.707183	0.707183	0.053993	0.189880	
12000	1.695768	3	0.203826	0.057024	0.762301	0.762301	0.057024	0.203826	
13000	1.695768	3	0.191532	0.053436	0.813091	0.813091	0.053436	0.191532	
14000	1.695768	3	0.190513	0.052620	0.767527	0.767527	0.052620	0.190513	
15000	1.695768	3	0.189543	0.056998	0.792226	0.792226	0.056998	0.189543	
16000	1.695768	3	0.187553	0.055498	0.746107	0.746107	0.055498	0.187553	
17000	1.695768	3	0.183835	0.055566	0.772047	0.772047	0.055566	0.183835	
18000	1.695768	3	0.191688	0.056770	0.748700	0.748700	0.056770	0.191688	
19000	1.695768	3	0.180827	0.056794	0.803440	0.803440	0.056794	0.180827	
20000	1.695768	3	0.182659	0.056671	0.780718	0.780718	0.056671	0.182659	
21000	1.695768	3	0.179952	0.057996	0.827820	0.827820	0.057996	0.179952	
22000	1.695768	3	0.173367	0.058730	0.775854	0.775854	0.058730	0.173367	
23000	1.695768	3	0.182833	0.061875	0.847193	0.847193	0.061875	0.182833	
24000	1.695768	3	0.179270	0.060917	0.729362	0.729362	0.060917	0.179270	
25000	1.695768	3	0.184327	0.059797	0.816698	0.816698	0.059797	0.184327	
26000	1.695768	3	0.189912	0.060430	0.785232	0.785232	0.060430	0.189912	
27000	1.695768	3	0.170640	0.060910	0.742781	0.742781	0.060910	0.170640	
28000	1.695768	4	0.190682	0.059771	0.821755	0.801179	0.059771	0.190682	
29000	1.695768	3	0.186465	0.064432	0.844198	0.844198	0.064432	0.186465	
30000	1.695768	3	0.183930	0.059324	0.814191	0.814191	0.059324	0.183930	
31000	1.695768	4	0.187735	0.059792	0.864597	0.864597	0.059625	0.187735	
32000	1.695768	4	0.182914	0.058786	0.861791	0.861791	0.056667	0.182914	
33000	1.695768	3	0.176134	0.059933	0.812914	0.812914	0.059933	0.176134	
34000	1.695768	3	0.182467	0.063597	0.837861	0.837861	0.063597	0.182467	
35000	1.695768	3	0.181035	0.060510	0.842988	0.842988	0.060510	0.181035	
36000	1.695768	3	0.185857	0.060615	0.834065	0.834065	0.060615	0.185857	
37000	1.695768	4	0.178719	0.060165	0.860453	0.847080	0.060165	0.178719	
38000	1.695768	3	0.191747	0.061807	0.829772	0.829772	0.061807	0.191747	
39000	1.695768	4	0.191887	0.059742	0.874923	0.874923	0.059742	0.187359	
40000	1.695768	3	0.183810	0.059984	0.886790	0.886790	0.059984	0.183810	
41000	1.695768	3	0.173524	0.061100	0.813447	0.813447	0.061100	0.173524	
42000	1.695768	3	0.183813	0.062062	0.842898	0.842898	0.062062	0.183813	
43000	1.695768	3	0.186959	0.062972	0.899489	0.899489	0.062972	0.186959	
44000	1.695768	3	0.179455	0.063766	0.875834	0.875834	0.063766	0.179455	
45000	1.695768	3	0.176629	0.063534	0.876380	0.876380	0.063534	0.176629	
46000	1.695768	3	0.183462	0.061115	0.887664	0.887664	0.061115	0.183462	
47000	1.695768	3	0.178270	0.060541	0.851557	0.851557	0.060541	0.178270	
48000	1.695768	3	0.176791	0.062481	0.868642	0.868642	0.062481	0.176791	
49000	1.695768	3	0.188787	0.059622	0.821543	0.821543	0.059622	0.188787	
50000	1.695768	4	0.186828	0.062002	0.907852	0.872801	0.062002	0.186828	
51000	1.695768	3	0.178842	0.058493	0.894314	0.894314	0.058493	0.178842	
52000	1.695768	3	0.188753	0.063547	0.849618	0.849618	0.063547	0.188753	
53000	1.695768	3	0.194385	0.062028	0.888098	0.888098	0.062028	0.194385	
54000	1.695768	3	0.185676	0.067186	0.807125	0.807125	0.067186	0.185676	
55000	1.695768	3	0.187331	0.059997	0.906970	0.906970	0.059997	0.187331	
56000	1.695768	3	0.184865	0.062020	0.884443	0.884443	0.062020	0.184865	
57000	1.695768	3	0.177996	0.062776	0.859789	0.859789	0.062776	0.177996	
58000	1.695768	3	0.184448	0.059422	0.869657	0.869657	0.059422	0.184448	
59000	1.695768	3	0.181947	0.070042	0.846066	0.846066	0.070042	0.181947	
60000	1.695768	3	0.188889	0.062336	0.894633	0.894633	0.062336	0.188889	
61000	1.695768	4	0.178836	0.061025	0.881194	0.881194	0.061025	0.203526	
62000	1.695768	4	0.186093	0.063946	0.896409	0.851510	0.063946	0.186093	
63000	1.695768	4	0.187380	0.061070	0.872094	0.794775	0.061070	0.187380	
64000	1.695768	3	0.190624	0.062195	0.894456	0.894456	0.062195	0.190624	
65000	1.695768	3	0.184577	0.063495	0.865595	0.865595	0.063495	0.184577	
66000	1.695768	3	0.184044	0.061682	0.911753	0.911753	0.061682	0.184044	
67000	1.695768	3	0.183564	0.069231	0.856706	0.856706	0.069231	0.183564	
68000	1.695768	3	0.185318	0.063172	0.822493	0.822493	0.063172	0.185318	
69000	1.695768	4	0.190827	0.057451	0.895466	0.795298	0.057451	0.190827	
70000	1.695768	3	0.189588	0.061579	0.864453	0.864453	0.061579	0.189588	
71000	1.695768	3	0.183748	0.064122	0.899837	0.899837	0.064122	0.183748	
72000	1.695768	3	0.181551	0.065456	0.848929	0.848929	0.065456	0.181551	
73000	1.695768	3	0.187398	0.062154	0.887594	0.887594	0.062154	0.187398	
74000	1.695768	3	0.181993	0.061359	0.871155	0.871155	0.061359	0.181993	
75000	1.695768	3	0.183820	0.063973	0.902587	0.902587	0.063973	0.183820	
76000	1.695768	5	0.190540	0.064654	0.895518	0.901602	0.058831	0.190540	
77000	1.695768	3	0.183226	0.060105	0.942134	0.942134	0.060105	0.183226	
78000	1.695768	3	0.180537	0.062745	0.840681	0.840681	0.062745	0.180537	
79000	1.695768	4	0.185814	0.060372	0.880300	0.865555	0.060372	0.185814	
80000	1.695768	3	0.185952	0.062958	0.888037	0.888037	0.062958	0.185952	
81000	1.695768	3	0.181963	0.060322	0.905668	0.905668	0.060322	0.181963	
82000	1.695768	4	0.182697	0.060524	0.853720	0.853720	0.060524	0.196554	
83000	1.695768	4	0.183736	0.064274	0.829375	0.829375	0.059444	0.183736	
84000	1.695768	3	0.176334	0.058692	0.898497	0.898497	0.058692	0.176334	
