Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.206151	0.053916	0.718515	0.718515	0.053916	0.206151	
2000	1.695768	4	0.215721	0.054010	0.792547	0.808004	0.054010	0.215721	
3000	1.695768	3	0.206992	0.058693	0.738201	0.738201	0.058693	0.206992	
4000	1.695768	3	0.217099	0.057532	0.814481	0.814481	0.057532	0.217099	
5000	1.695768	3	0.215444	0.058265	0.772768	0.772768	0.058265	0.215444	
6000	1.695768	4	0.203020	0.060364	0.862288	0.768037	0.060364	0.203020	
7000	1.695768	4	0.215856	0.057652	0.817604	0.837598	0.057652	0.215856	
8000	1.695768	4	0.208930	0.060746	0.791660	0.791660	0.052393	0.208930	
9000	1.695768	3	0.212581	0.067282	0.832477	0.832477	0.067282	0.212581	
10000	1.695768	3	0.219481	0.057716	0.823752	0.823752	0.057716	0.219481	
11000	1.695768	3	0.206609	0.060594	0.802686	0.802686	0.060594	0.206609	
12000	1.695768	5	0.212529	0.060142	0.772139	0.751063	0.060142	0.209111	
13000	1.695768	3	0.208535	0.068472	0.787564	0.787564	0.068472	0.208535	
14000	1.695768	4	0.205661	0.058991	0.829004	0.736998	0.058991	0.205661	
15000	1.695768	4	0.216982	0.057791	0.760990	0.760990	0.057791	0.192601	
16000	1.695768	4	0.201793	0.059765	0.814585	0.753366	0.059765	0.201793	
17000	1.695768	4	0.210280	0.058912	0.776314	0.700357	0.058912	0.210280	
18000	1.695768	3	0.207230	0.053797	0.818675	0.818675	0.053797	0.207230	
19000	1.695768	3	0.197298	0.058927	0.776945	0.776945	0.058927	0.197298	
20000	1.695768	4	0.194688	0.059673	0.791258	0.721329	0.059673	0.194688	
21000	1.695768	3	0.201468	0.060374	0.833072	0.833072	0.060374	0.201468	
22000	1.695768	3	0.208147	0.059080	0.796628	0.796628	0.059080	0.208147	
23000	1.695768	4	0.200027	0.057591	0.858260	0.778846	0.057591	0.200027	
24000	1.695768	3	0.202345	0.058790	0.735212	0.735212	0.058790	0.202345	
25000	1.695768	4	0.204813	0.064986	0.784632	0.725593	0.064986	0.204813	
26000	1.695768	3	0.200421	0.059771	0.807409	0.807409	0.059771	0.200421	
27000	1.695768	3	0.209972	0.058222	0.834415	0.834415	0.058222	0.209972	
28000	1.695768	3	0.207531	0.058438	0.785840	0.785840	0.058438	0.207531	
29000	1.695768	4	0.205288	0.059607	0.748346	0.748346	0.053148	0.205288	
30000	1.695768	3	0.199627	0.059080	0.799057	0.799057	0.059080	0.199627	
31000	1.695768	3	0.205886	0.058895	0.728216	0.728216	0.058895	0.205886	
32000	1.695768	3	0.215499	0.059131	0.806723	0.806723	0.059131	0.215499	
33000	1.695768	3	0.211471	0.059907	0.821595	0.821595	0.059907	0.211471	
34000	1.695768	3	0.208310	0.059400	0.775111	0.775111	0.059400	0.208310	
35000	1.695768	3	0.208101	0.054389	0.777183	0.777183	0.054389	0.208101	
36000	1.695768	3	0.201309	0.060938	0.819022	0.819022	0.060938	0.201309	
37000	1.695768	3	0.203492	0.060084	0.789884	0.789884	0.060084	0.203492	
38000	1.695768	3	0.205825	0.060932	0.858835	0.858835	0.060932	0.205825	
39000	1.695768	4	0.200511	0.058861	0.771578	0.771578	0.058861	0.223526	
40000	1.695768	3	0.208209	0.059004	0.818633	0.818633	0.059004	0.208209	
41000	1.695768	5	0.209234	0.060248	0.859756	0.675694	0.060248	0.214249	
42000	1.695768	4	0.186025	0.063649	0.769694	0.769694	0.063649	0.219610	
43000	1.695768	3	0.209781	0.062196	0.782859	0.782859	0.062196	0.209781	
44000	1.695768	3	0.205925	0.060741	0.746008	0.746008	0.060741	0.205925	
45000	1.695768	3	0.210776	0.059869	0.842693	0.842693	0.059869	0.210776	
46000	1.695768	4	0.207554	0.062651	0.809078	0.721983	0.062651	0.207554	
47000	1.695768	3	0.200001	0.059364	0.768149	0.768149	0.059364	0.200001	
48000	1.695768	4	0.195222	0.060470	0.837639	0.837639	0.060470	0.220952	
