Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.115755	0.244991	0.118732	0.164521	0.236199	0.119801	0.115755	0.244991	0.118732	0.164521	0.236199	0.119801	0.115755	0.244991	0.118732	0.164521	0.236199	0.119801	0.255061	0.108524	0.147486	0.132441	0.114815	0.241673	0.255061	0.108524	0.147486	0.132441	0.114815	0.241673	0.255061	0.108524	0.147486	0.132441	0.114815	0.241673	
2000	71.353907	2	0.124088	0.245888	0.130197	0.140378	0.246658	0.112791	0.124088	0.245888	0.130197	0.140378	0.246658	0.112791	0.124088	0.245888	0.130197	0.140378	0.246658	0.112791	0.252987	0.105610	0.137783	0.126315	0.123696	0.253609	0.252987	0.105610	0.137783	0.126315	0.123696	0.253609	0.252987	0.105610	0.137783	0.126315	0.123696	0.253609	
3000	71.353907	2	0.124723	0.259692	0.126335	0.123859	0.248370	0.117021	0.124723	0.259692	0.126335	0.123859	0.248370	0.117021	0.124723	0.259692	0.126335	0.123859	0.248370	0.117021	0.247149	0.111737	0.142323	0.124449	0.119288	0.255053	0.247149	0.111737	0.142323	0.124449	0.119288	0.255053	0.247149	0.111737	0.142323	0.124449	0.119288	0.255053	
4000	71.353907	2	0.127379	0.254696	0.131450	0.133672	0.244082	0.108721	0.127379	0.254696	0.131450	0.133672	0.244082	0.108721	0.127379	0.254696	0.131450	0.133672	0.244082	0.108721	0.246242	0.109714	0.135591	0.131744	0.120944	0.255765	0.246242	0.109714	0.135591	0.131744	0.120944	0.255765	0.246242	0.109714	0.135591	0.131744	0.120944	0.255765	
5000	71.353907	2	0.122270	0.239254	0.121743	0.136795	0.260967	0.118972	0.122270	0.239254	0.121743	0.136795	0.260967	0.118972	0.122270	0.239254	0.121743	0.136795	0.260967	0.118972	0.236828	0.108566	0.141951	0.119640	0.133338	0.259677	0.236828	0.108566	0.141951	0.119640	0.133338	0.259677	0.236828	0.108566	0.141951	0.119640	0.133338	0.259677	
6000	71.353907	2	0.114359	0.258862	0.128317	0.126384	0.243603	0.128475	0.114359	0.258862	0.128317	0.126384	0.243603	0.128475	0.114359	0.258862	0.128317	0.126384	0.243603	0.128475	0.245956	0.101801	0.141758	0.123598	0.124406	0.262480	0.245956	0.101801	0.141758	0.123598	0.124406	0.262480	0.245956	0.101801	0.141758	0.123598	0.124406	0.262480	
7000	71.353907	2	0.129948	0.238062	0.128753	0.129027	0.256399	0.117811	0.129948	0.238062	0.128753	0.129027	0.256399	0.117811	0.129948	0.238062	0.128753	0.129027	0.256399	0.117811	0.224101	0.116303	0.141159	0.134685	0.116537	0.267214	0.224101	0.116303	0.141159	0.134685	0.116537	0.267214	0.224101	0.116303	0.141159	0.134685	0.116537	0.267214	
8000	71.353907	2	0.123676	0.259311	0.126644	0.128780	0.245609	0.115979	0.123676	0.259311	0.126644	0.128780	0.245609	0.115979	0.123676	0.259311	0.126644	0.128780	0.245609	0.115979	0.234264	0.120177	0.143421	0.127342	0.122190	0.252605	0.234264	0.120177	0.143421	0.127342	0.122190	0.252605	0.234264	0.120177	0.143421	0.127342	0.122190	0.252605	
9000	71.353907	2	0.126575	0.251041	0.124887	0.127522	0.249838	0.120136	0.126575	0.251041	0.124887	0.127522	0.249838	0.120136	0.126575	0.251041	0.124887	0.127522	0.249838	0.120136	0.232983	0.117344	0.144280	0.125554	0.119225	0.260614	0.232983	0.117344	0.144280	0.125554	0.119225	0.260614	0.232983	0.117344	0.144280	0.125554	0.119225	0.260614	
10000	71.353907	2	0.125935	0.246656	0.121496	0.132759	0.256039	0.117115	0.125935	0.246656	0.121496	0.132759	0.256039	0.117115	0.125935	0.246656	0.121496	0.132759	0.256039	0.117115	0.238330	0.120108	0.137617	0.124857	0.130596	0.248491	0.238330	0.120108	0.137617	0.124857	0.130596	0.248491	0.238330	0.120108	0.137617	0.124857	0.130596	0.248491	
