Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.133496	0.231759	0.121482	0.123923	0.271039	0.118300	0.133496	0.231759	0.121482	0.123923	0.271039	0.118300	0.133496	0.231759	0.121482	0.123923	0.271039	0.118300	0.254253	0.098315	0.105158	0.141220	0.134722	0.266332	0.254253	0.098315	0.105158	0.141220	0.134722	0.266332	0.254253	0.098315	0.105158	0.141220	0.134722	0.266332	
2000	71.353907	2	0.122095	0.247506	0.134467	0.119166	0.253586	0.123180	0.122095	0.247506	0.134467	0.119166	0.253586	0.123180	0.122095	0.247506	0.134467	0.119166	0.253586	0.123180	0.267258	0.101755	0.117574	0.123755	0.126923	0.262736	0.267258	0.101755	0.117574	0.123755	0.126923	0.262736	0.267258	0.101755	0.117574	0.123755	0.126923	0.262736	
3000	71.353907	2	0.137655	0.279824	0.136124	0.112909	0.220141	0.113346	0.137655	0.279824	0.136124	0.112909	0.220141	0.113346	0.137655	0.279824	0.136124	0.112909	0.220141	0.113346	0.277127	0.103398	0.116210	0.136945	0.120046	0.246274	0.277127	0.103398	0.116210	0.136945	0.120046	0.246274	0.277127	0.103398	0.116210	0.136945	0.120046	0.246274	
4000	71.353907	2	0.137694	0.251954	0.131548	0.131625	0.230115	0.117063	0.137694	0.251954	0.131548	0.131625	0.230115	0.117063	0.137694	0.251954	0.131548	0.131625	0.230115	0.117063	0.260772	0.102112	0.127629	0.134090	0.125515	0.249882	0.260772	0.102112	0.127629	0.134090	0.125515	0.249882	0.260772	0.102112	0.127629	0.134090	0.125515	0.249882	
5000	71.353907	2	0.116291	0.243200	0.131815	0.137036	0.254494	0.117165	0.116291	0.243200	0.131815	0.137036	0.254494	0.117165	0.116291	0.243200	0.131815	0.137036	0.254494	0.117165	0.251391	0.102809	0.115236	0.144187	0.129776	0.256600	0.251391	0.102809	0.115236	0.144187	0.129776	0.256600	0.251391	0.102809	0.115236	0.144187	0.129776	0.256600	
6000	71.353907	2	0.133626	0.249774	0.135286	0.132508	0.235109	0.113698	0.133626	0.249774	0.135286	0.132508	0.235109	0.113698	0.133626	0.249774	0.135286	0.132508	0.235109	0.113698	0.270578	0.101326	0.119917	0.136730	0.114850	0.256599	0.270578	0.101326	0.119917	0.136730	0.114850	0.256599	0.270578	0.101326	0.119917	0.136730	0.114850	0.256599	
7000	71.353907	2	0.117944	0.266997	0.134923	0.133033	0.228870	0.118234	0.117944	0.266997	0.134923	0.133033	0.228870	0.118234	0.117944	0.266997	0.134923	0.133033	0.228870	0.118234	0.266665	0.107823	0.124364	0.127762	0.130775	0.242611	0.266665	0.107823	0.124364	0.127762	0.130775	0.242611	0.266665	0.107823	0.124364	0.127762	0.130775	0.242611	
8000	71.353907	2	0.125890	0.244045	0.131965	0.132116	0.239332	0.126653	0.125890	0.244045	0.131965	0.132116	0.239332	0.126653	0.125890	0.244045	0.131965	0.132116	0.239332	0.126653	0.259929	0.108688	0.121305	0.130598	0.118301	0.261179	0.259929	0.108688	0.121305	0.130598	0.118301	0.261179	0.259929	0.108688	0.121305	0.130598	0.118301	0.261179	
9000	71.353907	2	0.126977	0.255280	0.131302	0.133997	0.237332	0.115113	0.126977	0.255280	0.131302	0.133997	0.237332	0.115113	0.126977	0.255280	0.131302	0.133997	0.237332	0.115113	0.276204	0.111149	0.128775	0.123154	0.134938	0.225779	0.276204	0.111149	0.128775	0.123154	0.134938	0.225779	0.276204	0.111149	0.128775	0.123154	0.134938	0.225779	
10000	71.353907	2	0.118383	0.275222	0.129744	0.122114	0.235079	0.119458	0.118383	0.275222	0.129744	0.122114	0.235079	0.119458	0.118383	0.275222	0.129744	0.122114	0.235079	0.119458	0.263603	0.120009	0.124716	0.127841	0.123735	0.240096	0.263603	0.120009	0.124716	0.127841	0.123735	0.240096	0.263603	0.120009	0.124716	0.127841	0.123735	0.240096	
11000	71.353907	2	0.131275	0.263698	0.123044	0.127819	0.232194	0.121970	0.131275	0.263698	0.123044	0.127819	0.232194	0.121970	0.131275	0.263698	0.123044	0.127819	0.232194	0.121970	0.253604	0.114239	0.125288	0.131115	0.126646	0.249108	0.253604	0.114239	0.125288	0.131115	0.126646	0.249108	0.253604	0.114239	0.125288	0.131115	0.126646	0.249108	
12000	71.353907	2	0.122904	0.255567	0.127330	0.129352	0.234683	0.130165	0.122904	0.255567	0.127330	0.129352	0.234683	0.130165	0.122904	0.255567	0.127330	0.129352	0.234683	0.130165	0.259271	0.118863	0.123807	0.133100	0.113183	0.251775	0.259271	0.118863	0.123807	0.133100	0.113183	0.251775	0.259271	0.118863	0.123807	0.133100	0.113183	0.251775	
13000	71.353907	2	0.118312	0.265296	0.131644	0.131954	0.234074	0.118721	0.118312	0.265296	0.131644	0.131954	0.234074	0.118721	0.118312	0.265296	0.131644	0.131954	0.234074	0.118721	0.267237	0.108628	0.123933	0.126230	0.124714	0.249259	0.267237	0.108628	0.123933	0.126230	0.124714	0.249259	0.267237	0.108628	0.123933	0.126230	0.124714	0.249259	
