Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.120277	0.246502	0.140359	0.130856	0.227641	0.134365	0.120277	0.246502	0.140359	0.130856	0.227641	0.134365	0.120277	0.246502	0.140359	0.130856	0.227641	0.134365	0.258610	0.127268	0.123371	0.098296	0.143164	0.249292	0.258610	0.127268	0.123371	0.098296	0.143164	0.249292	0.258610	0.127268	0.123371	0.098296	0.143164	0.249292	
2000	71.353907	2	0.119586	0.267410	0.133043	0.120775	0.230418	0.128768	0.119586	0.267410	0.133043	0.120775	0.230418	0.128768	0.119586	0.267410	0.133043	0.120775	0.230418	0.128768	0.247244	0.136716	0.123371	0.102856	0.131647	0.258166	0.247244	0.136716	0.123371	0.102856	0.131647	0.258166	0.247244	0.136716	0.123371	0.102856	0.131647	0.258166	
3000	71.353907	2	0.113733	0.253850	0.126431	0.143754	0.230780	0.131453	0.113733	0.253850	0.126431	0.143754	0.230780	0.131453	0.113733	0.253850	0.126431	0.143754	0.230780	0.131453	0.241423	0.120274	0.129718	0.110154	0.132049	0.266381	0.241423	0.120274	0.129718	0.110154	0.132049	0.266381	0.241423	0.120274	0.129718	0.110154	0.132049	0.266381	
4000	71.353907	2	0.117346	0.257699	0.128997	0.146795	0.212200	0.136963	0.117346	0.257699	0.128997	0.146795	0.212200	0.136963	0.117346	0.257699	0.128997	0.146795	0.212200	0.136963	0.228411	0.138699	0.117213	0.117735	0.146524	0.251419	0.228411	0.138699	0.117213	0.117735	0.146524	0.251419	0.228411	0.138699	0.117213	0.117735	0.146524	0.251419	
5000	71.353907	2	0.115198	0.273309	0.125973	0.133557	0.217210	0.134752	0.115198	0.273309	0.125973	0.133557	0.217210	0.134752	0.115198	0.273309	0.125973	0.133557	0.217210	0.134752	0.239518	0.115955	0.124077	0.114256	0.147860	0.258334	0.239518	0.115955	0.124077	0.114256	0.147860	0.258334	0.239518	0.115955	0.124077	0.114256	0.147860	0.258334	
6000	71.353907	2	0.115332	0.267000	0.124293	0.133609	0.226716	0.133050	0.115332	0.267000	0.124293	0.133609	0.226716	0.133050	0.115332	0.267000	0.124293	0.133609	0.226716	0.133050	0.246951	0.121026	0.115490	0.116714	0.144929	0.254889	0.246951	0.121026	0.115490	0.116714	0.144929	0.254889	0.246951	0.121026	0.115490	0.116714	0.144929	0.254889	
7000	71.353907	2	0.119293	0.261335	0.131486	0.132410	0.219288	0.136189	0.119293	0.261335	0.131486	0.132410	0.219288	0.136189	0.119293	0.261335	0.131486	0.132410	0.219288	0.136189	0.232670	0.125258	0.125943	0.103770	0.142108	0.270250	0.232670	0.125258	0.125943	0.103770	0.142108	0.270250	0.232670	0.125258	0.125943	0.103770	0.142108	0.270250	
8000	71.353907	2	0.136231	0.256865	0.126019	0.139830	0.216192	0.124862	0.136231	0.256865	0.126019	0.139830	0.216192	0.124862	0.136231	0.256865	0.126019	0.139830	0.216192	0.124862	0.241699	0.123045	0.125143	0.109029	0.146685	0.254399	0.241699	0.123045	0.125143	0.109029	0.146685	0.254399	0.241699	0.123045	0.125143	0.109029	0.146685	0.254399	
9000	71.353907	2	0.131068	0.255255	0.139222	0.121392	0.227660	0.125403	0.131068	0.255255	0.139222	0.121392	0.227660	0.125403	0.131068	0.255255	0.139222	0.121392	0.227660	0.125403	0.254605	0.122438	0.117997	0.108820	0.137706	0.258434	0.254605	0.122438	0.117997	0.108820	0.137706	0.258434	0.254605	0.122438	0.117997	0.108820	0.137706	0.258434	
10000	71.353907	2	0.121017	0.260256	0.131329	0.143490	0.215804	0.128105	0.121017	0.260256	0.131329	0.143490	0.215804	0.128105	0.121017	0.260256	0.131329	0.143490	0.215804	0.128105	0.238665	0.140075	0.133200	0.112790	0.134130	0.241141	0.238665	0.140075	0.133200	0.112790	0.134130	0.241141	0.238665	0.140075	0.133200	0.112790	0.134130	0.241141	
11000	71.353907	2	0.126116	0.273556	0.125422	0.125657	0.216430	0.132818	0.126116	0.273556	0.125422	0.125657	0.216430	0.132818	0.126116	0.273556	0.125422	0.125657	0.216430	0.132818	0.241284	0.127033	0.116546	0.112311	0.139971	0.262854	0.241284	0.127033	0.116546	0.112311	0.139971	0.262854	0.241284	0.127033	0.116546	0.112311	0.139971	0.262854	
12000	71.353907	2	0.135033	0.248840	0.128766	0.123365	0.236512	0.127484	0.135033	0.248840	0.128766	0.123365	0.236512	0.127484	0.135033	0.248840	0.128766	0.123365	0.236512	0.127484	0.252813	0.125626	0.131579	0.107192	0.140710	0.242081	0.252813	0.125626	0.131579	0.107192	0.140710	0.242081	0.252813	0.125626	0.131579	0.107192	0.140710	0.242081	
13000	71.353907	2	0.126597	0.246565	0.128242	0.129725	0.238094	0.130777	0.126597	0.246565	0.128242	0.129725	0.238094	0.130777	0.126597	0.246565	0.128242	0.129725	0.238094	0.130777	0.241441	0.134158	0.118922	0.115595	0.136867	0.253017	0.241441	0.134158	0.118922	0.115595	0.136867	0.253017	0.241441	0.134158	0.118922	0.115595	0.136867	0.253017	
14000	71.353907	2	0.130972	0.257368	0.122599	0.132376	0.235261	0.121424	0.130972	0.257368	0.122599	0.132376	0.235261	0.121424	0.130972	0.257368	0.122599	0.132376	0.235261	0.121424	0.252810	0.120802	0.119147	0.110569	0.141771	0.254900	0.252810	0.120802	0.119147	0.110569	0.141771	0.254900	0.252810	0.120802	0.119147	0.110569	0.141771	0.254900	
15000	71.353907	2	0.121997	0.259824	0.131344	0.112609	0.239527	0.134699	0.121997	0.259824	0.131344	0.112609	0.239527	0.134699	0.121997	0.259824	0.131344	0.112609	0.239527	0.134699	0.248542	0.124217	0.119733	0.112088	0.136411	0.259009	0.248542	0.124217	0.119733	0.112088	0.136411	0.259009	0.248542	0.124217	0.119733	0.112088	0.136411	0.259009	
16000	71.353907	2	0.122892	0.243256	0.137679	0.129165	0.242174	0.124834	0.122892	0.243256	0.137679	0.129165	0.242174	0.124834	0.122892	0.243256	0.137679	0.129165	0.242174	0.124834	0.250562	0.126832	0.124393	0.110946	0.135361	0.251907	0.250562	0.126832	0.124393	0.110946	0.135361	0.251907	0.250562	0.126832	0.124393	0.110946	0.135361	0.251907	
