Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	3	7.934784	13.126579	18.164183	7.934784	13.126579	18.164183	
2000	71.353907	4	8.661670	11.106184	18.336637	7.597292	18.336637	18.336637	
3000	71.353907	4	8.980277	10.080020	18.552334	8.804604	18.552334	18.552334	
4000	71.353907	4	7.685087	10.621080	19.150652	7.685087	12.332600	19.150652	
5000	71.353907	4	8.096707	11.298651	18.110384	8.230618	18.110384	18.110384	
6000	71.353907	3	8.025134	10.473226	17.955974	8.025134	17.955974	17.955974	
7000	71.353907	3	8.285296	12.138716	17.863575	8.285296	12.138716	17.863575	
8000	71.353907	3	7.284329	10.968681	18.290135	7.284329	18.290135	18.290135	
9000	71.353907	3	8.307644	10.630288	17.998047	8.307644	17.998047	17.998047	
10000	71.353907	3	8.105205	11.112745	18.403572	8.105205	18.403572	18.403572	
11000	71.353907	3	8.102349	10.225724	18.687170	8.102349	18.687170	18.687170	
12000	71.353907	3	7.673978	11.252095	18.660942	7.673978	18.660942	18.660942	
13000	71.353907	5	8.233090	10.841513	18.160760	7.949375	12.437004	18.160760	
14000	71.353907	3	7.234948	10.772841	17.384570	7.234948	17.384570	17.384570	
15000	71.353907	3	7.036747	10.780126	17.357919	7.036747	17.357919	17.357919	
16000	71.353907	4	8.537818	10.626581	17.846792	7.640698	17.846792	17.846792	
17000	71.353907	3	8.000061	10.773162	18.419236	8.000061	18.419236	18.419236	
18000	71.353907	4	8.918762	10.940190	18.195927	8.079481	18.195927	18.195927	
19000	71.353907	3	8.072478	10.400904	17.352797	8.072478	17.352797	17.352797	
20000	71.353907	3	7.379001	10.581019	17.018042	7.379001	17.018042	17.018042	
21000	71.353907	3	7.549454	10.822009	17.333329	7.549454	17.333329	17.333329	
22000	71.353907	3	8.604075	10.572260	17.925640	8.604075	17.925640	17.925640	
23000	71.353907	3	8.317279	10.473510	17.346704	8.317279	17.346704	17.346704	
24000	71.353907	5	8.223840	11.170203	17.593511	7.232383	12.604124	17.593511	
25000	71.353907	3	7.802267	10.861377	16.803165	7.802267	16.803165	16.803165	
26000	71.353907	3	7.568499	12.172125	17.153906	7.568499	12.172125	17.153906	
27000	71.353907	4	8.227798	10.467712	18.041935	8.227798	12.078465	18.041935	
28000	71.353907	4	8.472423	10.620496	17.120912	7.954745	17.120912	17.120912	
29000	71.353907	4	7.947091	11.492612	17.369796	7.947091	11.892879	17.369796	
30000	71.353907	4	7.049840	10.340892	17.269921	7.049840	11.338555	17.269921	
31000	71.353907	5	7.995340	11.862093	16.887383	7.359657	12.059322	16.887383	
32000	71.353907	5	7.895311	10.826565	17.456136	7.876015	11.469666	17.456136	
33000	71.353907	3	7.568243	11.837407	17.578960	7.568243	17.578960	17.578960	
34000	71.353907	3	7.604521	10.388620	16.938707	7.604521	16.938707	16.938707	
35000	71.353907	4	7.776139	10.569954	17.233527	7.776139	11.913970	17.233527	
36000	71.353907	3	6.855646	10.883706	16.729208	6.855646	16.729208	16.729208	
37000	71.353907	4	7.988243	11.678362	16.316332	7.723190	11.678362	16.316332	
38000	71.353907	4	6.764523	9.786866	18.768476	6.764523	12.100085	18.768476	
39000	71.353907	4	6.555278	8.704557	17.733543	6.555278	11.479930	17.733543	
40000	71.353907	4	7.645620	10.224093	17.329874	7.645620	12.509480	17.329874	
41000	71.353907	4	7.059700	9.866828	17.456315	7.059700	10.801957	17.456315	
42000	71.353907	4	7.748329	10.067813	16.571526	7.748329	10.954161	16.571526	
43000	71.353907	4	7.468704	10.722711	17.370532	7.468704	11.061424	17.370532	
