Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	5	8.932881	10.818930	18.755367	9.249262	11.271877	18.755367	
2000	71.353907	5	9.269799	10.419619	18.250552	8.568716	10.734034	18.250552	
3000	71.353907	5	10.133084	11.009782	19.111776	8.072023	9.854769	19.111776	
4000	71.353907	5	10.533853	11.859398	21.162850	9.140702	10.099746	21.162850	
5000	71.353907	5	9.866023	10.557840	19.340144	8.292450	10.234020	19.340144	
6000	71.353907	4	10.157994	10.931472	19.259606	9.202478	10.157994	19.259606	
7000	71.353907	5	9.577524	10.940159	19.332835	8.226671	9.441736	19.332835	
8000	71.353907	5	10.198204	10.032222	19.288064	8.139002	10.591713	19.288064	
9000	71.353907	5	8.090096	11.200916	18.194107	7.536345	8.873451	18.194107	
10000	71.353907	5	8.374535	11.020874	17.152004	8.271717	9.930233	17.152004	
11000	71.353907	4	7.754546	10.476901	17.688815	7.754546	8.945646	17.688815	
12000	71.353907	5	8.710849	10.577048	18.143787	8.748733	9.597067	18.143787	
13000	71.353907	5	9.275123	11.793482	18.760025	8.011192	10.364839	18.760025	
14000	71.353907	5	8.285090	10.080623	18.725901	8.410961	9.810010	18.725901	
15000	71.353907	5	10.165642	11.164452	18.472324	8.641650	9.612181	18.472324	
16000	71.353907	5	9.029765	10.898084	18.743087	8.144677	10.267521	18.743087	
17000	71.353907	5	8.344258	10.202191	17.835357	7.877348	8.828723	17.835357	
18000	71.353907	5	9.078513	11.621892	18.522314	7.212302	9.680168	18.522314	
19000	71.353907	5	8.639667	10.036407	18.139933	8.657396	9.272267	18.139933	
20000	71.353907	4	8.088834	10.744635	18.221305	8.088834	9.204317	18.221305	
21000	71.353907	4	8.906718	10.232359	18.133810	7.937388	8.906718	18.133810	
22000	71.353907	5	9.194492	10.778677	18.048597	8.517413	9.233202	18.048597	
23000	71.353907	5	8.281533	10.548668	19.052508	8.223462	8.882692	19.052508	
24000	71.353907	4	8.065772	9.793997	16.974855	8.065772	9.284159	16.974855	
25000	71.353907	5	8.703262	10.702359	17.799052	7.662947	8.582360	17.799052	
26000	71.353907	5	8.892898	10.320628	17.853068	8.711084	8.976198	17.853068	
