Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	4	12.569882	12.366479	21.744835	9.425890	21.744835	21.744835	
2000	71.353907	4	10.606493	12.898912	20.894167	8.498653	20.894167	20.894167	
3000	71.353907	3	11.386707	11.386707	22.471689	8.113863	22.471689	22.471689	
4000	71.353907	4	11.311308	11.523400	22.450063	8.690239	22.450063	22.450063	
5000	71.353907	3	11.718205	11.718205	21.661161	8.553211	21.661161	21.661161	
6000	71.353907	4	12.197771	11.814863	20.842668	7.603220	20.842668	20.842668	
7000	71.353907	3	11.467536	11.467536	20.582095	8.628826	20.582095	20.582095	
8000	71.353907	4	10.374959	11.592344	21.177561	7.799131	21.177561	21.177561	
9000	71.353907	3	13.471403	13.471403	21.713123	8.606064	13.471403	21.713123	
10000	71.353907	3	14.607376	14.607376	20.773534	8.795651	14.607376	20.773534	
11000	71.353907	3	12.056344	12.056344	19.797280	8.256709	19.797280	19.797280	
12000	71.353907	3	13.835047	13.835047	21.451390	8.306357	13.835047	21.451390	
13000	71.353907	3	13.531270	13.531270	20.523327	7.402498	20.523327	20.523327	
14000	71.353907	3	11.197586	20.354932	20.354932	8.145116	20.354932	20.354932	
15000	71.353907	3	13.848900	13.848900	19.421409	7.322180	13.848900	19.421409	
16000	71.353907	3	13.390206	13.390206	19.611238	7.980179	19.611238	19.611238	
17000	71.353907	3	13.673433	13.673433	20.111391	8.466203	13.673433	20.111391	
18000	71.353907	3	13.500115	13.500115	18.839443	8.678406	13.500115	18.839443	
19000	71.353907	3	13.707949	13.707949	19.199330	7.884736	19.199330	19.199330	
20000	71.353907	3	13.273644	13.273644	19.828843	8.569055	13.273644	19.828843	
21000	71.353907	3	12.905938	12.905938	18.958975	8.659050	12.905938	18.958975	
22000	71.353907	4	12.138435	10.970861	18.525356	8.941040	18.525356	18.525356	
23000	71.353907	4	12.243026	11.659970	18.741047	7.585723	12.243026	18.741047	
24000	71.353907	3	12.085518	12.085518	18.645133	8.465432	12.085518	18.645133	
25000	71.353907	4	11.784449	12.895917	17.351757	9.093611	11.784449	17.351757	
26000	71.353907	4	11.731985	11.554166	18.282380	8.975523	11.554166	18.282380	
27000	71.353907	4	11.847926	11.847926	17.814459	7.929258	10.902021	17.814459	
28000	71.353907	5	10.066306	12.410877	18.574634	8.420693	12.315800	18.574634	
