Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
16000	0.092720	2	0.123315	0.272248	0.125975	0.138632	0.221703	0.118127	0.123315	0.272248	0.125975	0.138632	0.221703	0.118127	0.123315	0.272248	0.125975	0.138632	0.221703	0.118127	0.240208	0.123708	0.156578	0.121733	0.119331	0.238442	0.240208	0.123708	0.156578	0.121733	0.119331	0.238442	0.240208	0.123708	0.156578	0.121733	0.119331	0.238442	
17000	0.092720	2	0.131304	0.256789	0.121271	0.125961	0.234557	0.130118	0.131304	0.256789	0.121271	0.125961	0.234557	0.130118	0.131304	0.256789	0.121271	0.125961	0.234557	0.130118	0.242763	0.122325	0.149291	0.125708	0.114229	0.245684	0.242763	0.122325	0.149291	0.125708	0.114229	0.245684	0.242763	0.122325	0.149291	0.125708	0.114229	0.245684	
18000	0.092720	2	0.126462	0.262702	0.120706	0.125023	0.240254	0.124852	0.126462	0.262702	0.120706	0.125023	0.240254	0.124852	0.126462	0.262702	0.120706	0.125023	0.240254	0.124852	0.245384	0.121802	0.149253	0.129990	0.111702	0.241869	0.245384	0.121802	0.149253	0.129990	0.111702	0.241869	0.245384	0.121802	0.149253	0.129990	0.111702	0.241869	
19000	0.092720	2	0.129457	0.247860	0.126994	0.129816	0.226707	0.139166	0.129457	0.247860	0.126994	0.129816	0.226707	0.139166	0.129457	0.247860	0.126994	0.129816	0.226707	0.139166	0.244459	0.114336	0.144443	0.129104	0.111231	0.256427	0.244459	0.114336	0.144443	0.129104	0.111231	0.256427	0.244459	0.114336	0.144443	0.129104	0.111231	0.256427	
20000	0.092720	2	0.124403	0.250858	0.119295	0.132451	0.247863	0.125129	0.124403	0.250858	0.119295	0.132451	0.247863	0.125129	0.124403	0.250858	0.119295	0.132451	0.247863	0.125129	0.237218	0.133607	0.143957	0.129870	0.122194	0.233154	0.237218	0.133607	0.143957	0.129870	0.122194	0.233154	0.237218	0.133607	0.143957	0.129870	0.122194	0.233154	
21000	0.092720	2	0.126234	0.252368	0.126860	0.133739	0.232216	0.128584	0.126234	0.252368	0.126860	0.133739	0.232216	0.128584	0.126234	0.252368	0.126860	0.133739	0.232216	0.128584	0.234626	0.119309	0.156979	0.136404	0.116041	0.236640	0.234626	0.119309	0.156979	0.136404	0.116041	0.236640	0.234626	0.119309	0.156979	0.136404	0.116041	0.236640	
22000	0.092720	2	0.133708	0.249737	0.121854	0.134024	0.229424	0.131252	0.133708	0.249737	0.121854	0.134024	0.229424	0.131252	0.133708	0.249737	0.121854	0.134024	0.229424	0.131252	0.247975	0.121731	0.151285	0.128240	0.116186	0.234584	0.247975	0.121731	0.151285	0.128240	0.116186	0.234584	0.247975	0.121731	0.151285	0.128240	0.116186	0.234584	
23000	0.092720	2	0.122643	0.253514	0.123918	0.129606	0.244748	0.125571	0.122643	0.253514	0.123918	0.129606	0.244748	0.125571	0.122643	0.253514	0.123918	0.129606	0.244748	0.125571	0.247564	0.124102	0.152166	0.128545	0.108913	0.238709	0.247564	0.124102	0.152166	0.128545	0.108913	0.238709	0.247564	0.124102	0.152166	0.128545	0.108913	0.238709	
24000	0.092720	2	0.133582	0.246782	0.123859	0.128576	0.247891	0.119311	0.133582	0.246782	0.123859	0.128576	0.247891	0.119311	0.133582	0.246782	0.123859	0.128576	0.247891	0.119311	0.233409	0.131467	0.139142	0.133302	0.116620	0.246060	0.233409	0.131467	0.139142	0.133302	0.116620	0.246060	0.233409	0.131467	0.139142	0.133302	0.116620	0.246060	
25000	0.092720	2	0.133459	0.247053	0.123044	0.135112	0.241244	0.120089	0.133459	0.247053	0.123044	0.135112	0.241244	0.120089	0.133459	0.247053	0.123044	0.135112	0.241244	0.120089	0.243360	0.114532	0.143904	0.129480	0.125274	0.243450	0.243360	0.114532	0.143904	0.129480	0.125274	0.243450	0.243360	0.114532	0.143904	0.129480	0.125274	0.243450	
26000	0.092720	2	0.126625	0.255076	0.122790	0.133343	0.240845	0.121320	0.126625	0.255076	0.122790	0.133343	0.240845	0.121320	0.126625	0.255076	0.122790	0.133343	0.240845	0.121320	0.254915	0.112905	0.143365	0.137548	0.112215	0.239052	0.254915	0.112905	0.143365	0.137548	0.112215	0.239052	0.254915	0.112905	0.143365	0.137548	0.112215	0.239052	
27000	0.092720	2	0.130023	0.261667	0.121259	0.129374	0.234026	0.123651	0.130023	0.261667	0.121259	0.129374	0.234026	0.123651	0.130023	0.261667	0.121259	0.129374	0.234026	0.123651	0.246448	0.114563	0.143495	0.127026	0.131782	0.236686	0.246448	0.114563	0.143495	0.127026	0.131782	0.236686	0.246448	0.114563	0.143495	0.127026	0.131782	0.236686	
28000	0.092720	2	0.135530	0.234214	0.125653	0.129631	0.240816	0.134157	0.135530	0.234214	0.125653	0.129631	0.240816	0.134157	0.135530	0.234214	0.125653	0.129631	0.240816	0.134157	0.240584	0.108291	0.134827	0.130968	0.128422	0.256908	0.240584	0.108291	0.134827	0.130968	0.128422	0.256908	0.240584	0.108291	0.134827	0.130968	0.128422	0.256908	
29000	0.092720	2	0.132492	0.251991	0.119896	0.137341	0.229553	0.128727	0.132492	0.251991	0.119896	0.137341	0.229553	0.128727	0.132492	0.251991	0.119896	0.137341	0.229553	0.128727	0.252647	0.123763	0.133754	0.129207	0.122449	0.238181	0.252647	0.123763	0.133754	0.129207	0.122449	0.238181	0.252647	0.123763	0.133754	0.129207	0.122449	0.238181	
30000	0.092720	2	0.138754	0.259550	0.125669	0.124710	0.231848	0.119469	0.138754	0.259550	0.125669	0.124710	0.231848	0.119469	0.138754	0.259550	0.125669	0.124710	0.231848	0.119469	0.247151	0.130438	0.139173	0.132532	0.113652	0.237053	0.247151	0.130438	0.139173	0.132532	0.113652	0.237053	0.247151	0.130438	0.139173	0.132532	0.113652	0.237053	
31000	0.092720	2	0.131760	0.256065	0.123480	0.139686	0.225760	0.123249	0.131760	0.256065	0.123480	0.139686	0.225760	0.123249	0.131760	0.256065	0.123480	0.139686	0.225760	0.123249	0.244669	0.125105	0.136388	0.131730	0.112904	0.249204	0.244669	0.125105	0.136388	0.131730	0.112904	0.249204	0.244669	0.125105	0.136388	0.131730	0.112904	0.249204	
32000	0.092720	2	0.134180	0.248067	0.124319	0.140046	0.222526	0.130863	0.134180	0.248067	0.124319	0.140046	0.222526	0.130863	0.134180	0.248067	0.124319	0.140046	0.222526	0.130863	0.234492	0.115261	0.143458	0.137484	0.115548	0.253758	0.234492	0.115261	0.143458	0.137484	0.115548	0.253758	0.234492	0.115261	0.143458	0.137484	0.115548	0.253758	
33000	0.092720	2	0.137825	0.258857	0.120502	0.126529	0.238324	0.117963	0.137825	0.258857	0.120502	0.126529	0.238324	0.117963	0.137825	0.258857	0.120502	0.126529	0.238324	0.117963	0.238707	0.127601	0.141459	0.130696	0.111349	0.250188	0.238707	0.127601	0.141459	0.130696	0.111349	0.250188	0.238707	0.127601	0.141459	0.130696	0.111349	0.250188	
34000	0.092720	2	0.122176	0.257019	0.123330	0.129391	0.238949	0.129134	0.122176	0.257019	0.123330	0.129391	0.238949	0.129134	0.122176	0.257019	0.123330	0.129391	0.238949	0.129134	0.237817	0.119785	0.136216	0.134128	0.122661	0.249394	0.237817	0.119785	0.136216	0.134128	0.122661	0.249394	0.237817	0.119785	0.136216	0.134128	0.122661	0.249394	
35000	0.092720	2	0.131490	0.253320	0.123892	0.124847	0.242807	0.123645	0.131490	0.253320	0.123892	0.124847	0.242807	0.123645	0.131490	0.253320	0.123892	0.124847	0.242807	0.123645	0.241375	0.120544	0.150269	0.127288	0.119725	0.240799	0.241375	0.120544	0.150269	0.127288	0.119725	0.240799	0.241375	0.120544	0.150269	0.127288	0.119725	0.240799	
36000	0.092720	2	0.133087	0.257758	0.123102	0.132579	0.226779	0.126695	0.133087	0.257758	0.123102	0.132579	0.226779	0.126695	0.133087	0.257758	0.123102	0.132579	0.226779	0.126695	0.244537	0.127554	0.136904	0.135773	0.120683	0.234549	0.244537	0.127554	0.136904	0.135773	0.120683	0.234549	0.244537	0.127554	0.136904	0.135773	0.120683	0.234549	
37000	0.092720	2	0.136923	0.251884	0.121473	0.129660	0.240834	0.119226	0.136923	0.251884	0.121473	0.129660	0.240834	0.119226	0.136923	0.251884	0.121473	0.129660	0.240834	0.119226	0.237311	0.123213	0.146558	0.130047	0.111940	0.250931	0.237311	0.123213	0.146558	0.130047	0.111940	0.250931	0.237311	0.123213	0.146558	0.130047	0.111940	0.250931	
38000	0.092720	2	0.122220	0.247929	0.124733	0.140792	0.239886	0.124439	0.122220	0.247929	0.124733	0.140792	0.239886	0.124439	0.122220	0.247929	0.124733	0.140792	0.239886	0.124439	0.261243	0.127028	0.142654	0.123536	0.117108	0.228431	0.261243	0.127028	0.142654	0.123536	0.117108	0.228431	0.261243	0.127028	0.142654	0.123536	0.117108	0.228431	
39000	0.092720	2	0.138287	0.255438	0.122091	0.128422	0.229638	0.126124	0.138287	0.255438	0.122091	0.128422	0.229638	0.126124	0.138287	0.255438	0.122091	0.128422	0.229638	0.126124	0.245852	0.124913	0.144797	0.128826	0.111702	0.243910	0.245852	0.124913	0.144797	0.128826	0.111702	0.243910	0.245852	0.124913	0.144797	0.128826	0.111702	0.243910	
40000	0.092720	2	0.138018	0.256164	0.123686	0.128508	0.234669	0.118955	0.138018	0.256164	0.123686	0.128508	0.234669	0.118955	0.138018	0.256164	0.123686	0.128508	0.234669	0.118955	0.243682	0.114735	0.152016	0.124760	0.112300	0.252507	0.243682	0.114735	0.152016	0.124760	0.112300	0.252507	0.243682	0.114735	0.152016	0.124760	0.112300	0.252507	
