Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.126720	0.248902	0.119916	0.149257	0.249194	0.106011	0.126720	0.248902	0.119916	0.149257	0.249194	0.106011	0.126720	0.248902	0.119916	0.149257	0.249194	0.106011	0.233118	0.137511	0.116020	0.122458	0.132065	0.258828	0.233118	0.137511	0.116020	0.122458	0.132065	0.258828	0.233118	0.137511	0.116020	0.122458	0.132065	0.258828	
2000	0.092720	2	0.126137	0.238791	0.136721	0.134026	0.260503	0.103823	0.126137	0.238791	0.136721	0.134026	0.260503	0.103823	0.126137	0.238791	0.136721	0.134026	0.260503	0.103823	0.230994	0.131748	0.129549	0.127699	0.137503	0.242508	0.230994	0.131748	0.129549	0.127699	0.137503	0.242508	0.230994	0.131748	0.129549	0.127699	0.137503	0.242508	
3000	0.092720	2	0.128678	0.243241	0.123861	0.144497	0.254193	0.105530	0.128678	0.243241	0.123861	0.144497	0.254193	0.105530	0.128678	0.243241	0.123861	0.144497	0.254193	0.105530	0.226189	0.124226	0.137203	0.128654	0.132580	0.251148	0.226189	0.124226	0.137203	0.128654	0.132580	0.251148	0.226189	0.124226	0.137203	0.128654	0.132580	0.251148	
4000	0.092720	2	0.132469	0.246041	0.126935	0.133356	0.258376	0.102824	0.132469	0.246041	0.126935	0.133356	0.258376	0.102824	0.132469	0.246041	0.126935	0.133356	0.258376	0.102824	0.234908	0.132198	0.133647	0.124698	0.135847	0.238701	0.234908	0.132198	0.133647	0.124698	0.135847	0.238701	0.234908	0.132198	0.133647	0.124698	0.135847	0.238701	
5000	0.092720	2	0.133302	0.250414	0.127168	0.140011	0.235181	0.113923	0.133302	0.250414	0.127168	0.140011	0.235181	0.113923	0.133302	0.250414	0.127168	0.140011	0.235181	0.113923	0.242261	0.131408	0.124663	0.125574	0.128347	0.247747	0.242261	0.131408	0.124663	0.125574	0.128347	0.247747	0.242261	0.131408	0.124663	0.125574	0.128347	0.247747	
6000	0.092720	2	0.126533	0.242433	0.129660	0.125940	0.260433	0.115000	0.126533	0.242433	0.129660	0.125940	0.260433	0.115000	0.126533	0.242433	0.129660	0.125940	0.260433	0.115000	0.246666	0.133335	0.131813	0.112779	0.134077	0.241331	0.246666	0.133335	0.131813	0.112779	0.134077	0.241331	0.246666	0.133335	0.131813	0.112779	0.134077	0.241331	
7000	0.092720	2	0.133301	0.251262	0.131790	0.129123	0.246555	0.107970	0.133301	0.251262	0.131790	0.129123	0.246555	0.107970	0.133301	0.251262	0.131790	0.129123	0.246555	0.107970	0.243580	0.125856	0.130351	0.117474	0.137453	0.245286	0.243580	0.125856	0.130351	0.117474	0.137453	0.245286	0.243580	0.125856	0.130351	0.117474	0.137453	0.245286	
8000	0.092720	2	0.117936	0.253756	0.128684	0.125443	0.259328	0.114852	0.117936	0.253756	0.128684	0.125443	0.259328	0.114852	0.117936	0.253756	0.128684	0.125443	0.259328	0.114852	0.239164	0.127667	0.131382	0.135881	0.124370	0.241536	0.239164	0.127667	0.131382	0.135881	0.124370	0.241536	0.239164	0.127667	0.131382	0.135881	0.124370	0.241536	
9000	0.092720	2	0.127970	0.245239	0.132008	0.124473	0.257500	0.112808	0.127970	0.245239	0.132008	0.124473	0.257500	0.112808	0.127970	0.245239	0.132008	0.124473	0.257500	0.112808	0.238772	0.136178	0.129098	0.119545	0.132838	0.243568	0.238772	0.136178	0.129098	0.119545	0.132838	0.243568	0.238772	0.136178	0.129098	0.119545	0.132838	0.243568	
10000	0.092720	2	0.123636	0.246314	0.133488	0.130509	0.253512	0.112541	0.123636	0.246314	0.133488	0.130509	0.253512	0.112541	0.123636	0.246314	0.133488	0.130509	0.253512	0.112541	0.242696	0.138972	0.126194	0.119960	0.132002	0.240176	0.242696	0.138972	0.126194	0.119960	0.132002	0.240176	0.242696	0.138972	0.126194	0.119960	0.132002	0.240176	
