Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.134284	0.238550	0.134385	0.131519	0.236996	0.124265	0.134284	0.238550	0.134385	0.131519	0.236996	0.124265	0.134284	0.238550	0.134385	0.131519	0.236996	0.124265	0.234219	0.137985	0.115823	0.119911	0.135181	0.256882	0.234219	0.137985	0.115823	0.119911	0.135181	0.256882	0.234219	0.137985	0.115823	0.119911	0.135181	0.256882	
2000	0.092720	2	0.121607	0.240239	0.135441	0.147990	0.237062	0.117661	0.121607	0.240239	0.135441	0.147990	0.237062	0.117661	0.121607	0.240239	0.135441	0.147990	0.237062	0.117661	0.235287	0.138958	0.125075	0.116135	0.121993	0.262552	0.235287	0.138958	0.125075	0.116135	0.121993	0.262552	0.235287	0.138958	0.125075	0.116135	0.121993	0.262552	
3000	0.092720	2	0.127047	0.242286	0.132209	0.136138	0.242155	0.120164	0.127047	0.242286	0.132209	0.136138	0.242155	0.120164	0.127047	0.242286	0.132209	0.136138	0.242155	0.120164	0.246315	0.124613	0.124101	0.130267	0.113536	0.261169	0.246315	0.124613	0.124101	0.130267	0.113536	0.261169	0.246315	0.124613	0.124101	0.130267	0.113536	0.261169	
4000	0.092720	2	0.125891	0.243730	0.131461	0.140661	0.243119	0.115137	0.125891	0.243730	0.131461	0.140661	0.243119	0.115137	0.125891	0.243730	0.131461	0.140661	0.243119	0.115137	0.236030	0.131780	0.134539	0.128874	0.121281	0.247496	0.236030	0.131780	0.134539	0.128874	0.121281	0.247496	0.236030	0.131780	0.134539	0.128874	0.121281	0.247496	
5000	0.092720	2	0.128330	0.243177	0.128250	0.137235	0.246528	0.116479	0.128330	0.243177	0.128250	0.137235	0.246528	0.116479	0.128330	0.243177	0.128250	0.137235	0.246528	0.116479	0.248785	0.121140	0.122713	0.132187	0.129407	0.245769	0.248785	0.121140	0.122713	0.132187	0.129407	0.245769	0.248785	0.121140	0.122713	0.132187	0.129407	0.245769	
6000	0.092720	2	0.124811	0.238050	0.130248	0.138006	0.246199	0.122686	0.124811	0.238050	0.130248	0.138006	0.246199	0.122686	0.124811	0.238050	0.130248	0.138006	0.246199	0.122686	0.232200	0.136820	0.129469	0.129005	0.125055	0.247451	0.232200	0.136820	0.129469	0.129005	0.125055	0.247451	0.232200	0.136820	0.129469	0.129005	0.125055	0.247451	
7000	0.092720	2	0.124147	0.246265	0.133653	0.138175	0.246269	0.111491	0.124147	0.246265	0.133653	0.138175	0.246269	0.111491	0.124147	0.246265	0.133653	0.138175	0.246269	0.111491	0.251166	0.138746	0.124982	0.123066	0.120721	0.241318	0.251166	0.138746	0.124982	0.123066	0.120721	0.241318	0.251166	0.138746	0.124982	0.123066	0.120721	0.241318	
8000	0.092720	2	0.123830	0.239955	0.133566	0.137638	0.243956	0.121054	0.123830	0.239955	0.133566	0.137638	0.243956	0.121054	0.123830	0.239955	0.133566	0.137638	0.243956	0.121054	0.238543	0.137174	0.130672	0.123617	0.122131	0.247864	0.238543	0.137174	0.130672	0.123617	0.122131	0.247864	0.238543	0.137174	0.130672	0.123617	0.122131	0.247864	
9000	0.092720	2	0.135496	0.238927	0.128161	0.141512	0.233855	0.122049	0.135496	0.238927	0.128161	0.141512	0.233855	0.122049	0.135496	0.238927	0.128161	0.141512	0.233855	0.122049	0.239281	0.142068	0.125543	0.129393	0.112616	0.251098	0.239281	0.142068	0.125543	0.129393	0.112616	0.251098	0.239281	0.142068	0.125543	0.129393	0.112616	0.251098	
10000	0.092720	2	0.126569	0.238345	0.135001	0.143102	0.235280	0.121703	0.126569	0.238345	0.135001	0.143102	0.235280	0.121703	0.126569	0.238345	0.135001	0.143102	0.235280	0.121703	0.230017	0.133895	0.121688	0.131094	0.123132	0.260175	0.230017	0.133895	0.121688	0.131094	0.123132	0.260175	0.230017	0.133895	0.121688	0.131094	0.123132	0.260175	
11000	0.092720	2	0.128875	0.227863	0.129500	0.135459	0.245724	0.132580	0.128875	0.227863	0.129500	0.135459	0.245724	0.132580	0.128875	0.227863	0.129500	0.135459	0.245724	0.132580	0.225745	0.134370	0.126874	0.136225	0.115310	0.261477	0.225745	0.134370	0.126874	0.136225	0.115310	0.261477	0.225745	0.134370	0.126874	0.136225	0.115310	0.261477	
