Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.119303	0.260669	0.138513	0.114243	0.242552	0.124720	0.119303	0.260669	0.138513	0.114243	0.242552	0.124720	0.119303	0.260669	0.138513	0.114243	0.242552	0.124720	0.243189	0.143606	0.138245	0.131113	0.113984	0.229862	0.243189	0.143606	0.138245	0.131113	0.113984	0.229862	0.243189	0.143606	0.138245	0.131113	0.113984	0.229862	
2000	0.092720	2	0.131279	0.231591	0.138145	0.121243	0.240755	0.136988	0.131279	0.231591	0.138145	0.121243	0.240755	0.136988	0.131279	0.231591	0.138145	0.121243	0.240755	0.136988	0.240297	0.124265	0.132895	0.131571	0.117936	0.253036	0.240297	0.124265	0.132895	0.131571	0.117936	0.253036	0.240297	0.124265	0.132895	0.131571	0.117936	0.253036	
3000	0.092720	2	0.134249	0.234419	0.130118	0.118098	0.259237	0.123878	0.134249	0.234419	0.130118	0.118098	0.259237	0.123878	0.134249	0.234419	0.130118	0.118098	0.259237	0.123878	0.245019	0.135699	0.123621	0.133119	0.132057	0.230485	0.245019	0.135699	0.123621	0.133119	0.132057	0.230485	0.245019	0.135699	0.123621	0.133119	0.132057	0.230485	
4000	0.092720	2	0.132202	0.226097	0.133988	0.117582	0.268223	0.121908	0.132202	0.226097	0.133988	0.117582	0.268223	0.121908	0.132202	0.226097	0.133988	0.117582	0.268223	0.121908	0.241652	0.128140	0.122560	0.138867	0.127506	0.241276	0.241652	0.128140	0.122560	0.138867	0.127506	0.241276	0.241652	0.128140	0.122560	0.138867	0.127506	0.241276	
5000	0.092720	2	0.132927	0.236624	0.138454	0.114798	0.265445	0.111752	0.132927	0.236624	0.138454	0.114798	0.265445	0.111752	0.132927	0.236624	0.138454	0.114798	0.265445	0.111752	0.236497	0.129295	0.131067	0.140754	0.117269	0.245118	0.236497	0.129295	0.131067	0.140754	0.117269	0.245118	0.236497	0.129295	0.131067	0.140754	0.117269	0.245118	
6000	0.092720	2	0.133641	0.231327	0.138736	0.129834	0.245737	0.120726	0.133641	0.231327	0.138736	0.129834	0.245737	0.120726	0.133641	0.231327	0.138736	0.129834	0.245737	0.120726	0.237414	0.138980	0.134680	0.134596	0.115746	0.238584	0.237414	0.138980	0.134680	0.134596	0.115746	0.238584	0.237414	0.138980	0.134680	0.134596	0.115746	0.238584	
7000	0.092720	2	0.120050	0.229341	0.134304	0.142284	0.244892	0.129128	0.120050	0.229341	0.134304	0.142284	0.244892	0.129128	0.120050	0.229341	0.134304	0.142284	0.244892	0.129128	0.250926	0.130649	0.119553	0.130960	0.132073	0.235837	0.250926	0.130649	0.119553	0.130960	0.132073	0.235837	0.250926	0.130649	0.119553	0.130960	0.132073	0.235837	
8000	0.092720	2	0.132966	0.231991	0.134393	0.126474	0.253198	0.120979	0.132966	0.231991	0.134393	0.126474	0.253198	0.120979	0.132966	0.231991	0.134393	0.126474	0.253198	0.120979	0.245048	0.133540	0.121481	0.136796	0.123215	0.239921	0.245048	0.133540	0.121481	0.136796	0.123215	0.239921	0.245048	0.133540	0.121481	0.136796	0.123215	0.239921	
9000	0.092720	2	0.138884	0.229042	0.128297	0.119832	0.268565	0.115382	0.138884	0.229042	0.128297	0.119832	0.268565	0.115382	0.138884	0.229042	0.128297	0.119832	0.268565	0.115382	0.254395	0.134526	0.125328	0.125950	0.123177	0.236624	0.254395	0.134526	0.125328	0.125950	0.123177	0.236624	0.254395	0.134526	0.125328	0.125950	0.123177	0.236624	
10000	0.092720	2	0.133577	0.234567	0.131720	0.116449	0.249100	0.134587	0.133577	0.234567	0.131720	0.116449	0.249100	0.134587	0.133577	0.234567	0.131720	0.116449	0.249100	0.134587	0.250668	0.144917	0.131668	0.123996	0.116487	0.232265	0.250668	0.144917	0.131668	0.123996	0.116487	0.232265	0.250668	0.144917	0.131668	0.123996	0.116487	0.232265	
11000	0.092720	2	0.137367	0.234627	0.133318	0.122355	0.247049	0.125284	0.137367	0.234627	0.133318	0.122355	0.247049	0.125284	0.137367	0.234627	0.133318	0.122355	0.247049	0.125284	0.256529	0.133177	0.133955	0.121485	0.117229	0.237623	0.256529	0.133177	0.133955	0.121485	0.117229	0.237623	0.256529	0.133177	0.133955	0.121485	0.117229	0.237623	
12000	0.092720	2	0.124969	0.232585	0.134685	0.132397	0.251195	0.124169	0.124969	0.232585	0.134685	0.132397	0.251195	0.124169	0.124969	0.232585	0.134685	0.132397	0.251195	0.124169	0.255455	0.125938	0.118313	0.135274	0.127307	0.237712	0.255455	0.125938	0.118313	0.135274	0.127307	0.237712	0.255455	0.125938	0.118313	0.135274	0.127307	0.237712	
13000	0.092720	2	0.132460	0.230223	0.135176	0.128114	0.252493	0.121534	0.132460	0.230223	0.135176	0.128114	0.252493	0.121534	0.132460	0.230223	0.135176	0.128114	0.252493	0.121534	0.249749	0.138050	0.124133	0.123241	0.127461	0.237366	0.249749	0.138050	0.124133	0.123241	0.127461	0.237366	0.249749	0.138050	0.124133	0.123241	0.127461	0.237366	
14000	0.092720	2	0.135160	0.236368	0.134473	0.126744	0.243609	0.123646	0.135160	0.236368	0.134473	0.126744	0.243609	0.123646	0.135160	0.236368	0.134473	0.126744	0.243609	0.123646	0.260334	0.136941	0.116911	0.130710	0.120299	0.234806	0.260334	0.136941	0.116911	0.130710	0.120299	0.234806	0.260334	0.136941	0.116911	0.130710	0.120299	0.234806	
