Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.110851	0.230453	0.153228	0.115625	0.242915	0.146929	0.110851	0.230453	0.153228	0.115625	0.242915	0.146929	0.110851	0.230453	0.153228	0.115625	0.242915	0.146929	0.225635	0.122110	0.129133	0.127878	0.137759	0.257486	0.225635	0.122110	0.129133	0.127878	0.137759	0.257486	0.225635	0.122110	0.129133	0.127878	0.137759	0.257486	
2000	0.092720	2	0.117253	0.241861	0.141674	0.125879	0.243328	0.130005	0.117253	0.241861	0.141674	0.125879	0.243328	0.130005	0.117253	0.241861	0.141674	0.125879	0.243328	0.130005	0.217760	0.117758	0.126727	0.135820	0.136698	0.265237	0.217760	0.117758	0.126727	0.135820	0.136698	0.265237	0.217760	0.117758	0.126727	0.135820	0.136698	0.265237	
3000	0.092720	2	0.119305	0.239104	0.132567	0.125933	0.245650	0.137441	0.119305	0.239104	0.132567	0.125933	0.245650	0.137441	0.119305	0.239104	0.132567	0.125933	0.245650	0.137441	0.204774	0.128273	0.132343	0.143977	0.125289	0.265345	0.204774	0.128273	0.132343	0.143977	0.125289	0.265345	0.204774	0.128273	0.132343	0.143977	0.125289	0.265345	
4000	0.092720	2	0.119492	0.260432	0.132174	0.115861	0.243974	0.128067	0.119492	0.260432	0.132174	0.115861	0.243974	0.128067	0.119492	0.260432	0.132174	0.115861	0.243974	0.128067	0.219737	0.128117	0.123353	0.121925	0.139825	0.267043	0.219737	0.128117	0.123353	0.121925	0.139825	0.267043	0.219737	0.128117	0.123353	0.121925	0.139825	0.267043	
5000	0.092720	2	0.114239	0.243019	0.133525	0.124350	0.251271	0.133596	0.114239	0.243019	0.133525	0.124350	0.251271	0.133596	0.114239	0.243019	0.133525	0.124350	0.251271	0.133596	0.232327	0.122853	0.124986	0.123966	0.131882	0.263987	0.232327	0.122853	0.124986	0.123966	0.131882	0.263987	0.232327	0.122853	0.124986	0.123966	0.131882	0.263987	
6000	0.092720	2	0.123442	0.246922	0.138049	0.113730	0.232382	0.145474	0.123442	0.246922	0.138049	0.113730	0.232382	0.145474	0.123442	0.246922	0.138049	0.113730	0.232382	0.145474	0.213365	0.134578	0.128656	0.120185	0.135092	0.268124	0.213365	0.134578	0.128656	0.120185	0.135092	0.268124	0.213365	0.134578	0.128656	0.120185	0.135092	0.268124	
7000	0.092720	2	0.116654	0.255387	0.135958	0.112041	0.230931	0.149029	0.116654	0.255387	0.135958	0.112041	0.230931	0.149029	0.116654	0.255387	0.135958	0.112041	0.230931	0.149029	0.225714	0.123724	0.134678	0.122248	0.130574	0.263063	0.225714	0.123724	0.134678	0.122248	0.130574	0.263063	0.225714	0.123724	0.134678	0.122248	0.130574	0.263063	
8000	0.092720	2	0.107200	0.252119	0.129576	0.125922	0.250202	0.134982	0.107200	0.252119	0.129576	0.125922	0.250202	0.134982	0.107200	0.252119	0.129576	0.125922	0.250202	0.134982	0.215444	0.123598	0.132204	0.125984	0.131418	0.271352	0.215444	0.123598	0.132204	0.125984	0.131418	0.271352	0.215444	0.123598	0.132204	0.125984	0.131418	0.271352	
9000	0.092720	2	0.105496	0.256892	0.128675	0.130574	0.233211	0.145152	0.105496	0.256892	0.128675	0.130574	0.233211	0.145152	0.105496	0.256892	0.128675	0.130574	0.233211	0.145152	0.213570	0.127508	0.125163	0.127395	0.134505	0.271858	0.213570	0.127508	0.125163	0.127395	0.134505	0.271858	0.213570	0.127508	0.125163	0.127395	0.134505	0.271858	
10000	0.092720	2	0.120441	0.254936	0.131214	0.117984	0.238202	0.137223	0.120441	0.254936	0.131214	0.117984	0.238202	0.137223	0.120441	0.254936	0.131214	0.117984	0.238202	0.137223	0.221809	0.127048	0.125994	0.131084	0.122978	0.271087	0.221809	0.127048	0.125994	0.131084	0.122978	0.271087	0.221809	0.127048	0.125994	0.131084	0.122978	0.271087	
