parameter,E(K),ITS,matK 1st,matK 2nd,matK 3rd,HPD
ASRV,1.2,1,1,1,1,7
ASRV,2,1,2,2,2,10
ASRV,3.8,1,2,3,4,8
Base frequencies,1.2,1,1,1,1,2
Base frequencies,2,1,1,1,1,2
Base frequencies,3.8,1,1,1,1,3
Substitution rates,1.2,1,1,1,1,1
Substitution rates,2,1,1,1,1,2
Substitution rates,3.8,1,1,1,1,3
Tree length,1.2,1,2,2,2,1
Tree length,2,1,2,2,2,1
Tree length,3.8,1,2,2,2,1
