Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	0.118577	1	2.050508	2.050508	2.050508	2.050508	
2000	0.118577	1	0.852757	0.852757	0.852757	0.852757	
3000	0.118577	1	0.855924	0.855924	0.855924	0.855924	
4000	0.118577	1	0.844271	0.844271	0.844271	0.844271	
5000	0.118577	1	0.869728	0.869728	0.869728	0.869728	
6000	0.118577	1	0.807609	0.807609	0.807609	0.807609	
7000	0.118577	1	0.880484	0.880484	0.880484	0.880484	
8000	0.118577	1	0.834396	0.834396	0.834396	0.834396	
9000	0.118577	1	0.858692	0.858692	0.858692	0.858692	
10000	0.118577	1	0.870194	0.870194	0.870194	0.870194	
11000	0.118577	1	0.844681	0.844681	0.844681	0.844681	
12000	0.118577	1	0.920365	0.920365	0.920365	0.920365	
13000	0.118577	1	0.819092	0.819092	0.819092	0.819092	
14000	0.118577	1	0.858209	0.858209	0.858209	0.858209	
15000	0.118577	1	0.886524	0.886524	0.886524	0.886524	
16000	0.118577	1	0.868323	0.868323	0.868323	0.868323	
17000	0.118577	1	0.869788	0.869788	0.869788	0.869788	
18000	0.118577	1	0.890134	0.890134	0.890134	0.890134	
19000	0.118577	1	0.957539	0.957539	0.957539	0.957539	
20000	0.118577	1	0.885859	0.885859	0.885859	0.885859	
21000	0.118577	1	0.979547	0.979547	0.979547	0.979547	
22000	0.118577	1	0.876184	0.876184	0.876184	0.876184	
23000	0.118577	1	0.875566	0.875566	0.875566	0.875566	
24000	0.118577	1	0.869956	0.869956	0.869956	0.869956	
25000	0.118577	1	0.939106	0.939106	0.939106	0.939106	
26000	0.118577	1	0.999243	0.999243	0.999243	0.999243	
27000	0.118577	1	0.883105	0.883105	0.883105	0.883105	
28000	0.118577	1	0.841175	0.841175	0.841175	0.841175	
29000	0.118577	1	0.910618	0.910618	0.910618	0.910618	
30000	0.118577	1	0.904178	0.904178	0.904178	0.904178	
31000	0.118577	1	0.942267	0.942267	0.942267	0.942267	
32000	0.118577	1	0.925079	0.925079	0.925079	0.925079	
33000	0.118577	1	1.066960	1.066960	1.066960	1.066960	
34000	0.118577	1	0.936600	0.936600	0.936600	0.936600	
35000	0.118577	1	0.888185	0.888185	0.888185	0.888185	
36000	0.118577	1	0.939037	0.939037	0.939037	0.939037	
37000	0.118577	1	0.847895	0.847895	0.847895	0.847895	
38000	0.118577	1	0.946226	0.946226	0.946226	0.946226	
39000	0.118577	1	0.865653	0.865653	0.865653	0.865653	
40000	0.118577	1	0.919758	0.919758	0.919758	0.919758	
41000	0.118577	1	0.916690	0.916690	0.916690	0.916690	
42000	0.118577	1	0.944854	0.944854	0.944854	0.944854	
43000	0.118577	1	0.848004	0.848004	0.848004	0.848004	
44000	0.118577	1	0.867208	0.867208	0.867208	0.867208	
45000	0.118577	1	0.866598	0.866598	0.866598	0.866598	
46000	0.118577	1	0.922709	0.922709	0.922709	0.922709	
47000	0.118577	1	0.880949	0.880949	0.880949	0.880949	
48000	0.118577	1	0.953985	0.953985	0.953985	0.953985	
49000	0.118577	1	0.846682	0.846682	0.846682	0.846682	
50000	0.118577	1	0.896249	0.896249	0.896249	0.896249	
51000	0.118577	1	0.929929	0.929929	0.929929	0.929929	
52000	0.118577	1	0.888563	0.888563	0.888563	0.888563	
53000	0.118577	1	0.846823	0.846823	0.846823	0.846823	
54000	0.118577	1	0.838572	0.838572	0.838572	0.838572	
55000	0.118577	1	0.920799	0.920799	0.920799	0.920799	
56000	0.118577	1	0.945907	0.945907	0.945907	0.945907	
57000	0.118577	1	0.917203	0.917203	0.917203	0.917203	
58000	0.118577	1	0.953549	0.953549	0.953549	0.953549	
59000	0.118577	1	0.934481	0.934481	0.934481	0.934481	
60000	0.118577	1	0.965510	0.965510	0.965510	0.965510	
61000	0.118577	1	0.871639	0.871639	0.871639	0.871639	
62000	0.118577	1	0.908477	0.908477	0.908477	0.908477	
63000	0.118577	1	0.910912	0.910912	0.910912	0.910912	
64000	0.118577	1	0.862449	0.862449	0.862449	0.862449	
65000	0.118577	1	0.926589	0.926589	0.926589	0.926589	
66000	0.118577	1	0.819480	0.819480	0.819480	0.819480	
67000	0.118577	1	0.873821	0.873821	0.873821	0.873821	
68000	0.118577	1	0.868617	0.868617	0.868617	0.868617	
69000	0.118577	1	0.992281	0.992281	0.992281	0.992281	
70000	0.118577	1	0.909244	0.909244	0.909244	0.909244	
71000	0.118577	1	0.934870	0.934870	0.934870	0.934870	
72000	0.118577	1	1.008964	1.008964	1.008964	1.008964	
73000	0.118577	1	0.947916	0.947916	0.947916	0.947916	
74000	0.118577	1	0.855303	0.855303	0.855303	0.855303	
75000	0.118577	1	0.966242	0.966242	0.966242	0.966242	
76000	0.118577	1	0.875725	0.875725	0.875725	0.875725	
77000	0.118577	1	0.953534	0.953534	0.953534	0.953534	
78000	0.118577	1	0.833682	0.833682	0.833682	0.833682	
79000	0.118577	1	1.028236	1.028236	1.028236	1.028236	
80000	0.118577	1	0.901040	0.901040	0.901040	0.901040	
81000	0.118577	1	0.965825	0.965825	0.965825	0.965825	
82000	0.118577	1	0.839367	0.839367	0.839367	0.839367	
83000	0.118577	1	0.958587	0.958587	0.958587	0.958587	
84000	0.118577	1	0.878974	0.878974	0.878974	0.878974	
85000	0.118577	1	0.918449	0.918449	0.918449	0.918449	
86000	0.118577	1	0.865413	0.865413	0.865413	0.865413	
87000	0.118577	1	0.865996	0.865996	0.865996	0.865996	
88000	0.118577	1	0.917559	0.917559	0.917559	0.917559	
89000	0.118577	1	0.871516	0.871516	0.871516	0.871516	
90000	0.118577	1	0.913704	0.913704	0.913704	0.913704	
