Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	0.118577	1	0.149374	0.183372	0.036610	0.170263	0.333763	0.126619	0.149374	0.183372	0.036610	0.170263	0.333763	0.126619	0.149374	0.183372	0.036610	0.170263	0.333763	0.126619	0.149374	0.183372	0.036610	0.170263	0.333763	0.126619	
2000	0.118577	1	0.120756	0.240793	0.039038	0.192749	0.251578	0.155086	0.120756	0.240793	0.039038	0.192749	0.251578	0.155086	0.120756	0.240793	0.039038	0.192749	0.251578	0.155086	0.120756	0.240793	0.039038	0.192749	0.251578	0.155086	
3000	0.118577	1	0.109745	0.259954	0.039869	0.178775	0.283456	0.128201	0.109745	0.259954	0.039869	0.178775	0.283456	0.128201	0.109745	0.259954	0.039869	0.178775	0.283456	0.128201	0.109745	0.259954	0.039869	0.178775	0.283456	0.128201	
4000	0.118577	1	0.103558	0.214182	0.047470	0.193935	0.288709	0.152145	0.103558	0.214182	0.047470	0.193935	0.288709	0.152145	0.103558	0.214182	0.047470	0.193935	0.288709	0.152145	0.103558	0.214182	0.047470	0.193935	0.288709	0.152145	
5000	0.118577	1	0.128076	0.253067	0.033134	0.218692	0.234942	0.132089	0.128076	0.253067	0.033134	0.218692	0.234942	0.132089	0.128076	0.253067	0.033134	0.218692	0.234942	0.132089	0.128076	0.253067	0.033134	0.218692	0.234942	0.132089	
6000	0.118577	1	0.134857	0.224753	0.025351	0.236805	0.267662	0.110572	0.134857	0.224753	0.025351	0.236805	0.267662	0.110572	0.134857	0.224753	0.025351	0.236805	0.267662	0.110572	0.134857	0.224753	0.025351	0.236805	0.267662	0.110572	
7000	0.118577	1	0.121736	0.233283	0.043152	0.171830	0.292972	0.137028	0.121736	0.233283	0.043152	0.171830	0.292972	0.137028	0.121736	0.233283	0.043152	0.171830	0.292972	0.137028	0.121736	0.233283	0.043152	0.171830	0.292972	0.137028	
8000	0.118577	1	0.132563	0.249514	0.022475	0.211321	0.257699	0.126429	0.132563	0.249514	0.022475	0.211321	0.257699	0.126429	0.132563	0.249514	0.022475	0.211321	0.257699	0.126429	0.132563	0.249514	0.022475	0.211321	0.257699	0.126429	
9000	0.118577	1	0.140567	0.221799	0.046703	0.165326	0.301207	0.124398	0.140567	0.221799	0.046703	0.165326	0.301207	0.124398	0.140567	0.221799	0.046703	0.165326	0.301207	0.124398	0.140567	0.221799	0.046703	0.165326	0.301207	0.124398	
10000	0.118577	1	0.114276	0.237537	0.044304	0.186489	0.264264	0.153129	0.114276	0.237537	0.044304	0.186489	0.264264	0.153129	0.114276	0.237537	0.044304	0.186489	0.264264	0.153129	0.114276	0.237537	0.044304	0.186489	0.264264	0.153129	
11000	0.118577	1	0.118526	0.244270	0.053606	0.200182	0.274118	0.109298	0.118526	0.244270	0.053606	0.200182	0.274118	0.109298	0.118526	0.244270	0.053606	0.200182	0.274118	0.109298	0.118526	0.244270	0.053606	0.200182	0.274118	0.109298	
12000	0.118577	1	0.124734	0.222953	0.033693	0.211671	0.272483	0.134466	0.124734	0.222953	0.033693	0.211671	0.272483	0.134466	0.124734	0.222953	0.033693	0.211671	0.272483	0.134466	0.124734	0.222953	0.033693	0.211671	0.272483	0.134466	
13000	0.118577	1	0.116567	0.250391	0.031625	0.214339	0.246018	0.141060	0.116567	0.250391	0.031625	0.214339	0.246018	0.141060	0.116567	0.250391	0.031625	0.214339	0.246018	0.141060	0.116567	0.250391	0.031625	0.214339	0.246018	0.141060	
14000	0.118577	1	0.131834	0.233474	0.035239	0.193511	0.272633	0.133309	0.131834	0.233474	0.035239	0.193511	0.272633	0.133309	0.131834	0.233474	0.035239	0.193511	0.272633	0.133309	0.131834	0.233474	0.035239	0.193511	0.272633	0.133309	
15000	0.118577	1	0.195878	0.220962	0.047654	0.174236	0.222267	0.139004	0.195878	0.220962	0.047654	0.174236	0.222267	0.139004	0.195878	0.220962	0.047654	0.174236	0.222267	0.139004	0.195878	0.220962	0.047654	0.174236	0.222267	0.139004	
16000	0.118577	1	0.127433	0.241411	0.030312	0.201924	0.255876	0.143044	0.127433	0.241411	0.030312	0.201924	0.255876	0.143044	0.127433	0.241411	0.030312	0.201924	0.255876	0.143044	0.127433	0.241411	0.030312	0.201924	0.255876	0.143044	
17000	0.118577	1	0.124118	0.263137	0.033736	0.187975	0.246808	0.144225	0.124118	0.263137	0.033736	0.187975	0.246808	0.144225	0.124118	0.263137	0.033736	0.187975	0.246808	0.144225	0.124118	0.263137	0.033736	0.187975	0.246808	0.144225	
18000	0.118577	1	0.118888	0.203166	0.039116	0.190837	0.294253	0.153740	0.118888	0.203166	0.039116	0.190837	0.294253	0.153740	0.118888	0.203166	0.039116	0.190837	0.294253	0.153740	0.118888	0.203166	0.039116	0.190837	0.294253	0.153740	
19000	0.118577	1	0.131557	0.257223	0.030789	0.163093	0.271928	0.145410	0.131557	0.257223	0.030789	0.163093	0.271928	0.145410	0.131557	0.257223	0.030789	0.163093	0.271928	0.145410	0.131557	0.257223	0.030789	0.163093	0.271928	0.145410	
20000	0.118577	1	0.120137	0.217600	0.039154	0.217899	0.267854	0.137356	0.120137	0.217600	0.039154	0.217899	0.267854	0.137356	0.120137	0.217600	0.039154	0.217899	0.267854	0.137356	0.120137	0.217600	0.039154	0.217899	0.267854	0.137356	
