Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	0.118577	1	0.282617	0.213867	0.213971	0.289545	0.282617	0.213867	0.213971	0.289545	0.282617	0.213867	0.213971	0.289545	0.282617	0.213867	0.213971	0.289545	
2000	0.118577	2	0.234521	0.235520	0.221491	0.308469	0.280376	0.188411	0.193951	0.337262	0.280376	0.188411	0.193951	0.337262	0.280376	0.188411	0.193951	0.337262	
3000	0.118577	1	0.295168	0.210900	0.179241	0.314691	0.295168	0.210900	0.179241	0.314691	0.295168	0.210900	0.179241	0.314691	0.295168	0.210900	0.179241	0.314691	
4000	0.118577	1	0.254029	0.201406	0.205505	0.339061	0.254029	0.201406	0.205505	0.339061	0.254029	0.201406	0.205505	0.339061	0.254029	0.201406	0.205505	0.339061	
5000	0.118577	1	0.286233	0.213817	0.185433	0.314517	0.286233	0.213817	0.185433	0.314517	0.286233	0.213817	0.185433	0.314517	0.286233	0.213817	0.185433	0.314517	
6000	0.118577	1	0.314717	0.173916	0.190231	0.321136	0.314717	0.173916	0.190231	0.321136	0.314717	0.173916	0.190231	0.321136	0.314717	0.173916	0.190231	0.321136	
7000	0.118577	1	0.285093	0.208441	0.196386	0.310079	0.285093	0.208441	0.196386	0.310079	0.285093	0.208441	0.196386	0.310079	0.285093	0.208441	0.196386	0.310079	
8000	0.118577	2	0.301480	0.207502	0.185148	0.305869	0.301480	0.207502	0.185148	0.305869	0.311644	0.191260	0.139990	0.357107	0.311644	0.191260	0.139990	0.357107	
9000	0.118577	1	0.294914	0.186059	0.198655	0.320371	0.294914	0.186059	0.198655	0.320371	0.294914	0.186059	0.198655	0.320371	0.294914	0.186059	0.198655	0.320371	
10000	0.118577	1	0.285539	0.212183	0.195709	0.306570	0.285539	0.212183	0.195709	0.306570	0.285539	0.212183	0.195709	0.306570	0.285539	0.212183	0.195709	0.306570	
11000	0.118577	1	0.279988	0.178328	0.201075	0.340609	0.279988	0.178328	0.201075	0.340609	0.279988	0.178328	0.201075	0.340609	0.279988	0.178328	0.201075	0.340609	
12000	0.118577	1	0.289477	0.198100	0.196926	0.315497	0.289477	0.198100	0.196926	0.315497	0.289477	0.198100	0.196926	0.315497	0.289477	0.198100	0.196926	0.315497	
13000	0.118577	1	0.281625	0.217400	0.178240	0.322736	0.281625	0.217400	0.178240	0.322736	0.281625	0.217400	0.178240	0.322736	0.281625	0.217400	0.178240	0.322736	
14000	0.118577	1	0.304819	0.187103	0.188388	0.319690	0.304819	0.187103	0.188388	0.319690	0.304819	0.187103	0.188388	0.319690	0.304819	0.187103	0.188388	0.319690	
15000	0.118577	1	0.294691	0.201641	0.193311	0.310358	0.294691	0.201641	0.193311	0.310358	0.294691	0.201641	0.193311	0.310358	0.294691	0.201641	0.193311	0.310358	
16000	0.118577	1	0.293378	0.198454	0.192358	0.315809	0.293378	0.198454	0.192358	0.315809	0.293378	0.198454	0.192358	0.315809	0.293378	0.198454	0.192358	0.315809	
17000	0.118577	1	0.291399	0.209488	0.176675	0.322438	0.291399	0.209488	0.176675	0.322438	0.291399	0.209488	0.176675	0.322438	0.291399	0.209488	0.176675	0.322438	
18000	0.118577	1	0.304380	0.200734	0.204931	0.289955	0.304380	0.200734	0.204931	0.289955	0.304380	0.200734	0.204931	0.289955	0.304380	0.200734	0.204931	0.289955	
19000	0.118577	2	0.295079	0.216126	0.198214	0.290581	0.295079	0.216126	0.198214	0.290581	0.295079	0.216126	0.198214	0.290581	0.340254	0.150168	0.197668	0.311910	
20000	0.118577	1	0.304807	0.212017	0.170350	0.312826	0.304807	0.212017	0.170350	0.312826	0.304807	0.212017	0.170350	0.312826	0.304807	0.212017	0.170350	0.312826	
21000	0.118577	1	0.276237	0.197467	0.210238	0.316058	0.276237	0.197467	0.210238	0.316058	0.276237	0.197467	0.210238	0.316058	0.276237	0.197467	0.210238	0.316058	
22000	0.118577	1	0.285387	0.207478	0.194152	0.312982	0.285387	0.207478	0.194152	0.312982	0.285387	0.207478	0.194152	0.312982	0.285387	0.207478	0.194152	0.312982	
23000	0.118577	1	0.272412	0.209841	0.183792	0.333955	0.272412	0.209841	0.183792	0.333955	0.272412	0.209841	0.183792	0.333955	0.272412	0.209841	0.183792	0.333955	
24000	0.118577	1	0.278105	0.214686	0.201600	0.305609	0.278105	0.214686	0.201600	0.305609	0.278105	0.214686	0.201600	0.305609	0.278105	0.214686	0.201600	0.305609	
25000	0.118577	1	0.293968	0.214639	0.177606	0.313788	0.293968	0.214639	0.177606	0.313788	0.293968	0.214639	0.177606	0.313788	0.293968	0.214639	0.177606	0.313788	
26000	0.118577	1	0.283196	0.214832	0.193729	0.308243	0.283196	0.214832	0.193729	0.308243	0.283196	0.214832	0.193729	0.308243	0.283196	0.214832	0.193729	0.308243	
27000	0.118577	1	0.299313	0.190572	0.194008	0.316108	0.299313	0.190572	0.194008	0.316108	0.299313	0.190572	0.194008	0.316108	0.299313	0.190572	0.194008	0.316108	
28000	0.118577	1	0.298695	0.238492	0.156578	0.306235	0.298695	0.238492	0.156578	0.306235	0.298695	0.238492	0.156578	0.306235	0.298695	0.238492	0.156578	0.306235	
29000	0.118577	1	0.298120	0.194192	0.200409	0.307279	0.298120	0.194192	0.200409	0.307279	0.298120	0.194192	0.200409	0.307279	0.298120	0.194192	0.200409	0.307279	
30000	0.118577	1	0.285718	0.217775	0.194499	0.302008	0.285718	0.217775	0.194499	0.302008	0.285718	0.217775	0.194499	0.302008	0.285718	0.217775	0.194499	0.302008	
31000	0.118577	1	0.291161	0.219213	0.176283	0.313343	0.291161	0.219213	0.176283	0.313343	0.291161	0.219213	0.176283	0.313343	0.291161	0.219213	0.176283	0.313343	
32000	0.118577	1	0.294759	0.192526	0.207861	0.304854	0.294759	0.192526	0.207861	0.304854	0.294759	0.192526	0.207861	0.304854	0.294759	0.192526	0.207861	0.304854	
33000	0.118577	1	0.291815	0.203545	0.188802	0.315838	0.291815	0.203545	0.188802	0.315838	0.291815	0.203545	0.188802	0.315838	0.291815	0.203545	0.188802	0.315838	
34000	0.118577	1	0.268733	0.197016	0.204955	0.329296	0.268733	0.197016	0.204955	0.329296	0.268733	0.197016	0.204955	0.329296	0.268733	0.197016	0.204955	0.329296	
35000	0.118577	1	0.268142	0.221036	0.185799	0.325023	0.268142	0.221036	0.185799	0.325023	0.268142	0.221036	0.185799	0.325023	0.268142	0.221036	0.185799	0.325023	
36000	0.118577	1	0.282829	0.212756	0.186610	0.317805	0.282829	0.212756	0.186610	0.317805	0.282829	0.212756	0.186610	0.317805	0.282829	0.212756	0.186610	0.317805	
37000	0.118577	1	0.293450	0.208503	0.182258	0.315789	0.293450	0.208503	0.182258	0.315789	0.293450	0.208503	0.182258	0.315789	0.293450	0.208503	0.182258	0.315789	
38000	0.118577	2	0.282079	0.233911	0.213186	0.270825	0.282079	0.233911	0.213186	0.270825	0.337624	0.154977	0.144731	0.362669	0.337624	0.154977	0.144731	0.362669	
39000	0.118577	1	0.287251	0.191322	0.202735	0.318692	0.287251	0.191322	0.202735	0.318692	0.287251	0.191322	0.202735	0.318692	0.287251	0.191322	0.202735	0.318692	
40000	0.118577	1	0.301189	0.221818	0.181191	0.295802	0.301189	0.221818	0.181191	0.295802	0.301189	0.221818	0.181191	0.295802	0.301189	0.221818	0.181191	0.295802	
41000	0.118577	2	0.237966	0.199153	0.316611	0.246271	0.275647	0.196839	0.198528	0.328985	0.275647	0.196839	0.198528	0.328985	0.275647	0.196839	0.198528	0.328985	
42000	0.118577	1	0.308717	0.195277	0.183210	0.312796	0.308717	0.195277	0.183210	0.312796	0.308717	0.195277	0.183210	0.312796	0.308717	0.195277	0.183210	0.312796	
43000	0.118577	1	0.289171	0.211775	0.203720	0.295335	0.289171	0.211775	0.203720	0.295335	0.289171	0.211775	0.203720	0.295335	0.289171	0.211775	0.203720	0.295335	
44000	0.118577	1	0.279700	0.211482	0.198998	0.309820	0.279700	0.211482	0.198998	0.309820	0.279700	0.211482	0.198998	0.309820	0.279700	0.211482	0.198998	0.309820	
45000	0.118577	1	0.295038	0.212472	0.177942	0.314548	0.295038	0.212472	0.177942	0.314548	0.295038	0.212472	0.177942	0.314548	0.295038	0.212472	0.177942	0.314548	
46000	0.118577	1	0.275574	0.215705	0.172244	0.336477	0.275574	0.215705	0.172244	0.336477	0.275574	0.215705	0.172244	0.336477	0.275574	0.215705	0.172244	0.336477	
47000	0.118577	1	0.320642	0.202778	0.196578	0.280001	0.320642	0.202778	0.196578	0.280001	0.320642	0.202778	0.196578	0.280001	0.320642	0.202778	0.196578	0.280001	
48000	0.118577	1	0.290515	0.201185	0.212049	0.296251	0.290515	0.201185	0.212049	0.296251	0.290515	0.201185	0.212049	0.296251	0.290515	0.201185	0.212049	0.296251	
49000	0.118577	1	0.298669	0.197391	0.163470	0.340471	0.298669	0.197391	0.163470	0.340471	0.298669	0.197391	0.163470	0.340471	0.298669	0.197391	0.163470	0.340471	
50000	0.118577	1	0.282935	0.220689	0.190393	0.305983	0.282935	0.220689	0.190393	0.305983	0.282935	0.220689	0.190393	0.305983	0.282935	0.220689	0.190393	0.305983	
51000	0.118577	1	0.293781	0.205011	0.178136	0.323071	0.293781	0.205011	0.178136	0.323071	0.293781	0.205011	0.178136	0.323071	0.293781	0.205011	0.178136	0.323071	
52000	0.118577	1	0.290778	0.206911	0.181391	0.320920	0.290778	0.206911	0.181391	0.320920	0.290778	0.206911	0.181391	0.320920	0.290778	0.206911	0.181391	0.320920	
53000	0.118577	1	0.297869	0.202752	0.182919	0.316461	0.297869	0.202752	0.182919	0.316461	0.297869	0.202752	0.182919	0.316461	0.297869	0.202752	0.182919	0.316461	
54000	0.118577	1	0.296207	0.209029	0.178152	0.316611	0.296207	0.209029	0.178152	0.316611	0.296207	0.209029	0.178152	0.316611	0.296207	0.209029	0.178152	0.316611	
55000	0.118577	1	0.297649	0.216496	0.190342	0.295513	0.297649	0.216496	0.190342	0.295513	0.297649	0.216496	0.190342	0.295513	0.297649	0.216496	0.190342	0.295513	
56000	0.118577	1	0.299291	0.210279	0.201398	0.289032	0.299291	0.210279	0.201398	0.289032	0.299291	0.210279	0.201398	0.289032	0.299291	0.210279	0.201398	0.289032	
57000	0.118577	1	0.296221	0.202318	0.176245	0.325216	0.296221	0.202318	0.176245	0.325216	0.296221	0.202318	0.176245	0.325216	0.296221	0.202318	0.176245	0.325216	
58000	0.118577	1	0.299629	0.199218	0.187106	0.314047	0.299629	0.199218	0.187106	0.314047	0.299629	0.199218	0.187106	0.314047	0.299629	0.199218	0.187106	0.314047	
59000	0.118577	1	0.296510	0.203333	0.182198	0.317959	0.296510	0.203333	0.182198	0.317959	0.296510	0.203333	0.182198	0.317959	0.296510	0.203333	0.182198	0.317959	
60000	0.118577	1	0.297773	0.197299	0.186348	0.318580	0.297773	0.197299	0.186348	0.318580	0.297773	0.197299	0.186348	0.318580	0.297773	0.197299	0.186348	0.318580	
61000	0.118577	1	0.275970	0.202470	0.215801	0.305760	0.275970	0.202470	0.215801	0.305760	0.275970	0.202470	0.215801	0.305760	0.275970	0.202470	0.215801	0.305760	
62000	0.118577	1	0.278327	0.198149	0.198801	0.324723	0.278327	0.198149	0.198801	0.324723	0.278327	0.198149	0.198801	0.324723	0.278327	0.198149	0.198801	0.324723	
