Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	0.118577	3	0.579653	0.180608	0.180608	0.349325	
2000	0.118577	1	0.352613	0.352613	0.352613	0.352613	
3000	0.118577	1	0.392232	0.392232	0.392232	0.392232	
4000	0.118577	1	0.390156	0.390156	0.390156	0.390156	
5000	0.118577	1	0.382353	0.382353	0.382353	0.382353	
6000	0.118577	1	0.415208	0.415208	0.415208	0.415208	
7000	0.118577	1	0.422794	0.422794	0.422794	0.422794	
8000	0.118577	2	0.409176	0.418791	0.418791	0.418791	
9000	0.118577	1	0.339596	0.339596	0.339596	0.339596	
10000	0.118577	1	0.397523	0.397523	0.397523	0.397523	
11000	0.118577	1	0.395114	0.395114	0.395114	0.395114	
12000	0.118577	1	0.319478	0.319478	0.319478	0.319478	
13000	0.118577	1	0.348613	0.348613	0.348613	0.348613	
14000	0.118577	1	0.425157	0.425157	0.425157	0.425157	
15000	0.118577	1	0.379017	0.379017	0.379017	0.379017	
16000	0.118577	1	0.399830	0.399830	0.399830	0.399830	
17000	0.118577	1	0.387641	0.387641	0.387641	0.387641	
18000	0.118577	1	0.368379	0.368379	0.368379	0.368379	
19000	0.118577	1	0.358848	0.358848	0.358848	0.358848	
20000	0.118577	1	0.400794	0.400794	0.400794	0.400794	
21000	0.118577	1	0.386264	0.386264	0.386264	0.386264	
22000	0.118577	2	0.378085	0.410040	0.410040	0.410040	
23000	0.118577	1	0.415324	0.415324	0.415324	0.415324	
24000	0.118577	1	0.373633	0.373633	0.373633	0.373633	
25000	0.118577	1	0.375742	0.375742	0.375742	0.375742	
26000	0.118577	1	0.360521	0.360521	0.360521	0.360521	
27000	0.118577	1	0.479977	0.479977	0.479977	0.479977	
28000	0.118577	2	0.329635	0.329635	0.329635	0.643798	
29000	0.118577	1	0.394933	0.394933	0.394933	0.394933	
30000	0.118577	1	0.380346	0.380346	0.380346	0.380346	
31000	0.118577	2	0.338347	0.338347	0.338347	0.750399	
32000	0.118577	1	0.384837	0.384837	0.384837	0.384837	
33000	0.118577	1	0.400552	0.400552	0.400552	0.400552	
34000	0.118577	1	0.350883	0.350883	0.350883	0.350883	
35000	0.118577	1	0.406757	0.406757	0.406757	0.406757	
36000	0.118577	1	0.405565	0.405565	0.405565	0.405565	
37000	0.118577	1	0.376220	0.376220	0.376220	0.376220	
38000	0.118577	1	0.352184	0.352184	0.352184	0.352184	
39000	0.118577	1	0.385631	0.385631	0.385631	0.385631	
40000	0.118577	1	0.380971	0.380971	0.380971	0.380971	
41000	0.118577	1	0.320848	0.320848	0.320848	0.320848	
42000	0.118577	1	0.403169	0.403169	0.403169	0.403169	
43000	0.118577	2	0.306741	0.306741	0.306741	0.416050	
44000	0.118577	1	0.402747	0.402747	0.402747	0.402747	
45000	0.118577	1	0.370148	0.370148	0.370148	0.370148	
46000	0.118577	1	0.379378	0.379378	0.379378	0.379378	
47000	0.118577	1	0.355040	0.355040	0.355040	0.355040	
48000	0.118577	1	0.312050	0.312050	0.312050	0.312050	
49000	0.118577	1	0.362541	0.362541	0.362541	0.362541	
50000	0.118577	1	0.390859	0.390859	0.390859	0.390859	
51000	0.118577	1	0.391994	0.391994	0.391994	0.391994	
52000	0.118577	1	0.368472	0.368472	0.368472	0.368472	
53000	0.118577	1	0.353351	0.353351	0.353351	0.353351	
54000	0.118577	1	0.364724	0.364724	0.364724	0.364724	
55000	0.118577	1	0.363565	0.363565	0.363565	0.363565	
56000	0.118577	1	0.345407	0.345407	0.345407	0.345407	
57000	0.118577	1	0.330560	0.330560	0.330560	0.330560	
58000	0.118577	2	0.298983	0.368714	0.368714	0.368714	
59000	0.118577	1	0.375233	0.375233	0.375233	0.375233	
60000	0.118577	1	0.364774	0.364774	0.364774	0.364774	
61000	0.118577	1	0.385697	0.385697	0.385697	0.385697	
62000	0.118577	1	0.326108	0.326108	0.326108	0.326108	
63000	0.118577	2	0.354454	0.354454	0.354454	0.542067	
64000	0.118577	2	0.296067	0.296067	0.296067	0.458002	
65000	0.118577	1	0.389556	0.389556	0.389556	0.389556	
66000	0.118577	1	0.355196	0.355196	0.355196	0.355196	
67000	0.118577	2	0.384758	0.342625	0.342625	0.342625	
68000	0.118577	1	0.364217	0.364217	0.364217	0.364217	
69000	0.118577	1	0.328584	0.328584	0.328584	0.328584	
70000	0.118577	1	0.383165	0.383165	0.383165	0.383165	
71000	0.118577	1	0.362328	0.362328	0.362328	0.362328	
72000	0.118577	1	0.368514	0.368514	0.368514	0.368514	
73000	0.118577	1	0.334401	0.334401	0.334401	0.334401	
74000	0.118577	1	0.343589	0.343589	0.343589	0.343589	
75000	0.118577	1	0.301824	0.301824	0.301824	0.301824	
76000	0.118577	1	0.388271	0.388271	0.388271	0.388271	
77000	0.118577	1	0.332148	0.332148	0.332148	0.332148	
78000	0.118577	2	0.310340	0.310340	0.310340	0.516745	
79000	0.118577	1	0.341754	0.341754	0.341754	0.341754	
80000	0.118577	1	0.349673	0.349673	0.349673	0.349673	
81000	0.118577	1	0.377896	0.377896	0.377896	0.377896	
82000	0.118577	1	0.399251	0.399251	0.399251	0.399251	
83000	0.118577	1	0.333772	0.333772	0.333772	0.333772	
84000	0.118577	1	0.325552	0.325552	0.325552	0.325552	
85000	0.118577	1	0.413206	0.413206	0.413206	0.413206	
86000	0.118577	2	0.320723	0.440781	0.320723	0.440781	
87000	0.118577	1	0.344420	0.344420	0.344420	0.344420	
