Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	0.092720	3	12.255498	12.255498	24.326371	10.576507	10.576507	24.326371	
2000	0.092720	3	11.220050	11.220050	25.062504	9.578324	9.578324	25.062504	
3000	0.092720	3	11.434396	11.434396	24.283107	9.051422	9.051422	24.283107	
4000	0.092720	3	11.768591	11.768591	22.965232	9.022732	9.022732	22.965232	
5000	0.092720	4	9.919505	11.149739	22.256873	8.987093	9.919505	22.256873	
6000	0.092720	4	9.479519	10.684249	23.593054	8.707418	9.479519	23.593054	
7000	0.092720	3	10.511393	10.511393	22.033525	8.838174	8.838174	22.033525	
8000	0.092720	3	11.364223	11.364223	21.733496	8.326002	8.326002	21.733496	
9000	0.092720	3	10.972979	10.972979	22.327389	8.428849	8.428849	22.327389	
10000	0.092720	3	11.326053	11.326053	20.645737	8.447870	8.447870	20.645737	
11000	0.092720	3	11.116488	11.116488	21.535695	8.100065	8.100065	21.535695	
12000	0.092720	3	11.447104	11.447104	21.617536	8.770798	8.770798	21.617536	
13000	0.092720	4	11.151309	11.151309	21.772176	8.298034	9.288989	21.772176	
14000	0.092720	3	10.986221	10.986221	21.525006	8.965903	8.965903	21.525006	
15000	0.092720	4	11.455745	11.455745	21.963074	7.942692	9.126488	21.963074	
16000	0.092720	3	11.097713	11.097713	21.526207	8.033421	8.033421	21.526207	
17000	0.092720	3	11.808717	11.808717	21.385782	8.678813	8.678813	21.385782	
18000	0.092720	3	11.838307	11.838307	22.280973	8.406074	8.406074	22.280973	
19000	0.092720	4	11.769443	11.769443	21.995332	8.012450	9.868252	21.995332	
20000	0.092720	3	11.562909	11.562909	22.050174	8.199139	8.199139	22.050174	
21000	0.092720	3	11.066027	11.066027	21.981658	8.592272	8.592272	21.981658	
22000	0.092720	3	11.097538	11.097538	21.673968	8.204531	8.204531	21.673968	
23000	0.092720	3	11.414888	11.414888	21.667546	8.775110	8.775110	21.667546	
24000	0.092720	4	11.383274	11.383274	21.272408	8.726043	10.588938	21.272408	
25000	0.092720	4	11.402830	11.402830	21.650141	8.935155	8.874757	21.650141	
26000	0.092720	3	12.395343	12.395343	22.895618	8.792474	8.792474	22.895618	
27000	0.092720	3	12.181063	12.181063	22.253971	8.699571	8.699571	22.253971	
28000	0.092720	3	12.112719	12.112719	21.323542	8.450498	8.450498	21.323542	
29000	0.092720	3	11.911594	11.911594	22.144525	8.602565	8.602565	22.144525	
30000	0.092720	3	11.579871	11.579871	22.412389	8.856707	8.856707	22.412389	
31000	0.092720	3	11.598405	11.598405	21.471455	9.213465	9.213465	21.471455	
32000	0.092720	3	12.105275	12.105275	22.660348	8.606644	8.606644	22.660348	
33000	0.092720	3	11.565374	11.565374	22.402832	8.783479	8.783479	22.402832	
34000	0.092720	3	11.213844	11.213844	22.242952	8.450122	8.450122	22.242952	
35000	0.092720	3	11.893269	11.893269	21.971482	8.770016	8.770016	21.971482	
