Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	0.092720	3	11.050783	8.106517	22.271416	8.106517	11.050783	22.271416	
2000	0.092720	4	11.118147	7.676753	19.088387	7.676753	9.095418	19.088387	
3000	0.092720	3	10.571161	6.937189	18.648572	6.937189	10.571161	18.648572	
4000	0.092720	4	10.873044	6.845836	19.056808	6.845836	9.522104	19.056808	
5000	0.092720	4	10.719062	6.798390	19.153472	6.798390	8.316038	19.153472	
6000	0.092720	4	10.554026	6.724758	18.756209	6.724758	9.330137	18.756209	
7000	0.092720	4	10.034807	6.597155	19.085631	6.597155	8.364992	19.085631	
8000	0.092720	4	10.721251	6.424457	18.180877	6.424457	9.340585	18.180877	
9000	0.092720	4	10.384061	6.808718	17.649772	6.808718	8.283751	17.649772	
10000	0.092720	3	9.527749	7.165041	18.156620	7.165041	9.527749	18.156620	
11000	0.092720	3	9.538374	6.591782	17.934825	6.591782	9.538374	17.934825	
12000	0.092720	3	9.869556	6.532878	17.884262	6.532878	9.869556	17.884262	
13000	0.092720	3	9.678472	7.142345	18.311058	7.142345	9.678472	18.311058	
14000	0.092720	3	9.456965	6.548728	17.383602	6.548728	9.456965	17.383602	
15000	0.092720	3	9.327662	6.423001	17.187171	6.423001	9.327662	17.187171	
16000	0.092720	3	8.783967	6.376887	17.209306	6.376887	8.783967	17.209306	
17000	0.092720	3	9.357471	6.399220	17.030729	6.399220	9.357471	17.030729	
18000	0.092720	3	9.238322	6.441300	17.142927	6.441300	9.238322	17.142927	
19000	0.092720	3	9.438124	6.358234	16.301679	6.358234	9.438124	16.301679	
20000	0.092720	3	9.159578	6.179495	16.422841	6.179495	9.159578	16.422841	
21000	0.092720	3	9.107842	6.286754	16.240657	6.286754	9.107842	16.240657	
22000	0.092720	3	8.748515	6.250570	15.766417	6.250570	8.748515	15.766417	
23000	0.092720	3	9.021011	6.102403	15.933912	6.102403	9.021011	15.933912	
24000	0.092720	3	8.732023	6.003171	15.902113	6.003171	8.732023	15.902113	
25000	0.092720	3	9.389990	5.848866	15.646359	5.848866	9.389990	15.646359	
26000	0.092720	3	9.060326	6.042625	15.789706	6.042625	9.060326	15.789706	
27000	0.092720	3	8.978977	6.111348	16.444777	6.111348	8.978977	16.444777	
28000	0.092720	3	9.096686	6.088051	16.453983	6.088051	9.096686	16.453983	
29000	0.092720	3	9.592463	6.382268	16.082693	6.382268	9.592463	16.082693	
30000	0.092720	3	9.351994	5.965926	16.348768	5.965926	9.351994	16.348768	
31000	0.092720	3	9.578659	6.146159	16.582391	6.146159	9.578659	16.582391	
32000	0.092720	3	8.598589	6.021212	16.160642	6.021212	8.598589	16.160642	
33000	0.092720	3	9.085472	6.271450	16.665922	6.271450	9.085472	16.665922	
34000	0.092720	3	8.396493	6.152589	16.365863	6.152589	8.396493	16.365863	
35000	0.092720	3	9.365939	6.222522	16.345220	6.222522	9.365939	16.345220	
36000	0.092720	3	8.864795	6.174448	16.302066	6.174448	8.864795	16.302066	
37000	0.092720	3	9.380570	5.919975	15.654626	5.919975	9.380570	15.654626	
38000	0.092720	3	8.935875	6.128258	16.066888	6.128258	8.935875	16.066888	
39000	0.092720	3	9.584776	5.939672	16.234203	5.939672	9.584776	16.234203	
40000	0.092720	3	9.475741	6.128091	15.819600	6.128091	9.475741	15.819600	
41000	0.092720	3	8.872012	6.193590	16.016708	6.193590	8.872012	16.016708	
42000	0.092720	3	9.199893	5.854254	16.345096	5.854254	9.199893	16.345096	
43000	0.092720	4	8.812636	6.017558	16.230435	6.017558	9.662913	16.230435	
44000	0.092720	3	9.232335	6.146497	15.859825	6.146497	9.232335	15.859825	
45000	0.092720	3	9.274212	6.343853	15.631636	6.343853	9.274212	15.631636	
46000	0.092720	3	9.405428	6.157268	15.677743	6.157268	9.405428	15.677743	
47000	0.092720	3	9.344047	6.274226	16.077173	6.274226	9.344047	16.077173	
