Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	0.092720	3	0.195984	0.054986	0.738987	0.738987	0.054986	0.195984	
2000	0.092720	3	0.188747	0.055350	0.699725	0.699725	0.055350	0.188747	
3000	0.092720	3	0.191427	0.057546	0.690887	0.690887	0.057546	0.191427	
4000	0.092720	3	0.185664	0.057624	0.718403	0.718403	0.057624	0.185664	
5000	0.092720	3	0.176295	0.058834	0.705219	0.705219	0.058834	0.176295	
6000	0.092720	3	0.181475	0.056435	0.653587	0.653587	0.056435	0.181475	
7000	0.092720	3	0.189056	0.059837	0.720945	0.720945	0.059837	0.189056	
8000	0.092720	4	0.185744	0.059933	0.727148	0.705062	0.059933	0.185744	
9000	0.092720	3	0.185773	0.060342	0.776370	0.776370	0.060342	0.185773	
10000	0.092720	3	0.184398	0.058257	0.731200	0.731200	0.058257	0.184398	
11000	0.092720	3	0.191236	0.061576	0.703403	0.703403	0.061576	0.191236	
12000	0.092720	3	0.201369	0.060729	0.787969	0.787969	0.060729	0.201369	
13000	0.092720	3	0.193668	0.062063	0.749633	0.749633	0.062063	0.193668	
14000	0.092720	3	0.193620	0.061951	0.743266	0.743266	0.061951	0.193620	
15000	0.092720	3	0.195426	0.066289	0.732840	0.732840	0.066289	0.195426	
16000	0.092720	3	0.182508	0.058928	0.755081	0.755081	0.058928	0.182508	
17000	0.092720	3	0.190747	0.062452	0.727756	0.727756	0.062452	0.190747	
18000	0.092720	3	0.193884	0.061274	0.701592	0.701592	0.061274	0.193884	
19000	0.092720	3	0.192564	0.060623	0.730215	0.730215	0.060623	0.192564	
20000	0.092720	3	0.193991	0.060496	0.767707	0.767707	0.060496	0.193991	
21000	0.092720	3	0.189635	0.060924	0.771558	0.771558	0.060924	0.189635	
22000	0.092720	3	0.186744	0.063780	0.755218	0.755218	0.063780	0.186744	
23000	0.092720	3	0.189377	0.065479	0.777292	0.777292	0.065479	0.189377	
24000	0.092720	3	0.189168	0.064259	0.814931	0.814931	0.064259	0.189168	
25000	0.092720	3	0.197103	0.064152	0.734991	0.734991	0.064152	0.197103	
26000	0.092720	3	0.191405	0.060646	0.751875	0.751875	0.060646	0.191405	
27000	0.092720	3	0.189022	0.065809	0.745543	0.745543	0.065809	0.189022	
28000	0.092720	3	0.187555	0.062130	0.760076	0.760076	0.062130	0.187555	
29000	0.092720	3	0.199888	0.064479	0.812971	0.812971	0.064479	0.199888	
30000	0.092720	3	0.190325	0.062449	0.746908	0.746908	0.062449	0.190325	
31000	0.092720	3	0.191256	0.062595	0.804921	0.804921	0.062595	0.191256	
32000	0.092720	3	0.186399	0.063267	0.786639	0.786639	0.063267	0.186399	
33000	0.092720	3	0.193006	0.061743	0.733032	0.733032	0.061743	0.193006	
34000	0.092720	3	0.191570	0.062510	0.791293	0.791293	0.062510	0.191570	
35000	0.092720	3	0.190604	0.062760	0.785061	0.785061	0.062760	0.190604	
36000	0.092720	3	0.185477	0.065385	0.763257	0.763257	0.065385	0.185477	
37000	0.092720	3	0.190009	0.065285	0.802957	0.802957	0.065285	0.190009	
38000	0.092720	4	0.184805	0.066140	0.794559	0.824922	0.066140	0.184805	
39000	0.092720	3	0.189582	0.063817	0.787758	0.787758	0.063817	0.189582	
40000	0.092720	3	0.189349	0.063611	0.776017	0.776017	0.063611	0.189349	
41000	0.092720	3	0.189901	0.064848	0.769202	0.769202	0.064848	0.189901	
