Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	0.092720	3	0.199656	0.066474	0.736002	0.736002	0.066474	0.199656	
2000	0.092720	3	0.198710	0.066667	0.846741	0.846741	0.066667	0.198710	
3000	0.092720	3	0.206878	0.066788	0.774785	0.774785	0.066788	0.206878	
4000	0.092720	3	0.209595	0.070705	0.833840	0.833840	0.070705	0.209595	
5000	0.092720	3	0.201307	0.069513	0.839974	0.839974	0.069513	0.201307	
6000	0.092720	3	0.204218	0.064532	0.805947	0.805947	0.064532	0.204218	
7000	0.092720	3	0.203164	0.066223	0.872797	0.872797	0.066223	0.203164	
8000	0.092720	3	0.207914	0.067884	0.816014	0.816014	0.067884	0.207914	
9000	0.092720	3	0.216964	0.067215	0.837769	0.837769	0.067215	0.216964	
10000	0.092720	3	0.198114	0.068930	0.838306	0.838306	0.068930	0.198114	
11000	0.092720	3	0.204193	0.065359	0.838822	0.838822	0.065359	0.204193	
12000	0.092720	3	0.206418	0.065998	0.814858	0.814858	0.065998	0.206418	
13000	0.092720	3	0.211343	0.066082	0.748649	0.748649	0.066082	0.211343	
14000	0.092720	3	0.208537	0.068237	0.818246	0.818246	0.068237	0.208537	
15000	0.092720	3	0.205531	0.068170	0.847041	0.847041	0.068170	0.205531	
16000	0.092720	3	0.199669	0.064447	0.867062	0.867062	0.064447	0.199669	
17000	0.092720	3	0.209394	0.069666	0.845315	0.845315	0.069666	0.209394	
18000	0.092720	3	0.194811	0.066205	0.857658	0.857658	0.066205	0.194811	
19000	0.092720	3	0.197488	0.068252	0.830606	0.830606	0.068252	0.197488	
20000	0.092720	3	0.202470	0.067794	0.895939	0.895939	0.067794	0.202470	
21000	0.092720	3	0.201503	0.070699	0.821808	0.821808	0.070699	0.201503	
22000	0.092720	3	0.205896	0.070938	0.806301	0.806301	0.070938	0.205896	
23000	0.092720	3	0.204211	0.066727	0.829503	0.829503	0.066727	0.204211	
24000	0.092720	3	0.203515	0.066468	0.822405	0.822405	0.066468	0.203515	
25000	0.092720	3	0.210294	0.069528	0.838765	0.838765	0.069528	0.210294	
26000	0.092720	3	0.212595	0.069388	0.853580	0.853580	0.069388	0.212595	
27000	0.092720	3	0.208359	0.071650	0.815624	0.815624	0.071650	0.208359	
28000	0.092720	3	0.219557	0.067126	0.823591	0.823591	0.067126	0.219557	
29000	0.092720	3	0.200699	0.063723	0.830092	0.830092	0.063723	0.200699	
30000	0.092720	3	0.199352	0.064011	0.792183	0.792183	0.064011	0.199352	
31000	0.092720	3	0.210979	0.066495	0.790602	0.790602	0.066495	0.210979	
32000	0.092720	3	0.207902	0.067178	0.812356	0.812356	0.067178	0.207902	
33000	0.092720	3	0.200194	0.065948	0.848972	0.848972	0.065948	0.200194	
34000	0.092720	3	0.205554	0.069516	0.857575	0.857575	0.069516	0.205554	
35000	0.092720	3	0.207540	0.069492	0.814828	0.814828	0.069492	0.207540	
36000	0.092720	3	0.207688	0.066211	0.803438	0.803438	0.066211	0.207688	
37000	0.092720	3	0.194987	0.069479	0.866374	0.866374	0.069479	0.194987	
38000	0.092720	3	0.201964	0.071240	0.799653	0.799653	0.071240	0.201964	
39000	0.092720	3	0.211289	0.068116	0.821552	0.821552	0.068116	0.211289	
40000	0.092720	3	0.203771	0.070691	0.811542	0.811542	0.070691	0.203771	
41000	0.092720	3	0.211418	0.066691	0.883417	0.883417	0.066691	0.211418	
42000	0.092720	3	0.206731	0.067771	0.815636	0.815636	0.067771	0.206731	
43000	0.092720	3	0.210170	0.064306	0.770808	0.770808	0.064306	0.210170	
44000	0.092720	3	0.211999	0.068342	0.823069	0.823069	0.068342	0.211999	
45000	0.092720	3	0.211161	0.064280	0.841650	0.841650	0.064280	0.211161	
46000	0.092720	3	0.217027	0.065895	0.841269	0.841269	0.065895	0.217027	
47000	0.092720	3	0.209548	0.064496	0.850010	0.850010	0.064496	0.209548	
48000	0.092720	3	0.205804	0.067177	0.865977	0.865977	0.067177	0.205804	
49000	0.092720	4	0.211490	0.067146	0.815027	0.891255	0.067146	0.211490	
