Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1279000	0.092720	3	0.181595	0.070169	0.862348	0.862348	0.070169	0.181595	
1280000	0.092720	3	0.189542	0.065749	0.893950	0.893950	0.065749	0.189542	
1281000	0.092720	3	0.193709	0.066847	0.881921	0.881921	0.066847	0.193709	
1282000	0.092720	3	0.194587	0.066228	0.877943	0.877943	0.066228	0.194587	
1283000	0.092720	3	0.195401	0.064826	0.832243	0.832243	0.064826	0.195401	
1284000	0.092720	3	0.210016	0.069122	0.828330	0.828330	0.069122	0.210016	
1285000	0.092720	3	0.173015	0.064594	0.866602	0.866602	0.064594	0.173015	
1286000	0.092720	3	0.197597	0.068263	0.822171	0.822171	0.068263	0.197597	
1287000	0.092720	3	0.189904	0.064303	0.869237	0.869237	0.064303	0.189904	
1288000	0.092720	3	0.201805	0.067160	0.860665	0.860665	0.067160	0.201805	
1289000	0.092720	3	0.191068	0.069259	0.887340	0.887340	0.069259	0.191068	
1290000	0.092720	4	0.174498	0.064198	0.852586	0.852586	0.064198	0.202621	
1291000	0.092720	3	0.188416	0.065992	0.837881	0.837881	0.065992	0.188416	
1292000	0.092720	3	0.201825	0.066803	0.829209	0.829209	0.066803	0.201825	
1293000	0.092720	3	0.197410	0.063672	0.866316	0.866316	0.063672	0.197410	
1294000	0.092720	3	0.199540	0.068337	0.853514	0.853514	0.068337	0.199540	
1295000	0.092720	3	0.192936	0.067070	0.836589	0.836589	0.067070	0.192936	
1296000	0.092720	3	0.195539	0.065529	0.819478	0.819478	0.065529	0.195539	
1297000	0.092720	4	0.169962	0.066313	0.810605	0.810605	0.066313	0.206971	
1298000	0.092720	3	0.197897	0.065318	0.838885	0.838885	0.065318	0.197897	
1299000	0.092720	3	0.189609	0.066800	0.800493	0.800493	0.066800	0.189609	
1300000	0.092720	3	0.190787	0.063984	0.837281	0.837281	0.063984	0.190787	
1301000	0.092720	4	0.175461	0.066330	0.878384	0.878384	0.066330	0.183271	
1302000	0.092720	3	0.198195	0.064799	0.780401	0.780401	0.064799	0.198195	
1303000	0.092720	3	0.195329	0.069453	0.838859	0.838859	0.069453	0.195329	
1304000	0.092720	3	0.198425	0.064439	0.813671	0.813671	0.064439	0.198425	
1305000	0.092720	4	0.185328	0.065573	0.855117	0.855117	0.065573	0.173462	
1306000	0.092720	4	0.165435	0.067925	0.812637	0.812637	0.067925	0.201522	
1307000	0.092720	3	0.194008	0.069437	0.845357	0.845357	0.069437	0.194008	
1308000	0.092720	3	0.192246	0.067312	0.807972	0.807972	0.067312	0.192246	
1309000	0.092720	3	0.188872	0.067915	0.885030	0.885030	0.067915	0.188872	
1310000	0.092720	3	0.158118	0.069457	0.830250	0.830250	0.069457	0.158118	
1311000	0.092720	3	0.189716	0.064101	0.860406	0.860406	0.064101	0.189716	
1312000	0.092720	3	0.198261	0.072143	0.884530	0.884530	0.072143	0.198261	
1313000	0.092720	3	0.207963	0.067970	0.806612	0.806612	0.067970	0.207963	
1314000	0.092720	3	0.193443	0.063411	0.848484	0.848484	0.063411	0.193443	
1315000	0.092720	3	0.186069	0.066123	0.844908	0.844908	0.066123	0.186069	
1316000	0.092720	4	0.149794	0.065510	0.841910	0.841910	0.065510	0.264724	
1317000	0.092720	3	0.184985	0.067622	0.887996	0.887996	0.067622	0.184985	
1318000	0.092720	3	0.193351	0.066301	0.845466	0.845466	0.066301	0.193351	
1319000	0.092720	3	0.188548	0.068834	0.844644	0.844644	0.068834	0.188548	
1320000	0.092720	3	0.192822	0.066645	0.830647	0.830647	0.066645	0.192822	
1321000	0.092720	3	0.189406	0.066233	0.823968	0.823968	0.066233	0.189406	
1322000	0.092720	3	0.182982	0.065122	0.874731	0.874731	0.065122	0.182982	
1323000	0.092720	4	0.176530	0.062892	0.836339	0.836339	0.062892	0.192899	
1324000	0.092720	4	0.171946	0.069913	0.840233	0.840233	0.069913	0.196630	
1325000	0.092720	3	0.191473	0.067973	0.872761	0.872761	0.067973	0.191473	
1326000	0.092720	3	0.200568	0.068000	0.855951	0.855951	0.068000	0.200568	
1327000	0.092720	3	0.187894	0.067177	0.879966	0.879966	0.067177	0.187894	
1328000	0.092720	3	0.191323	0.067819	0.866648	0.866648	0.067819	0.191323	
1329000	0.092720	3	0.198017	0.067851	0.827552	0.827552	0.067851	0.198017	
1330000	0.092720	3	0.205395	0.066880	0.836819	0.836819	0.066880	0.205395	
1331000	0.092720	3	0.194849	0.065179	0.861846	0.861846	0.065179	0.194849	
1332000	0.092720	3	0.195978	0.065344	0.873159	0.873159	0.065344	0.195978	
1333000	0.092720	3	0.177094	0.065492	0.860700	0.860700	0.065492	0.177094	
1334000	0.092720	4	0.170208	0.063263	0.870942	0.870942	0.063263	0.204945	
