Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
1000	100.687501	3	14.868236	19.478975	9.186914	9.186914	9.186914	9.186914	9.186914	
2000	100.687501	2	7.189326	17.188376	7.189326	7.189326	7.189326	7.189326	7.189326	
3000	100.687501	2	5.870543	17.841455	5.870543	5.870543	5.870543	5.870543	5.870543	
4000	100.687501	4	6.120578	17.660401	6.120578	6.120578	16.515687	16.394436	6.120578	
5000	100.687501	2	5.564190	16.075109	5.564190	5.564190	5.564190	5.564190	5.564190	
6000	100.687501	2	6.064219	18.283436	6.064219	6.064219	6.064219	6.064219	6.064219	
7000	100.687501	4	6.345854	18.146555	6.345854	6.345854	16.881748	16.012072	6.345854	
8000	100.687501	4	6.673282	18.213057	6.673282	6.673282	16.448888	14.964022	6.673282	
9000	100.687501	4	6.101348	18.274242	6.101348	6.101348	15.997787	14.800325	6.101348	
10000	100.687501	5	7.052783	19.221383	7.052783	14.162008	16.499105	16.525389	7.052783	
11000	100.687501	4	6.406685	17.520025	6.406685	6.406685	14.998158	18.385017	6.406685	
12000	100.687501	4	6.099067	20.844469	6.099067	6.099067	15.303015	16.631932	6.099067	
13000	100.687501	5	6.065294	17.892744	6.065294	15.576850	18.080152	17.631587	6.065294	
14000	100.687501	4	6.099055	18.887804	6.099055	6.099055	14.553656	17.253249	6.099055	
15000	100.687501	3	5.788722	16.891420	5.788722	5.788722	5.788722	18.733833	5.788722	
16000	100.687501	2	5.240805	17.838369	5.240805	5.240805	5.240805	5.240805	5.240805	
17000	100.687501	2	5.549444	18.586306	5.549444	5.549444	5.549444	5.549444	5.549444	
18000	100.687501	3	5.422447	19.451150	5.422447	5.422447	5.422447	16.662352	5.422447	
19000	100.687501	2	5.379905	19.260842	5.379905	5.379905	5.379905	5.379905	5.379905	
20000	100.687501	2	5.290398	14.709063	5.290398	5.290398	5.290398	14.709063	5.290398	
21000	100.687501	2	5.671944	17.253974	5.671944	5.671944	5.671944	5.671944	5.671944	
22000	100.687501	2	5.029023	19.030776	5.029023	5.029023	5.029023	5.029023	5.029023	
23000	100.687501	2	5.716238	17.577629	5.716238	5.716238	5.716238	5.716238	5.716238	
24000	100.687501	2	5.657296	17.145041	5.657296	5.657296	5.657296	5.657296	5.657296	
25000	100.687501	2	5.233105	18.399976	5.233105	5.233105	5.233105	5.233105	5.233105	
26000	100.687501	2	4.581733	19.331071	4.581733	4.581733	4.581733	4.581733	4.581733	
27000	100.687501	2	5.500355	18.937832	5.500355	5.500355	5.500355	5.500355	5.500355	
28000	100.687501	2	5.483717	17.839400	5.483717	5.483717	5.483717	5.483717	5.483717	
29000	100.687501	2	5.090878	17.373724	5.090878	5.090878	5.090878	5.090878	5.090878	
30000	100.687501	2	5.023175	17.801215	5.023175	5.023175	5.023175	5.023175	5.023175	
31000	100.687501	2	5.554235	18.415633	5.554235	5.554235	5.554235	5.554235	5.554235	
32000	100.687501	2	5.884694	18.515638	5.884694	5.884694	5.884694	5.884694	5.884694	
33000	100.687501	4	5.460253	19.463834	5.460253	17.236808	5.460253	17.216349	5.460253	
34000	100.687501	2	5.708581	19.532038	5.708581	5.708581	5.708581	5.708581	5.708581	
35000	100.687501	3	5.601608	15.959280	5.601608	14.326454	5.601608	5.601608	5.601608	
36000	100.687501	2	4.995503	16.478379	4.995503	4.995503	4.995503	4.995503	4.995503	
37000	100.687501	3	5.875299	18.662209	5.875299	5.875299	5.875299	18.855813	5.875299	
38000	100.687501	2	5.429797	20.738048	5.429797	5.429797	5.429797	5.429797	5.429797	
39000	100.687501	2	5.929654	18.889559	5.929654	5.929654	5.929654	5.929654	5.929654	
40000	100.687501	2	6.080792	16.971413	6.080792	6.080792	6.080792	6.080792	6.080792	
41000	100.687501	2	6.112875	19.336842	6.112875	6.112875	6.112875	6.112875	6.112875	
42000	100.687501	2	5.530832	18.002356	5.530832	5.530832	5.530832	5.530832	5.530832	
43000	100.687501	2	5.209866	17.705237	5.209866	5.209866	5.209866	5.209866	5.209866	
44000	100.687501	3	5.935448	17.377887	5.935448	5.935448	5.935448	15.097298	5.935448	
45000	100.687501	2	5.530096	16.505635	5.530096	5.530096	5.530096	5.530096	5.530096	
46000	100.687501	2	5.121585	17.687765	5.121585	5.121585	5.121585	5.121585	5.121585	
47000	100.687501	2	5.624914	16.754445	5.624914	5.624914	5.624914	5.624914	5.624914	
48000	100.687501	4	5.749697	19.149849	5.749697	16.745753	5.749697	17.653174	5.749697	
49000	100.687501	2	5.571793	17.814512	5.571793	5.571793	5.571793	5.571793	5.571793	
50000	100.687501	2	5.175150	18.858755	5.175150	5.175150	5.175150	5.175150	5.175150	
51000	100.687501	2	5.637605	19.198149	5.637605	5.637605	5.637605	5.637605	5.637605	
52000	100.687501	2	5.527796	17.804842	5.527796	5.527796	5.527796	5.527796	5.527796	
53000	100.687501	2	5.558078	18.490474	5.558078	5.558078	5.558078	5.558078	5.558078	
54000	100.687501	2	5.209101	18.176730	5.209101	5.209101	5.209101	5.209101	5.209101	
55000	100.687501	2	5.405657	18.304482	5.405657	5.405657	5.405657	5.405657	5.405657	
56000	100.687501	2	5.505550	18.529515	5.505550	5.505550	5.505550	5.505550	5.505550	
57000	100.687501	2	5.809740	17.922478	5.809740	5.809740	5.809740	5.809740	5.809740	
58000	100.687501	2	5.336310	18.893072	5.336310	5.336310	5.336310	5.336310	5.336310	
59000	100.687501	2	5.579621	19.995214	5.579621	5.579621	5.579621	5.579621	5.579621	
60000	100.687501	2	5.878995	19.238919	5.878995	5.878995	5.878995	5.878995	5.878995	
61000	100.687501	2	5.557305	19.639636	5.557305	5.557305	5.557305	5.557305	5.557305	
