Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
1000	100.687501	4	0.269487	0.698564	0.269487	0.136832	0.181468	0.136832	0.698564	
2000	100.687501	5	0.287419	0.654106	0.287419	0.147991	0.231179	0.170801	0.654106	
3000	100.687501	5	0.241941	1.198603	0.241941	0.176429	0.206239	0.176429	0.930780	
4000	100.687501	3	0.272422	1.073270	0.272422	0.110899	0.110899	0.110899	1.073270	
5000	100.687501	5	0.248149	0.995655	0.248149	0.153342	0.282294	0.153342	0.830142	
6000	100.687501	3	0.280087	0.844279	0.280087	0.170376	0.170376	0.170376	0.844279	
7000	100.687501	6	0.221899	1.498206	0.212897	0.105295	0.104719	0.105295	1.134069	
8000	100.687501	5	0.321315	1.098451	0.258846	0.112856	0.112856	0.112856	0.839959	
9000	100.687501	4	0.330433	1.424649	0.241759	0.116120	0.116120	0.116120	1.424649	
10000	100.687501	5	0.281148	1.323964	0.281148	0.105727	0.105727	0.095334	1.293273	
11000	100.687501	4	0.262705	1.141066	0.262705	0.101339	0.101339	0.107667	1.141066	
12000	100.687501	4	0.238455	1.479181	0.238455	0.117467	0.117467	0.112178	1.479181	
13000	100.687501	4	0.305507	1.347973	0.305507	0.104454	0.104454	0.104454	0.989018	
14000	100.687501	5	0.267505	1.349501	0.267505	0.114639	0.107746	0.114639	1.137077	
15000	100.687501	3	0.250671	2.064173	0.250671	0.128672	0.128672	0.128672	2.064173	
16000	100.687501	6	0.269741	1.718895	0.324332	0.121942	0.166828	0.166828	1.153244	
17000	100.687501	4	0.250246	1.412116	0.250246	0.137852	0.250246	0.151309	1.412116	
18000	100.687501	5	0.236548	1.511303	0.254302	0.121166	0.167430	0.121166	1.511303	
19000	100.687501	6	0.323294	1.146837	0.297615	0.135708	0.217384	0.135708	2.076405	
20000	100.687501	3	0.245917	1.811986	0.245917	0.123705	0.245917	0.123705	1.811986	
