Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1000	0.085832	3	0.074276	0.331872	0.086636	0.075524	0.430739	0.000954	0.074276	0.331872	0.086636	0.075524	0.430739	0.000954	0.039226	0.370866	0.038771	0.039562	0.370653	0.140921	0.069928	0.372880	0.094593	0.237298	0.198656	0.026644	0.069928	0.372880	0.094593	0.237298	0.198656	0.026644	0.069928	0.372880	0.094593	0.237298	0.198656	0.026644	0.039226	0.370866	0.038771	0.039562	0.370653	0.140921	
2000	0.085832	1	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	0.076935	0.372630	0.094398	0.074407	0.364828	0.016802	
3000	0.085832	2	0.070658	0.397681	0.069186	0.045637	0.383766	0.033072	0.070658	0.397681	0.069186	0.045637	0.383766	0.033072	0.070658	0.397681	0.069186	0.045637	0.383766	0.033072	0.087541	0.197545	0.137673	0.220091	0.301476	0.055673	0.087541	0.197545	0.137673	0.220091	0.301476	0.055673	0.070658	0.397681	0.069186	0.045637	0.383766	0.033072	0.070658	0.397681	0.069186	0.045637	0.383766	0.033072	
4000	0.085832	2	0.066131	0.393869	0.070930	0.030983	0.394055	0.044032	0.066131	0.393869	0.070930	0.030983	0.394055	0.044032	0.066131	0.393869	0.070930	0.030983	0.394055	0.044032	0.074791	0.294600	0.096274	0.153951	0.304764	0.075620	0.074791	0.294600	0.096274	0.153951	0.304764	0.075620	0.074791	0.294600	0.096274	0.153951	0.304764	0.075620	0.066131	0.393869	0.070930	0.030983	0.394055	0.044032	
5000	0.085832	2	0.066537	0.385428	0.067869	0.036027	0.399670	0.044468	0.066537	0.385428	0.067869	0.036027	0.399670	0.044468	0.066537	0.385428	0.067869	0.036027	0.399670	0.044468	0.079714	0.410647	0.109846	0.152528	0.202240	0.045026	0.079714	0.410647	0.109846	0.152528	0.202240	0.045026	0.079714	0.410647	0.109846	0.152528	0.202240	0.045026	0.066537	0.385428	0.067869	0.036027	0.399670	0.044468	
6000	0.085832	2	0.069055	0.372831	0.066607	0.039928	0.406374	0.045204	0.069055	0.372831	0.066607	0.039928	0.406374	0.045204	0.069055	0.372831	0.066607	0.039928	0.406374	0.045204	0.079553	0.378147	0.073603	0.221960	0.183201	0.063538	0.079553	0.378147	0.073603	0.221960	0.183201	0.063538	0.079553	0.378147	0.073603	0.221960	0.183201	0.063538	0.069055	0.372831	0.066607	0.039928	0.406374	0.045204	
7000	0.085832	2	0.057194	0.414119	0.057523	0.036384	0.388394	0.046386	0.057194	0.414119	0.057523	0.036384	0.388394	0.046386	0.057194	0.414119	0.057523	0.036384	0.388394	0.046386	0.045981	0.356972	0.087434	0.229942	0.216238	0.063434	0.045981	0.356972	0.087434	0.229942	0.216238	0.063434	0.045981	0.356972	0.087434	0.229942	0.216238	0.063434	0.057194	0.414119	0.057523	0.036384	0.388394	0.046386	
8000	0.085832	2	0.065460	0.413120	0.054992	0.032128	0.382626	0.051675	0.065460	0.413120	0.054992	0.032128	0.382626	0.051675	0.065460	0.413120	0.054992	0.032128	0.382626	0.051675	0.079369	0.351544	0.079545	0.224488	0.216281	0.048773	0.079369	0.351544	0.079545	0.224488	0.216281	0.048773	0.079369	0.351544	0.079545	0.224488	0.216281	0.048773	0.065460	0.413120	0.054992	0.032128	0.382626	0.051675	
9000	0.085832	2	0.064593	0.405294	0.062996	0.033272	0.388975	0.044870	0.064593	0.405294	0.062996	0.033272	0.388975	0.044870	0.064593	0.405294	0.062996	0.033272	0.388975	0.044870	0.078188	0.364834	0.143916	0.183968	0.182171	0.046922	0.078188	0.364834	0.143916	0.183968	0.182171	0.046922	0.078188	0.364834	0.143916	0.183968	0.182171	0.046922	0.064593	0.405294	0.062996	0.033272	0.388975	0.044870	
10000	0.085832	2	0.062692	0.411439	0.058943	0.024212	0.389700	0.053015	0.062692	0.411439	0.058943	0.024212	0.389700	0.053015	0.062692	0.411439	0.058943	0.024212	0.389700	0.053015	0.110439	0.330940	0.113120	0.159241	0.233992	0.052267	0.110439	0.330940	0.113120	0.159241	0.233992	0.052267	0.110439	0.330940	0.113120	0.159241	0.233992	0.052267	0.062692	0.411439	0.058943	0.024212	0.389700	0.053015	
