Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
9287000	0.085832	3	0.261935	1.444893	0.261935	0.158103	0.158103	0.158103	1.444893	
9288000	0.085832	3	0.250192	1.534704	0.250192	0.159645	0.159645	0.159645	1.534704	
9289000	0.085832	3	0.268757	1.480482	0.268757	0.143325	0.143325	0.143325	1.480482	
9290000	0.085832	3	0.262149	1.615483	0.262149	0.144466	0.144466	0.144466	1.615483	
9291000	0.085832	3	0.269180	1.307954	0.269180	0.152672	0.152672	0.152672	1.307954	
9292000	0.085832	3	0.278462	1.413591	0.278462	0.150713	0.150713	0.150713	1.413591	
9293000	0.085832	3	0.274349	1.286789	0.274349	0.172043	0.172043	0.172043	1.286789	
9294000	0.085832	3	0.278370	1.484084	0.278370	0.156475	0.156475	0.156475	1.484084	
9295000	0.085832	3	0.270972	1.364880	0.270972	0.155901	0.155901	0.155901	1.364880	
9296000	0.085832	4	0.262884	1.383451	0.262884	0.149088	0.173966	0.173966	1.383451	
9297000	0.085832	3	0.259537	1.449257	0.259537	0.156707	0.156707	0.156707	1.449257	
9298000	0.085832	3	0.281397	1.350241	0.281397	0.147790	0.147790	0.147790	1.350241	
9299000	0.085832	3	0.291661	1.710426	0.291661	0.151640	0.151640	0.151640	1.710426	
9300000	0.085832	3	0.269629	1.272553	0.269629	0.155167	0.155167	0.155167	1.272553	
9301000	0.085832	3	0.261153	1.383888	0.261153	0.152309	0.152309	0.152309	1.383888	
9302000	0.085832	3	0.291941	1.553984	0.291941	0.154508	0.154508	0.154508	1.553984	
9303000	0.085832	3	0.291301	1.533624	0.291301	0.148205	0.148205	0.148205	1.533624	
9304000	0.085832	4	0.260118	1.369583	0.260118	0.117662	0.151545	0.151545	1.369583	
9305000	0.085832	3	0.251791	1.461194	0.251791	0.156665	0.156665	0.156665	1.461194	
9306000	0.085832	3	0.255011	1.442638	0.255011	0.162594	0.162594	0.162594	1.442638	
9307000	0.085832	3	0.298131	1.415670	0.298131	0.143007	0.143007	0.143007	1.415670	
9308000	0.085832	3	0.257724	1.423791	0.257724	0.161117	0.257724	0.161117	1.423791	
9309000	0.085832	3	0.273114	1.141789	0.273114	0.143282	0.143282	0.143282	1.141789	
9310000	0.085832	3	0.255743	1.223289	0.255743	0.148627	0.148627	0.148627	1.223289	
9311000	0.085832	3	0.257697	1.590797	0.257697	0.145979	0.145979	0.145979	1.590797	
9312000	0.085832	3	0.246116	1.385118	0.246116	0.165362	0.165362	0.165362	1.385118	
9313000	0.085832	4	0.280486	1.514450	0.280486	0.117297	0.164045	0.164045	1.514450	
9314000	0.085832	3	0.257504	1.428241	0.257504	0.158101	0.158101	0.158101	1.428241	
9315000	0.085832	3	0.278802	1.424652	0.278802	0.137864	0.137864	0.137864	1.424652	
9316000	0.085832	3	0.281009	1.184031	0.281009	0.145984	0.145984	0.145984	1.184031	
9317000	0.085832	3	0.237958	1.083230	0.237958	0.153091	0.153091	0.153091	1.083230	
9318000	0.085832	3	0.271830	1.106065	0.271830	0.154704	0.154704	0.154704	1.106065	
9319000	0.085832	3	0.271450	1.796735	0.271450	0.157365	0.157365	0.157365	1.796735	
9320000	0.085832	3	0.256372	1.420726	0.256372	0.138699	0.138699	0.138699	1.420726	
9321000	0.085832	3	0.262672	1.559120	0.262672	0.152421	0.152421	0.152421	1.559120	
9322000	0.085832	3	0.281960	1.664736	0.281960	0.161504	0.161504	0.161504	1.664736	
9323000	0.085832	3	0.253150	1.407483	0.253150	0.156005	0.156005	0.156005	1.407483	
9324000	0.085832	3	0.282072	1.521677	0.282072	0.148415	0.148415	0.148415	1.521677	
9325000	0.085832	3	0.259996	1.367202	0.259996	0.150020	0.150020	0.150020	1.367202	
9326000	0.085832	3	0.243023	1.577159	0.243023	0.152872	0.152872	0.152872	1.577159	
