Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
1000	0.085832	3	0.240696	0.662961	0.240696	0.142283	0.240696	0.142283	0.662961	
2000	0.085832	3	0.246345	1.350802	0.246345	0.166925	0.166925	0.166925	1.350802	
3000	0.085832	3	0.206566	1.261344	0.206566	0.145608	0.206566	0.145608	1.261344	
4000	0.085832	3	0.242082	1.125118	0.242082	0.218987	0.218987	0.218987	1.125118	
5000	0.085832	3	0.279495	1.091670	0.279495	0.149407	0.149407	0.149407	1.091670	
6000	0.085832	3	0.249475	1.467794	0.249475	0.155628	0.155628	0.155628	1.467794	
7000	0.085832	3	0.271965	1.329234	0.271965	0.156305	0.156305	0.156305	1.329234	
8000	0.085832	4	0.247669	1.381146	0.247669	0.097978	0.247669	0.144017	1.381146	
9000	0.085832	4	0.267616	1.247260	0.232020	0.195207	0.232020	0.195207	1.247260	
10000	0.085832	3	0.263606	1.221297	0.263606	0.159268	0.159268	0.159268	1.221297	
11000	0.085832	4	0.254052	1.285214	0.254052	0.125693	0.198933	0.198933	1.285214	
12000	0.085832	3	0.295546	1.219584	0.295546	0.143744	0.143744	0.143744	1.219584	
13000	0.085832	3	0.281583	1.273193	0.281583	0.202977	0.202977	0.202977	1.273193	
14000	0.085832	3	0.263098	1.148086	0.263098	0.170406	0.170406	0.170406	1.148086	
15000	0.085832	4	0.273824	1.385220	0.273824	0.134434	0.161215	0.161215	1.385220	
16000	0.085832	4	0.284228	1.031117	0.284228	0.150399	0.167369	0.150399	1.031117	
17000	0.085832	3	0.254808	1.331285	0.254808	0.151942	0.254808	0.151942	1.331285	
18000	0.085832	3	0.265593	1.237002	0.265593	0.150097	0.150097	0.150097	1.237002	
19000	0.085832	3	0.260516	1.168900	0.260516	0.146137	0.146137	0.146137	1.168900	
20000	0.085832	4	0.240388	1.086278	0.240388	0.114334	0.173433	0.173433	1.086278	
21000	0.085832	3	0.268925	1.015592	0.268925	0.146548	0.146548	0.146548	1.015592	
22000	0.085832	3	0.275553	1.391392	0.275553	0.143538	0.275553	0.143538	1.391392	
23000	0.085832	4	0.249622	1.215728	0.249622	0.115982	0.249622	0.217157	1.215728	
24000	0.085832	3	0.271794	1.211065	0.271794	0.155292	0.155292	0.155292	1.211065	
25000	0.085832	3	0.256758	1.100069	0.256758	0.160437	0.160437	0.160437	1.100069	
26000	0.085832	3	0.263446	1.060735	0.263446	0.178852	0.178852	0.178852	1.060735	
27000	0.085832	3	0.260702	1.140859	0.260702	0.145390	0.145390	0.145390	1.140859	
28000	0.085832	3	0.276963	1.168336	0.276963	0.155115	0.155115	0.155115	1.168336	
29000	0.085832	3	0.239951	1.301868	0.239951	0.163398	0.163398	0.163398	1.301868	
30000	0.085832	3	0.268563	1.130992	0.268563	0.163155	0.163155	0.163155	1.130992	
31000	0.085832	4	0.273368	1.063921	0.273368	0.157727	0.151697	0.151697	1.063921	
32000	0.085832	3	0.255470	1.369140	0.255470	0.175855	0.175855	0.175855	1.369140	
33000	0.085832	3	0.254569	1.304224	0.254569	0.168755	0.168755	0.168755	1.304224	
34000	0.085832	3	0.263800	1.051969	0.263800	0.115122	0.263800	0.115122	1.051969	
35000	0.085832	3	0.249243	1.325070	0.249243	0.144783	0.249243	0.144783	1.325070	
36000	0.085832	3	0.259297	1.134910	0.259297	0.148787	0.148787	0.148787	1.134910	
37000	0.085832	3	0.265597	0.878417	0.265597	0.143459	0.143459	0.143459	0.878417	
38000	0.085832	4	0.258011	1.009717	0.258011	0.115124	0.154392	0.154392	1.009717	
39000	0.085832	3	0.283579	1.169143	0.283579	0.155448	0.155448	0.155448	1.169143	
40000	0.085832	4	0.292644	1.213499	0.292644	0.119371	0.167356	0.167356	1.213499	
41000	0.085832	4	0.263620	1.096500	0.263620	0.152968	0.152968	0.152968	1.357076	
42000	0.085832	3	0.272344	1.224168	0.272344	0.152093	0.152093	0.152093	1.224168	
43000	0.085832	3	0.290702	1.110137	0.290702	0.176665	0.176665	0.176665	1.110137	
44000	0.085832	3	0.264906	1.151849	0.264906	0.146428	0.146428	0.146428	1.151849	
45000	0.085832	3	0.274356	0.904591	0.274356	0.195098	0.195098	0.195098	0.904591	
46000	0.085832	3	0.272483	0.980284	0.272483	0.147933	0.147933	0.147933	0.980284	
47000	0.085832	4	0.269210	1.048873	0.269210	0.132431	0.172256	0.172256	1.048873	
48000	0.085832	3	0.263962	1.102341	0.263962	0.146942	0.146942	0.146942	1.102341	
49000	0.085832	4	0.252006	1.107719	0.252006	0.131389	0.153354	0.153354	1.107719	
50000	0.085832	3	0.259530	1.263314	0.259530	0.154744	0.154744	0.154744	1.263314	
51000	0.085832	3	0.241168	1.160408	0.241168	0.163426	0.163426	0.163426	1.160408	
52000	0.085832	3	0.258017	1.555552	0.258017	0.157542	0.157542	0.157542	1.555552	
53000	0.085832	3	0.283584	1.168229	0.283584	0.142249	0.142249	0.142249	1.168229	
54000	0.085832	3	0.257121	1.255784	0.257121	0.174182	0.174182	0.174182	1.255784	
55000	0.085832	3	0.259570	1.408418	0.259570	0.156840	0.156840	0.156840	1.408418	
56000	0.085832	3	0.271813	1.395673	0.271813	0.158825	0.158825	0.158825	1.395673	
57000	0.085832	3	0.270019	1.052134	0.270019	0.149546	0.149546	0.149546	1.052134	
58000	0.085832	3	0.269298	1.124120	0.269298	0.146853	0.146853	0.146853	1.124120	
59000	0.085832	3	0.260269	1.338170	0.260269	0.150503	0.150503	0.150503	1.338170	
60000	0.085832	3	0.225340	1.112594	0.225340	0.141349	0.141349	0.141349	1.112594	
61000	0.085832	3	0.277703	1.059221	0.277703	0.185264	0.185264	0.185264	1.059221	
62000	0.085832	3	0.261375	1.127813	0.261375	0.157216	0.157216	0.157216	1.127813	
63000	0.085832	3	0.265347	1.280866	0.265347	0.153315	0.153315	0.153315	1.280866	
64000	0.085832	4	0.261763	1.069395	0.288649	0.164843	0.164843	0.164843	1.069395	
65000	0.085832	3	0.254000	1.195174	0.254000	0.144478	0.144478	0.144478	1.195174	
66000	0.085832	3	0.274401	1.155710	0.274401	0.135385	0.135385	0.135385	1.155710	
67000	0.085832	3	0.261757	0.953765	0.261757	0.150996	0.150996	0.150996	0.953765	
68000	0.085832	3	0.260476	0.922133	0.260476	0.182429	0.182429	0.182429	0.922133	
69000	0.085832	3	0.262460	1.171659	0.262460	0.175036	0.175036	0.175036	1.171659	
70000	0.085832	3	0.283613	1.107451	0.283613	0.168484	0.168484	0.168484	1.107451	
71000	0.085832	3	0.265868	1.405777	0.265868	0.149217	0.149217	0.149217	1.405777	
72000	0.085832	3	0.284194	1.235045	0.284194	0.164053	0.164053	0.164053	1.235045	
73000	0.085832	3	0.270863	1.231060	0.270863	0.152079	0.152079	0.152079	1.231060	
74000	0.085832	3	0.291110	0.990849	0.291110	0.154549	0.154549	0.154549	0.990849	
75000	0.085832	3	0.296520	1.455933	0.296520	0.159640	0.159640	0.159640	1.455933	
76000	0.085832	3	0.275709	1.392290	0.275709	0.160219	0.160219	0.160219	1.392290	
77000	0.085832	3	0.260017	1.330634	0.260017	0.149655	0.149655	0.149655	1.330634	
78000	0.085832	3	0.270404	1.131010	0.270404	0.162212	0.162212	0.162212	1.131010	
79000	0.085832	3	0.243829	1.434743	0.243829	0.164349	0.164349	0.164349	1.434743	
80000	0.085832	3	0.264610	1.308831	0.264610	0.145566	0.145566	0.145566	1.308831	
81000	0.085832	3	0.270315	1.085720	0.270315	0.154681	0.154681	0.154681	1.085720	
82000	0.085832	3	0.260683	1.186239	0.260683	0.175021	0.175021	0.175021	1.186239	
83000	0.085832	4	0.275433	1.247749	0.275433	0.141578	0.197802	0.141578	1.247749	
84000	0.085832	3	0.271444	1.173751	0.271444	0.147759	0.147759	0.147759	1.173751	
85000	0.085832	4	0.268107	1.366767	0.268107	0.134796	0.162476	0.162476	1.366767	
86000	0.085832	3	0.270232	1.377322	0.270232	0.145385	0.145385	0.145385	1.377322	
87000	0.085832	3	0.258763	1.349013	0.258763	0.149840	0.149840	0.149840	1.349013	
88000	0.085832	3	0.279684	1.287885	0.279684	0.143917	0.143917	0.143917	1.287885	
89000	0.085832	4	0.279511	1.133075	0.279511	0.125457	0.159875	0.159875	1.133075	
90000	0.085832	3	0.266570	1.431597	0.266570	0.161186	0.266570	0.161186	1.431597	
91000	0.085832	3	0.279472	1.416482	0.279472	0.146181	0.146181	0.146181	1.416482	
92000	0.085832	3	0.276551	1.571156	0.276551	0.194721	0.194721	0.194721	1.571156	
93000	0.085832	3	0.261833	1.407078	0.261833	0.162736	0.162736	0.162736	1.407078	
94000	0.085832	3	0.259031	1.333221	0.259031	0.158362	0.158362	0.158362	1.333221	
95000	0.085832	3	0.254591	1.387309	0.254591	0.162804	0.162804	0.162804	1.387309	
96000	0.085832	3	0.276388	1.603850	0.276388	0.150719	0.150719	0.150719	1.603850	
97000	0.085832	4	0.287036	1.121228	0.287036	0.117735	0.150275	0.150275	1.121228	
98000	0.085832	3	0.259443	1.024822	0.259443	0.143259	0.143259	0.143259	1.024822	
99000	0.085832	3	0.254748	1.492555	0.254748	0.167174	0.167174	0.167174	1.492555	
100000	0.085832	3	0.251409	1.548368	0.251409	0.154032	0.154032	0.154032	1.548368	
101000	0.085832	3	0.265243	1.348107	0.265243	0.141889	0.141889	0.141889	1.348107	
102000	0.085832	4	0.265326	1.330520	0.265326	0.092132	0.173807	0.173807	1.330520	
103000	0.085832	3	0.251410	1.449757	0.251410	0.166741	0.166741	0.166741	1.449757	
104000	0.085832	3	0.265835	1.513645	0.265835	0.150627	0.150627	0.150627	1.513645	
105000	0.085832	3	0.279451	1.400319	0.279451	0.152139	0.152139	0.152139	1.400319	
106000	0.085832	3	0.262970	1.335054	0.262970	0.155563	0.155563	0.155563	1.335054	
107000	0.085832	3	0.272970	1.295969	0.272970	0.140193	0.140193	0.140193	1.295969	
108000	0.085832	3	0.253983	1.032407	0.253983	0.146701	0.146701	0.146701	1.032407	
109000	0.085832	3	0.242545	1.321383	0.242545	0.157776	0.242545	0.157776	1.321383	
110000	0.085832	3	0.266690	1.328941	0.266690	0.165571	0.165571	0.165571	1.328941	
111000	0.085832	3	0.264032	1.435347	0.264032	0.155943	0.155943	0.155943	1.435347	
112000	0.085832	3	0.286179	1.470646	0.286179	0.158703	0.158703	0.158703	1.470646	
113000	0.085832	3	0.254304	1.374000	0.254304	0.133332	0.254304	0.133332	1.374000	
114000	0.085832	3	0.237601	1.601173	0.237601	0.151484	0.237601	0.151484	1.601173	
115000	0.085832	3	0.278180	1.366186	0.278180	0.167048	0.167048	0.167048	1.366186	
116000	0.085832	3	0.269361	1.309859	0.269361	0.159666	0.159666	0.159666	1.309859	
117000	0.085832	3	0.273270	1.434790	0.273270	0.139564	0.139564	0.139564	1.434790	
118000	0.085832	3	0.286491	1.329276	0.286491	0.150236	0.150236	0.150236	1.329276	
119000	0.085832	3	0.276487	1.647626	0.276487	0.152061	0.152061	0.152061	1.647626	
120000	0.085832	3	0.268306	1.453956	0.268306	0.174281	0.174281	0.174281	1.453956	
121000	0.085832	3	0.262434	1.458986	0.262434	0.157155	0.157155	0.157155	1.458986	
122000	0.085832	3	0.269863	1.081146	0.269863	0.149994	0.149994	0.149994	1.081146	
123000	0.085832	3	0.258341	1.333021	0.258341	0.127700	0.258341	0.127700	1.333021	
124000	0.085832	3	0.245889	1.327051	0.245889	0.149809	0.245889	0.149809	1.327051	
125000	0.085832	3	0.252329	1.473241	0.252329	0.133937	0.252329	0.133937	1.473241	
126000	0.085832	3	0.264313	1.337659	0.264313	0.152522	0.264313	0.152522	1.337659	
127000	0.085832	3	0.229084	1.763712	0.229084	0.142557	0.229084	0.142557	1.763712	
128000	0.085832	2	0.221016	1.306860	0.221016	0.221016	0.221016	0.221016	1.306860	
129000	0.085832	3	0.280872	1.323086	0.280872	0.144322	0.280872	0.144322	1.323086	
130000	0.085832	3	0.288325	1.310018	0.288325	0.147795	0.288325	0.147795	1.310018	
131000	0.085832	3	0.251374	1.653023	0.251374	0.177813	0.177813	0.177813	1.653023	
132000	0.085832	3	0.266846	1.453643	0.266846	0.159435	0.159435	0.159435	1.453643	
133000	0.085832	3	0.259040	1.634911	0.259040	0.155139	0.155139	0.155139	1.634911	
134000	0.085832	3	0.250650	1.460340	0.250650	0.143187	0.250650	0.143187	1.460340	
135000	0.085832	4	0.266397	1.401118	0.266397	0.131061	0.161458	0.161458	1.401118	
136000	0.085832	4	0.270386	1.826961	0.270386	0.153783	0.182358	0.153783	1.826961	
137000	0.085832	3	0.287058	1.460232	0.287058	0.177728	0.177728	0.177728	1.460232	
138000	0.085832	3	0.269789	1.604093	0.269789	0.182263	0.182263	0.182263	1.604093	
139000	0.085832	3	0.262151	1.514414	0.262151	0.148517	0.262151	0.148517	1.514414	
140000	0.085832	3	0.276919	1.261724	0.276919	0.179960	0.179960	0.179960	1.261724	
141000	0.085832	3	0.308443	1.653734	0.308443	0.152578	0.152578	0.152578	1.653734	
142000	0.085832	3	0.253466	1.356625	0.253466	0.147704	0.253466	0.147704	1.356625	
143000	0.085832	4	0.285444	1.104757	0.285444	0.155799	0.202045	0.155799	1.104757	
144000	0.085832	3	0.243205	1.573694	0.243205	0.133089	0.243205	0.133089	1.573694	
145000	0.085832	3	0.276238	1.240705	0.276238	0.150074	0.150074	0.150074	1.240705	
146000	0.085832	3	0.261704	1.618935	0.261704	0.135610	0.261704	0.135610	1.618935	
147000	0.085832	3	0.260502	1.331671	0.260502	0.152280	0.260502	0.152280	1.331671	
148000	0.085832	4	0.250073	1.442968	0.288962	0.154143	0.250073	0.154143	1.442968	
149000	0.085832	3	0.274149	1.616791	0.274149	0.157538	0.157538	0.157538	1.616791	
150000	0.085832	3	0.275662	1.363570	0.275662	0.154928	0.154928	0.154928	1.363570	
151000	0.085832	3	0.256170	1.353768	0.256170	0.152933	0.256170	0.152933	1.353768	
152000	0.085832	3	0.255549	1.293733	0.255549	0.151113	0.255549	0.151113	1.293733	
153000	0.085832	3	0.270524	1.450346	0.270524	0.132906	0.270524	0.132906	1.450346	
154000	0.085832	3	0.281315	1.314990	0.281315	0.140960	0.281315	0.140960	1.314990	
155000	0.085832	3	0.226355	1.324635	0.226355	0.198295	0.198295	0.198295	1.324635	
156000	0.085832	3	0.260016	1.402305	0.260016	0.162421	0.162421	0.162421	1.402305	
157000	0.085832	3	0.262309	1.489407	0.262309	0.145386	0.145386	0.145386	1.489407	
158000	0.085832	3	0.268750	1.463125	0.268750	0.141720	0.141720	0.141720	1.463125	
159000	0.085832	3	0.263663	1.307281	0.263663	0.150588	0.150588	0.150588	1.307281	
160000	0.085832	3	0.230254	1.622918	0.230254	0.107665	0.230254	0.230254	1.622918	
161000	0.085832	3	0.251758	1.617743	0.251758	0.152427	0.251758	0.152427	1.617743	
162000	0.085832	3	0.277868	1.429875	0.277868	0.152525	0.152525	0.152525	1.429875	
163000	0.085832	3	0.261807	1.520207	0.261807	0.157047	0.157047	0.157047	1.520207	
164000	0.085832	3	0.245740	1.135968	0.245740	0.149775	0.149775	0.149775	1.135968	
165000	0.085832	3	0.252980	1.456766	0.252980	0.144242	0.144242	0.144242	1.456766	
166000	0.085832	3	0.262135	1.284717	0.262135	0.153965	0.153965	0.153965	1.284717	
167000	0.085832	3	0.267268	1.299497	0.267268	0.128746	0.267268	0.128746	1.299497	
168000	0.085832	3	0.247754	1.477798	0.247754	0.139919	0.247754	0.139919	1.477798	
169000	0.085832	3	0.259075	1.623056	0.259075	0.125126	0.259075	0.125126	1.623056	
170000	0.085832	3	0.267410	1.232395	0.267410	0.190249	0.190249	0.190249	1.232395	
