Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8787000	0.529975	4	0.274830	1.776167	0.274830	0.150533	0.150533	0.150533	1.396371	
8788000	0.529975	3	0.269713	1.189827	0.269713	0.141626	0.141626	0.141626	1.189827	
8789000	0.529975	3	0.270310	1.658226	0.270310	0.170813	0.170813	0.170813	1.658226	
8790000	0.529975	3	0.257400	2.241197	0.257400	0.156488	0.156488	0.156488	2.241197	
8791000	0.529975	3	0.263330	1.440303	0.263330	0.142499	0.142499	0.142499	1.440303	
8792000	0.529975	3	0.265330	1.188408	0.265330	0.150453	0.150453	0.150453	1.188408	
8793000	0.529975	4	0.285517	1.229004	0.285517	0.151011	0.151011	0.151011	1.365010	
8794000	0.529975	3	0.253833	1.392844	0.253833	0.137697	0.253833	0.137697	1.392844	
8795000	0.529975	5	0.259681	1.265083	0.274841	0.128938	0.159775	0.128938	1.265083	
8796000	0.529975	3	0.252911	1.738826	0.252911	0.160181	0.160181	0.160181	1.738826	
8797000	0.529975	4	0.280171	1.505012	0.280171	0.150794	0.177912	0.177912	1.505012	
8798000	0.529975	3	0.283435	1.426456	0.283435	0.174042	0.174042	0.174042	1.426456	
8799000	0.529975	3	0.244159	1.654915	0.244159	0.167152	0.167152	0.167152	1.654915	
8800000	0.529975	3	0.260278	1.578608	0.260278	0.151249	0.151249	0.151249	1.578608	
8801000	0.529975	3	0.248360	1.508075	0.248360	0.153233	0.153233	0.153233	1.508075	
8802000	0.529975	3	0.261475	1.659766	0.261475	0.145526	0.145526	0.145526	1.659766	
8803000	0.529975	3	0.280112	1.401595	0.280112	0.146735	0.146735	0.146735	1.401595	
8804000	0.529975	3	0.261634	1.139902	0.261634	0.143816	0.143816	0.143816	1.139902	
8805000	0.529975	3	0.315375	1.272808	0.315375	0.138598	0.138598	0.138598	1.272808	
8806000	0.529975	3	0.282690	1.415979	0.282690	0.144999	0.144999	0.144999	1.415979	
8807000	0.529975	3	0.250055	1.388422	0.250055	0.176703	0.176703	0.176703	1.388422	
8808000	0.529975	3	0.267609	1.229584	0.267609	0.148291	0.148291	0.148291	1.229584	
8809000	0.529975	3	0.265565	1.428969	0.265565	0.154877	0.154877	0.154877	1.428969	
8810000	0.529975	3	0.290363	1.697631	0.290363	0.151627	0.151627	0.151627	1.697631	
8811000	0.529975	3	0.273728	1.499420	0.273728	0.153351	0.153351	0.153351	1.499420	
8812000	0.529975	3	0.282253	1.621929	0.282253	0.147502	0.147502	0.147502	1.621929	
8813000	0.529975	3	0.249006	1.646778	0.249006	0.161229	0.249006	0.161229	1.646778	
8814000	0.529975	3	0.278674	1.259703	0.278674	0.149857	0.149857	0.149857	1.259703	
8815000	0.529975	3	0.265113	1.560107	0.265113	0.149245	0.149245	0.149245	1.560107	
8816000	0.529975	5	0.233128	1.494727	0.263533	0.128170	0.205759	0.128170	1.494727	
8817000	0.529975	3	0.248790	1.343345	0.248790	0.147433	0.147433	0.147433	1.343345	
8818000	0.529975	3	0.271668	1.319731	0.271668	0.146813	0.146813	0.146813	1.319731	
8819000	0.529975	3	0.294922	1.491282	0.294922	0.155050	0.155050	0.155050	1.491282	
8820000	0.529975	3	0.237124	1.266488	0.237124	0.143183	0.143183	0.143183	1.266488	
8821000	0.529975	3	0.247258	1.395047	0.247258	0.150033	0.150033	0.150033	1.395047	
8822000	0.529975	4	0.271402	1.522294	0.271402	0.142140	0.152137	0.142140	1.522294	
8823000	0.529975	3	0.255931	1.305816	0.255931	0.161200	0.161200	0.161200	1.305816	
8824000	0.529975	4	0.236562	1.414759	0.294160	0.154435	0.154435	0.154435	1.414759	
8825000	0.529975	4	0.260927	1.553165	0.260927	0.133792	0.157295	0.157295	1.553165	
8826000	0.529975	4	0.255826	1.555484	0.248702	0.159173	0.159173	0.159173	1.555484	
8827000	0.529975	3	0.263808	1.608069	0.263808	0.137871	0.137871	0.137871	1.608069	
8828000	0.529975	3	0.283715	1.705105	0.283715	0.160921	0.160921	0.160921	1.705105	
8829000	0.529975	4	0.262947	1.305290	0.262947	0.157507	0.157507	0.157507	1.215930	
8830000	0.529975	3	0.262295	1.272113	0.262295	0.149005	0.149005	0.149005	1.272113	
8831000	0.529975	3	0.254766	1.373581	0.254766	0.150003	0.150003	0.150003	1.373581	
8832000	0.529975	3	0.249816	1.377881	0.249816	0.158530	0.249816	0.158530	1.377881	
8833000	0.529975	5	0.238964	1.677515	0.238964	0.126149	0.162439	0.162439	1.168276	
8834000	0.529975	3	0.272418	1.133829	0.272418	0.148211	0.148211	0.148211	1.133829	
8835000	0.529975	3	0.261438	1.276649	0.261438	0.140754	0.140754	0.140754	1.276649	
8836000	0.529975	4	0.243267	1.896825	0.345468	0.156144	0.156144	0.156144	1.896825	
8837000	0.529975	3	0.243680	1.408602	0.243680	0.147923	0.147923	0.147923	1.408602	
8838000	0.529975	4	0.265409	1.510842	0.265409	0.126513	0.150559	0.150559	1.510842	
8839000	0.529975	3	0.252521	1.349992	0.252521	0.176627	0.176627	0.176627	1.349992	
8840000	0.529975	3	0.255976	1.806282	0.255976	0.129707	0.129707	0.129707	1.806282	
8841000	0.529975	4	0.249225	1.406956	0.249225	0.131259	0.169090	0.169090	1.406956	
8842000	0.529975	3	0.297188	1.409804	0.297188	0.158501	0.158501	0.158501	1.409804	
8843000	0.529975	3	0.242499	1.468361	0.242499	0.147647	0.147647	0.147647	1.468361	
8844000	0.529975	4	0.279027	1.636481	0.306976	0.155398	0.155398	0.155398	1.636481	
8845000	0.529975	4	0.252500	1.308025	0.252500	0.117164	0.165592	0.165592	1.308025	
8846000	0.529975	3	0.249509	1.180783	0.249509	0.179053	0.249509	0.179053	1.180783	
8847000	0.529975	3	0.259290	1.472970	0.259290	0.148572	0.148572	0.148572	1.472970	
8848000	0.529975	3	0.236721	1.132276	0.236721	0.166342	0.236721	0.166342	1.132276	
8849000	0.529975	3	0.259582	1.428507	0.259582	0.146453	0.146453	0.146453	1.428507	
8850000	0.529975	4	0.263443	1.406737	0.271993	0.160381	0.160381	0.160381	1.406737	
8851000	0.529975	3	0.242348	1.053581	0.242348	0.154820	0.154820	0.154820	1.053581	
8852000	0.529975	4	0.272473	1.675523	0.272473	0.141424	0.147647	0.141424	1.675523	
8853000	0.529975	3	0.254962	1.505413	0.254962	0.153803	0.153803	0.153803	1.505413	
8854000	0.529975	3	0.313368	1.724802	0.313368	0.158341	0.158341	0.158341	1.724802	
