Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1000	0.085832	3	0.053100	0.352221	0.074234	0.023027	0.438708	0.058709	0.053100	0.352221	0.074234	0.023027	0.438708	0.058709	0.053100	0.352221	0.074234	0.023027	0.438708	0.058709	0.062496	0.240406	0.060384	0.143687	0.375244	0.117783	0.062496	0.240406	0.060384	0.143687	0.375244	0.117783	0.062496	0.240406	0.060384	0.143687	0.375244	0.117783	0.113372	0.503153	0.012645	0.037379	0.300470	0.032982	
2000	0.085832	2	0.062544	0.398242	0.066638	0.030026	0.394509	0.048041	0.062544	0.398242	0.066638	0.030026	0.394509	0.048041	0.062544	0.398242	0.066638	0.030026	0.394509	0.048041	0.083723	0.437166	0.096647	0.134423	0.175362	0.072680	0.083723	0.437166	0.096647	0.134423	0.175362	0.072680	0.083723	0.437166	0.096647	0.134423	0.175362	0.072680	0.062544	0.398242	0.066638	0.030026	0.394509	0.048041	
3000	0.085832	2	0.059571	0.385154	0.065318	0.036208	0.404494	0.049257	0.059571	0.385154	0.065318	0.036208	0.404494	0.049257	0.059571	0.385154	0.065318	0.036208	0.404494	0.049257	0.065814	0.393845	0.139289	0.124254	0.184182	0.092617	0.065814	0.393845	0.139289	0.124254	0.184182	0.092617	0.065814	0.393845	0.139289	0.124254	0.184182	0.092617	0.059571	0.385154	0.065318	0.036208	0.404494	0.049257	
4000	0.085832	2	0.056957	0.382604	0.066329	0.029715	0.411273	0.053123	0.056957	0.382604	0.066329	0.029715	0.411273	0.053123	0.056957	0.382604	0.066329	0.029715	0.411273	0.053123	0.065402	0.375424	0.145279	0.139855	0.223290	0.050750	0.065402	0.375424	0.145279	0.139855	0.223290	0.050750	0.065402	0.375424	0.145279	0.139855	0.223290	0.050750	0.056957	0.382604	0.066329	0.029715	0.411273	0.053123	
5000	0.085832	2	0.063800	0.384550	0.060050	0.028276	0.411976	0.051347	0.063800	0.384550	0.060050	0.028276	0.411976	0.051347	0.063800	0.384550	0.060050	0.028276	0.411976	0.051347	0.117206	0.458991	0.073676	0.168734	0.137231	0.044163	0.117206	0.458991	0.073676	0.168734	0.137231	0.044163	0.117206	0.458991	0.073676	0.168734	0.137231	0.044163	0.063800	0.384550	0.060050	0.028276	0.411976	0.051347	
6000	0.085832	2	0.062873	0.390568	0.058856	0.038673	0.398704	0.050326	0.062873	0.390568	0.058856	0.038673	0.398704	0.050326	0.062873	0.390568	0.058856	0.038673	0.398704	0.050326	0.102844	0.328585	0.156584	0.185777	0.177007	0.049203	0.102844	0.328585	0.156584	0.185777	0.177007	0.049203	0.102844	0.328585	0.156584	0.185777	0.177007	0.049203	0.062873	0.390568	0.058856	0.038673	0.398704	0.050326	
7000	0.085832	2	0.058944	0.415640	0.057709	0.029725	0.390928	0.047054	0.058944	0.415640	0.057709	0.029725	0.390928	0.047054	0.058944	0.415640	0.057709	0.029725	0.390928	0.047054	0.088016	0.350409	0.152574	0.159587	0.163651	0.085763	0.088016	0.350409	0.152574	0.159587	0.163651	0.085763	0.088016	0.350409	0.152574	0.159587	0.163651	0.085763	0.058944	0.415640	0.057709	0.029725	0.390928	0.047054	
8000	0.085832	2	0.061559	0.420218	0.060269	0.031258	0.370814	0.055882	0.061559	0.420218	0.060269	0.031258	0.370814	0.055882	0.061559	0.420218	0.060269	0.031258	0.370814	0.055882	0.080880	0.351956	0.078584	0.203268	0.219275	0.066038	0.080880	0.351956	0.078584	0.203268	0.219275	0.066038	0.080880	0.351956	0.078584	0.203268	0.219275	0.066038	0.061559	0.420218	0.060269	0.031258	0.370814	0.055882	
9000	0.085832	2	0.066679	0.405640	0.059032	0.024964	0.392754	0.050932	0.066679	0.405640	0.059032	0.024964	0.392754	0.050932	0.066679	0.405640	0.059032	0.024964	0.392754	0.050932	0.077648	0.354697	0.064414	0.230326	0.215318	0.057597	0.077648	0.354697	0.064414	0.230326	0.215318	0.057597	0.077648	0.354697	0.064414	0.230326	0.215318	0.057597	0.066679	0.405640	0.059032	0.024964	0.392754	0.050932	
10000	0.085832	3	0.066787	0.420981	0.063457	0.029814	0.370545	0.048416	0.066787	0.420981	0.063457	0.029814	0.370545	0.048416	0.066787	0.420981	0.063457	0.029814	0.370545	0.048416	0.095341	0.298974	0.094216	0.240510	0.209476	0.061483	0.103417	0.285542	0.206998	0.090453	0.295012	0.018577	0.095341	0.298974	0.094216	0.240510	0.209476	0.061483	0.066787	0.420981	0.063457	0.029814	0.370545	0.048416	
11000	0.085832	2	0.068049	0.414170	0.068746	0.028428	0.378388	0.042220	0.068049	0.414170	0.068746	0.028428	0.378388	0.042220	0.068049	0.414170	0.068746	0.028428	0.378388	0.042220	0.156099	0.262937	0.160126	0.149201	0.208242	0.063395	0.156099	0.262937	0.160126	0.149201	0.208242	0.063395	0.068049	0.414170	0.068746	0.028428	0.378388	0.042220	0.068049	0.414170	0.068746	0.028428	0.378388	0.042220	
12000	0.085832	2	0.060650	0.431227	0.065128	0.027955	0.362037	0.053003	0.060650	0.431227	0.065128	0.027955	0.362037	0.053003	0.060650	0.431227	0.065128	0.027955	0.362037	0.053003	0.064552	0.411974	0.099128	0.122014	0.255637	0.046695	0.064552	0.411974	0.099128	0.122014	0.255637	0.046695	0.064552	0.411974	0.099128	0.122014	0.255637	0.046695	0.060650	0.431227	0.065128	0.027955	0.362037	0.053003	
