Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
1000	16.777027	5	0.266211	1.405149	0.236653	0.201408	0.236653	0.201408	0.934476	
2000	16.777027	5	0.272942	1.320054	0.280415	0.132316	0.175337	0.175337	1.320054	
3000	16.777027	5	0.282155	1.758025	0.282155	0.197861	0.181035	0.151829	1.758025	
4000	16.777027	6	0.287605	1.506991	0.309991	0.081555	0.183231	0.163248	1.506991	
5000	16.777027	4	0.234866	1.535058	0.234866	0.113466	0.234866	0.188377	1.535058	
6000	16.777027	5	0.230645	1.627313	0.230645	0.165827	0.256346	0.181822	1.627313	
7000	16.777027	3	0.243380	1.756685	0.243380	0.153545	0.243380	0.153545	1.756685	
8000	16.777027	5	0.240385	1.228656	0.323906	0.182318	0.182318	0.182318	1.211237	
9000	16.777027	5	0.278846	1.560183	0.280929	0.105839	0.201112	0.201112	1.560183	
10000	16.777027	5	0.233460	1.924697	0.233460	0.151843	0.233460	0.159895	1.480541	
11000	16.777027	3	0.247046	1.516426	0.247046	0.188259	0.188259	0.188259	1.516426	
12000	16.777027	6	0.281414	1.600572	0.299882	0.120857	0.188043	0.110004	1.600572	
13000	16.777027	4	0.249042	1.274232	0.249042	0.147905	0.249042	0.147905	1.517708	
14000	16.777027	3	0.282441	1.195231	0.282441	0.182591	0.182591	0.182591	1.195231	
15000	16.777027	4	0.273750	1.242881	0.273750	0.184932	0.184932	0.156777	1.242881	
16000	16.777027	4	0.271313	1.276094	0.383747	0.199649	0.199649	0.199649	1.276094	
17000	16.777027	4	0.255007	1.479388	0.255007	0.159440	0.159440	0.198410	1.479388	
18000	16.777027	4	0.259585	1.599349	0.259585	0.095168	0.229300	0.095168	1.599349	
19000	16.777027	4	0.342830	1.507903	0.342830	0.134015	0.154994	0.154994	1.507903	
20000	16.777027	5	0.322627	1.351875	0.295326	0.143537	0.143537	0.164846	1.351875	
21000	16.777027	4	0.253308	1.233723	0.253308	0.099973	0.104141	0.099973	1.233723	
22000	16.777027	4	0.228942	1.593890	0.228942	0.098540	0.098540	0.098540	1.115440	
23000	16.777027	3	0.279197	1.605679	0.279197	0.100039	0.100039	0.100039	1.605679	
24000	16.777027	3	0.257100	1.578466	0.257100	0.100619	0.100619	0.100619	1.578466	
25000	16.777027	3	0.255395	1.408445	0.255395	0.105603	0.105603	0.105603	1.408445	
26000	16.777027	3	0.277566	1.310112	0.277566	0.098541	0.098541	0.098541	1.310112	
27000	16.777027	3	0.269978	1.588758	0.269978	0.119981	0.119981	0.119981	1.588758	
28000	16.777027	3	0.259620	1.234263	0.259620	0.114042	0.114042	0.114042	1.234263	
29000	16.777027	5	0.288398	1.037776	0.288398	0.106545	0.106545	0.095349	1.903529	
30000	16.777027	3	0.258929	1.451166	0.258929	0.164054	0.164054	0.164054	1.451166	
31000	16.777027	3	0.254401	1.468962	0.254401	0.178048	0.178048	0.178048	1.468962	
32000	16.777027	3	0.256934	1.747196	0.256934	0.201337	0.201337	0.201337	1.747196	
33000	16.777027	4	0.222070	1.272381	0.288659	0.151566	0.222070	0.151566	1.272381	
