Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5867000	0.529975	2	0.323782	0.284973	0.118963	0.272282	0.323782	0.284973	0.118963	0.272282	0.199033	0.278762	0.242905	0.279300	0.199033	0.278762	0.242905	0.279300	0.199033	0.278762	0.242905	0.279300	0.323782	0.284973	0.118963	0.272282	0.199033	0.278762	0.242905	0.279300	
5868000	0.529975	2	0.323782	0.284973	0.118963	0.272282	0.323782	0.284973	0.118963	0.272282	0.198678	0.258412	0.250868	0.292042	0.198678	0.258412	0.250868	0.292042	0.198678	0.258412	0.250868	0.292042	0.323782	0.284973	0.118963	0.272282	0.198678	0.258412	0.250868	0.292042	
5869000	0.529975	2	0.314786	0.295609	0.129999	0.259607	0.314786	0.295609	0.129999	0.259607	0.183254	0.272983	0.270144	0.273619	0.183254	0.272983	0.270144	0.273619	0.183254	0.272983	0.270144	0.273619	0.314786	0.295609	0.129999	0.259607	0.183254	0.272983	0.270144	0.273619	
5870000	0.529975	3	0.331518	0.289668	0.117326	0.261488	0.331518	0.289668	0.117326	0.261488	0.202282	0.261021	0.261734	0.274963	0.117563	0.243256	0.189604	0.449576	0.202282	0.261021	0.261734	0.274963	0.331518	0.289668	0.117326	0.261488	0.202282	0.261021	0.261734	0.274963	
5871000	0.529975	2	0.331518	0.289668	0.117326	0.261488	0.331518	0.289668	0.117326	0.261488	0.175870	0.267011	0.268102	0.289016	0.175870	0.267011	0.268102	0.289016	0.175870	0.267011	0.268102	0.289016	0.331518	0.289668	0.117326	0.261488	0.175870	0.267011	0.268102	0.289016	
5872000	0.529975	2	0.343998	0.280501	0.120957	0.254543	0.343998	0.280501	0.120957	0.254543	0.184016	0.272931	0.266880	0.276173	0.184016	0.272931	0.266880	0.276173	0.184016	0.272931	0.266880	0.276173	0.343998	0.280501	0.120957	0.254543	0.184016	0.272931	0.266880	0.276173	
5873000	0.529975	2	0.332620	0.286093	0.113665	0.267623	0.332620	0.286093	0.113665	0.267623	0.204425	0.259222	0.263694	0.272659	0.204425	0.259222	0.263694	0.272659	0.204425	0.259222	0.263694	0.272659	0.332620	0.286093	0.113665	0.267623	0.204425	0.259222	0.263694	0.272659	
5874000	0.529975	2	0.317671	0.288242	0.122822	0.271265	0.317671	0.288242	0.122822	0.271265	0.195582	0.267534	0.262608	0.274275	0.195582	0.267534	0.262608	0.274275	0.195582	0.267534	0.262608	0.274275	0.317671	0.288242	0.122822	0.271265	0.195582	0.267534	0.262608	0.274275	
5875000	0.529975	2	0.317671	0.288242	0.122822	0.271265	0.317671	0.288242	0.122822	0.271265	0.188096	0.274013	0.259251	0.278640	0.188096	0.274013	0.259251	0.278640	0.188096	0.274013	0.259251	0.278640	0.317671	0.288242	0.122822	0.271265	0.188096	0.274013	0.259251	0.278640	
5876000	0.529975	2	0.336713	0.284660	0.119351	0.259275	0.336713	0.284660	0.119351	0.259275	0.210701	0.243399	0.283709	0.262191	0.210701	0.243399	0.283709	0.262191	0.210701	0.243399	0.283709	0.262191	0.336713	0.284660	0.119351	0.259275	0.210701	0.243399	0.283709	0.262191	
5877000	0.529975	2	0.336713	0.284660	0.119351	0.259275	0.336713	0.284660	0.119351	0.259275	0.201728	0.262370	0.260597	0.275305	0.201728	0.262370	0.260597	0.275305	0.201728	0.262370	0.260597	0.275305	0.336713	0.284660	0.119351	0.259275	0.201728	0.262370	0.260597	0.275305	
5878000	0.529975	2	0.336662	0.268592	0.121855	0.272892	0.336662	0.268592	0.121855	0.272892	0.178312	0.265720	0.251888	0.304079	0.178312	0.265720	0.251888	0.304079	0.178312	0.265720	0.251888	0.304079	0.336662	0.268592	0.121855	0.272892	0.178312	0.265720	0.251888	0.304079	
5879000	0.529975	2	0.336662	0.268592	0.121855	0.272892	0.336662	0.268592	0.121855	0.272892	0.191171	0.254319	0.293613	0.260897	0.191171	0.254319	0.293613	0.260897	0.191171	0.254319	0.293613	0.260897	0.336662	0.268592	0.121855	0.272892	0.191171	0.254319	0.293613	0.260897	
5880000	0.529975	2	0.350895	0.275044	0.119477	0.254584	0.350895	0.275044	0.119477	0.254584	0.217400	0.287638	0.244597	0.250364	0.217400	0.287638	0.244597	0.250364	0.217400	0.287638	0.244597	0.250364	0.350895	0.275044	0.119477	0.254584	0.217400	0.287638	0.244597	0.250364	
5881000	0.529975	2	0.329982	0.287826	0.121384	0.260808	0.329982	0.287826	0.121384	0.260808	0.185450	0.259140	0.293151	0.262259	0.185450	0.259140	0.293151	0.262259	0.185450	0.259140	0.293151	0.262259	0.329982	0.287826	0.121384	0.260808	0.185450	0.259140	0.293151	0.262259	
5882000	0.529975	2	0.329982	0.287826	0.121384	0.260808	0.329982	0.287826	0.121384	0.260808	0.190263	0.275205	0.239238	0.295294	0.190263	0.275205	0.239238	0.295294	0.190263	0.275205	0.239238	0.295294	0.329982	0.287826	0.121384	0.260808	0.190263	0.275205	0.239238	0.295294	
5883000	0.529975	2	0.329982	0.287826	0.121384	0.260808	0.329982	0.287826	0.121384	0.260808	0.184537	0.264386	0.262624	0.288453	0.184537	0.264386	0.262624	0.288453	0.184537	0.264386	0.262624	0.288453	0.329982	0.287826	0.121384	0.260808	0.184537	0.264386	0.262624	0.288453	
5884000	0.529975	2	0.307900	0.293363	0.129876	0.268860	0.307900	0.293363	0.129876	0.268860	0.198645	0.256409	0.260034	0.284913	0.198645	0.256409	0.260034	0.284913	0.198645	0.256409	0.260034	0.284913	0.307900	0.293363	0.129876	0.268860	0.198645	0.256409	0.260034	0.284913	
5885000	0.529975	2	0.314386	0.294459	0.125823	0.265332	0.314386	0.294459	0.125823	0.265332	0.189273	0.267153	0.288202	0.255372	0.189273	0.267153	0.288202	0.255372	0.189273	0.267153	0.288202	0.255372	0.314386	0.294459	0.125823	0.265332	0.189273	0.267153	0.288202	0.255372	
5886000	0.529975	2	0.314386	0.294459	0.125823	0.265332	0.314386	0.294459	0.125823	0.265332	0.175623	0.254275	0.281637	0.288465	0.175623	0.254275	0.281637	0.288465	0.175623	0.254275	0.281637	0.288465	0.314386	0.294459	0.125823	0.265332	0.175623	0.254275	0.281637	0.288465	
5887000	0.529975	2	0.326754	0.272992	0.122766	0.277488	0.326754	0.272992	0.122766	0.277488	0.192802	0.267886	0.252921	0.286390	0.192802	0.267886	0.252921	0.286390	0.192802	0.267886	0.252921	0.286390	0.326754	0.272992	0.122766	0.277488	0.192802	0.267886	0.252921	0.286390	
5888000	0.529975	2	0.332944	0.270544	0.130424	0.266089	0.332944	0.270544	0.130424	0.266089	0.198530	0.255744	0.298449	0.247277	0.198530	0.255744	0.298449	0.247277	0.198530	0.255744	0.298449	0.247277	0.332944	0.270544	0.130424	0.266089	0.198530	0.255744	0.298449	0.247277	
5889000	0.529975	2	0.321647	0.285170	0.126535	0.266648	0.321647	0.285170	0.126535	0.266648	0.200915	0.266927	0.261271	0.270887	0.200915	0.266927	0.261271	0.270887	0.200915	0.266927	0.261271	0.270887	0.321647	0.285170	0.126535	0.266648	0.200915	0.266927	0.261271	0.270887	
5890000	0.529975	2	0.326299	0.277370	0.130181	0.266150	0.326299	0.277370	0.130181	0.266150	0.191092	0.251442	0.274437	0.283030	0.191092	0.251442	0.274437	0.283030	0.191092	0.251442	0.274437	0.283030	0.326299	0.277370	0.130181	0.266150	0.191092	0.251442	0.274437	0.283030	
5891000	0.529975	2	0.326299	0.277370	0.130181	0.266150	0.326299	0.277370	0.130181	0.266150	0.177124	0.255516	0.285833	0.281527	0.177124	0.255516	0.285833	0.281527	0.177124	0.255516	0.285833	0.281527	0.326299	0.277370	0.130181	0.266150	0.177124	0.255516	0.285833	0.281527	
5892000	0.529975	2	0.331693	0.284687	0.120034	0.263587	0.331693	0.284687	0.120034	0.263587	0.191485	0.265934	0.274430	0.268151	0.191485	0.265934	0.274430	0.268151	0.191485	0.265934	0.274430	0.268151	0.331693	0.284687	0.120034	0.263587	0.191485	0.265934	0.274430	0.268151	
