Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
69000	0.529975	2	4.607723	18.840901	4.607723	4.607723	4.607723	4.607723	4.607723	
70000	0.529975	2	5.176498	17.082106	5.176498	5.176498	5.176498	5.176498	5.176498	
71000	0.529975	2	5.301928	18.126495	5.301928	5.301928	5.301928	5.301928	5.301928	
72000	0.529975	2	5.620937	21.199576	5.620937	5.620937	5.620937	5.620937	5.620937	
73000	0.529975	2	5.754692	17.640844	5.754692	5.754692	5.754692	5.754692	5.754692	
74000	0.529975	2	5.771308	18.570512	5.771308	5.771308	5.771308	5.771308	5.771308	
75000	0.529975	2	5.750281	19.613967	5.750281	5.750281	5.750281	5.750281	5.750281	
76000	0.529975	2	5.751524	18.150664	5.751524	5.751524	5.751524	5.751524	5.751524	
77000	0.529975	2	5.338381	18.677908	5.338381	5.338381	5.338381	5.338381	5.338381	
78000	0.529975	2	5.420822	19.784888	5.420822	5.420822	5.420822	5.420822	5.420822	
79000	0.529975	2	5.617855	17.307017	5.617855	5.617855	5.617855	5.617855	5.617855	
80000	0.529975	2	5.912606	16.689766	5.912606	5.912606	5.912606	5.912606	5.912606	
81000	0.529975	2	5.176851	17.384018	5.176851	5.176851	5.176851	5.176851	5.176851	
82000	0.529975	2	5.732988	17.034621	5.732988	5.732988	5.732988	5.732988	5.732988	
83000	0.529975	2	4.944312	16.442629	4.944312	4.944312	4.944312	4.944312	4.944312	
84000	0.529975	2	5.690464	18.174444	5.690464	5.690464	5.690464	5.690464	5.690464	
85000	0.529975	2	5.698885	16.314534	5.698885	5.698885	5.698885	5.698885	5.698885	
86000	0.529975	2	5.872581	18.947755	5.872581	5.872581	5.872581	5.872581	5.872581	
87000	0.529975	2	6.083344	18.917106	6.083344	6.083344	6.083344	6.083344	6.083344	
88000	0.529975	2	5.268156	19.597027	5.268156	5.268156	5.268156	5.268156	5.268156	
89000	0.529975	2	5.138315	17.589326	5.138315	5.138315	5.138315	5.138315	5.138315	
90000	0.529975	2	4.965539	18.392766	4.965539	4.965539	4.965539	4.965539	4.965539	
91000	0.529975	2	5.033330	19.965996	5.033330	5.033330	5.033330	5.033330	5.033330	
92000	0.529975	2	5.261625	17.609558	5.261625	5.261625	5.261625	5.261625	5.261625	
93000	0.529975	2	5.629109	17.013147	5.629109	5.629109	5.629109	5.629109	5.629109	
94000	0.529975	2	5.396959	19.952609	5.396959	5.396959	5.396959	5.396959	5.396959	
