Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1000	0.529975	3	0.059712	0.335073	0.121940	0.018309	0.414059	0.050907	0.059712	0.335073	0.121940	0.018309	0.414059	0.050907	0.059712	0.335073	0.121940	0.018309	0.414059	0.050907	0.033164	0.413074	0.142921	0.079497	0.277363	0.053982	0.176636	0.136570	0.452361	0.081555	0.111595	0.041282	0.033164	0.413074	0.142921	0.079497	0.277363	0.053982	0.059712	0.335073	0.121940	0.018309	0.414059	0.050907	
2000	0.529975	2	0.063819	0.403932	0.077439	0.027308	0.379607	0.047894	0.063819	0.403932	0.077439	0.027308	0.379607	0.047894	0.063819	0.403932	0.077439	0.027308	0.379607	0.047894	0.120963	0.369729	0.313602	0.059412	0.112645	0.023649	0.120963	0.369729	0.313602	0.059412	0.112645	0.023649	0.063819	0.403932	0.077439	0.027308	0.379607	0.047894	0.063819	0.403932	0.077439	0.027308	0.379607	0.047894	
3000	0.529975	2	0.064439	0.407856	0.072507	0.027573	0.379822	0.047803	0.064439	0.407856	0.072507	0.027573	0.379822	0.047803	0.064439	0.407856	0.072507	0.027573	0.379822	0.047803	0.102834	0.354382	0.116045	0.172260	0.194303	0.060175	0.102834	0.354382	0.116045	0.172260	0.194303	0.060175	0.102834	0.354382	0.116045	0.172260	0.194303	0.060175	0.064439	0.407856	0.072507	0.027573	0.379822	0.047803	
4000	0.529975	2	0.065292	0.409335	0.072770	0.027674	0.376952	0.047977	0.065292	0.409335	0.072770	0.027674	0.376952	0.047977	0.065292	0.409335	0.072770	0.027674	0.376952	0.047977	0.030738	0.233921	0.096864	0.256896	0.311969	0.069612	0.030738	0.233921	0.096864	0.256896	0.311969	0.069612	0.030738	0.233921	0.096864	0.256896	0.311969	0.069612	0.065292	0.409335	0.072770	0.027674	0.376952	0.047977	
5000	0.529975	2	0.061698	0.399709	0.064783	0.041909	0.381477	0.050423	0.061698	0.399709	0.064783	0.041909	0.381477	0.050423	0.061698	0.399709	0.064783	0.041909	0.381477	0.050423	0.074805	0.372273	0.123833	0.167288	0.221687	0.040114	0.074805	0.372273	0.123833	0.167288	0.221687	0.040114	0.074805	0.372273	0.123833	0.167288	0.221687	0.040114	0.061698	0.399709	0.064783	0.041909	0.381477	0.050423	
6000	0.529975	2	0.062178	0.390587	0.064262	0.041572	0.388182	0.053219	0.062178	0.390587	0.064262	0.041572	0.388182	0.053219	0.062178	0.390587	0.064262	0.041572	0.388182	0.053219	0.083873	0.253904	0.150074	0.121762	0.336477	0.053910	0.083873	0.253904	0.150074	0.121762	0.336477	0.053910	0.062178	0.390587	0.064262	0.041572	0.388182	0.053219	0.062178	0.390587	0.064262	0.041572	0.388182	0.053219	
7000	0.529975	2	0.063319	0.388963	0.062356	0.030183	0.407974	0.047206	0.063319	0.388963	0.062356	0.030183	0.407974	0.047206	0.063319	0.388963	0.062356	0.030183	0.407974	0.047206	0.065773	0.286367	0.112741	0.130971	0.266808	0.137340	0.065773	0.286367	0.112741	0.130971	0.266808	0.137340	0.065773	0.286367	0.112741	0.130971	0.266808	0.137340	0.063319	0.388963	0.062356	0.030183	0.407974	0.047206	
8000	0.529975	2	0.061882	0.401128	0.070364	0.032598	0.399279	0.034750	0.061882	0.401128	0.070364	0.032598	0.399279	0.034750	0.061882	0.401128	0.070364	0.032598	0.399279	0.034750	0.116327	0.247135	0.106145	0.132518	0.297754	0.100121	0.116327	0.247135	0.106145	0.132518	0.297754	0.100121	0.061882	0.401128	0.070364	0.032598	0.399279	0.034750	0.061882	0.401128	0.070364	0.032598	0.399279	0.034750	
9000	0.529975	2	0.080760	0.395843	0.060910	0.030898	0.381636	0.049953	0.080760	0.395843	0.060910	0.030898	0.381636	0.049953	0.080760	0.395843	0.060910	0.030898	0.381636	0.049953	0.106479	0.266710	0.194320	0.139932	0.228113	0.064446	0.106479	0.266710	0.194320	0.139932	0.228113	0.064446	0.080760	0.395843	0.060910	0.030898	0.381636	0.049953	0.080760	0.395843	0.060910	0.030898	0.381636	0.049953	
10000	0.529975	2	0.074691	0.408354	0.055449	0.029422	0.386072	0.046012	0.074691	0.408354	0.055449	0.029422	0.386072	0.046012	0.074691	0.408354	0.055449	0.029422	0.386072	0.046012	0.044576	0.438475	0.135845	0.134062	0.187954	0.059088	0.044576	0.438475	0.135845	0.134062	0.187954	0.059088	0.044576	0.438475	0.135845	0.134062	0.187954	0.059088	0.074691	0.408354	0.055449	0.029422	0.386072	0.046012	
11000	0.529975	3	0.084185	0.306419	0.080980	0.016571	0.456450	0.055395	0.062781	0.441328	0.046607	0.055521	0.364919	0.028845	0.084185	0.306419	0.080980	0.016571	0.456450	0.055395	0.083361	0.439269	0.113043	0.113447	0.183417	0.067463	0.083361	0.439269	0.113043	0.113447	0.183417	0.067463	0.083361	0.439269	0.113043	0.113447	0.183417	0.067463	0.062781	0.441328	0.046607	0.055521	0.364919	0.028845	
