Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
1000	100.687501	2	0.311610	0.294000	0.132519	0.261871	0.311610	0.294000	0.132519	0.261871	0.242490	0.248142	0.260916	0.248452	0.311610	0.294000	0.132519	0.261871	0.242490	0.248142	0.260916	0.248452	0.311610	0.294000	0.132519	0.261871	0.242490	0.248142	0.260916	0.248452	
2000	100.687501	2	0.387880	0.256712	0.128382	0.227026	0.387880	0.256712	0.128382	0.227026	0.214013	0.247150	0.266227	0.272609	0.214013	0.247150	0.266227	0.272609	0.214013	0.247150	0.266227	0.272609	0.387880	0.256712	0.128382	0.227026	0.214013	0.247150	0.266227	0.272609	
3000	100.687501	3	0.387880	0.256712	0.128382	0.227026	0.387880	0.256712	0.128382	0.227026	0.199574	0.268256	0.264657	0.267513	0.199574	0.268256	0.264657	0.267513	0.295477	0.185923	0.238299	0.280301	0.387880	0.256712	0.128382	0.227026	0.199574	0.268256	0.264657	0.267513	
4000	100.687501	2	0.348107	0.287896	0.114214	0.249784	0.348107	0.287896	0.114214	0.249784	0.202159	0.262519	0.270389	0.264932	0.202159	0.262519	0.270389	0.264932	0.202159	0.262519	0.270389	0.264932	0.348107	0.287896	0.114214	0.249784	0.202159	0.262519	0.270389	0.264932	
5000	100.687501	2	0.323736	0.307239	0.113296	0.255730	0.323736	0.307239	0.113296	0.255730	0.187201	0.268953	0.275550	0.268297	0.187201	0.268953	0.275550	0.268297	0.187201	0.268953	0.275550	0.268297	0.323736	0.307239	0.113296	0.255730	0.187201	0.268953	0.275550	0.268297	
6000	100.687501	2	0.344517	0.286425	0.122023	0.247035	0.344517	0.286425	0.122023	0.247035	0.177808	0.264238	0.305543	0.252411	0.177808	0.264238	0.305543	0.252411	0.177808	0.264238	0.305543	0.252411	0.344517	0.286425	0.122023	0.247035	0.177808	0.264238	0.305543	0.252411	
7000	100.687501	2	0.339783	0.290863	0.114957	0.254396	0.339783	0.290863	0.114957	0.254396	0.181906	0.287921	0.271050	0.259123	0.181906	0.287921	0.271050	0.259123	0.181906	0.287921	0.271050	0.259123	0.339783	0.290863	0.114957	0.254396	0.181906	0.287921	0.271050	0.259123	
8000	100.687501	2	0.339783	0.290863	0.114957	0.254396	0.339783	0.290863	0.114957	0.254396	0.178212	0.287214	0.251908	0.282666	0.178212	0.287214	0.251908	0.282666	0.178212	0.287214	0.251908	0.282666	0.339783	0.290863	0.114957	0.254396	0.178212	0.287214	0.251908	0.282666	
9000	100.687501	3	0.339783	0.290863	0.114957	0.254396	0.339783	0.290863	0.114957	0.254396	0.197346	0.259644	0.265745	0.277264	0.197346	0.259644	0.265745	0.277264	0.299750	0.254293	0.262724	0.183233	0.339783	0.290863	0.114957	0.254396	0.197346	0.259644	0.265745	0.277264	
10000	100.687501	3	0.347358	0.274026	0.121977	0.256639	0.347358	0.274026	0.121977	0.256639	0.235102	0.301708	0.240262	0.222929	0.172839	0.293828	0.223698	0.309634	0.235102	0.301708	0.240262	0.222929	0.347358	0.274026	0.121977	0.256639	0.172839	0.293828	0.223698	0.309634	
11000	100.687501	3	0.340088	0.265394	0.134522	0.259996	0.340088	0.265394	0.134522	0.259996	0.195577	0.271144	0.275696	0.257583	0.218970	0.284878	0.105890	0.390262	0.195577	0.271144	0.275696	0.257583	0.340088	0.265394	0.134522	0.259996	0.195577	0.271144	0.275696	0.257583	
12000	100.687501	3	0.327540	0.278049	0.129973	0.264438	0.327540	0.278049	0.129973	0.264438	0.165490	0.387448	0.260462	0.186600	0.185486	0.276293	0.239650	0.298571	0.185486	0.276293	0.239650	0.298571	0.327540	0.278049	0.129973	0.264438	0.185486	0.276293	0.239650	0.298571	
13000	100.687501	2	0.345474	0.268398	0.128002	0.258125	0.345474	0.268398	0.128002	0.258125	0.213817	0.257541	0.272056	0.256586	0.213817	0.257541	0.272056	0.256586	0.213817	0.257541	0.272056	0.256586	0.345474	0.268398	0.128002	0.258125	0.213817	0.257541	0.272056	0.256586	
14000	100.687501	2	0.352624	0.260871	0.122937	0.263568	0.352624	0.260871	0.122937	0.263568	0.224927	0.261801	0.247611	0.265661	0.224927	0.261801	0.247611	0.265661	0.224927	0.261801	0.247611	0.265661	0.352624	0.260871	0.122937	0.263568	0.224927	0.261801	0.247611	0.265661	
15000	100.687501	2	0.343840	0.280200	0.118358	0.257602	0.343840	0.280200	0.118358	0.257602	0.221302	0.299050	0.216708	0.262940	0.221302	0.299050	0.216708	0.262940	0.221302	0.299050	0.216708	0.262940	0.343840	0.280200	0.118358	0.257602	0.221302	0.299050	0.216708	0.262940	
16000	100.687501	3	0.357865	0.248942	0.158673	0.234520	0.357865	0.248942	0.158673	0.234520	0.191561	0.240319	0.349918	0.218201	0.143642	0.492220	0.182912	0.181227	0.191561	0.240319	0.349918	0.218201	0.357865	0.248942	0.158673	0.234520	0.191561	0.240319	0.349918	0.218201	
17000	100.687501	3	0.332804	0.287046	0.137911	0.242238	0.332804	0.287046	0.137911	0.242238	0.195036	0.269429	0.283053	0.252482	0.195036	0.269429	0.283053	0.252482	0.195036	0.269429	0.283053	0.252482	0.468602	0.264083	0.086839	0.180475	0.195036	0.269429	0.283053	0.252482	
18000	100.687501	2	0.340631	0.286408	0.115136	0.257825	0.340631	0.286408	0.115136	0.257825	0.206818	0.272866	0.253634	0.266682	0.206818	0.272866	0.253634	0.266682	0.206818	0.272866	0.253634	0.266682	0.340631	0.286408	0.115136	0.257825	0.206818	0.272866	0.253634	0.266682	
19000	100.687501	2	0.340631	0.286408	0.115136	0.257825	0.340631	0.286408	0.115136	0.257825	0.186739	0.278765	0.280571	0.253925	0.186739	0.278765	0.280571	0.253925	0.186739	0.278765	0.280571	0.253925	0.340631	0.286408	0.115136	0.257825	0.186739	0.278765	0.280571	0.253925	
20000	100.687501	3	0.334580	0.285780	0.115370	0.264269	0.334580	0.285780	0.115370	0.264269	0.165164	0.326240	0.194823	0.313773	0.165164	0.326240	0.194823	0.313773	0.169331	0.270280	0.467192	0.093198	0.334580	0.285780	0.115370	0.264269	0.165164	0.326240	0.194823	0.313773	
21000	100.687501	2	0.345294	0.283486	0.130199	0.241022	0.345294	0.283486	0.130199	0.241022	0.205379	0.223277	0.337680	0.233664	0.345294	0.283486	0.130199	0.241022	0.205379	0.223277	0.337680	0.233664	0.345294	0.283486	0.130199	0.241022	0.205379	0.223277	0.337680	0.233664	
22000	100.687501	3	0.325591	0.285940	0.131249	0.257221	0.325591	0.285940	0.131249	0.257221	0.170199	0.269707	0.264704	0.295390	0.170199	0.269707	0.264704	0.295390	0.161896	0.279088	0.250200	0.308817	0.325591	0.285940	0.131249	0.257221	0.161896	0.279088	0.250200	0.308817	
23000	100.687501	2	0.322830	0.276723	0.126662	0.273785	0.322830	0.276723	0.126662	0.273785	0.180008	0.264004	0.264200	0.291788	0.180008	0.264004	0.264200	0.291788	0.180008	0.264004	0.264200	0.291788	0.322830	0.276723	0.126662	0.273785	0.180008	0.264004	0.264200	0.291788	
24000	100.687501	2	0.319928	0.284630	0.129457	0.265985	0.319928	0.284630	0.129457	0.265985	0.212775	0.222702	0.274855	0.289669	0.212775	0.222702	0.274855	0.289669	0.212775	0.222702	0.274855	0.289669	0.319928	0.284630	0.129457	0.265985	0.212775	0.222702	0.274855	0.289669	
25000	100.687501	4	0.319928	0.284630	0.129457	0.265985	0.319928	0.284630	0.129457	0.265985	0.196758	0.259126	0.298456	0.245659	0.211741	0.160297	0.190044	0.437918	0.310101	0.145790	0.301959	0.242150	0.319928	0.284630	0.129457	0.265985	0.196758	0.259126	0.298456	0.245659	
26000	100.687501	3	0.335011	0.279646	0.122474	0.262869	0.335011	0.279646	0.122474	0.262869	0.187739	0.243778	0.309858	0.258625	0.187739	0.243778	0.309858	0.258625	0.243736	0.128558	0.497477	0.130228	0.335011	0.279646	0.122474	0.262869	0.187739	0.243778	0.309858	0.258625	
27000	100.687501	2	0.331772	0.270637	0.135389	0.262202	0.331772	0.270637	0.135389	0.262202	0.195911	0.280758	0.262834	0.260496	0.195911	0.280758	0.262834	0.260496	0.195911	0.280758	0.262834	0.260496	0.331772	0.270637	0.135389	0.262202	0.195911	0.280758	0.262834	0.260496	
28000	100.687501	2	0.325861	0.290564	0.128303	0.255272	0.325861	0.290564	0.128303	0.255272	0.179422	0.264081	0.284839	0.271659	0.179422	0.264081	0.284839	0.271659	0.179422	0.264081	0.284839	0.271659	0.325861	0.290564	0.128303	0.255272	0.179422	0.264081	0.284839	0.271659	
29000	100.687501	2	0.325931	0.282589	0.124326	0.267154	0.325931	0.282589	0.124326	0.267154	0.208476	0.295314	0.261536	0.234674	0.208476	0.295314	0.261536	0.234674	0.208476	0.295314	0.261536	0.234674	0.325931	0.282589	0.124326	0.267154	0.208476	0.295314	0.261536	0.234674	
30000	100.687501	3	0.325931	0.282589	0.124326	0.267154	0.325931	0.282589	0.124326	0.267154	0.172336	0.269327	0.269849	0.288487	0.104012	0.344350	0.094305	0.457333	0.172336	0.269327	0.269849	0.288487	0.325931	0.282589	0.124326	0.267154	0.172336	0.269327	0.269849	0.288487	
31000	100.687501	2	0.321100	0.291727	0.127820	0.259353	0.321100	0.291727	0.127820	0.259353	0.190764	0.233188	0.277168	0.298879	0.190764	0.233188	0.277168	0.298879	0.190764	0.233188	0.277168	0.298879	0.321100	0.291727	0.127820	0.259353	0.190764	0.233188	0.277168	0.298879	
32000	100.687501	2	0.333637	0.270590	0.138087	0.257686	0.333637	0.270590	0.138087	0.257686	0.200129	0.251293	0.251699	0.296880	0.200129	0.251293	0.251699	0.296880	0.200129	0.251293	0.251699	0.296880	0.333637	0.270590	0.138087	0.257686	0.200129	0.251293	0.251699	0.296880	
33000	100.687501	3	0.337745	0.280361	0.119873	0.262022	0.337745	0.280361	0.119873	0.262022	0.203079	0.249728	0.279041	0.268152	0.135231	0.279093	0.209704	0.375972	0.203079	0.249728	0.279041	0.268152	0.337745	0.280361	0.119873	0.262022	0.203079	0.249728	0.279041	0.268152	
34000	100.687501	3	0.337745	0.280361	0.119873	0.262022	0.337745	0.280361	0.119873	0.262022	0.191046	0.275703	0.241193	0.292058	0.191046	0.275703	0.241193	0.292058	0.340577	0.259982	0.258115	0.141326	0.337745	0.280361	0.119873	0.262022	0.191046	0.275703	0.241193	0.292058	
35000	100.687501	2	0.337745	0.280361	0.119873	0.262022	0.337745	0.280361	0.119873	0.262022	0.183513	0.258421	0.256043	0.302023	0.183513	0.258421	0.256043	0.302023	0.183513	0.258421	0.256043	0.302023	0.337745	0.280361	0.119873	0.262022	0.183513	0.258421	0.256043	0.302023	
36000	100.687501	3	0.349774	0.273645	0.119404	0.257177	0.349774	0.273645	0.119404	0.257177	0.181171	0.253520	0.272165	0.293145	0.181171	0.253520	0.272165	0.293145	0.253694	0.122497	0.367704	0.256105	0.349774	0.273645	0.119404	0.257177	0.181171	0.253520	0.272165	0.293145	
37000	100.687501	2	0.333458	0.280612	0.118783	0.267147	0.333458	0.280612	0.118783	0.267147	0.171391	0.293842	0.268442	0.266324	0.171391	0.293842	0.268442	0.266324	0.171391	0.293842	0.268442	0.266324	0.333458	0.280612	0.118783	0.267147	0.171391	0.293842	0.268442	0.266324	
38000	100.687501	3	0.345988	0.289804	0.108689	0.255520	0.345988	0.289804	0.108689	0.255520	0.161663	0.274536	0.322364	0.241437	0.198780	0.277002	0.229772	0.294446	0.161663	0.274536	0.322364	0.241437	0.345988	0.289804	0.108689	0.255520	0.198780	0.277002	0.229772	0.294446	
39000	100.687501	3	0.345988	0.289804	0.108689	0.255520	0.345988	0.289804	0.108689	0.255520	0.193530	0.262894	0.291292	0.252284	0.311882	0.185105	0.132681	0.370331	0.193530	0.262894	0.291292	0.252284	0.345988	0.289804	0.108689	0.255520	0.193530	0.262894	0.291292	0.252284	
40000	100.687501	3	0.333780	0.293621	0.106301	0.266297	0.333780	0.293621	0.106301	0.266297	0.195947	0.269737	0.228603	0.305713	0.195947	0.269737	0.228603	0.305713	0.168768	0.216194	0.444060	0.170979	0.333780	0.293621	0.106301	0.266297	0.195947	0.269737	0.228603	0.305713	
41000	100.687501	3	0.313716	0.300729	0.113584	0.271970	0.313716	0.300729	0.113584	0.271970	0.211025	0.270436	0.277017	0.241521	0.278051	0.262441	0.155061	0.304447	0.211025	0.270436	0.277017	0.241521	0.278051	0.262441	0.155061	0.304447	0.211025	0.270436	0.277017	0.241521	
42000	100.687501	2	0.309086	0.297170	0.125837	0.267907	0.309086	0.297170	0.125837	0.267907	0.180245	0.274975	0.303949	0.240831	0.309086	0.297170	0.125837	0.267907	0.180245	0.274975	0.303949	0.240831	0.309086	0.297170	0.125837	0.267907	0.180245	0.274975	0.303949	0.240831	
43000	100.687501	3	0.311996	0.312513	0.115218	0.260272	0.311996	0.312513	0.115218	0.260272	0.187257	0.263370	0.282212	0.267161	0.287101	0.195646	0.146878	0.370375	0.187257	0.263370	0.282212	0.267161	0.287101	0.195646	0.146878	0.370375	0.187257	0.263370	0.282212	0.267161	
44000	100.687501	2	0.311996	0.312513	0.115218	0.260272	0.311996	0.312513	0.115218	0.260272	0.201498	0.265401	0.269918	0.263183	0.201498	0.265401	0.269918	0.263183	0.201498	0.265401	0.269918	0.263183	0.311996	0.312513	0.115218	0.260272	0.201498	0.265401	0.269918	0.263183	
45000	100.687501	3	0.334321	0.299258	0.120568	0.245853	0.334321	0.299258	0.120568	0.245853	0.200980	0.271985	0.289240	0.237794	0.175923	0.404341	0.212635	0.207101	0.200980	0.271985	0.289240	0.237794	0.334321	0.299258	0.120568	0.245853	0.200980	0.271985	0.289240	0.237794	
46000	100.687501	2	0.321694	0.290184	0.121013	0.267109	0.321694	0.290184	0.121013	0.267109	0.199610	0.249031	0.269107	0.282252	0.199610	0.249031	0.269107	0.282252	0.199610	0.249031	0.269107	0.282252	0.321694	0.290184	0.121013	0.267109	0.199610	0.249031	0.269107	0.282252	
47000	100.687501	2	0.321694	0.290184	0.121013	0.267109	0.321694	0.290184	0.121013	0.267109	0.199120	0.266351	0.278456	0.256073	0.199120	0.266351	0.278456	0.256073	0.199120	0.266351	0.278456	0.256073	0.321694	0.290184	0.121013	0.267109	0.199120	0.266351	0.278456	0.256073	
48000	100.687501	2	0.334542	0.283209	0.129282	0.252967	0.334542	0.283209	0.129282	0.252967	0.198866	0.260549	0.306690	0.233895	0.198866	0.260549	0.306690	0.233895	0.198866	0.260549	0.306690	0.233895	0.334542	0.283209	0.129282	0.252967	0.198866	0.260549	0.306690	0.233895	
49000	100.687501	3	0.330392	0.307768	0.108999	0.252841	0.330392	0.307768	0.108999	0.252841	0.198379	0.316050	0.228344	0.257227	0.198379	0.316050	0.228344	0.257227	0.198379	0.316050	0.228344	0.257227	0.440274	0.152034	0.162204	0.245487	0.198379	0.316050	0.228344	0.257227	
50000	100.687501	3	0.339451	0.272292	0.122679	0.265577	0.339451	0.272292	0.122679	0.265577	0.212309	0.257363	0.276541	0.253787	0.243289	0.187924	0.187578	0.381209	0.212309	0.257363	0.276541	0.253787	0.339451	0.272292	0.122679	0.265577	0.212309	0.257363	0.276541	0.253787	
51000	100.687501	2	0.329236	0.281521	0.119581	0.269663	0.329236	0.281521	0.119581	0.269663	0.195236	0.251895	0.284963	0.267907	0.195236	0.251895	0.284963	0.267907	0.195236	0.251895	0.284963	0.267907	0.329236	0.281521	0.119581	0.269663	0.195236	0.251895	0.284963	0.267907	
52000	100.687501	2	0.345820	0.282684	0.124768	0.246728	0.345820	0.282684	0.124768	0.246728	0.187735	0.306635	0.256117	0.249512	0.187735	0.306635	0.256117	0.249512	0.187735	0.306635	0.256117	0.249512	0.345820	0.282684	0.124768	0.246728	0.187735	0.306635	0.256117	0.249512	
53000	100.687501	3	0.345820	0.282684	0.124768	0.246728	0.345820	0.282684	0.124768	0.246728	0.182544	0.282952	0.272856	0.261648	0.182544	0.282952	0.272856	0.261648	0.182544	0.282952	0.272856	0.261648	0.265945	0.215604	0.171964	0.346487	0.182544	0.282952	0.272856	0.261648	
54000	100.687501	2	0.345820	0.282684	0.124768	0.246728	0.345820	0.282684	0.124768	0.246728	0.184345	0.284246	0.281118	0.250290	0.184345	0.284246	0.281118	0.250290	0.184345	0.284246	0.281118	0.250290	0.345820	0.282684	0.124768	0.246728	0.184345	0.284246	0.281118	0.250290	
