Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5273000	0.085832	2	0.325396	0.278191	0.136649	0.259764	0.325396	0.278191	0.136649	0.259764	0.164652	0.262870	0.311612	0.260866	0.164652	0.262870	0.311612	0.260866	0.164652	0.262870	0.311612	0.260866	0.325396	0.278191	0.136649	0.259764	0.164652	0.262870	0.311612	0.260866	
5274000	0.085832	3	0.353294	0.260186	0.123192	0.263328	0.353294	0.260186	0.123192	0.263328	0.198089	0.242721	0.285698	0.273493	0.091596	0.397994	0.134688	0.375722	0.198089	0.242721	0.285698	0.273493	0.353294	0.260186	0.123192	0.263328	0.198089	0.242721	0.285698	0.273493	
5275000	0.085832	2	0.347605	0.272245	0.134176	0.245974	0.347605	0.272245	0.134176	0.245974	0.226916	0.258020	0.251629	0.263436	0.226916	0.258020	0.251629	0.263436	0.226916	0.258020	0.251629	0.263436	0.347605	0.272245	0.134176	0.245974	0.226916	0.258020	0.251629	0.263436	
5276000	0.085832	2	0.324262	0.275101	0.126426	0.274211	0.324262	0.275101	0.126426	0.274211	0.199404	0.269906	0.261158	0.269532	0.199404	0.269906	0.261158	0.269532	0.199404	0.269906	0.261158	0.269532	0.324262	0.275101	0.126426	0.274211	0.199404	0.269906	0.261158	0.269532	
5277000	0.085832	3	0.351434	0.273674	0.126054	0.248839	0.351434	0.273674	0.126054	0.248839	0.187993	0.255243	0.302031	0.254733	0.113134	0.372378	0.255348	0.259140	0.187993	0.255243	0.302031	0.254733	0.351434	0.273674	0.126054	0.248839	0.187993	0.255243	0.302031	0.254733	
5278000	0.085832	2	0.326220	0.284230	0.126713	0.262837	0.326220	0.284230	0.126713	0.262837	0.190717	0.247589	0.279485	0.282209	0.190717	0.247589	0.279485	0.282209	0.190717	0.247589	0.279485	0.282209	0.326220	0.284230	0.126713	0.262837	0.190717	0.247589	0.279485	0.282209	
5279000	0.085832	2	0.335424	0.280709	0.126506	0.257361	0.335424	0.280709	0.126506	0.257361	0.190752	0.283267	0.252200	0.273781	0.190752	0.283267	0.252200	0.273781	0.190752	0.283267	0.252200	0.273781	0.335424	0.280709	0.126506	0.257361	0.190752	0.283267	0.252200	0.273781	
5280000	0.085832	2	0.335424	0.280709	0.126506	0.257361	0.335424	0.280709	0.126506	0.257361	0.179132	0.292777	0.294447	0.233644	0.179132	0.292777	0.294447	0.233644	0.179132	0.292777	0.294447	0.233644	0.335424	0.280709	0.126506	0.257361	0.179132	0.292777	0.294447	0.233644	
5281000	0.085832	3	0.321525	0.285643	0.131502	0.261330	0.321525	0.285643	0.131502	0.261330	0.224114	0.238808	0.282641	0.254436	0.207050	0.336868	0.149692	0.306390	0.224114	0.238808	0.282641	0.254436	0.321525	0.285643	0.131502	0.261330	0.224114	0.238808	0.282641	0.254436	
5282000	0.085832	2	0.333332	0.292073	0.128950	0.245645	0.333332	0.292073	0.128950	0.245645	0.190446	0.266478	0.267673	0.275403	0.190446	0.266478	0.267673	0.275403	0.190446	0.266478	0.267673	0.275403	0.333332	0.292073	0.128950	0.245645	0.190446	0.266478	0.267673	0.275403	
