Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
1000	0.085832	2	0.292791	0.289504	0.140450	0.277255	0.292791	0.289504	0.140450	0.277255	0.251214	0.281888	0.259692	0.207205	0.292791	0.289504	0.140450	0.277255	0.251214	0.281888	0.259692	0.207205	0.292791	0.289504	0.140450	0.277255	0.251214	0.281888	0.259692	0.207205	
2000	0.085832	2	0.323042	0.277185	0.135501	0.264271	0.323042	0.277185	0.135501	0.264271	0.188070	0.246090	0.299762	0.266078	0.188070	0.246090	0.299762	0.266078	0.188070	0.246090	0.299762	0.266078	0.323042	0.277185	0.135501	0.264271	0.188070	0.246090	0.299762	0.266078	
3000	0.085832	3	0.312805	0.288630	0.132708	0.265857	0.312805	0.288630	0.132708	0.265857	0.124210	0.355501	0.250422	0.269868	0.124210	0.355501	0.250422	0.269868	0.212290	0.197542	0.352747	0.237421	0.312805	0.288630	0.132708	0.265857	0.212290	0.197542	0.352747	0.237421	
4000	0.085832	3	0.319480	0.282828	0.126939	0.270752	0.319480	0.282828	0.126939	0.270752	0.187527	0.265180	0.280105	0.267188	0.119622	0.281279	0.115798	0.483301	0.187527	0.265180	0.280105	0.267188	0.319480	0.282828	0.126939	0.270752	0.187527	0.265180	0.280105	0.267188	
5000	0.085832	2	0.319480	0.282828	0.126939	0.270752	0.319480	0.282828	0.126939	0.270752	0.187527	0.265180	0.280105	0.267188	0.187527	0.265180	0.280105	0.267188	0.187527	0.265180	0.280105	0.267188	0.319480	0.282828	0.126939	0.270752	0.187527	0.265180	0.280105	0.267188	
6000	0.085832	2	0.340670	0.267569	0.118856	0.272905	0.340670	0.267569	0.118856	0.272905	0.196578	0.243268	0.265862	0.294292	0.196578	0.243268	0.265862	0.294292	0.196578	0.243268	0.265862	0.294292	0.340670	0.267569	0.118856	0.272905	0.196578	0.243268	0.265862	0.294292	
7000	0.085832	3	0.354553	0.274588	0.113499	0.257360	0.354553	0.274588	0.113499	0.257360	0.213065	0.261181	0.276913	0.248841	0.082800	0.286940	0.144091	0.486169	0.213065	0.261181	0.276913	0.248841	0.354553	0.274588	0.113499	0.257360	0.213065	0.261181	0.276913	0.248841	
8000	0.085832	2	0.340730	0.283447	0.108865	0.266958	0.340730	0.283447	0.108865	0.266958	0.217815	0.258668	0.271352	0.252165	0.217815	0.258668	0.271352	0.252165	0.217815	0.258668	0.271352	0.252165	0.340730	0.283447	0.108865	0.266958	0.217815	0.258668	0.271352	0.252165	
9000	0.085832	3	0.332921	0.283674	0.121553	0.261852	0.332921	0.283674	0.121553	0.261852	0.183084	0.297178	0.262458	0.257280	0.115746	0.273109	0.171102	0.440043	0.183084	0.297178	0.262458	0.257280	0.332921	0.283674	0.121553	0.261852	0.183084	0.297178	0.262458	0.257280	
10000	0.085832	2	0.332921	0.283674	0.121553	0.261852	0.332921	0.283674	0.121553	0.261852	0.201722	0.272114	0.273264	0.252900	0.201722	0.272114	0.273264	0.252900	0.201722	0.272114	0.273264	0.252900	0.332921	0.283674	0.121553	0.261852	0.201722	0.272114	0.273264	0.252900	
11000	0.085832	2	0.339444	0.264652	0.117773	0.278130	0.339444	0.264652	0.117773	0.278130	0.183645	0.248491	0.295801	0.272063	0.183645	0.248491	0.295801	0.272063	0.183645	0.248491	0.295801	0.272063	0.339444	0.264652	0.117773	0.278130	0.183645	0.248491	0.295801	0.272063	
12000	0.085832	2	0.327140	0.276922	0.109005	0.286934	0.327140	0.276922	0.109005	0.286934	0.173155	0.283596	0.267956	0.275293	0.173155	0.283596	0.267956	0.275293	0.173155	0.283596	0.267956	0.275293	0.327140	0.276922	0.109005	0.286934	0.173155	0.283596	0.267956	0.275293	
13000	0.085832	2	0.327140	0.276922	0.109005	0.286934	0.327140	0.276922	0.109005	0.286934	0.202901	0.262257	0.265840	0.269002	0.202901	0.262257	0.265840	0.269002	0.202901	0.262257	0.265840	0.269002	0.327140	0.276922	0.109005	0.286934	0.202901	0.262257	0.265840	0.269002	
14000	0.085832	2	0.346746	0.273910	0.114242	0.265101	0.346746	0.273910	0.114242	0.265101	0.176265	0.273412	0.279467	0.270855	0.176265	0.273412	0.279467	0.270855	0.176265	0.273412	0.279467	0.270855	0.346746	0.273910	0.114242	0.265101	0.176265	0.273412	0.279467	0.270855	
15000	0.085832	2	0.329168	0.274454	0.122329	0.274049	0.329168	0.274454	0.122329	0.274049	0.189260	0.264508	0.270984	0.275247	0.189260	0.264508	0.270984	0.275247	0.189260	0.264508	0.270984	0.275247	0.329168	0.274454	0.122329	0.274049	0.189260	0.264508	0.270984	0.275247	
16000	0.085832	2	0.325064	0.284601	0.112874	0.277462	0.325064	0.284601	0.112874	0.277462	0.187177	0.272031	0.259091	0.281701	0.187177	0.272031	0.259091	0.281701	0.187177	0.272031	0.259091	0.281701	0.325064	0.284601	0.112874	0.277462	0.187177	0.272031	0.259091	0.281701	
17000	0.085832	2	0.321964	0.284967	0.115471	0.277597	0.321964	0.284967	0.115471	0.277597	0.174480	0.274569	0.274854	0.276098	0.174480	0.274569	0.274854	0.276098	0.174480	0.274569	0.274854	0.276098	0.321964	0.284967	0.115471	0.277597	0.174480	0.274569	0.274854	0.276098	
18000	0.085832	2	0.321964	0.284967	0.115471	0.277597	0.321964	0.284967	0.115471	0.277597	0.196141	0.279567	0.276300	0.247992	0.196141	0.279567	0.276300	0.247992	0.196141	0.279567	0.276300	0.247992	0.321964	0.284967	0.115471	0.277597	0.196141	0.279567	0.276300	0.247992	
19000	0.085832	2	0.319633	0.290323	0.113783	0.276261	0.319633	0.290323	0.113783	0.276261	0.190412	0.282266	0.261143	0.266178	0.190412	0.282266	0.261143	0.266178	0.190412	0.282266	0.261143	0.266178	0.319633	0.290323	0.113783	0.276261	0.190412	0.282266	0.261143	0.266178	
20000	0.085832	2	0.319633	0.290323	0.113783	0.276261	0.319633	0.290323	0.113783	0.276261	0.205520	0.238886	0.344013	0.211582	0.319633	0.290323	0.113783	0.276261	0.205520	0.238886	0.344013	0.211582	0.319633	0.290323	0.113783	0.276261	0.205520	0.238886	0.344013	0.211582	
21000	0.085832	3	0.319633	0.290323	0.113783	0.276261	0.319633	0.290323	0.113783	0.276261	0.187551	0.283932	0.259429	0.269088	0.187551	0.283932	0.259429	0.269088	0.188537	0.136605	0.393466	0.281392	0.319633	0.290323	0.113783	0.276261	0.187551	0.283932	0.259429	0.269088	
22000	0.085832	2	0.336038	0.275748	0.119489	0.268724	0.336038	0.275748	0.119489	0.268724	0.199515	0.281792	0.267484	0.251209	0.199515	0.281792	0.267484	0.251209	0.199515	0.281792	0.267484	0.251209	0.336038	0.275748	0.119489	0.268724	0.199515	0.281792	0.267484	0.251209	
23000	0.085832	2	0.343745	0.276600	0.111541	0.268114	0.343745	0.276600	0.111541	0.268114	0.182180	0.258781	0.282934	0.276105	0.182180	0.258781	0.282934	0.276105	0.182180	0.258781	0.282934	0.276105	0.343745	0.276600	0.111541	0.268114	0.182180	0.258781	0.282934	0.276105	
24000	0.085832	3	0.343745	0.276600	0.111541	0.268114	0.343745	0.276600	0.111541	0.268114	0.197124	0.270006	0.271119	0.261751	0.067280	0.243859	0.179888	0.508973	0.197124	0.270006	0.271119	0.261751	0.343745	0.276600	0.111541	0.268114	0.197124	0.270006	0.271119	0.261751	
25000	0.085832	2	0.322646	0.287149	0.119738	0.270467	0.322646	0.287149	0.119738	0.270467	0.194254	0.274433	0.261078	0.270234	0.194254	0.274433	0.261078	0.270234	0.194254	0.274433	0.261078	0.270234	0.322646	0.287149	0.119738	0.270467	0.194254	0.274433	0.261078	0.270234	
26000	0.085832	2	0.338320	0.293483	0.120873	0.247324	0.338320	0.293483	0.120873	0.247324	0.184297	0.286211	0.282794	0.246699	0.184297	0.286211	0.282794	0.246699	0.184297	0.286211	0.282794	0.246699	0.338320	0.293483	0.120873	0.247324	0.184297	0.286211	0.282794	0.246699	
27000	0.085832	2	0.342179	0.293020	0.116798	0.248003	0.342179	0.293020	0.116798	0.248003	0.180823	0.274074	0.277735	0.267368	0.180823	0.274074	0.277735	0.267368	0.180823	0.274074	0.277735	0.267368	0.342179	0.293020	0.116798	0.248003	0.180823	0.274074	0.277735	0.267368	
28000	0.085832	2	0.318127	0.291136	0.120074	0.270663	0.318127	0.291136	0.120074	0.270663	0.186808	0.306510	0.289092	0.217591	0.318127	0.291136	0.120074	0.270663	0.186808	0.306510	0.289092	0.217591	0.318127	0.291136	0.120074	0.270663	0.186808	0.306510	0.289092	0.217591	
29000	0.085832	2	0.337878	0.291514	0.107415	0.263193	0.337878	0.291514	0.107415	0.263193	0.173732	0.321924	0.270131	0.234213	0.173732	0.321924	0.270131	0.234213	0.173732	0.321924	0.270131	0.234213	0.337878	0.291514	0.107415	0.263193	0.173732	0.321924	0.270131	0.234213	
30000	0.085832	2	0.329958	0.281252	0.115027	0.273763	0.329958	0.281252	0.115027	0.273763	0.184416	0.259814	0.283998	0.271772	0.184416	0.259814	0.283998	0.271772	0.184416	0.259814	0.283998	0.271772	0.329958	0.281252	0.115027	0.273763	0.184416	0.259814	0.283998	0.271772	
31000	0.085832	3	0.329853	0.280022	0.116587	0.273538	0.329853	0.280022	0.116587	0.273538	0.172139	0.257985	0.295732	0.274144	0.221582	0.253022	0.206623	0.318773	0.172139	0.257985	0.295732	0.274144	0.329853	0.280022	0.116587	0.273538	0.172139	0.257985	0.295732	0.274144	
32000	0.085832	3	0.329853	0.280022	0.116587	0.273538	0.329853	0.280022	0.116587	0.273538	0.190618	0.273148	0.251888	0.284346	0.152380	0.308531	0.233525	0.305564	0.190618	0.273148	0.251888	0.284346	0.329853	0.280022	0.116587	0.273538	0.190618	0.273148	0.251888	0.284346	
33000	0.085832	2	0.329853	0.280022	0.116587	0.273538	0.329853	0.280022	0.116587	0.273538	0.227981	0.269940	0.260703	0.241376	0.227981	0.269940	0.260703	0.241376	0.227981	0.269940	0.260703	0.241376	0.329853	0.280022	0.116587	0.273538	0.227981	0.269940	0.260703	0.241376	
34000	0.085832	3	0.327284	0.279475	0.109363	0.283878	0.327284	0.279475	0.109363	0.283878	0.182741	0.260445	0.271799	0.285015	0.182741	0.260445	0.271799	0.285015	0.209016	0.177407	0.332070	0.281507	0.327284	0.279475	0.109363	0.283878	0.182741	0.260445	0.271799	0.285015	
35000	0.085832	2	0.332769	0.293478	0.105415	0.268337	0.332769	0.293478	0.105415	0.268337	0.206779	0.260139	0.264247	0.268836	0.206779	0.260139	0.264247	0.268836	0.206779	0.260139	0.264247	0.268836	0.332769	0.293478	0.105415	0.268337	0.206779	0.260139	0.264247	0.268836	
36000	0.085832	2	0.318998	0.289842	0.107611	0.283548	0.318998	0.289842	0.107611	0.283548	0.184025	0.283922	0.276703	0.255350	0.184025	0.283922	0.276703	0.255350	0.184025	0.283922	0.276703	0.255350	0.318998	0.289842	0.107611	0.283548	0.184025	0.283922	0.276703	0.255350	
37000	0.085832	2	0.329941	0.288821	0.112708	0.268530	0.329941	0.288821	0.112708	0.268530	0.197927	0.243961	0.312741	0.245371	0.197927	0.243961	0.312741	0.245371	0.197927	0.243961	0.312741	0.245371	0.329941	0.288821	0.112708	0.268530	0.197927	0.243961	0.312741	0.245371	
38000	0.085832	3	0.361457	0.269357	0.109564	0.259622	0.361457	0.269357	0.109564	0.259622	0.207661	0.261058	0.259814	0.271467	0.180644	0.223766	0.217818	0.377772	0.207661	0.261058	0.259814	0.271467	0.361457	0.269357	0.109564	0.259622	0.207661	0.261058	0.259814	0.271467	
39000	0.085832	2	0.361457	0.269357	0.109564	0.259622	0.361457	0.269357	0.109564	0.259622	0.186485	0.249057	0.310738	0.253719	0.186485	0.249057	0.310738	0.253719	0.186485	0.249057	0.310738	0.253719	0.361457	0.269357	0.109564	0.259622	0.186485	0.249057	0.310738	0.253719	
40000	0.085832	2	0.336161	0.269014	0.119781	0.275044	0.336161	0.269014	0.119781	0.275044	0.221098	0.252285	0.271941	0.254676	0.221098	0.252285	0.271941	0.254676	0.221098	0.252285	0.271941	0.254676	0.336161	0.269014	0.119781	0.275044	0.221098	0.252285	0.271941	0.254676	
41000	0.085832	2	0.326563	0.289851	0.112459	0.271127	0.326563	0.289851	0.112459	0.271127	0.180400	0.261951	0.274073	0.283577	0.180400	0.261951	0.274073	0.283577	0.180400	0.261951	0.274073	0.283577	0.326563	0.289851	0.112459	0.271127	0.180400	0.261951	0.274073	0.283577	
42000	0.085832	2	0.329723	0.276871	0.118938	0.274468	0.329723	0.276871	0.118938	0.274468	0.215626	0.247185	0.295540	0.241649	0.215626	0.247185	0.295540	0.241649	0.215626	0.247185	0.295540	0.241649	0.329723	0.276871	0.118938	0.274468	0.215626	0.247185	0.295540	0.241649	
43000	0.085832	3	0.350022	0.265398	0.130596	0.253984	0.350022	0.265398	0.130596	0.253984	0.189780	0.274800	0.267934	0.267485	0.200298	0.282019	0.232283	0.285400	0.189780	0.274800	0.267934	0.267485	0.350022	0.265398	0.130596	0.253984	0.189780	0.274800	0.267934	0.267485	
44000	0.085832	3	0.338691	0.276170	0.125557	0.259582	0.338691	0.276170	0.125557	0.259582	0.221617	0.247333	0.265164	0.265886	0.108915	0.210335	0.241519	0.439231	0.221617	0.247333	0.265164	0.265886	0.338691	0.276170	0.125557	0.259582	0.221617	0.247333	0.265164	0.265886	
