Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
871000	16.777027	3	0.063917	0.375196	0.061535	0.028823	0.418809	0.051721	0.063917	0.375196	0.061535	0.028823	0.418809	0.051721	0.063917	0.375196	0.061535	0.028823	0.418809	0.051721	0.081506	0.278403	0.062424	0.129891	0.428707	0.019069	0.044641	0.379772	0.155546	0.072495	0.271848	0.075698	0.044641	0.379772	0.155546	0.072495	0.271848	0.075698	0.063917	0.375196	0.061535	0.028823	0.418809	0.051721	
872000	16.777027	2	0.067658	0.381005	0.060294	0.028241	0.410365	0.052436	0.067658	0.381005	0.060294	0.028241	0.410365	0.052436	0.067658	0.381005	0.060294	0.028241	0.410365	0.052436	0.070680	0.413918	0.124246	0.154702	0.174137	0.062318	0.070680	0.413918	0.124246	0.154702	0.174137	0.062318	0.070680	0.413918	0.124246	0.154702	0.174137	0.062318	0.067658	0.381005	0.060294	0.028241	0.410365	0.052436	
873000	16.777027	2	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	0.015011	0.156989	0.076833	0.259662	0.459986	0.031519	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	0.062368	0.366265	0.063934	0.029666	0.433433	0.044334	
874000	16.777027	3	0.062546	0.367140	0.062297	0.028234	0.430088	0.049694	0.062546	0.367140	0.062297	0.028234	0.430088	0.049694	0.062546	0.367140	0.062297	0.028234	0.430088	0.049694	0.030739	0.136405	0.014017	0.500235	0.300155	0.018449	0.087351	0.430423	0.093428	0.124633	0.245024	0.019140	0.087351	0.430423	0.093428	0.124633	0.245024	0.019140	0.062546	0.367140	0.062297	0.028234	0.430088	0.049694	
875000	16.777027	3	0.062438	0.408050	0.057391	0.032772	0.388746	0.050603	0.062438	0.408050	0.057391	0.032772	0.388746	0.050603	0.062438	0.408050	0.057391	0.032772	0.388746	0.050603	0.057463	0.058340	0.237507	0.113234	0.184683	0.348773	0.074551	0.239582	0.185420	0.342660	0.121038	0.036748	0.062438	0.408050	0.057391	0.032772	0.388746	0.050603	0.062438	0.408050	0.057391	0.032772	0.388746	0.050603	
876000	16.777027	2	0.071448	0.385599	0.061048	0.026020	0.404081	0.051805	0.071448	0.385599	0.061048	0.026020	0.404081	0.051805	0.071448	0.385599	0.061048	0.026020	0.404081	0.051805	0.122282	0.421204	0.096806	0.133073	0.144165	0.082471	0.122282	0.421204	0.096806	0.133073	0.144165	0.082471	0.122282	0.421204	0.096806	0.133073	0.144165	0.082471	0.071448	0.385599	0.061048	0.026020	0.404081	0.051805	
877000	16.777027	3	0.060178	0.375565	0.058398	0.021728	0.430452	0.053679	0.060178	0.375565	0.058398	0.021728	0.430452	0.053679	0.060178	0.375565	0.058398	0.021728	0.430452	0.053679	0.045854	0.333190	0.226344	0.136913	0.150298	0.107400	0.045854	0.333190	0.226344	0.136913	0.150298	0.107400	0.121599	0.350173	0.049697	0.078333	0.371826	0.028373	0.121599	0.350173	0.049697	0.078333	0.371826	0.028373	
878000	16.777027	3	0.058332	0.352516	0.073657	0.027954	0.441788	0.045754	0.058332	0.352516	0.073657	0.027954	0.441788	0.045754	0.058332	0.352516	0.073657	0.027954	0.441788	0.045754	0.026723	0.049831	0.077004	0.366759	0.248020	0.231662	0.108353	0.427146	0.113037	0.150497	0.145511	0.055456	0.108353	0.427146	0.113037	0.150497	0.145511	0.055456	0.058332	0.352516	0.073657	0.027954	0.441788	0.045754	
879000	16.777027	4	0.069102	0.416747	0.059250	0.025123	0.378435	0.051344	0.069102	0.416747	0.059250	0.025123	0.378435	0.051344	0.069102	0.416747	0.059250	0.025123	0.378435	0.051344	0.041522	0.224307	0.059821	0.125075	0.426551	0.122724	0.136283	0.331587	0.058334	0.077170	0.352115	0.044510	0.051762	0.492381	0.065004	0.189400	0.085349	0.116103	0.136283	0.331587	0.058334	0.077170	0.352115	0.044510	
880000	16.777027	3	0.057932	0.444228	0.063649	0.027591	0.358026	0.048575	0.057932	0.444228	0.063649	0.027591	0.358026	0.048575	0.057932	0.444228	0.063649	0.027591	0.358026	0.048575	0.149383	0.325032	0.126480	0.164289	0.211197	0.023619	0.161261	0.266777	0.239349	0.092971	0.130655	0.108988	0.057932	0.444228	0.063649	0.027591	0.358026	0.048575	0.057932	0.444228	0.063649	0.027591	0.358026	0.048575	
