Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
1000	0.085832	2	7.483386	16.191206	7.483386	7.483386	7.483386	7.483386	7.483386	
2000	0.085832	2	5.589967	18.049794	5.589967	5.589967	5.589967	5.589967	5.589967	
3000	0.085832	2	5.190572	17.252599	5.190572	5.190572	5.190572	5.190572	5.190572	
4000	0.085832	2	5.621378	18.046250	5.621378	5.621378	5.621378	5.621378	5.621378	
5000	0.085832	2	7.394218	17.062972	7.394218	7.394218	7.394218	7.394218	7.394218	
6000	0.085832	2	6.597780	19.338788	6.597780	6.597780	6.597780	6.597780	6.597780	
7000	0.085832	2	6.470661	21.428447	6.470661	6.470661	6.470661	6.470661	6.470661	
8000	0.085832	2	6.610696	16.797587	6.610696	16.797587	6.610696	6.610696	6.610696	
9000	0.085832	2	5.954060	18.334679	5.954060	5.954060	5.954060	5.954060	5.954060	
10000	0.085832	2	6.280174	17.806397	6.280174	6.280174	6.280174	6.280174	6.280174	
11000	0.085832	2	6.439462	17.935972	6.439462	6.439462	6.439462	6.439462	6.439462	
12000	0.085832	2	6.668601	18.155121	6.668601	6.668601	6.668601	6.668601	6.668601	
13000	0.085832	2	6.488887	16.978233	6.488887	6.488887	6.488887	6.488887	6.488887	
14000	0.085832	2	6.613016	19.703791	6.613016	6.613016	6.613016	6.613016	6.613016	
15000	0.085832	2	6.967600	16.861399	6.967600	6.967600	6.967600	6.967600	6.967600	
16000	0.085832	2	6.722082	17.071799	6.722082	6.722082	6.722082	6.722082	6.722082	
17000	0.085832	2	6.775412	17.093776	6.775412	6.775412	6.775412	6.775412	6.775412	
18000	0.085832	2	6.747245	18.501661	6.747245	6.747245	6.747245	6.747245	6.747245	
19000	0.085832	2	6.696727	16.380749	6.696727	6.696727	6.696727	6.696727	6.696727	
20000	0.085832	2	6.882004	16.876145	6.882004	6.882004	6.882004	6.882004	6.882004	
21000	0.085832	2	7.477358	18.111707	7.477358	7.477358	7.477358	7.477358	7.477358	
22000	0.085832	2	6.545349	17.713651	6.545349	6.545349	6.545349	6.545349	6.545349	
23000	0.085832	2	6.286425	18.758069	6.286425	6.286425	6.286425	6.286425	6.286425	
24000	0.085832	2	6.416055	19.793937	6.416055	6.416055	6.416055	6.416055	6.416055	
25000	0.085832	2	6.966707	16.862042	6.966707	6.966707	6.966707	6.966707	6.966707	
26000	0.085832	2	6.606288	17.831324	6.606288	6.606288	6.606288	6.606288	6.606288	
27000	0.085832	2	6.545557	17.125242	6.545557	6.545557	6.545557	6.545557	6.545557	
28000	0.085832	2	6.771441	18.526955	6.771441	6.771441	6.771441	6.771441	6.771441	
29000	0.085832	2	6.326850	17.360262	6.326850	6.326850	6.326850	6.326850	6.326850	
30000	0.085832	2	6.675173	17.809576	6.675173	6.675173	6.675173	6.675173	6.675173	
31000	0.085832	2	6.432097	17.826269	6.432097	6.432097	6.432097	6.432097	6.432097	
32000	0.085832	2	6.334329	16.579137	6.334329	6.334329	6.334329	6.334329	6.334329	
33000	0.085832	2	6.923474	19.304221	6.923474	6.923474	6.923474	6.923474	6.923474	
34000	0.085832	2	6.818795	19.926692	6.818795	6.818795	6.818795	19.926692	6.818795	
35000	0.085832	2	6.256147	17.182109	6.256147	6.256147	6.256147	6.256147	6.256147	
36000	0.085832	2	6.570134	17.723203	6.570134	6.570134	6.570134	6.570134	6.570134	
37000	0.085832	2	6.748352	17.799100	6.748352	6.748352	6.748352	6.748352	6.748352	
38000	0.085832	2	6.304002	16.766570	6.304002	6.304002	6.304002	6.304002	6.304002	
