Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
1000	16.777027	2	7.134958	18.954434	7.134958	7.134958	7.134958	7.134958	7.134958	
2000	16.777027	2	6.084841	17.744274	6.084841	6.084841	6.084841	6.084841	6.084841	
3000	16.777027	2	5.278439	18.435561	5.278439	5.278439	5.278439	5.278439	5.278439	
4000	16.777027	3	5.741649	19.875441	5.741649	18.644269	5.741649	5.741649	5.741649	
5000	16.777027	2	5.541209	18.628903	5.541209	5.541209	5.541209	5.541209	5.541209	
6000	16.777027	2	4.924696	17.221882	4.924696	4.924696	4.924696	4.924696	4.924696	
7000	16.777027	2	5.005070	17.966049	5.005070	5.005070	5.005070	5.005070	5.005070	
8000	16.777027	2	5.918399	18.053329	5.918399	5.918399	5.918399	5.918399	5.918399	
9000	16.777027	2	5.209648	17.500003	5.209648	5.209648	5.209648	5.209648	5.209648	
10000	16.777027	2	4.885006	17.089038	4.885006	4.885006	4.885006	4.885006	4.885006	
11000	16.777027	2	5.542811	18.099170	5.542811	5.542811	5.542811	5.542811	5.542811	
12000	16.777027	3	5.420634	18.844265	5.420634	5.420634	5.420634	14.956505	5.420634	
13000	16.777027	2	5.167315	18.965411	5.167315	5.167315	5.167315	5.167315	5.167315	
14000	16.777027	2	4.838230	16.424859	4.838230	4.838230	4.838230	4.838230	4.838230	
15000	16.777027	2	5.454406	19.135697	5.454406	5.454406	5.454406	5.454406	5.454406	
16000	16.777027	2	5.354597	20.274553	5.354597	5.354597	5.354597	5.354597	5.354597	
17000	16.777027	2	5.749855	17.712983	5.749855	5.749855	5.749855	5.749855	5.749855	
18000	16.777027	3	5.624891	18.440068	5.624891	18.440068	5.624891	19.201637	5.624891	
19000	16.777027	2	5.911657	16.962193	5.911657	5.911657	5.911657	5.911657	5.911657	
20000	16.777027	2	5.834397	19.614664	5.834397	5.834397	5.834397	5.834397	5.834397	
21000	16.777027	5	6.061978	18.769461	6.061978	15.481780	16.247808	16.185883	6.061978	
22000	16.777027	5	5.769028	20.186509	5.769028	14.467166	17.225626	15.245658	5.769028	
23000	16.777027	5	5.839999	17.857243	5.839999	14.876794	17.662597	16.644532	5.839999	
24000	16.777027	5	5.916661	20.333247	5.916661	15.954659	15.148584	14.712752	5.916661	
25000	16.777027	4	5.629293	18.133374	5.629293	5.629293	14.889321	16.313730	5.629293	
26000	16.777027	5	5.956293	17.507028	5.956293	16.506628	17.747029	17.624417	5.956293	
27000	16.777027	4	5.871704	17.341137	5.871704	5.871704	15.703530	16.387161	5.871704	
28000	16.777027	3	5.869206	18.328712	5.869206	5.869206	13.152283	13.152283	5.869206	
29000	16.777027	4	6.259797	17.963030	6.259797	6.259797	17.537596	18.207985	6.259797	
30000	16.777027	2	5.632219	18.312815	5.632219	5.632219	5.632219	5.632219	5.632219	
31000	16.777027	2	5.342360	19.464735	5.342360	5.342360	5.342360	5.342360	5.342360	
32000	16.777027	2	5.422932	19.087835	5.422932	5.422932	5.422932	5.422932	5.422932	
33000	16.777027	2	5.778596	19.897789	5.778596	5.778596	5.778596	5.778596	5.778596	
34000	16.777027	3	5.603017	18.487256	5.603017	5.603017	5.603017	15.715821	5.603017	
35000	16.777027	4	6.220926	18.046629	6.220926	17.825746	16.812908	17.825746	6.220926	
