Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1600000	100.687501	3	0.059587	0.379835	0.062783	0.028793	0.420320	0.048682	0.059587	0.379835	0.062783	0.028793	0.420320	0.048682	0.059587	0.379835	0.062783	0.028793	0.420320	0.048682	0.120608	0.239758	0.049570	0.268427	0.220665	0.100972	0.120608	0.239758	0.049570	0.268427	0.220665	0.100972	0.123369	0.250807	0.132277	0.311140	0.124506	0.057901	0.059587	0.379835	0.062783	0.028793	0.420320	0.048682	
1601000	100.687501	3	0.076402	0.331701	0.083796	0.067482	0.394441	0.046179	0.051109	0.438457	0.046740	0.016893	0.403213	0.043589	0.051109	0.438457	0.046740	0.016893	0.403213	0.043589	0.116667	0.391526	0.134431	0.110346	0.156124	0.090907	0.116667	0.391526	0.134431	0.110346	0.156124	0.090907	0.116667	0.391526	0.134431	0.110346	0.156124	0.090907	0.076402	0.331701	0.083796	0.067482	0.394441	0.046179	
1602000	100.687501	3	0.074067	0.324161	0.083150	0.041255	0.432483	0.044883	0.044137	0.423750	0.043977	0.013737	0.411392	0.063007	0.044137	0.423750	0.043977	0.013737	0.411392	0.063007	0.104646	0.157948	0.047028	0.264690	0.399555	0.026133	0.074067	0.324161	0.083150	0.041255	0.432483	0.044883	0.074067	0.324161	0.083150	0.041255	0.432483	0.044883	0.074067	0.324161	0.083150	0.041255	0.432483	0.044883	
1603000	100.687501	2	0.051926	0.418191	0.071458	0.026812	0.361646	0.069967	0.051926	0.418191	0.071458	0.026812	0.361646	0.069967	0.051926	0.418191	0.071458	0.026812	0.361646	0.069967	0.073248	0.369596	0.114459	0.121133	0.262816	0.058748	0.073248	0.369596	0.114459	0.121133	0.262816	0.058748	0.073248	0.369596	0.114459	0.121133	0.262816	0.058748	0.051926	0.418191	0.071458	0.026812	0.361646	0.069967	
1604000	100.687501	3	0.066781	0.387317	0.057158	0.023206	0.411990	0.053547	0.066781	0.387317	0.057158	0.023206	0.411990	0.053547	0.066781	0.387317	0.057158	0.023206	0.411990	0.053547	0.039017	0.228891	0.049042	0.449048	0.213481	0.020522	0.146412	0.429476	0.079766	0.159082	0.167652	0.017612	0.146412	0.429476	0.079766	0.159082	0.167652	0.017612	0.066781	0.387317	0.057158	0.023206	0.411990	0.053547	
1605000	100.687501	2	0.063780	0.404093	0.055311	0.020648	0.402667	0.053501	0.063780	0.404093	0.055311	0.020648	0.402667	0.053501	0.063780	0.404093	0.055311	0.020648	0.402667	0.053501	0.052585	0.424311	0.052423	0.110981	0.312431	0.047268	0.052585	0.424311	0.052423	0.110981	0.312431	0.047268	0.052585	0.424311	0.052423	0.110981	0.312431	0.047268	0.052585	0.424311	0.052423	0.110981	0.312431	0.047268	
1606000	100.687501	2	0.059806	0.387193	0.059241	0.029082	0.413774	0.050904	0.059806	0.387193	0.059241	0.029082	0.413774	0.050904	0.059806	0.387193	0.059241	0.029082	0.413774	0.050904	0.050798	0.259220	0.082126	0.303960	0.269404	0.034492	0.059806	0.387193	0.059241	0.029082	0.413774	0.050904	0.050798	0.259220	0.082126	0.303960	0.269404	0.034492	0.059806	0.387193	0.059241	0.029082	0.413774	0.050904	
1607000	100.687501	4	0.064084	0.395164	0.057820	0.029834	0.403268	0.049830	0.064084	0.395164	0.057820	0.029834	0.403268	0.049830	0.064084	0.395164	0.057820	0.029834	0.403268	0.049830	0.185284	0.121066	0.095569	0.373502	0.106574	0.118005	0.149573	0.128025	0.148702	0.223093	0.262079	0.088528	0.156181	0.356601	0.115310	0.125396	0.085980	0.160532	0.064084	0.395164	0.057820	0.029834	0.403268	0.049830	
1608000	100.687501	2	0.065393	0.403235	0.059001	0.029033	0.392491	0.050847	0.065393	0.403235	0.059001	0.029033	0.392491	0.050847	0.065393	0.403235	0.059001	0.029033	0.392491	0.050847	0.106231	0.427477	0.065684	0.161280	0.164703	0.074625	0.106231	0.427477	0.065684	0.161280	0.164703	0.074625	0.106231	0.427477	0.065684	0.161280	0.164703	0.074625	0.065393	0.403235	0.059001	0.029033	0.392491	0.050847	
1609000	100.687501	2	0.060359	0.408129	0.060520	0.030541	0.397726	0.042726	0.060359	0.408129	0.060520	0.030541	0.397726	0.042726	0.060359	0.408129	0.060520	0.030541	0.397726	0.042726	0.134045	0.223112	0.232826	0.106488	0.244764	0.058765	0.134045	0.223112	0.232826	0.106488	0.244764	0.058765	0.060359	0.408129	0.060520	0.030541	0.397726	0.042726	0.060359	0.408129	0.060520	0.030541	0.397726	0.042726	
1610000	100.687501	3	0.064614	0.391980	0.060629	0.038371	0.389729	0.054677	0.064614	0.391980	0.060629	0.038371	0.389729	0.054677	0.064614	0.391980	0.060629	0.038371	0.389729	0.054677	0.276223	0.218555	0.095018	0.215745	0.129674	0.064786	0.276223	0.218555	0.095018	0.215745	0.129674	0.064786	0.083605	0.403152	0.073735	0.264057	0.069201	0.106249	0.064614	0.391980	0.060629	0.038371	0.389729	0.054677	
1611000	100.687501	3	0.065676	0.401834	0.062153	0.022016	0.392270	0.056051	0.065676	0.401834	0.062153	0.022016	0.392270	0.056051	0.065676	0.401834	0.062153	0.022016	0.392270	0.056051	0.186322	0.026671	0.050526	0.255799	0.426757	0.053926	0.112541	0.247553	0.095014	0.087860	0.248289	0.208743	0.065676	0.401834	0.062153	0.022016	0.392270	0.056051	0.065676	0.401834	0.062153	0.022016	0.392270	0.056051	
