Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
1000	16.777027	2	0.316667	0.325156	0.075409	0.282768	0.316667	0.325156	0.075409	0.282768	0.219724	0.295633	0.216346	0.268297	0.219724	0.295633	0.216346	0.268297	0.219724	0.295633	0.216346	0.268297	0.316667	0.325156	0.075409	0.282768	0.219724	0.295633	0.216346	0.268297	
2000	16.777027	2	0.327766	0.290157	0.097976	0.284101	0.327766	0.290157	0.097976	0.284101	0.173059	0.289810	0.240422	0.296709	0.173059	0.289810	0.240422	0.296709	0.173059	0.289810	0.240422	0.296709	0.327766	0.290157	0.097976	0.284101	0.173059	0.289810	0.240422	0.296709	
3000	16.777027	3	0.319314	0.286601	0.122574	0.271512	0.319314	0.286601	0.122574	0.271512	0.189638	0.244528	0.250212	0.315622	0.118043	0.322651	0.218062	0.341244	0.189638	0.244528	0.250212	0.315622	0.319314	0.286601	0.122574	0.271512	0.189638	0.244528	0.250212	0.315622	
4000	16.777027	3	0.319314	0.286601	0.122574	0.271512	0.319314	0.286601	0.122574	0.271512	0.119449	0.325113	0.264791	0.290647	0.119449	0.325113	0.264791	0.290647	0.268968	0.172586	0.288497	0.269950	0.319314	0.286601	0.122574	0.271512	0.268968	0.172586	0.288497	0.269950	
5000	16.777027	2	0.319314	0.286601	0.122574	0.271512	0.319314	0.286601	0.122574	0.271512	0.200312	0.269289	0.260930	0.269468	0.319314	0.286601	0.122574	0.271512	0.200312	0.269289	0.260930	0.269468	0.319314	0.286601	0.122574	0.271512	0.200312	0.269289	0.260930	0.269468	
6000	16.777027	2	0.299004	0.288375	0.132912	0.279709	0.299004	0.288375	0.132912	0.279709	0.171507	0.331416	0.316415	0.180662	0.299004	0.288375	0.132912	0.279709	0.171507	0.331416	0.316415	0.180662	0.299004	0.288375	0.132912	0.279709	0.171507	0.331416	0.316415	0.180662	
7000	16.777027	2	0.314664	0.279348	0.127335	0.278654	0.314664	0.279348	0.127335	0.278654	0.221782	0.220042	0.301954	0.256222	0.221782	0.220042	0.301954	0.256222	0.221782	0.220042	0.301954	0.256222	0.314664	0.279348	0.127335	0.278654	0.221782	0.220042	0.301954	0.256222	
8000	16.777027	2	0.340423	0.272140	0.118590	0.268846	0.340423	0.272140	0.118590	0.268846	0.201488	0.224383	0.299096	0.275033	0.201488	0.224383	0.299096	0.275033	0.201488	0.224383	0.299096	0.275033	0.340423	0.272140	0.118590	0.268846	0.201488	0.224383	0.299096	0.275033	
9000	16.777027	4	0.340423	0.272140	0.118590	0.268846	0.340423	0.272140	0.118590	0.268846	0.201340	0.268121	0.267324	0.263214	0.193489	0.329138	0.176112	0.301261	0.290317	0.151921	0.375142	0.182620	0.340423	0.272140	0.118590	0.268846	0.201340	0.268121	0.267324	0.263214	
10000	16.777027	2	0.340423	0.272140	0.118590	0.268846	0.340423	0.272140	0.118590	0.268846	0.172198	0.251661	0.280468	0.295673	0.172198	0.251661	0.280468	0.295673	0.172198	0.251661	0.280468	0.295673	0.340423	0.272140	0.118590	0.268846	0.172198	0.251661	0.280468	0.295673	
