Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	71.353907	3	0.185232	0.050920	0.661047	0.661047	0.050920	0.185232	
2000	71.353907	3	0.200698	0.055144	0.764762	0.764762	0.055144	0.200698	
3000	71.353907	5	0.177264	0.056407	0.797927	0.679207	0.050450	0.177264	
4000	71.353907	3	0.216296	0.055777	0.714067	0.714067	0.055777	0.216296	
5000	71.353907	6	0.208462	0.052909	0.671606	0.607982	0.056842	0.184835	
6000	71.353907	3	0.180408	0.056362	0.684994	0.684994	0.056362	0.180408	
7000	71.353907	4	0.199996	0.056182	0.710154	0.710154	0.056182	0.192388	
8000	71.353907	3	0.169148	0.054793	0.745658	0.745658	0.054793	0.169148	
9000	71.353907	3	0.184528	0.059679	0.745398	0.745398	0.059679	0.184528	
10000	71.353907	5	0.193628	0.056535	0.771830	0.726820	0.063902	0.193628	
11000	71.353907	5	0.202204	0.060353	0.769478	0.796642	0.060353	0.173017	
12000	71.353907	3	0.185423	0.062481	0.807406	0.807406	0.062481	0.185423	
13000	71.353907	3	0.208149	0.063948	0.766595	0.766595	0.063948	0.208149	
14000	71.353907	3	0.193528	0.058411	0.710859	0.710859	0.058411	0.193528	
15000	71.353907	3	0.184047	0.059626	0.781653	0.781653	0.059626	0.184047	
16000	71.353907	5	0.186432	0.057712	0.805330	0.693676	0.057712	0.188336	
17000	71.353907	5	0.210465	0.063274	0.855837	0.828025	0.063274	0.176020	
18000	71.353907	3	0.175247	0.059869	0.750847	0.750847	0.059869	0.175247	
19000	71.353907	4	0.178825	0.059021	0.829663	0.706453	0.059021	0.178825	
20000	71.353907	5	0.193896	0.059470	0.799746	0.671054	0.059470	0.182920	
21000	71.353907	4	0.186130	0.055437	0.714102	0.762472	0.055437	0.186130	
22000	71.353907	3	0.182048	0.060757	0.831232	0.831232	0.060757	0.182048	
23000	71.353907	5	0.201399	0.059943	0.646031	0.646031	0.063500	0.166647	
24000	71.353907	6	0.187951	0.060496	0.848624	0.586652	0.060370	0.167466	
25000	71.353907	3	0.191322	0.063541	0.800992	0.800992	0.063541	0.191322	
26000	71.353907	3	0.178093	0.058264	0.819102	0.819102	0.058264	0.178093	
27000	71.353907	3	0.187464	0.060904	0.772081	0.772081	0.060904	0.187464	
28000	71.353907	3	0.227885	0.058129	0.824080	0.824080	0.058129	0.227885	
29000	71.353907	3	0.192535	0.053669	0.785253	0.785253	0.053669	0.192535	
30000	71.353907	5	0.165795	0.056770	0.858536	0.684730	0.056770	0.174698	
31000	71.353907	3	0.198635	0.060446	0.838357	0.838357	0.060446	0.198635	
32000	71.353907	3	0.201346	0.058814	0.815212	0.815212	0.058814	0.201346	
33000	71.353907	3	0.189025	0.061296	0.808701	0.808701	0.061296	0.189025	
34000	71.353907	6	0.213374	0.060172	0.802685	0.686326	0.061776	0.187333	
35000	71.353907	3	0.185710	0.056780	0.614747	0.614747	0.056780	0.185710	
36000	71.353907	3	0.182273	0.060932	0.765017	0.765017	0.060932	0.182273	
37000	71.353907	5	0.184552	0.059625	0.802546	0.706252	0.059625	0.173417	
38000	71.353907	5	0.193590	0.058928	0.776480	0.722595	0.058928	0.173639	
39000	71.353907	3	0.191342	0.058865	0.786987	0.786987	0.058865	0.191342	
40000	71.353907	4	0.215454	0.052761	0.775663	0.775663	0.058248	0.215454	
41000	71.353907	4	0.199789	0.058705	0.753786	0.753786	0.058705	0.172889	
42000	71.353907	3	0.187639	0.058117	0.763847	0.763847	0.058117	0.187639	
43000	71.353907	3	0.191067	0.061076	0.736575	0.736575	0.061076	0.191067	
44000	71.353907	3	0.186887	0.059891	0.755095	0.755095	0.059891	0.186887	
45000	71.353907	3	0.187490	0.060134	0.806322	0.806322	0.060134	0.187490	
46000	71.353907	3	0.183572	0.060867	0.962734	0.962734	0.060867	0.183572	
47000	71.353907	3	0.183724	0.060654	0.784064	0.784064	0.060654	0.183724	
48000	71.353907	4	0.209122	0.060320	0.825458	0.825458	0.060320	0.189595	
49000	71.353907	3	0.165616	0.059880	0.787228	0.787228	0.059880	0.165616	
50000	71.353907	5	0.168889	0.060035	0.816876	0.622843	0.060035	0.174977	
51000	71.353907	3	0.177518	0.061029	0.749173	0.749173	0.061029	0.177518	
52000	71.353907	4	0.189323	0.061105	0.841059	0.618171	0.061105	0.189323	
53000	71.353907	4	0.196069	0.056439	0.804643	0.804643	0.056439	0.182992	
54000	71.353907	3	0.184261	0.059418	0.816985	0.816985	0.059418	0.184261	
55000	71.353907	5	0.215639	0.059876	0.786485	0.667115	0.059876	0.180270	
56000	71.353907	5	0.188783	0.061012	0.812914	0.654133	0.061012	0.191673	
57000	71.353907	5	0.218763	0.059427	0.766388	0.766388	0.062734	0.162348	
58000	71.353907	3	0.183892	0.060476	0.783398	0.783398	0.060476	0.183892	
59000	71.353907	4	0.217641	0.061024	0.815729	0.735211	0.061024	0.217641	
60000	71.353907	3	0.180696	0.058297	0.792688	0.792688	0.058297	0.180696	
61000	71.353907	5	0.189999	0.062601	0.876456	0.682770	0.062601	0.177026	
62000	71.353907	3	0.185704	0.059912	0.684592	0.684592	0.059912	0.185704	
63000	71.353907	4	0.194824	0.063508	0.799646	0.799646	0.063508	0.174919	
64000	71.353907	3	0.190421	0.058231	0.738643	0.738643	0.058231	0.190421	
65000	71.353907	3	0.186585	0.059167	0.787044	0.787044	0.059167	0.186585	
66000	71.353907	5	0.207714	0.063258	0.845374	0.712536	0.063258	0.171761	
67000	71.353907	3	0.177654	0.061359	0.760018	0.760018	0.061359	0.177654	
68000	71.353907	3	0.182923	0.063445	0.862440	0.862440	0.063445	0.182923	
69000	71.353907	3	0.187903	0.053038	0.693399	0.693399	0.053038	0.187903	
70000	71.353907	4	0.200393	0.063164	0.934858	0.596476	0.063164	0.200393	
71000	71.353907	3	0.189417	0.062957	0.793976	0.793976	0.062957	0.189417	
72000	71.353907	4	0.188464	0.059287	0.854488	0.744338	0.059287	0.188464	
73000	71.353907	3	0.191449	0.059520	0.776320	0.776320	0.059520	0.191449	
74000	71.353907	4	0.182970	0.062390	0.741457	0.741457	0.059440	0.182970	
75000	71.353907	3	0.198227	0.063926	0.773079	0.773079	0.063926	0.198227	
76000	71.353907	4	0.205135	0.061911	0.760452	0.760452	0.061911	0.173801	
77000	71.353907	5	0.210240	0.060826	0.862191	0.620930	0.060826	0.169155	
78000	71.353907	3	0.175160	0.064906	1.016933	1.016933	0.064906	0.175160	
79000	71.353907	3	0.209437	0.061348	0.825617	0.825617	0.061348	0.209437	
80000	71.353907	3	0.215822	0.061981	0.749738	0.749738	0.061981	0.215822	
81000	71.353907	3	0.193213	0.060825	0.732375	0.732375	0.060825	0.193213	
82000	71.353907	3	0.200758	0.060747	0.822985	0.822985	0.060747	0.200758	
83000	71.353907	3	0.188755	0.064876	0.794047	0.794047	0.064876	0.188755	
84000	71.353907	5	0.210708	0.062215	0.840808	0.639665	0.062215	0.189288	
85000	71.353907	4	0.228884	0.062170	0.809871	0.809871	0.062170	0.192912	
86000	71.353907	3	0.191640	0.062001	0.849432	0.849432	0.062001	0.191640	
87000	71.353907	4	0.183614	0.063570	0.794058	0.783116	0.063570	0.183614	
88000	71.353907	3	0.187479	0.062727	0.683986	0.683986	0.062727	0.187479	
89000	71.353907	4	0.195270	0.063899	0.850541	0.749190	0.063899	0.195270	
90000	71.353907	5	0.198737	0.061538	0.867896	0.867896	0.061620	0.179002	
91000	71.353907	3	0.183863	0.060563	0.928134	0.928134	0.060563	0.183863	
92000	71.353907	3	0.188445	0.062832	0.910482	0.910482	0.062832	0.188445	
93000	71.353907	4	0.225657	0.062807	0.782599	0.690637	0.062807	0.225657	
94000	71.353907	5	0.197516	0.067289	0.884672	0.673737	0.059618	0.197516	
95000	71.353907	4	0.222848	0.061558	0.779321	0.779321	0.061558	0.189483	
96000	71.353907	3	0.198571	0.065535	0.829527	0.829527	0.065535	0.198571	
97000	71.353907	4	0.207417	0.066405	0.682631	0.682631	0.066405	0.181549	
98000	71.353907	4	0.194898	0.063584	0.919675	0.790131	0.063584	0.194898	
99000	71.353907	3	0.175797	0.059301	0.660538	0.660538	0.059301	0.175797	
100000	71.353907	4	0.207326	0.063122	0.827730	0.827730	0.062162	0.207326	
101000	71.353907	5	0.194410	0.059440	0.876486	0.636269	0.059440	0.181953	
102000	71.353907	4	0.194826	0.062764	0.833273	0.758906	0.062764	0.194826	
103000	71.353907	5	0.210612	0.060793	0.854583	0.614078	0.060793	0.179752	
104000	71.353907	3	0.195473	0.066092	0.802914	0.802914	0.066092	0.195473	
105000	71.353907	4	0.191957	0.059196	1.027971	0.675470	0.059196	0.191957	
106000	71.353907	4	0.212488	0.062143	0.752401	0.751453	0.062143	0.212488	
107000	71.353907	3	0.184176	0.062792	0.779696	0.779696	0.062792	0.184176	
108000	71.353907	3	0.189596	0.062695	0.862102	0.862102	0.062695	0.189596	
109000	71.353907	4	0.186975	0.059667	0.811959	0.863786	0.059667	0.186975	
110000	71.353907	3	0.182797	0.062252	0.804788	0.804788	0.062252	0.182797	
111000	71.353907	4	0.176678	0.063829	0.732418	0.797771	0.063829	0.176678	
112000	71.353907	3	0.188634	0.060569	0.800669	0.800669	0.060569	0.188634	
113000	71.353907	3	0.192868	0.059942	0.769498	0.769498	0.059942	0.192868	
114000	71.353907	4	0.191867	0.062610	0.786231	0.786231	0.062610	0.167169	
115000	71.353907	3	0.177521	0.062068	0.675015	0.675015	0.062068	0.177521	
116000	71.353907	3	0.198592	0.060190	0.763963	0.763963	0.060190	0.198592	
117000	71.353907	3	0.196723	0.062605	0.882264	0.882264	0.062605	0.196723	
118000	71.353907	3	0.184399	0.056829	0.762530	0.762530	0.056829	0.184399	
119000	71.353907	4	0.200347	0.063085	0.853941	0.640382	0.063085	0.200347	
120000	71.353907	3	0.192827	0.062246	0.724386	0.724386	0.062246	0.192827	
121000	71.353907	5	0.181110	0.065957	0.887887	0.625131	0.054514	0.181110	
122000	71.353907	3	0.191861	0.062316	0.783619	0.783619	0.062316	0.191861	
123000	71.353907	4	0.180583	0.058948	0.776677	0.616261	0.058948	0.180583	
124000	71.353907	5	0.195845	0.060527	0.829415	0.784163	0.060527	0.182734	
125000	71.353907	5	0.189854	0.063309	0.722678	0.731336	0.058763	0.189854	
126000	71.353907	5	0.203251	0.063338	0.608701	0.646470	0.063338	0.180626	
