Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	71.353907	3	0.221018	0.054348	0.842437	0.842437	0.054348	0.221018	
2000	71.353907	4	0.209934	0.054856	0.688193	0.688193	0.051174	0.209934	
3000	71.353907	3	0.214193	0.049688	0.719929	0.719929	0.049688	0.214193	
4000	71.353907	3	0.211595	0.058949	0.723414	0.723414	0.058949	0.211595	
5000	71.353907	3	0.210805	0.048252	0.708825	0.708825	0.048252	0.210805	
6000	71.353907	4	0.189057	0.061809	0.741222	0.741222	0.053106	0.189057	
7000	71.353907	5	0.204804	0.057142	0.760404	0.680213	0.057142	0.199381	
8000	71.353907	4	0.173778	0.057905	0.744573	0.687449	0.057905	0.173778	
9000	71.353907	4	0.193700	0.058651	0.742627	0.779252	0.058651	0.193700	
10000	71.353907	3	0.185865	0.055641	0.754856	0.754856	0.055641	0.185865	
11000	71.353907	4	0.190678	0.055949	0.702489	0.759191	0.055949	0.190678	
12000	71.353907	4	0.197266	0.061809	0.745573	0.745573	0.061489	0.197266	
13000	71.353907	3	0.202649	0.057250	0.726420	0.726420	0.057250	0.202649	
14000	71.353907	3	0.181464	0.060312	0.729408	0.729408	0.060312	0.181464	
15000	71.353907	3	0.199147	0.065272	0.724128	0.724128	0.065272	0.199147	
16000	71.353907	4	0.192386	0.059571	0.787947	0.811814	0.059571	0.192386	
17000	71.353907	4	0.183953	0.061100	0.868453	0.834507	0.061100	0.183953	
18000	71.353907	3	0.191218	0.058491	0.739713	0.739713	0.058491	0.191218	
19000	71.353907	3	0.184171	0.060205	0.780167	0.780167	0.060205	0.184171	
20000	71.353907	4	0.189429	0.059339	0.783576	0.795525	0.059339	0.189429	
21000	71.353907	4	0.199351	0.059109	0.723818	0.791924	0.059109	0.199351	
22000	71.353907	4	0.180227	0.061641	0.787221	0.787221	0.061641	0.197332	
23000	71.353907	4	0.199329	0.057598	0.857683	0.729556	0.057598	0.199329	
