Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	71.353907	3	0.194630	0.053443	0.690643	0.690643	0.053443	0.194630	
2000	71.353907	3	0.193675	0.054474	0.696941	0.696941	0.054474	0.193675	
3000	71.353907	3	0.185060	0.056267	0.653274	0.653274	0.056267	0.185060	
4000	71.353907	3	0.188859	0.054892	0.657589	0.657589	0.054892	0.188859	
5000	71.353907	5	0.170879	0.053949	0.667950	0.727752	0.053949	0.178068	
6000	71.353907	3	0.190766	0.048103	0.701363	0.701363	0.048103	0.190766	
7000	71.353907	3	0.188935	0.052215	0.689792	0.689792	0.052215	0.188935	
8000	71.353907	3	0.180601	0.056226	0.713161	0.713161	0.056226	0.180601	
9000	71.353907	4	0.180222	0.052365	0.711273	0.713922	0.052365	0.180222	
10000	71.353907	4	0.195868	0.056053	0.716004	0.711014	0.056053	0.195868	
11000	71.353907	4	0.197527	0.053551	0.702776	0.671021	0.053551	0.197527	
12000	71.353907	3	0.189152	0.055226	0.665020	0.665020	0.055226	0.189152	
13000	71.353907	3	0.198152	0.054368	0.698238	0.698238	0.054368	0.198152	
14000	71.353907	4	0.194546	0.050712	0.679553	0.759605	0.050712	0.194546	
15000	71.353907	3	0.203888	0.051164	0.703441	0.703441	0.051164	0.203888	
16000	71.353907	3	0.187050	0.058022	0.660240	0.660240	0.058022	0.187050	
17000	71.353907	5	0.190881	0.053727	0.734947	0.702100	0.052035	0.190881	
18000	71.353907	4	0.189798	0.054615	0.703902	0.703902	0.054615	0.212564	
19000	71.353907	4	0.182447	0.049127	0.698492	0.717918	0.049127	0.182447	
20000	71.353907	3	0.181822	0.052096	0.690121	0.690121	0.052096	0.181822	
21000	71.353907	3	0.193128	0.052889	0.692942	0.692942	0.052889	0.193128	
22000	71.353907	3	0.197154	0.058718	0.596865	0.596865	0.058718	0.197154	
23000	71.353907	4	0.185423	0.055995	0.704423	0.704423	0.055995	0.183129	
24000	71.353907	4	0.197482	0.054045	0.690925	0.708286	0.054045	0.197482	
25000	71.353907	3	0.185281	0.057292	0.705891	0.705891	0.057292	0.185281	
26000	71.353907	3	0.195639	0.058158	0.698111	0.698111	0.058158	0.195639	
27000	71.353907	4	0.184098	0.057054	0.752417	0.703264	0.057054	0.184098	
28000	71.353907	3	0.189541	0.061346	0.697909	0.697909	0.061346	0.189541	
29000	71.353907	4	0.208711	0.061125	0.781124	0.662050	0.061125	0.208711	
30000	71.353907	4	0.199480	0.062302	0.731758	0.757171	0.062302	0.199480	
31000	71.353907	3	0.201706	0.063720	0.712407	0.712407	0.063720	0.201706	
32000	71.353907	5	0.196043	0.059946	0.717903	0.713168	0.066158	0.196043	
