Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	71.353907	3	0.216452	0.058748	0.758064	0.758064	0.058748	0.216452	
2000	71.353907	3	0.208173	0.058766	0.729796	0.729796	0.058766	0.208173	
3000	71.353907	3	0.203133	0.057152	0.729020	0.729020	0.057152	0.203133	
4000	71.353907	3	0.214018	0.057391	0.745281	0.745281	0.057391	0.214018	
5000	71.353907	3	0.208214	0.059136	0.766330	0.766330	0.059136	0.208214	
6000	71.353907	3	0.210528	0.058248	0.801263	0.801263	0.058248	0.210528	
7000	71.353907	4	0.203880	0.056655	0.749782	0.770038	0.056655	0.203880	
8000	71.353907	3	0.195745	0.056334	0.737069	0.737069	0.056334	0.195745	
9000	71.353907	4	0.198038	0.053521	0.751225	0.751225	0.053521	0.210465	
10000	71.353907	4	0.193333	0.058609	0.807059	0.807059	0.058609	0.199902	
11000	71.353907	4	0.206499	0.058681	0.790259	0.790259	0.053501	0.206499	
12000	71.353907	4	0.207963	0.061236	0.801469	0.801469	0.061236	0.206658	
13000	71.353907	3	0.191111	0.060431	0.766686	0.766686	0.060431	0.191111	
14000	71.353907	4	0.215517	0.055655	0.810239	0.847477	0.055655	0.215517	
15000	71.353907	4	0.189431	0.057815	0.762949	0.786703	0.057815	0.189431	
16000	71.353907	3	0.191864	0.060577	0.733153	0.733153	0.060577	0.191864	
17000	71.353907	3	0.210070	0.057112	0.799375	0.799375	0.057112	0.210070	
18000	71.353907	3	0.197328	0.054933	0.766964	0.766964	0.054933	0.197328	
19000	71.353907	3	0.202396	0.056112	0.737674	0.737674	0.056112	0.202396	
20000	71.353907	5	0.200209	0.055194	0.753341	0.792540	0.057255	0.200209	
21000	71.353907	4	0.206881	0.060230	0.781366	0.754296	0.060230	0.206881	
22000	71.353907	3	0.206374	0.057515	0.831342	0.831342	0.057515	0.206374	
23000	71.353907	4	0.200176	0.056162	0.799681	0.692153	0.056162	0.200176	
24000	71.353907	3	0.202516	0.057439	0.731181	0.731181	0.057439	0.202516	
25000	71.353907	4	0.202834	0.055166	0.794003	0.794003	0.055166	0.202049	
26000	71.353907	4	0.205395	0.056574	0.801183	0.798674	0.056574	0.205395	
27000	71.353907	3	0.213100	0.057780	0.755418	0.755418	0.057780	0.213100	
28000	71.353907	4	0.196805	0.064509	0.778118	0.873096	0.064509	0.196805	
29000	71.353907	5	0.201161	0.061444	0.772592	0.818456	0.053480	0.201161	
30000	71.353907	4	0.199615	0.057104	0.881526	0.870728	0.057104	0.199615	
31000	71.353907	3	0.214718	0.056865	0.800195	0.800195	0.056865	0.214718	
32000	71.353907	3	0.199632	0.058664	0.827985	0.827985	0.058664	0.199632	
33000	71.353907	3	0.200712	0.056560	0.767996	0.767996	0.056560	0.200712	
34000	71.353907	4	0.203022	0.057275	0.749374	0.749374	0.058637	0.203022	
35000	71.353907	5	0.202257	0.058406	0.740565	0.887894	0.058406	0.211612	
36000	71.353907	4	0.208086	0.058316	0.828819	0.742257	0.058316	0.208086	
37000	71.353907	5	0.194580	0.057818	0.776055	0.764986	0.057818	0.197891	
38000	71.353907	4	0.201657	0.055763	0.786727	0.786727	0.055266	0.201657	
39000	71.353907	5	0.197857	0.052705	0.815377	0.815377	0.060396	0.194664	
40000	71.353907	4	0.200833	0.062701	0.811950	0.811950	0.062701	0.204974	
41000	71.353907	3	0.202990	0.056286	0.874266	0.874266	0.056286	0.202990	
42000	71.353907	3	0.204437	0.057517	0.796880	0.796880	0.057517	0.204437	
43000	71.353907	4	0.199474	0.058542	0.813057	0.813057	0.058542	0.202679	
44000	71.353907	3	0.213841	0.056224	0.753178	0.753178	0.056224	0.213841	
45000	71.353907	4	0.199031	0.061708	0.771221	0.771221	0.061708	0.223235	
46000	71.353907	4	0.192686	0.057364	0.747208	0.793650	0.057364	0.192686	
47000	71.353907	3	0.201482	0.060544	0.827700	0.827700	0.060544	0.201482	
48000	71.353907	3	0.208578	0.053261	0.781445	0.781445	0.053261	0.208578	
49000	71.353907	4	0.205781	0.059563	0.810356	0.894887	0.059563	0.205781	
50000	71.353907	4	0.206177	0.056645	0.826772	0.783601	0.056645	0.206177	
51000	71.353907	4	0.203287	0.051371	0.774846	0.774846	0.050048	0.203287	
52000	71.353907	5	0.190504	0.062359	0.785718	0.840541	0.062359	0.213424	
53000	71.353907	5	0.192127	0.063020	0.764561	0.817413	0.063020	0.226208	
54000	71.353907	3	0.207769	0.058734	0.812124	0.812124	0.058734	0.207769	
55000	71.353907	3	0.198024	0.058450	0.793934	0.793934	0.058450	0.198024	
56000	71.353907	4	0.199240	0.057589	0.774167	0.878129	0.057589	0.199240	
57000	71.353907	4	0.202821	0.059626	0.818014	0.701024	0.059626	0.202821	
58000	71.353907	5	0.208689	0.060308	0.760832	0.736535	0.060308	0.197134	
59000	71.353907	5	0.194025	0.058467	0.784596	0.803270	0.058467	0.218175	
60000	71.353907	4	0.208565	0.056879	0.839655	0.816687	0.056879	0.208565	
61000	71.353907	3	0.203853	0.059761	0.814099	0.814099	0.059761	0.203853	
62000	71.353907	5	0.185970	0.060629	0.810526	0.848908	0.060629	0.215125	
63000	71.353907	3	0.213844	0.058147	0.815883	0.815883	0.058147	0.213844	
64000	71.353907	3	0.199715	0.058871	0.733700	0.733700	0.058871	0.199715	
65000	71.353907	4	0.210671	0.056585	0.717999	0.761733	0.056585	0.210671	
66000	71.353907	3	0.202516	0.058538	0.806164	0.806164	0.058538	0.202516	
67000	71.353907	3	0.207743	0.059173	0.773516	0.773516	0.059173	0.207743	
68000	71.353907	3	0.200575	0.059103	0.805210	0.805210	0.059103	0.200575	
69000	71.353907	3	0.201674	0.055602	0.811630	0.811630	0.055602	0.201674	
70000	71.353907	4	0.203700	0.060572	0.810546	0.810546	0.060572	0.217547	
71000	71.353907	3	0.214292	0.064275	0.789557	0.789557	0.064275	0.214292	
72000	71.353907	3	0.201639	0.058042	0.812448	0.812448	0.058042	0.201639	
73000	71.353907	3	0.212071	0.058825	0.817220	0.817220	0.058825	0.212071	
74000	71.353907	3	0.204139	0.059749	0.790984	0.790984	0.059749	0.204139	
75000	71.353907	4	0.219630	0.060704	0.776931	0.864764	0.060704	0.219630	
76000	71.353907	4	0.211660	0.060159	0.756749	0.845198	0.060159	0.211660	
77000	71.353907	3	0.196951	0.061043	0.750944	0.750944	0.061043	0.196951	
78000	71.353907	4	0.195879	0.049750	0.770701	0.770701	0.049750	0.228377	
79000	71.353907	3	0.201851	0.059567	0.788599	0.788599	0.059567	0.201851	
80000	71.353907	3	0.202756	0.058469	0.849683	0.849683	0.058469	0.202756	
81000	71.353907	3	0.204587	0.059941	0.787267	0.787267	0.059941	0.204587	
82000	71.353907	4	0.218097	0.058586	0.765482	0.854638	0.058586	0.218097	
83000	71.353907	4	0.186964	0.060669	0.797330	0.797330	0.060669	0.200817	
84000	71.353907	3	0.205661	0.059265	0.765303	0.765303	0.059265	0.205661	
85000	71.353907	3	0.194317	0.060738	0.797198	0.797198	0.060738	0.194317	
86000	71.353907	4	0.208336	0.061358	0.832693	0.832693	0.061358	0.215336	
87000	71.353907	4	0.200547	0.059648	0.816999	0.850221	0.059648	0.200547	
88000	71.353907	3	0.216485	0.057755	0.767473	0.767473	0.057755	0.216485	
89000	71.353907	4	0.212230	0.059147	0.728744	0.728744	0.060275	0.212230	
90000	71.353907	4	0.206116	0.062073	0.786638	0.786638	0.062073	0.202986	
91000	71.353907	5	0.225193	0.062391	0.912576	0.891858	0.062391	0.194734	
92000	71.353907	3	0.212539	0.061123	0.800178	0.800178	0.061123	0.212539	
93000	71.353907	4	0.213732	0.060421	0.854589	0.893079	0.060421	0.213732	
94000	71.353907	3	0.195846	0.061137	0.780057	0.780057	0.061137	0.195846	
95000	71.353907	3	0.210718	0.063273	0.790130	0.790130	0.063273	0.210718	
96000	71.353907	3	0.206328	0.058030	0.867984	0.867984	0.058030	0.206328	
97000	71.353907	3	0.213836	0.057479	0.802998	0.802998	0.057479	0.213836	
98000	71.353907	3	0.211202	0.060559	0.821698	0.821698	0.060559	0.211202	
99000	71.353907	3	0.209711	0.059373	0.761789	0.761789	0.059373	0.209711	
100000	71.353907	3	0.207783	0.059703	0.773863	0.773863	0.059703	0.207783	
101000	71.353907	4	0.199359	0.060143	0.853544	0.853544	0.060143	0.209311	
102000	71.353907	4	0.203885	0.061597	0.853714	0.863873	0.061597	0.203885	
103000	71.353907	4	0.212256	0.058608	0.725756	0.725756	0.058608	0.231641	
104000	71.353907	4	0.207033	0.061889	0.796482	0.777867	0.061889	0.207033	
105000	71.353907	5	0.211806	0.063889	0.841925	0.929822	0.064966	0.211806	
106000	71.353907	3	0.207174	0.061216	0.783058	0.783058	0.061216	0.207174	
107000	71.353907	5	0.203743	0.060231	0.763924	0.779843	0.057600	0.203743	
108000	71.353907	4	0.206110	0.061940	0.857497	0.866553	0.061940	0.206110	
109000	71.353907	4	0.204298	0.050809	0.835102	0.909757	0.050809	0.204298	
110000	71.353907	4	0.196141	0.061340	0.828877	0.828877	0.061340	0.225889	
111000	71.353907	4	0.213005	0.063612	0.850822	0.850822	0.057292	0.213005	
112000	71.353907	4	0.214602	0.061996	0.823352	0.804516	0.061996	0.214602	
113000	71.353907	4	0.209469	0.063965	0.806482	0.806482	0.058756	0.209469	
114000	71.353907	3	0.223431	0.061615	0.753773	0.753773	0.061615	0.223431	
115000	71.353907	3	0.210073	0.058804	0.829414	0.829414	0.058804	0.210073	
116000	71.353907	5	0.205363	0.062538	0.794998	0.751750	0.061805	0.205363	
117000	71.353907	4	0.207499	0.062173	0.852721	0.852721	0.053885	0.207499	
118000	71.353907	3	0.207844	0.064058	0.804805	0.804805	0.064058	0.207844	
119000	71.353907	4	0.203217	0.061736	0.798051	0.878929	0.061736	0.203217	
120000	71.353907	3	0.211142	0.055445	0.899433	0.899433	0.055445	0.211142	
121000	71.353907	4	0.193166	0.063192	0.841944	0.841944	0.063192	0.218666	
122000	71.353907	4	0.194600	0.060280	0.869458	0.869458	0.060280	0.212807	
123000	71.353907	3	0.209658	0.062882	0.794415	0.794415	0.062882	0.209658	
124000	71.353907	3	0.197343	0.058557	0.914552	0.914552	0.058557	0.197343	
125000	71.353907	3	0.214617	0.060280	0.809792	0.809792	0.060280	0.214617	
126000	71.353907	4	0.211069	0.060034	0.804365	0.804365	0.060284	0.211069	
127000	71.353907	4	0.222173	0.058499	0.749485	0.774238	0.058499	0.222173	
128000	71.353907	3	0.201760	0.061920	0.778717	0.778717	0.061920	0.201760	
129000	71.353907	4	0.203185	0.059522	0.815221	0.815221	0.059892	0.203185	
130000	71.353907	3	0.208365	0.059171	0.866064	0.866064	0.059171	0.208365	
131000	71.353907	3	0.214921	0.058969	0.783333	0.783333	0.058969	0.214921	
132000	71.353907	3	0.215445	0.061125	0.797514	0.797514	0.061125	0.215445	
133000	71.353907	4	0.208690	0.058092	0.828404	0.833252	0.058092	0.208690	
134000	71.353907	3	0.202599	0.061629	0.861577	0.861577	0.061629	0.202599	
135000	71.353907	4	0.227358	0.058354	0.855548	0.910180	0.058354	0.227358	
136000	71.353907	3	0.213247	0.060849	0.859976	0.859976	0.060849	0.213247	
137000	71.353907	4	0.217584	0.060186	0.817951	0.921528	0.060186	0.217584	
138000	71.353907	3	0.207386	0.061516	0.866877	0.866877	0.061516	0.207386	
139000	71.353907	4	0.190269	0.059297	0.974632	0.974632	0.059297	0.197943	
140000	71.353907	3	0.206845	0.061202	0.795462	0.795462	0.061202	0.206845	
141000	71.353907	3	0.205731	0.062586	0.780250	0.780250	0.062586	0.205731	
142000	71.353907	3	0.223215	0.061519	0.787882	0.787882	0.061519	0.223215	
143000	71.353907	3	0.213324	0.062550	0.892705	0.892705	0.062550	0.213324	
144000	71.353907	5	0.218523	0.060867	0.870130	0.848656	0.061489	0.218523	
145000	71.353907	3	0.203385	0.066592	0.803526	0.803526	0.066592	0.203385	
146000	71.353907	4	0.202680	0.061900	0.836007	0.825717	0.061900	0.202680	
147000	71.353907	4	0.203385	0.061560	0.869128	0.869128	0.061560	0.227642	
148000	71.353907	3	0.194749	0.057281	0.826934	0.826934	0.057281	0.194749	
