Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	4.627436	5	28.683021	7.020590	28.683021	7.020590	10.006821	7.020590	28.683021	7.020590	12.209061	10.484041	7.020590	
2000	4.627436	7	27.086119	6.727013	27.086119	8.718615	9.297883	6.727013	27.086119	6.727013	12.668868	11.162511	11.540543	
3000	4.627436	4	29.480107	6.760960	29.480107	6.760960	6.760960	6.760960	29.480107	6.760960	12.414249	10.734554	6.760960	
4000	4.627436	4	30.127050	6.750154	30.127050	6.750154	6.750154	6.750154	30.127050	6.750154	12.280919	11.017534	6.750154	
5000	4.627436	4	27.922207	6.229816	27.922207	6.229816	6.229816	6.229816	27.922207	6.229816	11.419607	10.968628	6.229816	
6000	4.627436	4	29.879956	6.588408	29.879956	6.588408	6.588408	6.588408	29.879956	6.588408	29.879956	11.309971	13.179011	
7000	4.627436	4	29.719761	6.645443	29.719761	6.645443	6.645443	6.645443	29.719761	6.645443	11.405009	12.050345	6.645443	
8000	4.627436	4	27.646939	6.569278	27.646939	6.569278	6.569278	6.569278	27.646939	6.569278	11.773865	11.803823	6.569278	
9000	4.627436	5	28.715968	5.898706	28.715968	5.898706	5.898706	5.898706	28.715968	5.898706	11.538742	11.793974	11.714302	
10000	4.627436	5	27.529048	5.957423	27.529048	5.957423	5.957423	5.957423	27.529048	5.957423	11.294695	10.215300	11.614156	
11000	4.627436	4	28.872796	5.984295	28.872796	5.984295	5.984295	5.984295	28.872796	5.984295	11.743553	10.273386	5.984295	
12000	4.627436	3	29.732099	6.730375	29.732099	6.730375	6.730375	6.730375	29.732099	6.730375	12.841600	6.730375	6.730375	
13000	4.627436	4	28.651687	6.572872	28.651687	6.572872	6.572872	6.572872	28.651687	6.572872	12.680245	10.434286	6.572872	
14000	4.627436	4	32.281041	6.305379	32.281041	6.305379	6.305379	6.305379	32.281041	6.305379	12.952222	12.770756	6.305379	
15000	4.627436	4	27.089888	6.091179	27.089888	6.091179	6.091179	6.091179	27.089888	6.091179	12.285085	11.449248	6.091179	
