Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	11.688050	5	23.574640	8.019991	23.574640	8.019991	11.314598	8.019991	23.574640	8.019991	12.701857	12.292188	23.574640	
2000	11.688050	5	27.459472	6.162165	27.459472	6.162165	6.162165	6.162165	27.459472	6.162165	12.517243	10.890095	11.935502	
3000	11.688050	5	26.337187	6.087723	26.337187	6.087723	10.406783	6.087723	26.337187	6.087723	11.769744	10.843029	6.087723	
4000	11.688050	5	26.506909	5.927718	26.506909	5.927718	11.618819	5.927718	26.506909	5.927718	10.761221	10.761221	10.784399	
5000	11.688050	3	27.281271	5.737917	27.281271	5.737917	5.737917	5.737917	27.281271	5.737917	11.858750	5.737917	5.737917	
6000	11.688050	6	13.866856	5.534032	25.715978	5.534032	10.752311	5.534032	25.715978	5.534032	10.779250	9.934402	5.534032	
7000	11.688050	6	13.051011	5.526217	30.971878	5.526217	9.310020	5.526217	30.971878	5.526217	13.388611	8.571100	13.051011	
8000	11.688050	4	12.170316	5.596434	27.306194	5.596434	10.167482	5.596434	27.306194	5.596434	12.170316	10.167482	10.167482	
9000	11.688050	6	13.948994	5.861704	26.751353	5.861704	10.344511	5.861704	26.751353	5.861704	12.144443	10.984395	5.861704	
10000	11.688050	5	13.266978	5.418382	29.867223	5.418382	11.059852	5.418382	29.867223	5.418382	11.059852	11.389048	5.418382	
11000	11.688050	6	12.374720	6.115460	28.274174	6.115460	6.115460	6.115460	28.274174	6.115460	12.269706	10.121787	10.474953	
12000	11.688050	5	11.541504	5.846658	29.178944	5.846658	5.846658	5.846658	29.178944	5.846658	11.859942	10.570499	11.859942	
13000	11.688050	5	13.183052	6.095529	27.160453	6.095529	6.095529	6.095529	27.160453	6.095529	11.568802	10.212817	6.095529	
14000	11.688050	4	12.064858	5.196940	30.519472	5.196940	5.196940	5.196940	30.519472	5.196940	12.064858	10.856423	5.196940	
15000	11.688050	6	12.393237	5.510721	30.600866	5.510721	5.510721	5.510721	30.600866	5.510721	11.774334	11.002384	12.910372	
16000	11.688050	6	12.278448	5.441305	27.073322	5.441305	5.441305	5.441305	27.073322	5.441305	10.578609	11.051115	12.654148	
17000	11.688050	6	12.899298	5.828265	30.382637	5.828265	5.828265	5.828265	30.382637	5.828265	10.834245	11.743648	11.419254	
