Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	268.021876	3	0.468181	0.274673	0.089186	0.167960	0.276682	0.228859	0.227546	0.266913	0.468181	0.274673	0.089186	0.167960	0.276682	0.228859	0.227546	0.266913	0.468181	0.274673	0.089186	0.167960	0.276682	0.228859	0.227546	0.266913	0.468181	0.274673	0.089186	0.167960	0.468181	0.274673	0.089186	0.167960	0.468181	0.274673	0.089186	0.167960	0.276682	0.228859	0.227546	0.266913	0.335639	0.070359	0.269469	0.324533	
2000	268.021876	4	0.469651	0.273214	0.089119	0.168016	0.264798	0.307009	0.167193	0.261001	0.469651	0.273214	0.089119	0.168016	0.264798	0.307009	0.167193	0.261001	0.345496	0.333587	0.121503	0.199413	0.264798	0.307009	0.167193	0.261001	0.469651	0.273214	0.089119	0.168016	0.469651	0.273214	0.089119	0.168016	0.345496	0.333587	0.121503	0.199413	0.264798	0.307009	0.167193	0.261001	0.302465	0.342714	0.286027	0.068794	
3000	268.021876	3	0.490935	0.270992	0.083559	0.154513	0.256841	0.278436	0.160152	0.304571	0.490935	0.270992	0.083559	0.154513	0.256841	0.278436	0.160152	0.304571	0.490935	0.270992	0.083559	0.154513	0.163558	0.496198	0.130117	0.210128	0.490935	0.270992	0.083559	0.154513	0.490935	0.270992	0.083559	0.154513	0.490935	0.270992	0.083559	0.154513	0.256841	0.278436	0.160152	0.304571	0.256841	0.278436	0.160152	0.304571	
4000	268.021876	3	0.525127	0.231193	0.088545	0.155136	0.283290	0.295789	0.160689	0.260233	0.525127	0.231193	0.088545	0.155136	0.283290	0.295789	0.160689	0.260233	0.525127	0.231193	0.088545	0.155136	0.283290	0.295789	0.160689	0.260233	0.525127	0.231193	0.088545	0.155136	0.525127	0.231193	0.088545	0.155136	0.525127	0.231193	0.088545	0.155136	0.283290	0.295789	0.160689	0.260233	0.554486	0.023627	0.314491	0.107396	
5000	268.021876	3	0.513285	0.262653	0.084033	0.140029	0.320823	0.233693	0.209825	0.235659	0.513285	0.262653	0.084033	0.140029	0.320823	0.233693	0.209825	0.235659	0.372675	0.298722	0.112729	0.215875	0.372675	0.298722	0.112729	0.215875	0.513285	0.262653	0.084033	0.140029	0.372675	0.298722	0.112729	0.215875	0.372675	0.298722	0.112729	0.215875	0.372675	0.298722	0.112729	0.215875	0.320823	0.233693	0.209825	0.235659	
6000	268.021876	4	0.443904	0.315633	0.091133	0.149329	0.264569	0.263095	0.128398	0.343938	0.443904	0.315633	0.091133	0.149329	0.440688	0.230900	0.162366	0.166046	0.443904	0.315633	0.091133	0.149329	0.264569	0.263095	0.128398	0.343938	0.443904	0.315633	0.091133	0.149329	0.443904	0.315633	0.091133	0.149329	0.440688	0.230900	0.162366	0.166046	0.264569	0.263095	0.128398	0.343938	0.293574	0.294166	0.161358	0.250902	
7000	268.021876	4	0.480624	0.278062	0.095347	0.145968	0.248437	0.328223	0.190562	0.232778	0.480624	0.278062	0.095347	0.145968	0.248437	0.328223	0.190562	0.232778	0.480624	0.278062	0.095347	0.145968	0.192621	0.523317	0.075047	0.209015	0.480624	0.278062	0.095347	0.145968	0.480624	0.278062	0.095347	0.145968	0.480624	0.278062	0.095347	0.145968	0.248437	0.328223	0.190562	0.232778	0.105573	0.353229	0.240954	0.300243	
8000	268.021876	4	0.456098	0.294260	0.080798	0.168844	0.238385	0.248197	0.191042	0.322377	0.456098	0.294260	0.080798	0.168844	0.337299	0.279379	0.145879	0.237443	0.456098	0.294260	0.080798	0.168844	0.238385	0.248197	0.191042	0.322377	0.456098	0.294260	0.080798	0.168844	0.456098	0.294260	0.080798	0.168844	0.456098	0.294260	0.080798	0.168844	0.337299	0.279379	0.145879	0.237443	0.339199	0.043827	0.368609	0.248366	
9000	268.021876	5	0.475044	0.275355	0.086144	0.163456	0.236221	0.315804	0.164952	0.283023	0.475044	0.275355	0.086144	0.163456	0.307152	0.292274	0.198654	0.201920	0.405341	0.315563	0.112341	0.166756	0.236221	0.315804	0.164952	0.283023	0.475044	0.275355	0.086144	0.163456	0.475044	0.275355	0.086144	0.163456	0.405341	0.315563	0.112341	0.166756	0.236221	0.315804	0.164952	0.283023	0.108335	0.131366	0.352711	0.407587	
10000	268.021876	3	0.470731	0.289436	0.076769	0.163064	0.274891	0.264123	0.178707	0.282279	0.470731	0.289436	0.076769	0.163064	0.274891	0.264123	0.178707	0.282279	0.384875	0.283870	0.099060	0.232195	0.274891	0.264123	0.178707	0.282279	0.470731	0.289436	0.076769	0.163064	0.384875	0.283870	0.099060	0.232195	0.384875	0.283870	0.099060	0.232195	0.384875	0.283870	0.099060	0.232195	0.274891	0.264123	0.178707	0.282279	
11000	268.021876	4	0.470731	0.289436	0.076769	0.163064	0.281190	0.280273	0.180281	0.258256	0.470731	0.289436	0.076769	0.163064	0.281190	0.280273	0.180281	0.258256	0.360561	0.346831	0.110556	0.182052	0.281190	0.280273	0.180281	0.258256	0.470731	0.289436	0.076769	0.163064	0.407038	0.259414	0.115468	0.218080	0.360561	0.346831	0.110556	0.182052	0.407038	0.259414	0.115468	0.218080	0.470731	0.289436	0.076769	0.163064	
12000	268.021876	4	0.474385	0.267491	0.102227	0.155898	0.315334	0.327130	0.140223	0.217314	0.474385	0.267491	0.102227	0.155898	0.315334	0.327130	0.140223	0.217314	0.315334	0.327130	0.140223	0.217314	0.262555	0.280309	0.112549	0.344588	0.474385	0.267491	0.102227	0.155898	0.474385	0.267491	0.102227	0.155898	0.315334	0.327130	0.140223	0.217314	0.262555	0.280309	0.112549	0.344588	0.272680	0.193191	0.393513	0.140616	
13000	268.021876	4	0.514284	0.252057	0.079099	0.154559	0.266922	0.292683	0.152101	0.288295	0.514284	0.252057	0.079099	0.154559	0.266922	0.292683	0.152101	0.288295	0.333281	0.338957	0.117961	0.209801	0.266922	0.292683	0.152101	0.288295	0.514284	0.252057	0.079099	0.154559	0.514284	0.252057	0.079099	0.154559	0.333281	0.338957	0.117961	0.209801	0.266922	0.292683	0.152101	0.288295	0.222442	0.454985	0.266682	0.055891	
14000	268.021876	5	0.514284	0.252057	0.079099	0.154559	0.245252	0.187366	0.315554	0.251829	0.514284	0.252057	0.079099	0.154559	0.279194	0.283773	0.131902	0.305130	0.376279	0.320557	0.102637	0.200527	0.279194	0.283773	0.131902	0.305130	0.514284	0.252057	0.079099	0.154559	0.376279	0.320557	0.102637	0.200527	0.376279	0.320557	0.102637	0.200527	0.279194	0.283773	0.131902	0.305130	0.586475	0.157031	0.055078	0.201417	
15000	268.021876	4	0.441243	0.273101	0.083660	0.201997	0.261888	0.294602	0.150461	0.293048	0.441243	0.273101	0.083660	0.201997	0.261888	0.294602	0.150461	0.293048	0.361362	0.333566	0.098710	0.206363	0.261888	0.294602	0.150461	0.293048	0.441243	0.273101	0.083660	0.201997	0.441243	0.273101	0.083660	0.201997	0.361362	0.333566	0.098710	0.206363	0.261888	0.294602	0.150461	0.293048	0.084974	0.077472	0.383419	0.454136	
