Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
6184000	4.627436	4	0.314858	0.170685	0.398512	0.314858	0.314858	0.170685	0.920591	0.398512	0.314858	0.398512	0.170685	
6185000	4.627436	6	0.292949	0.247426	0.412932	0.247426	0.247426	0.208821	0.498136	0.412932	0.247426	0.412932	0.261888	
6186000	4.627436	5	0.297565	0.202917	0.463108	0.297565	0.297565	0.176739	1.081512	0.463108	0.297565	0.463108	0.297565	
6187000	4.627436	4	0.314579	0.211287	0.401096	0.314579	0.314579	0.211287	1.091350	0.314579	0.314579	0.401096	0.211287	
6188000	4.627436	5	0.349666	0.192339	0.386595	0.349666	0.349666	0.186420	0.664010	0.386595	0.349666	0.349666	0.186420	
6189000	4.627436	5	0.303965	0.211540	0.391937	0.303965	0.303965	0.211540	0.557533	0.391937	0.303965	0.303965	0.172667	
6190000	4.627436	4	0.298910	0.183412	0.434516	0.298910	0.298910	0.183412	0.521248	0.434516	0.298910	0.434516	0.298910	
6191000	4.627436	6	0.331069	0.241709	0.445466	0.241709	0.331069	0.203592	0.592556	0.386539	0.241709	0.445466	0.203592	
6192000	4.627436	6	0.286619	0.235124	0.406901	0.286619	0.286619	0.210611	1.199247	0.406901	0.286619	0.359901	0.210611	
6193000	4.627436	5	0.323189	0.174841	0.420052	0.286183	0.286183	0.174841	1.620755	0.420052	0.286183	0.420052	0.174841	
6194000	4.627436	5	0.310356	0.198132	0.367866	0.310356	0.310356	0.163852	0.617220	0.367866	0.310356	0.367866	0.198132	
6195000	4.627436	5	0.305617	0.205445	0.379918	0.305617	0.305617	0.179587	0.379918	0.379918	0.266516	0.379918	0.305617	
6196000	4.627436	8	0.270497	0.214076	0.410692	0.270497	0.270497	0.178481	0.948393	0.270497	0.274697	0.390204	0.175017	
6197000	4.627436	5	0.295738	0.187738	0.417423	0.295738	0.295738	0.187738	1.806662	0.417423	0.244903	0.417423	0.187738	
6198000	4.627436	5	0.292682	0.184145	0.388630	0.292682	0.292682	0.184145	0.627168	0.377721	0.292682	0.377721	0.184145	
6199000	4.627436	3	0.329858	0.220411	0.329858	0.329858	0.329858	0.220411	0.724275	0.329858	0.220411	0.329858	0.329858	
6200000	4.627436	5	0.291867	0.193641	0.379977	0.291867	0.291867	0.195997	0.697713	0.379977	0.291867	0.379977	0.195997	
6201000	4.627436	4	0.337208	0.199106	0.403495	0.337208	0.337208	0.199106	0.403495	0.403495	0.403495	0.403495	0.111551	
6202000	4.627436	6	0.271070	0.236663	0.392785	0.271070	0.271070	0.201124	0.419129	0.392785	0.271070	0.392785	0.313727	
6203000	4.627436	6	0.300414	0.201331	0.437334	0.295203	0.300414	0.201331	0.520165	0.437334	0.295203	0.389701	0.201331	
6204000	4.627436	6	0.298086	0.236152	0.404719	0.298086	0.300156	0.222029	1.202815	0.404719	0.298086	0.404719	0.236152	
6205000	4.627436	7	0.310858	0.237683	0.405852	0.250013	0.310858	0.174250	1.024667	0.405852	0.263620	0.405852	0.237683	
6206000	4.627436	5	0.289875	0.183705	0.379153	0.289875	0.289875	0.183705	0.587111	0.361646	0.289875	0.361646	0.183705	
6207000	4.627436	5	0.278943	0.197447	0.382766	0.278943	0.278943	0.197447	0.969039	0.382766	0.278943	0.382766	0.202250	
6208000	4.627436	4	0.279554	0.178693	0.410954	0.279554	0.279554	0.178693	0.570614	0.279554	0.410954	0.410954	0.279554	
6209000	4.627436	6	0.295247	0.221779	0.375147	0.295247	0.295247	0.221779	0.963803	0.369518	0.366111	0.375147	0.369518	
6210000	4.627436	7	0.298401	0.226189	0.355045	0.294775	0.298401	0.226189	0.576081	0.415824	0.355045	0.366111	0.226189	
6211000	4.627436	5	0.290314	0.163609	0.379948	0.290314	0.340703	0.163609	0.379948	0.458808	0.290314	0.379948	0.163609	
6212000	4.627436	5	0.346670	0.182052	0.374598	0.280593	0.280593	0.182052	0.668625	0.346670	0.374598	0.374598	0.374598	
6213000	4.627436	6	0.311583	0.187473	0.322684	0.311583	0.311583	0.187473	0.685973	0.322684	0.377076	0.318912	0.187473	
6214000	4.627436	5	0.309878	0.217575	0.392625	0.309878	0.309878	0.192692	0.470528	0.392625	0.309878	0.392625	0.217575	
6215000	4.627436	2	0.328046	0.184707	0.328046	0.328046	0.328046	0.184707	0.328046	0.328046	0.328046	0.328046	0.184707	
6216000	4.627436	5	0.298198	0.198988	0.388503	0.298198	0.298198	0.198988	0.899002	0.388503	0.388503	0.388503	0.124597	
6217000	4.627436	5	0.333116	0.190265	0.346252	0.333116	0.333116	0.190265	0.458410	0.333116	0.333116	0.333116	0.256929	
6218000	4.627436	6	0.320683	0.180342	0.375784	0.304749	0.304749	0.173483	0.375784	0.436264	0.320683	0.375784	0.320683	
6219000	4.627436	5	0.345100	0.212121	0.369360	0.345100	0.345100	0.212121	0.709814	0.369360	0.345100	0.345100	0.234343	
6220000	4.627436	5	0.318788	0.184329	0.427069	0.318788	0.318788	0.184329	0.582384	0.427069	0.318788	0.427069	0.116504	
6221000	4.627436	4	0.341847	0.272430	0.428531	0.286659	0.272430	0.272430	0.428531	0.428531	0.428531	0.428531	0.272430	
6222000	4.627436	7	0.291293	0.203268	0.425926	0.291293	0.322445	0.203268	0.710322	0.444235	0.291293	0.444235	0.216586	
6223000	4.627436	6	0.313185	0.184993	0.321116	0.313185	0.313185	0.184993	1.033379	0.313185	0.325111	0.321116	0.343082	
6224000	4.627436	4	0.299507	0.184232	0.373043	0.299507	0.299507	0.184232	0.373043	0.373043	0.373043	0.435455	0.373043	
6225000	4.627436	6	0.279766	0.182901	0.373775	0.270481	0.270481	0.182901	0.954094	0.383253	0.279766	0.383253	0.182901	
6226000	4.627436	5	0.296589	0.188691	0.296589	0.296589	0.296589	0.188691	0.863124	0.296589	0.296589	0.332159	0.242996	
6227000	4.627436	5	0.301616	0.214251	0.380734	0.301616	0.301616	0.214251	0.820616	0.344379	0.301616	0.380734	0.301616	
6228000	4.627436	5	0.282119	0.160093	0.366270	0.277798	0.277798	0.160093	0.479182	0.366270	0.277798	0.366270	0.277798	
6229000	4.627436	4	0.299297	0.217550	0.378123	0.299297	0.378123	0.217550	0.601122	0.378123	0.299297	0.299297	0.217550	
6230000	4.627436	7	0.303926	0.170472	0.469045	0.303926	0.342611	0.198885	0.621459	0.438683	0.303926	0.438683	0.303926	
6231000	4.627436	4	0.320159	0.183940	0.404671	0.320159	0.320159	0.183940	0.760445	0.404671	0.320159	0.320159	0.183940	
6232000	4.627436	7	0.310540	0.234647	0.408050	0.282398	0.310540	0.197112	0.492762	0.310540	0.310540	0.442768	0.234647	
6233000	4.627436	9	0.302233	0.184679	0.424575	0.317373	0.275618	0.184679	0.610621	0.363054	0.339552	0.424575	0.138431	
6234000	4.627436	6	0.301659	0.194070	0.398345	0.276752	0.301659	0.194070	1.878639	0.301659	0.301659	0.449274	0.194070	
6235000	4.627436	6	0.296245	0.199823	0.417193	0.280669	0.280669	0.199823	1.418977	0.417193	0.280669	0.365688	0.199823	
6236000	4.627436	4	0.317630	0.197980	0.592407	0.334336	0.334336	0.197980	0.592407	0.334336	0.334336	0.334336	0.317630	
6237000	4.627436	5	0.285371	0.250293	0.417607	0.285371	0.285371	0.170188	0.643043	0.417607	0.285371	0.417607	0.285371	
6238000	4.627436	5	0.311349	0.186908	0.456658	0.311349	0.311349	0.186908	0.946274	0.311349	0.311349	0.430227	0.186908	
6239000	4.627436	6	0.327499	0.232960	0.409203	0.232960	0.327499	0.232960	0.704863	0.377534	0.327499	0.443291	0.232960	
6240000	4.627436	5	0.270209	0.191207	0.384802	0.270209	0.270209	0.191207	0.846072	0.385100	0.270209	0.385100	0.270209	
6241000	4.627436	6	0.318368	0.198177	0.349666	0.236746	0.318368	0.198177	1.010285	0.349666	0.339190	0.339190	0.198177	
6242000	4.627436	5	0.300532	0.179145	0.394932	0.300532	0.300532	0.179145	1.723769	0.394932	0.300532	0.394932	0.251620	
6243000	4.627436	6	0.280620	0.229839	0.375192	0.280620	0.280620	0.152072	0.443133	0.375192	0.280620	0.443133	0.233736	
6244000	4.627436	5	0.302096	0.177103	0.400744	0.302096	0.302096	0.177103	0.776436	0.400744	0.276317	0.400744	0.400744	
6245000	4.627436	5	0.312337	0.168175	0.409233	0.247580	0.312337	0.168175	0.511969	0.409233	0.312337	0.511969	0.409233	
6246000	4.627436	5	0.289797	0.188515	0.397759	0.289797	0.289797	0.188515	0.526805	0.397759	0.289797	0.371530	0.188515	
6247000	4.627436	7	0.315975	0.218965	0.447072	0.277354	0.277354	0.215093	0.651250	0.421893	0.277354	0.447072	0.218965	
6248000	4.627436	4	0.273336	0.273336	0.412564	0.273336	0.273336	0.198196	0.412564	0.338165	0.273336	0.412564	0.273336	
6249000	4.627436	6	0.312529	0.184847	0.336584	0.277986	0.312529	0.184847	0.389377	0.336584	0.336584	0.410333	0.184847	
6250000	4.627436	5	0.311259	0.188734	0.338743	0.289603	0.289603	0.188734	0.757850	0.338743	0.289603	0.338743	0.188734	
6251000	4.627436	6	0.281100	0.216767	0.403987	0.281100	0.281100	0.158897	0.932781	0.381756	0.281100	0.403987	0.281100	
6252000	4.627436	5	0.290464	0.212186	0.397831	0.290464	0.290464	0.212186	1.599478	0.397831	0.290464	0.372251	0.290464	
6253000	4.627436	4	0.280250	0.208502	0.385164	0.280250	0.280250	0.208502	0.864513	0.385164	0.280250	0.385164	0.208502	
6254000	4.627436	4	0.306524	0.204438	0.391300	0.306524	0.391300	0.204438	1.302906	0.391300	0.306524	0.391300	0.204438	
6255000	4.627436	7	0.284052	0.265524	0.415477	0.255676	0.284052	0.206873	0.844482	0.422761	0.265524	0.415477	0.415477	
6256000	4.627436	5	0.286935	0.187198	0.397242	0.286935	0.286935	0.187198	1.004866	0.397242	0.286935	0.397242	0.191578	
6257000	4.627436	5	0.298543	0.231337	0.407887	0.298543	0.298543	0.205938	0.407887	0.407887	0.298543	0.407887	0.208408	
6258000	4.627436	5	0.295259	0.197989	0.400968	0.295259	0.324403	0.197989	0.653544	0.400968	0.295259	0.400968	0.295259	
6259000	4.627436	8	0.282105	0.219065	0.395360	0.282105	0.312163	0.219065	0.436276	0.436276	0.335892	0.502609	0.193924	
6260000	4.627436	6	0.302605	0.172655	0.416946	0.302605	0.302605	0.188748	0.668756	0.416946	0.285905	0.416946	0.188748	
6261000	4.627436	4	0.302703	0.201322	0.392269	0.302703	0.302703	0.201322	0.538865	0.392269	0.302703	0.392269	0.201322	
6262000	4.627436	5	0.288132	0.191587	0.367434	0.288132	0.288132	0.191587	0.670515	0.367434	0.288132	0.367434	0.095384	
6263000	4.627436	3	0.282045	0.216376	0.416519	0.282045	0.282045	0.216376	0.416519	0.282045	0.282045	0.416519	0.216376	
6264000	4.627436	6	0.305182	0.194179	0.410292	0.305182	0.305182	0.194179	1.207461	0.301623	0.305182	0.410292	0.159424	
6265000	4.627436	4	0.303730	0.209708	0.475134	0.303730	0.303730	0.209708	0.475134	0.405740	0.303730	0.303730	0.209708	
6266000	4.627436	6	0.276391	0.255755	0.432690	0.247802	0.312213	0.247802	0.432690	0.432690	0.247802	0.432690	0.125126	
6267000	4.627436	4	0.282030	0.184069	0.421720	0.282030	0.282030	0.184069	0.421720	0.282030	0.282030	0.421720	0.157227	
6268000	4.627436	5	0.295359	0.204589	0.376792	0.295359	0.282480	0.184959	0.376792	0.376792	0.376792	0.376792	0.376792	
6269000	4.627436	6	0.302850	0.203896	0.410021	0.302850	0.302850	0.203896	0.887170	0.410021	0.315237	0.498694	0.203896	
6270000	4.627436	3	0.347863	0.171652	0.347863	0.347863	0.347863	0.171652	0.347863	0.334494	0.347863	0.347863	0.171652	
6271000	4.627436	5	0.328981	0.198953	0.423340	0.300183	0.300183	0.198953	0.423340	0.423340	0.320701	0.423340	0.423340	
6272000	4.627436	6	0.265049	0.225196	0.394761	0.265049	0.265049	0.155327	0.881733	0.394761	0.394761	0.394761	0.113947	
6273000	4.627436	5	0.275627	0.256375	0.421541	0.256375	0.275627	0.256375	0.936547	0.417708	0.275627	0.421541	0.256375	
