Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	11.688050	4	0.402057	0.330597	0.078867	0.188479	0.343698	0.222577	0.180366	0.253358	0.402057	0.330597	0.078867	0.188479	0.343698	0.222577	0.180366	0.253358	0.402057	0.330597	0.078867	0.188479	0.402057	0.330597	0.078867	0.188479	0.402057	0.330597	0.078867	0.188479	0.402057	0.330597	0.078867	0.188479	0.402057	0.330597	0.078867	0.188479	0.335800	0.240599	0.149006	0.274596	0.285552	0.262711	0.288796	0.162941	
2000	11.688050	3	0.418119	0.348728	0.079155	0.153998	0.328202	0.221059	0.179368	0.271370	0.418119	0.348728	0.079155	0.153998	0.328202	0.221059	0.179368	0.271370	0.418119	0.348728	0.079155	0.153998	0.330928	0.286554	0.134798	0.247720	0.418119	0.348728	0.079155	0.153998	0.330928	0.286554	0.134798	0.247720	0.330928	0.286554	0.134798	0.247720	0.330928	0.286554	0.134798	0.247720	0.328202	0.221059	0.179368	0.271370	
3000	11.688050	2	0.446213	0.312868	0.084097	0.156822	0.306298	0.279043	0.164089	0.250569	0.446213	0.312868	0.084097	0.156822	0.306298	0.279043	0.164089	0.250569	0.446213	0.312868	0.084097	0.156822	0.306298	0.279043	0.164089	0.250569	0.446213	0.312868	0.084097	0.156822	0.446213	0.312868	0.084097	0.156822	0.446213	0.312868	0.084097	0.156822	0.306298	0.279043	0.164089	0.250569	0.306298	0.279043	0.164089	0.250569	
4000	11.688050	4	0.428322	0.288637	0.097911	0.185130	0.236158	0.252457	0.218599	0.292785	0.428322	0.288637	0.097911	0.185130	0.236158	0.252457	0.218599	0.292785	0.379185	0.279338	0.138028	0.203449	0.124438	0.481076	0.124983	0.269502	0.428322	0.288637	0.097911	0.185130	0.379185	0.279338	0.138028	0.203449	0.379185	0.279338	0.138028	0.203449	0.379185	0.279338	0.138028	0.203449	0.236158	0.252457	0.218599	0.292785	
5000	11.688050	4	0.381661	0.313391	0.131508	0.173441	0.252959	0.246431	0.186847	0.313763	0.473006	0.284147	0.072247	0.170600	0.252959	0.246431	0.186847	0.313763	0.381661	0.313391	0.131508	0.173441	0.212812	0.329046	0.222611	0.235531	0.473006	0.284147	0.072247	0.170600	0.381661	0.313391	0.131508	0.173441	0.381661	0.313391	0.131508	0.173441	0.381661	0.313391	0.131508	0.173441	0.252959	0.246431	0.186847	0.313763	
6000	11.688050	3	0.436548	0.303195	0.089987	0.170270	0.287513	0.235019	0.201488	0.275980	0.436548	0.303195	0.089987	0.170270	0.287513	0.235019	0.201488	0.275980	0.436548	0.303195	0.089987	0.170270	0.301847	0.304413	0.120719	0.273021	0.436548	0.303195	0.089987	0.170270	0.301847	0.304413	0.120719	0.273021	0.436548	0.303195	0.089987	0.170270	0.301847	0.304413	0.120719	0.273021	0.287513	0.235019	0.201488	0.275980	
7000	11.688050	3	0.381962	0.286824	0.101657	0.229557	0.287268	0.230514	0.238892	0.243325	0.381962	0.286824	0.101657	0.229557	0.287268	0.230514	0.238892	0.243325	0.381962	0.286824	0.101657	0.229557	0.289229	0.282074	0.102410	0.326287	0.381962	0.286824	0.101657	0.229557	0.381962	0.286824	0.101657	0.229557	0.381962	0.286824	0.101657	0.229557	0.289229	0.282074	0.102410	0.326287	0.287268	0.230514	0.238892	0.243325	
8000	11.688050	4	0.449106	0.297636	0.079409	0.173849	0.283667	0.240562	0.228588	0.247184	0.449106	0.297636	0.079409	0.173849	0.283667	0.240562	0.228588	0.247184	0.449106	0.297636	0.079409	0.173849	0.283667	0.240562	0.228588	0.247184	0.449106	0.297636	0.079409	0.173849	0.374363	0.240566	0.119229	0.265842	0.449106	0.297636	0.079409	0.173849	0.325944	0.283489	0.124804	0.265762	0.283667	0.240562	0.228588	0.247184	
9000	11.688050	3	0.350932	0.317041	0.115728	0.216299	0.184275	0.335799	0.223172	0.256755	0.350932	0.317041	0.115728	0.216299	0.350932	0.317041	0.115728	0.216299	0.350932	0.317041	0.115728	0.216299	0.184275	0.335799	0.223172	0.256755	0.350932	0.317041	0.115728	0.216299	0.350932	0.317041	0.115728	0.216299	0.350932	0.317041	0.115728	0.216299	0.350932	0.317041	0.115728	0.216299	0.303280	0.069159	0.446206	0.181355	
10000	11.688050	4	0.350346	0.313757	0.112269	0.223628	0.237828	0.208504	0.278046	0.275621	0.428326	0.296415	0.087809	0.187450	0.237828	0.208504	0.278046	0.275621	0.350346	0.313757	0.112269	0.223628	0.350346	0.313757	0.112269	0.223628	0.428326	0.296415	0.087809	0.187450	0.350346	0.313757	0.112269	0.223628	0.350346	0.313757	0.112269	0.223628	0.350346	0.313757	0.112269	0.223628	0.253206	0.159132	0.371987	0.215676	
