Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
2167000	48.111915	5	28.663011	5.349226	28.663011	5.349226	5.349226	5.349226	28.663011	5.349226	11.973593	10.206293	12.360925	
2168000	48.111915	6	12.498254	5.201511	27.564302	5.201511	5.201511	5.201511	27.564302	5.201511	11.100914	10.775360	11.082498	
2169000	48.111915	5	13.104169	5.053017	30.205442	5.053017	5.053017	5.053017	30.205442	5.053017	12.030106	10.469343	5.053017	
2170000	48.111915	4	27.925245	5.793769	27.925245	5.793769	5.793769	5.793769	27.925245	5.793769	11.209715	9.646457	9.646457	
2171000	48.111915	5	27.911975	5.425503	27.911975	5.425503	5.425503	5.425503	27.911975	5.425503	11.186374	10.085733	10.775280	
2172000	48.111915	6	12.015046	4.825006	29.155812	4.825006	4.825006	4.825006	29.155812	4.825006	10.485277	8.821113	11.377344	
2173000	48.111915	3	20.562937	4.993127	20.562937	4.993127	4.993127	4.993127	20.562937	4.993127	11.020566	11.020566	4.993127	
2174000	48.111915	5	28.215828	5.546784	28.215828	5.546784	5.546784	5.546784	28.215828	5.546784	14.089262	11.492535	10.837646	
2175000	48.111915	6	12.371299	5.392372	30.838911	5.392372	5.392372	5.392372	30.838911	5.392372	12.777111	11.862104	10.663961	
2176000	48.111915	6	14.940118	5.117944	30.381519	5.117944	5.117944	5.117944	30.381519	5.117944	12.500990	9.821353	10.704548	
2177000	48.111915	5	29.904676	5.445666	29.904676	5.445666	5.445666	5.445666	29.904676	5.445666	11.953358	10.914188	11.408347	
2178000	48.111915	5	28.534120	5.252783	28.534120	5.252783	5.252783	5.252783	28.534120	5.252783	10.099022	10.922696	10.717917	
2179000	48.111915	6	12.992862	5.895026	30.967783	5.895026	5.895026	5.895026	30.967783	5.895026	12.393536	9.911187	11.127409	
2180000	48.111915	6	12.904901	5.011191	27.821356	5.011191	5.011191	5.011191	27.821356	5.011191	15.798631	10.720212	12.685471	
2181000	48.111915	4	27.347709	5.252426	27.347709	5.252426	5.252426	5.252426	27.347709	5.252426	11.483776	10.748500	5.252426	
2182000	48.111915	5	12.582886	5.168158	28.037736	5.168158	5.168158	5.168158	28.037736	5.168158	12.040689	11.031230	5.168158	
2183000	48.111915	5	13.102680	5.724633	30.466343	5.724633	5.724633	5.724633	30.466343	5.724633	12.102208	10.960412	5.724633	
2184000	48.111915	5	13.060250	5.495886	26.907283	5.495886	5.495886	5.495886	26.907283	5.495886	12.873254	11.073081	5.495886	
2185000	48.111915	6	12.425491	5.472038	23.053063	5.472038	5.472038	5.472038	23.053063	5.472038	13.439968	10.978110	10.994623	
2186000	48.111915	6	12.023836	6.133974	27.552073	6.133974	6.133974	6.133974	27.552073	6.133974	11.786865	11.606859	12.070039	
2187000	48.111915	6	12.820298	5.459460	25.626215	5.459460	5.459460	5.459460	25.626215	5.459460	11.484168	10.067478	12.113471	
2188000	48.111915	5	15.650178	5.952875	15.650178	5.952875	5.952875	5.952875	15.650178	5.952875	11.612970	11.077879	12.577141	
2189000	48.111915	4	20.471371	5.585863	20.471371	5.585863	5.585863	5.585863	20.471371	5.585863	11.064692	11.064692	11.560848	
2190000	48.111915	5	12.424654	5.560850	27.163843	5.560850	5.560850	5.560850	27.163843	5.560850	11.870307	10.678349	5.560850	
2191000	48.111915	5	12.048569	5.511469	27.100732	5.511469	5.511469	5.511469	27.100732	5.511469	10.752386	9.674274	5.511469	
2192000	48.111915	5	13.035410	5.263348	20.107989	5.263348	5.263348	5.263348	20.107989	5.263348	11.354136	11.354136	9.587367	
2193000	48.111915	5	12.614233	5.121135	22.255391	5.121135	5.121135	5.121135	22.255391	5.121135	12.216460	10.477068	5.121135	
2194000	48.111915	5	13.984143	5.494609	28.103563	5.494609	5.494609	5.494609	28.103563	5.494609	10.999412	12.015804	5.494609	
