Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	48.111915	3	0.413450	0.285531	0.083036	0.217982	0.272030	0.295012	0.175092	0.257866	0.413450	0.285531	0.083036	0.217982	0.272030	0.295012	0.175092	0.257866	0.413450	0.285531	0.083036	0.217982	0.272030	0.295012	0.175092	0.257866	0.413450	0.285531	0.083036	0.217982	0.413450	0.285531	0.083036	0.217982	0.413450	0.285531	0.083036	0.217982	0.272030	0.295012	0.175092	0.257866	0.508990	0.037574	0.275319	0.178117	
2000	48.111915	2	0.390474	0.284589	0.104367	0.220569	0.322796	0.269167	0.194456	0.213581	0.390474	0.284589	0.104367	0.220569	0.322796	0.269167	0.194456	0.213581	0.390474	0.284589	0.104367	0.220569	0.322796	0.269167	0.194456	0.213581	0.390474	0.284589	0.104367	0.220569	0.390474	0.284589	0.104367	0.220569	0.390474	0.284589	0.104367	0.220569	0.390474	0.284589	0.104367	0.220569	0.322796	0.269167	0.194456	0.213581	
3000	48.111915	4	0.433137	0.301800	0.083032	0.182031	0.299019	0.221146	0.245758	0.234077	0.433137	0.301800	0.083032	0.182031	0.299019	0.221146	0.245758	0.234077	0.377362	0.305563	0.089825	0.227249	0.283078	0.311677	0.133644	0.271601	0.433137	0.301800	0.083032	0.182031	0.377362	0.305563	0.089825	0.227249	0.377362	0.305563	0.089825	0.227249	0.283078	0.311677	0.133644	0.271601	0.299019	0.221146	0.245758	0.234077	
4000	48.111915	3	0.444851	0.303216	0.074256	0.177676	0.246331	0.302004	0.189036	0.262629	0.444851	0.303216	0.074256	0.177676	0.246331	0.302004	0.189036	0.262629	0.293587	0.348004	0.116795	0.241614	0.293587	0.348004	0.116795	0.241614	0.444851	0.303216	0.074256	0.177676	0.444851	0.303216	0.074256	0.177676	0.293587	0.348004	0.116795	0.241614	0.293587	0.348004	0.116795	0.241614	0.246331	0.302004	0.189036	0.262629	
5000	48.111915	4	0.444851	0.303216	0.074256	0.177676	0.217844	0.267252	0.252847	0.262057	0.444851	0.303216	0.074256	0.177676	0.333568	0.307729	0.162211	0.196493	0.333568	0.307729	0.162211	0.196493	0.278624	0.354717	0.115190	0.251470	0.444851	0.303216	0.074256	0.177676	0.444851	0.303216	0.074256	0.177676	0.278624	0.354717	0.115190	0.251470	0.278624	0.354717	0.115190	0.251470	0.333568	0.307729	0.162211	0.196493	
6000	48.111915	3	0.383961	0.312172	0.114934	0.188933	0.331642	0.199780	0.218208	0.250371	0.383961	0.312172	0.114934	0.188933	0.331642	0.199780	0.218208	0.250371	0.383961	0.312172	0.114934	0.188933	0.297796	0.405783	0.099632	0.196789	0.383961	0.312172	0.114934	0.188933	0.383961	0.312172	0.114934	0.188933	0.383961	0.312172	0.114934	0.188933	0.383961	0.312172	0.114934	0.188933	0.331642	0.199780	0.218208	0.250371	
7000	48.111915	2	0.374604	0.322190	0.092340	0.210866	0.294151	0.238606	0.225857	0.241386	0.374604	0.322190	0.092340	0.210866	0.294151	0.238606	0.225857	0.241386	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	0.374604	0.322190	0.092340	0.210866	
8000	48.111915	4	0.455707	0.275534	0.114164	0.154595	0.296217	0.282048	0.179185	0.242550	0.455707	0.275534	0.114164	0.154595	0.296217	0.282048	0.179185	0.242550	0.296217	0.282048	0.179185	0.242550	0.296217	0.282048	0.179185	0.242550	0.455707	0.275534	0.114164	0.154595	0.350499	0.260681	0.138497	0.250324	0.455707	0.275534	0.114164	0.154595	0.291143	0.267857	0.192298	0.248702	0.296217	0.282048	0.179185	0.242550	
9000	48.111915	4	0.465374	0.268450	0.091852	0.174324	0.264188	0.287374	0.159547	0.288891	0.465374	0.268450	0.091852	0.174324	0.264188	0.287374	0.159547	0.288891	0.349455	0.328708	0.135695	0.186142	0.264188	0.287374	0.159547	0.288891	0.465374	0.268450	0.091852	0.174324	0.403275	0.272454	0.135922	0.188349	0.403275	0.272454	0.135922	0.188349	0.264188	0.287374	0.159547	0.288891	0.264188	0.287374	0.159547	0.288891	
10000	48.111915	3	0.458582	0.256934	0.112427	0.172057	0.261906	0.247654	0.178324	0.312116	0.461923	0.291186	0.086292	0.160599	0.261906	0.247654	0.178324	0.312116	0.458582	0.256934	0.112427	0.172057	0.261906	0.247654	0.178324	0.312116	0.461923	0.291186	0.086292	0.160599	0.458582	0.256934	0.112427	0.172057	0.458582	0.256934	0.112427	0.172057	0.261906	0.247654	0.178324	0.312116	0.261906	0.247654	0.178324	0.312116	
