Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
5326000	4.627436	2	0.435473	0.292909	0.081154	0.190463	0.268983	0.279901	0.160913	0.290204	0.435473	0.292909	0.081154	0.190463	0.268983	0.279901	0.160913	0.290204	0.268983	0.279901	0.160913	0.290204	0.268983	0.279901	0.160913	0.290204	0.435473	0.292909	0.081154	0.190463	0.268983	0.279901	0.160913	0.290204	0.435473	0.292909	0.081154	0.190463	0.268983	0.279901	0.160913	0.290204	0.435473	0.292909	0.081154	0.190463	
5327000	4.627436	2	0.436719	0.282149	0.089594	0.191538	0.280456	0.269103	0.176744	0.273697	0.436719	0.282149	0.089594	0.191538	0.280456	0.269103	0.176744	0.273697	0.280456	0.269103	0.176744	0.273697	0.280456	0.269103	0.176744	0.273697	0.436719	0.282149	0.089594	0.191538	0.280456	0.269103	0.176744	0.273697	0.436719	0.282149	0.089594	0.191538	0.280456	0.269103	0.176744	0.273697	0.280456	0.269103	0.176744	0.273697	
5328000	4.627436	2	0.442032	0.293286	0.084709	0.179974	0.274963	0.269187	0.192741	0.263109	0.442032	0.293286	0.084709	0.179974	0.274963	0.269187	0.192741	0.263109	0.274963	0.269187	0.192741	0.263109	0.274963	0.269187	0.192741	0.263109	0.442032	0.293286	0.084709	0.179974	0.274963	0.269187	0.192741	0.263109	0.442032	0.293286	0.084709	0.179974	0.274963	0.269187	0.192741	0.263109	0.274963	0.269187	0.192741	0.263109	
5329000	4.627436	3	0.468492	0.277465	0.082049	0.171994	0.286723	0.240425	0.201547	0.271305	0.468492	0.277465	0.082049	0.171994	0.286723	0.240425	0.201547	0.271305	0.281644	0.309088	0.167668	0.241601	0.281644	0.309088	0.167668	0.241601	0.468492	0.277465	0.082049	0.171994	0.281644	0.309088	0.167668	0.241601	0.468492	0.277465	0.082049	0.171994	0.281644	0.309088	0.167668	0.241601	0.286723	0.240425	0.201547	0.271305	
5330000	4.627436	2	0.454052	0.285814	0.083332	0.176802	0.280944	0.277975	0.167042	0.274039	0.454052	0.285814	0.083332	0.176802	0.280944	0.277975	0.167042	0.274039	0.280944	0.277975	0.167042	0.274039	0.280944	0.277975	0.167042	0.274039	0.454052	0.285814	0.083332	0.176802	0.280944	0.277975	0.167042	0.274039	0.454052	0.285814	0.083332	0.176802	0.280944	0.277975	0.167042	0.274039	0.280944	0.277975	0.167042	0.274039	
5331000	4.627436	3	0.454052	0.285814	0.083332	0.176802	0.265297	0.262923	0.173725	0.298055	0.454052	0.285814	0.083332	0.176802	0.265297	0.262923	0.173725	0.298055	0.265297	0.262923	0.173725	0.298055	0.265297	0.262923	0.173725	0.298055	0.454052	0.285814	0.083332	0.176802	0.308384	0.262939	0.122326	0.306351	0.454052	0.285814	0.083332	0.176802	0.308384	0.262939	0.122326	0.306351	0.265297	0.262923	0.173725	0.298055	
5332000	4.627436	2	0.451380	0.292079	0.082348	0.174192	0.294073	0.296222	0.155250	0.254455	0.451380	0.292079	0.082348	0.174192	0.294073	0.296222	0.155250	0.254455	0.294073	0.296222	0.155250	0.254455	0.294073	0.296222	0.155250	0.254455	0.451380	0.292079	0.082348	0.174192	0.294073	0.296222	0.155250	0.254455	0.451380	0.292079	0.082348	0.174192	0.294073	0.296222	0.155250	0.254455	0.294073	0.296222	0.155250	0.254455	
5333000	4.627436	2	0.436835	0.290421	0.081651	0.191092	0.291825	0.262273	0.185639	0.260263	0.436835	0.290421	0.081651	0.191092	0.291825	0.262273	0.185639	0.260263	0.291825	0.262273	0.185639	0.260263	0.291825	0.262273	0.185639	0.260263	0.436835	0.290421	0.081651	0.191092	0.291825	0.262273	0.185639	0.260263	0.436835	0.290421	0.081651	0.191092	0.291825	0.262273	0.185639	0.260263	0.291825	0.262273	0.185639	0.260263	
5334000	4.627436	4	0.455392	0.260336	0.101627	0.182645	0.208491	0.232700	0.292637	0.266172	0.455392	0.260336	0.101627	0.182645	0.272648	0.246306	0.221698	0.259347	0.272648	0.246306	0.221698	0.259347	0.261026	0.322136	0.139224	0.277615	0.455392	0.260336	0.101627	0.182645	0.261026	0.322136	0.139224	0.277615	0.455392	0.260336	0.101627	0.182645	0.261026	0.322136	0.139224	0.277615	0.272648	0.246306	0.221698	0.259347	
5335000	4.627436	3	0.473853	0.271728	0.085188	0.169231	0.267821	0.300865	0.165806	0.265507	0.473853	0.271728	0.085188	0.169231	0.267821	0.300865	0.165806	0.265507	0.267821	0.300865	0.165806	0.265507	0.267821	0.300865	0.165806	0.265507	0.473853	0.271728	0.085188	0.169231	0.267821	0.300865	0.165806	0.265507	0.473853	0.271728	0.085188	0.169231	0.267821	0.300865	0.165806	0.265507	0.439295	0.219673	0.219078	0.121955	
