Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	48.111915	6	22.277244	7.405605	22.277244	7.405605	10.651388	7.405605	22.277244	9.600117	22.277244	10.580551	10.732532	
2000	48.111915	6	12.102873	6.993055	29.251148	6.993055	6.993055	6.993055	29.251148	9.115318	12.102873	11.223624	11.585120	
3000	48.111915	7	13.728380	6.218674	30.073426	6.218674	6.218674	6.218674	30.073426	12.130045	11.532664	9.885564	11.222143	
4000	48.111915	5	11.937309	6.161043	32.063780	6.161043	6.161043	6.161043	32.063780	6.161043	11.979199	10.479026	6.161043	
5000	48.111915	6	13.014262	5.680432	27.691659	5.680432	5.680432	5.680432	27.691659	5.680432	13.106155	11.208084	10.420301	
6000	48.111915	7	12.197627	6.057267	30.487688	6.057267	6.057267	6.057267	30.487688	11.796264	11.898308	9.046667	11.611371	
7000	48.111915	5	23.153587	5.892296	23.153587	5.892296	5.892296	5.892296	23.153587	5.892296	12.960675	11.117580	10.924590	
8000	48.111915	5	13.174521	6.471957	25.233521	6.471957	6.471957	6.471957	25.233521	6.471957	11.679670	6.471957	12.028032	
9000	48.111915	7	12.588223	5.858658	26.010762	5.858658	5.858658	5.858658	26.010762	10.522831	10.626959	12.185088	11.295899	
10000	48.111915	6	13.693430	5.825226	25.912058	5.825226	5.825226	5.825226	25.912058	5.825226	11.889341	10.350670	10.815922	
11000	48.111915	6	13.160160	6.159361	29.849599	6.159361	6.159361	6.159361	29.849599	6.159361	11.941948	11.195222	11.669510	
12000	48.111915	6	12.716533	6.404695	29.674028	6.404695	6.404695	6.404695	29.674028	6.404695	10.684304	11.375714	11.227558	
13000	48.111915	6	12.168099	6.051223	31.193878	6.051223	6.051223	6.051223	31.193878	6.051223	10.725564	9.539877	9.105102	
14000	48.111915	6	12.756960	6.280008	14.587278	6.280008	6.280008	6.280008	14.587278	6.280008	12.152841	10.278776	11.650977	
15000	48.111915	5	13.622497	5.752429	17.298201	5.752429	5.752429	5.752429	17.298201	5.752429	13.747239	5.752429	10.372390	
16000	48.111915	5	13.477028	5.975890	21.035271	5.975890	5.975890	5.975890	21.035271	5.975890	11.808548	5.975890	11.195609	
17000	48.111915	5	13.696467	5.733979	25.474856	5.733979	5.733979	5.733979	25.474856	5.733979	13.077184	9.753980	9.753980	
18000	48.111915	5	12.815436	6.381456	25.474856	6.381456	6.381456	6.381456	25.474856	6.381456	10.954473	10.954473	12.329584	
19000	48.111915	6	12.511239	6.111621	26.315083	6.111621	6.111621	6.111621	26.315083	6.111621	10.792327	10.189938	10.255303	
20000	48.111915	6	13.560135	5.460615	28.576206	5.460615	5.460615	5.460615	28.576206	5.460615	12.833576	10.254679	12.729840	
21000	48.111915	6	12.718926	5.664709	26.797046	5.664709	5.664709	5.664709	26.797046	5.664709	12.979042	10.644348	11.608194	
22000	48.111915	5	13.977051	6.413427	19.231798	6.413427	6.413427	6.413427	19.231798	6.413427	11.953010	10.628842	6.413427	
23000	48.111915	5	13.944736	5.954834	22.758041	5.954834	5.954834	5.954834	22.758041	5.954834	13.944736	9.959739	11.561325	
24000	48.111915	6	13.187808	5.986291	28.339802	5.986291	5.986291	5.986291	28.339802	9.903074	11.542186	9.903074	11.472339	
25000	48.111915	5	13.857106	6.108177	27.476922	6.108177	6.108177	6.108177	27.476922	6.108177	13.857106	10.258262	11.720750	
26000	48.111915	5	14.371938	6.120721	28.559094	6.120721	6.120721	6.120721	28.559094	6.120721	9.992331	9.992331	11.877309	
27000	48.111915	5	12.522676	5.629311	27.319738	5.629311	5.629311	5.629311	27.319738	5.629311	10.264655	11.538193	5.629311	
28000	48.111915	5	11.268913	5.970490	32.310453	5.970490	5.970490	5.970490	32.310453	5.970490	12.667466	11.890603	5.970490	
29000	48.111915	6	12.488087	5.583180	31.388575	5.583180	5.583180	5.583180	31.388575	5.583180	12.600758	12.354099	12.533744	
30000	48.111915	5	12.028368	6.312726	29.010096	6.312726	6.312726	6.312726	29.010096	6.312726	11.866415	11.683204	6.312726	
31000	48.111915	5	11.507275	5.745433	29.919812	5.745433	5.745433	5.745433	29.919812	5.745433	10.988315	10.988315	11.787771	
32000	48.111915	5	12.240960	5.896067	27.794576	5.896067	5.896067	5.896067	27.794576	5.896067	14.605766	11.290503	5.896067	
33000	48.111915	5	13.003674	5.418561	26.224435	5.418561	5.418561	5.418561	26.224435	5.418561	11.051713	10.938042	5.418561	
34000	48.111915	6	13.901892	5.625534	27.014470	5.625534	5.625534	5.625534	27.014470	5.625534	12.907079	12.341966	11.505521	
35000	48.111915	5	28.624944	5.966761	28.624944	5.966761	5.966761	5.966761	28.624944	5.966761	11.670065	11.104387	11.468494	
36000	48.111915	5	27.405600	5.624077	27.405600	5.624077	5.624077	5.624077	27.405600	5.624077	11.235991	9.057567	10.702734	
37000	48.111915	6	13.314678	5.715319	27.317821	5.715319	5.715319	5.715319	27.317821	5.715319	11.985779	10.815568	10.780434	
38000	48.111915	6	14.306800	5.756867	30.154023	5.756867	5.756867	5.756867	30.154023	5.756867	11.722171	10.799357	11.348015	
39000	48.111915	6	13.198416	6.142994	31.637258	6.142994	6.142994	6.142994	31.637258	6.142994	11.527926	10.448774	10.323856	
40000	48.111915	5	13.071398	5.860627	28.727051	5.860627	5.860627	5.860627	28.727051	10.751804	28.727051	10.510813	5.860627	
41000	48.111915	5	11.779148	5.546923	27.219108	5.546923	5.546923	5.546923	27.219108	5.546923	13.039949	10.713943	5.546923	
42000	48.111915	5	26.686914	5.946580	26.686914	5.946580	5.946580	5.946580	26.686914	5.946580	13.353162	10.771838	11.727679	
43000	48.111915	6	12.230182	6.160246	28.320814	6.160246	6.160246	6.160246	28.320814	6.160246	11.667652	11.099636	10.900003	
44000	48.111915	6	12.507472	6.536981	31.292528	6.536981	6.536981	6.536981	31.292528	6.536981	12.109514	11.372720	10.476870	
