Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	48.111915	4	0.513174	0.269886	0.079163	0.137776	0.301592	0.250758	0.172363	0.275287	0.513174	0.269886	0.079163	0.137776	0.301592	0.250758	0.172363	0.275287	0.376353	0.295978	0.103226	0.224443	0.376353	0.295978	0.103226	0.224443	0.513174	0.269886	0.079163	0.137776	0.513174	0.269886	0.079163	0.137776	0.376353	0.295978	0.103226	0.224443	0.376353	0.295978	0.103226	0.224443	0.276671	0.086755	0.393345	0.243229	
2000	48.111915	4	0.524608	0.255461	0.082206	0.137724	0.272528	0.296150	0.146638	0.284683	0.524608	0.255461	0.082206	0.137724	0.272528	0.296150	0.146638	0.284683	0.322854	0.349980	0.137551	0.189616	0.272528	0.296150	0.146638	0.284683	0.524608	0.255461	0.082206	0.137724	0.524608	0.255461	0.082206	0.137724	0.322854	0.349980	0.137551	0.189616	0.272528	0.296150	0.146638	0.284683	0.402290	0.291436	0.237075	0.069200	
3000	48.111915	4	0.434593	0.285136	0.121333	0.158937	0.285102	0.261454	0.203688	0.249756	0.434593	0.285136	0.121333	0.158937	0.285102	0.261454	0.203688	0.249756	0.317729	0.348720	0.149644	0.183907	0.370550	0.373052	0.063733	0.192665	0.370550	0.373052	0.063733	0.192665	0.434593	0.285136	0.121333	0.158937	0.317729	0.348720	0.149644	0.183907	0.285102	0.261454	0.203688	0.249756	0.434593	0.285136	0.121333	0.158937	
4000	48.111915	3	0.498943	0.265192	0.086725	0.149140	0.310453	0.224301	0.207326	0.257920	0.498943	0.265192	0.086725	0.149140	0.310453	0.224301	0.207326	0.257920	0.264223	0.344706	0.153855	0.237215	0.264223	0.344706	0.153855	0.237215	0.498943	0.265192	0.086725	0.149140	0.310453	0.224301	0.207326	0.257920	0.264223	0.344706	0.153855	0.237215	0.264223	0.344706	0.153855	0.237215	0.310453	0.224301	0.207326	0.257920	
5000	48.111915	3	0.486354	0.275969	0.084895	0.152781	0.317998	0.305168	0.156051	0.220783	0.486354	0.275969	0.084895	0.152781	0.317998	0.305168	0.156051	0.220783	0.317998	0.305168	0.156051	0.220783	0.317998	0.305168	0.156051	0.220783	0.486354	0.275969	0.084895	0.152781	0.317998	0.305168	0.156051	0.220783	0.317998	0.305168	0.156051	0.220783	0.317998	0.305168	0.156051	0.220783	0.352928	0.317518	0.219664	0.109889	
6000	48.111915	4	0.486443	0.274508	0.084591	0.154457	0.339108	0.295683	0.147400	0.217809	0.486443	0.274508	0.084591	0.154457	0.339108	0.295683	0.147400	0.217809	0.339108	0.295683	0.147400	0.217809	0.122753	0.419689	0.077166	0.380392	0.486443	0.274508	0.084591	0.154457	0.339108	0.295683	0.147400	0.217809	0.339108	0.295683	0.147400	0.217809	0.339108	0.295683	0.147400	0.217809	0.479363	0.149218	0.223191	0.148229	
7000	48.111915	4	0.434207	0.245844	0.136020	0.183929	0.246301	0.275322	0.205763	0.272614	0.434207	0.245844	0.136020	0.183929	0.246301	0.275322	0.205763	0.272614	0.248437	0.328223	0.190562	0.232778	0.248437	0.328223	0.190562	0.232778	0.434207	0.245844	0.136020	0.183929	0.434207	0.245844	0.136020	0.183929	0.434207	0.245844	0.136020	0.183929	0.248437	0.328223	0.190562	0.232778	0.559689	0.078701	0.176202	0.185408	
8000	48.111915	3	0.479547	0.265935	0.106687	0.147832	0.282804	0.270899	0.201165	0.245132	0.479547	0.265935	0.106687	0.147832	0.282804	0.270899	0.201165	0.245132	0.282804	0.270899	0.201165	0.245132	0.282804	0.270899	0.201165	0.245132	0.479547	0.265935	0.106687	0.147832	0.282804	0.270899	0.201165	0.245132	0.479547	0.265935	0.106687	0.147832	0.282804	0.270899	0.201165	0.245132	0.232719	0.242213	0.206708	0.318360	
9000	48.111915	2	0.470248	0.270420	0.102390	0.156942	0.305189	0.283653	0.178680	0.232479	0.470248	0.270420	0.102390	0.156942	0.305189	0.283653	0.178680	0.232479	0.305189	0.283653	0.178680	0.232479	0.305189	0.283653	0.178680	0.232479	0.470248	0.270420	0.102390	0.156942	0.470248	0.270420	0.102390	0.156942	0.470248	0.270420	0.102390	0.156942	0.305189	0.283653	0.178680	0.232479	0.305189	0.283653	0.178680	0.232479	
10000	48.111915	3	0.452590	0.290082	0.086957	0.170371	0.279718	0.235668	0.223116	0.261497	0.452590	0.290082	0.086957	0.170371	0.279718	0.235668	0.223116	0.261497	0.285603	0.295370	0.162910	0.256117	0.285603	0.295370	0.162910	0.256117	0.452590	0.290082	0.086957	0.170371	0.285603	0.295370	0.162910	0.256117	0.452590	0.290082	0.086957	0.170371	0.285603	0.295370	0.162910	0.256117	0.279718	0.235668	0.223116	0.261497	
