Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	11.688050	5	27.576319	7.657168	27.576319	7.657168	9.379566	7.657168	27.576319	7.657168	27.576319	10.640679	11.753590	
2000	11.688050	5	32.747870	6.572279	32.747870	6.572279	10.204693	6.572279	32.747870	6.572279	12.214876	11.134036	6.572279	
3000	11.688050	5	33.630750	6.342661	33.630750	8.990499	8.935725	6.342661	33.630750	6.342661	11.036512	11.036512	6.342661	
4000	11.688050	6	30.989847	5.707599	30.989847	5.707599	10.840484	5.707599	30.989847	5.707599	12.176886	9.848865	12.741765	
5000	11.688050	6	28.336420	6.392118	28.336420	6.392118	11.360803	6.392118	28.336420	11.217335	11.975807	10.379238	28.336420	
6000	11.688050	5	29.644941	5.500384	29.644941	5.500384	9.817738	5.500384	29.644941	5.500384	12.216495	9.817738	12.209558	
7000	11.688050	5	30.092833	5.259548	30.092833	5.259548	9.574376	5.259548	30.092833	5.259548	11.051739	11.438603	5.259548	
8000	11.688050	6	30.963834	5.505533	30.963834	5.505533	10.002438	5.505533	30.963834	5.505533	12.703660	10.126548	11.587219	
9000	11.688050	5	31.930954	5.634221	31.930954	5.634221	11.650051	5.634221	31.930954	5.634221	11.857521	10.511485	5.634221	
10000	11.688050	5	28.770756	5.803139	28.770756	5.803139	10.836885	5.803139	28.770756	5.803139	12.413914	10.563735	5.803139	
11000	11.688050	4	27.994173	4.967039	27.994173	4.967039	9.876115	4.967039	27.994173	4.967039	12.708632	9.876115	9.876115	
12000	11.688050	6	24.963847	5.406944	24.963847	5.406944	11.303449	5.406944	24.963847	5.406944	10.462403	10.095112	12.168819	
13000	11.688050	6	27.153921	4.905067	27.153921	4.905067	11.421531	4.905067	27.153921	4.905067	12.507034	11.339952	11.192263	
14000	11.688050	5	29.927695	5.087007	29.927695	5.087007	10.015050	5.087007	29.927695	5.087007	13.613770	10.100655	5.087007	
15000	11.688050	6	22.811026	5.421759	22.811026	5.421759	10.563138	5.421759	22.811026	5.421759	13.098093	9.884092	12.875654	
16000	11.688050	5	27.303501	5.377905	27.303501	5.377905	10.926624	5.377905	27.303501	5.377905	13.325771	10.926624	12.405524	
17000	11.688050	6	25.586553	5.370191	25.586553	5.370191	10.741340	5.370191	25.586553	5.370191	13.246357	11.250097	11.193785	
18000	11.688050	6	30.614750	5.165887	30.614750	5.165887	10.603807	5.165887	30.614750	5.165887	12.360562	10.264508	10.753446	
19000	11.688050	5	31.035446	5.362659	31.035446	5.362659	10.402989	5.362659	31.035446	5.362659	11.916275	9.812556	5.362659	
20000	11.688050	6	30.989827	5.425823	30.989827	5.425823	12.176238	5.425823	30.989827	5.425823	13.814741	11.792257	10.750654	
21000	11.688050	6	27.248229	5.183897	27.248229	5.183897	11.676480	5.183897	27.248229	5.183897	13.646491	10.424477	11.203338	
22000	11.688050	4	31.272833	4.737637	31.272833	4.737637	9.958163	4.737637	31.272833	4.737637	11.727977	9.958163	4.737637	
23000	11.688050	5	31.167404	5.019989	31.167404	5.019989	11.880503	5.019989	31.167404	5.019989	12.657409	10.916916	5.019989	
24000	11.688050	6	29.165655	5.965187	29.165655	5.965187	11.799873	5.965187	29.165655	5.965187	11.330433	11.194736	14.591191	
25000	11.688050	6	12.917183	4.938674	29.094273	4.938674	10.393083	4.938674	29.094273	4.938674	12.917183	11.546225	10.032633	
26000	11.688050	5	21.231876	5.026918	21.231876	5.026918	9.889354	5.026918	21.231876	5.026918	11.925468	9.889354	13.081250	
27000	11.688050	5	26.830296	4.944382	26.830296	4.944382	10.506516	4.944382	26.830296	4.944382	11.799659	11.606998	4.944382	
28000	11.688050	8	14.378850	5.506750	28.246438	5.506750	11.147006	5.506750	28.246438	11.954771	11.787534	11.841401	10.757639	
29000	11.688050	6	18.204885	5.322296	18.204885	5.322296	10.276367	5.322296	18.204885	5.322296	11.944688	10.856111	11.513078	
30000	11.688050	6	25.475759	5.498354	25.475759	5.498354	10.386869	5.498354	25.475759	5.498354	12.206678	10.089904	11.349183	
31000	11.688050	6	29.260016	4.758301	29.260016	4.758301	10.065690	4.758301	29.260016	11.403208	10.065690	11.826683	13.196882	
