Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	268.021876	6	0.309376	0.227134	0.507153	0.309376	0.337659	0.227134	0.507153	0.337659	0.309376	0.454679	0.135678	
2000	268.021876	8	0.311282	0.191239	0.505826	0.308105	0.292368	0.191239	0.505826	0.311282	0.236415	0.295016	0.296678	
3000	268.021876	8	0.318607	0.156648	0.350214	0.343815	0.262892	0.156648	0.482795	0.316844	0.262892	0.343815	0.375241	
4000	268.021876	8	0.303246	0.228349	0.370195	0.303246	0.303246	0.180812	0.368260	0.345169	0.324679	0.324679	0.162716	
5000	268.021876	7	0.348124	0.182254	0.332524	0.301575	0.301575	0.182254	0.899731	0.332524	0.332524	0.407853	0.168947	
6000	268.021876	7	0.342754	0.278740	0.342754	0.285961	0.296141	0.247082	0.769838	0.278740	0.285961	0.342754	0.318042	
7000	268.021876	6	0.313431	0.277899	0.381627	0.340321	0.322858	0.277899	0.381627	0.277899	0.277899	0.446096	0.277899	
8000	268.021876	7	0.333514	0.282530	0.333514	0.282530	0.282530	0.235043	0.395457	0.286880	0.286880	0.429551	0.101709	
9000	268.021876	7	0.294485	0.243075	0.430891	0.294485	0.282516	0.148362	0.722631	0.294485	0.243075	0.294485	0.211309	
10000	268.021876	6	0.308562	0.280779	0.376420	0.308562	0.280779	0.260935	0.466821	0.376420	0.280779	0.466821	0.370373	
11000	268.021876	8	0.320074	0.211473	0.347540	0.320074	0.265357	0.191661	0.347540	0.354898	0.308665	0.320074	0.168448	
12000	268.021876	7	0.320347	0.181951	0.365751	0.284244	0.320347	0.181951	0.796024	0.286199	0.286199	0.320347	0.224947	
13000	268.021876	8	0.339415	0.235146	0.418730	0.280433	0.281555	0.164262	0.899747	0.281555	0.281555	0.339415	0.238331	
14000	268.021876	8	0.280967	0.214559	0.384204	0.277956	0.280967	0.187991	0.440841	0.384204	0.280967	0.378363	0.326780	
15000	268.021876	7	0.319618	0.251989	0.368873	0.287298	0.319618	0.174337	1.198394	0.465104	0.251989	0.465104	0.174337	
16000	268.021876	9	0.312478	0.221754	0.402046	0.233054	0.282861	0.221754	0.402046	0.499502	0.363095	0.391415	0.178206	
17000	268.021876	9	0.321712	0.274585	0.343806	0.302340	0.321712	0.276012	0.358012	0.407279	0.338564	0.358012	0.167235	
18000	268.021876	8	0.287241	0.258400	0.396453	0.287241	0.287241	0.217813	0.639491	0.416192	0.287241	0.380721	0.423685	
19000	268.021876	9	0.295902	0.249246	0.360270	0.295902	0.295902	0.154561	1.164624	0.270069	0.269366	0.381422	0.209502	
20000	268.021876	7	0.312451	0.207286	0.315014	0.312451	0.270603	0.207286	1.599038	0.359671	0.270603	0.359671	0.212840	
21000	268.021876	6	0.298244	0.298244	0.377440	0.276230	0.298244	0.276230	1.309729	0.377440	0.276230	0.275599	0.192420	
22000	268.021876	10	0.297605	0.270722	0.380282	0.270722	0.300413	0.143204	0.756167	0.335023	0.253598	0.483529	0.257285	
23000	268.021876	7	0.321745	0.242187	0.405594	0.321745	0.242187	0.242187	1.045472	0.333027	0.242187	0.276376	0.532655	
24000	268.021876	7	0.308025	0.189667	0.417494	0.299778	0.299778	0.189667	0.723298	0.478664	0.299778	0.462807	0.299778	
25000	268.021876	7	0.302703	0.174477	0.358338	0.313012	0.302703	0.148091	1.184715	0.313012	0.313012	0.412490	0.302703	
26000	268.021876	7	0.305048	0.160613	0.393179	0.305048	0.305048	0.197611	0.993384	0.352391	0.305048	0.451484	0.305048	
27000	268.021876	8	0.283627	0.199908	0.415155	0.307171	0.283627	0.199908	0.499849	0.499849	0.332809	0.338671	0.163348	
28000	268.021876	7	0.342520	0.245760	0.342520	0.329250	0.342520	0.133673	0.618392	0.342520	0.305598	0.342520	0.124629	
29000	268.021876	7	0.301529	0.202992	0.378226	0.311704	0.301529	0.172734	0.841326	0.378226	0.311704	0.413367	0.202992	
30000	268.021876	8	0.301020	0.242513	0.412385	0.301020	0.242513	0.242513	0.435680	0.324089	0.381996	0.517433	0.289281	
31000	268.021876	6	0.310803	0.243594	0.406827	0.310803	0.310803	0.243594	0.553090	0.436299	0.321924	0.436299	0.243594	
32000	268.021876	8	0.284258	0.230505	0.477978	0.284258	0.279031	0.230505	0.730015	0.331086	0.284258	0.531799	0.122549	
33000	268.021876	7	0.283503	0.156554	0.397043	0.283503	0.283503	0.156554	0.632040	0.553690	0.283503	0.597850	0.161365	
34000	268.021876	10	0.291892	0.197476	0.432797	0.279779	0.314396	0.159069	0.597964	0.313562	0.303441	0.313562	0.512410	
35000	268.021876	9	0.319785	0.226974	0.416854	0.307061	0.306797	0.226974	0.520496	0.388395	0.310427	0.348859	0.226974	
36000	268.021876	7	0.314593	0.220052	0.403678	0.314593	0.220052	0.173876	0.582116	0.538345	0.314593	0.403678	0.195213	
37000	268.021876	9	0.301383	0.184224	0.416084	0.316259	0.301383	0.175525	0.650270	0.264381	0.301383	0.464367	0.160911	
38000	268.021876	8	0.267414	0.180024	0.427381	0.267414	0.261694	0.180024	0.420293	0.402975	0.289153	0.427381	0.223937	
39000	268.021876	8	0.286076	0.248402	0.429385	0.262028	0.306414	0.248402	0.840887	0.370099	0.286076	0.416291	0.286076	
40000	268.021876	10	0.324667	0.226262	0.437405	0.222126	0.301733	0.170244	0.437405	0.266800	0.361771	0.497865	0.077284	
41000	268.021876	9	0.316764	0.190270	0.378949	0.318662	0.299545	0.186918	0.491142	0.327289	0.327289	0.378949	0.369817	
42000	268.021876	8	0.315431	0.174963	0.355973	0.276474	0.327764	0.174963	0.528116	0.483137	0.355973	0.355973	0.577942	
43000	268.021876	9	0.289512	0.191895	0.458790	0.302026	0.302026	0.208855	0.923904	0.302026	0.254477	0.454631	0.281620	
44000	268.021876	7	0.314696	0.180680	0.418864	0.314696	0.314696	0.180680	0.582697	0.481038	0.314696	0.453961	0.288413	
45000	268.021876	7	0.355303	0.210603	0.426964	0.268034	0.299868	0.210603	0.426964	0.355303	0.268034	0.530938	0.046694	
46000	268.021876	9	0.350625	0.248548	0.383576	0.274592	0.274592	0.237728	1.102546	0.329857	0.332755	0.383576	0.120218	
47000	268.021876	9	0.336902	0.216265	0.463567	0.308880	0.331979	0.194002	0.463567	0.336902	0.350859	0.457749	0.178523	
48000	268.021876	8	0.334163	0.193481	0.401914	0.288950	0.288950	0.209153	0.401914	0.659278	0.288950	0.378348	0.232260	
49000	268.021876	8	0.303445	0.218041	0.388470	0.303445	0.303445	0.218041	0.604695	0.401107	0.323240	0.382456	0.463111	
50000	268.021876	7	0.304771	0.275800	0.373799	0.275800	0.275800	0.230044	0.819106	0.438879	0.275800	0.373799	0.182266	
51000	268.021876	7	0.326968	0.184323	0.413115	0.300002	0.300002	0.184323	0.525865	0.320241	0.217468	0.326968	0.326968	
52000	268.021876	9	0.349294	0.206935	0.365490	0.303779	0.349294	0.202277	0.949621	0.524973	0.334635	0.349294	0.190339	
53000	268.021876	6	0.346694	0.177371	0.357641	0.298442	0.298442	0.177371	0.592443	0.585949	0.298442	0.357641	0.298442	
54000	268.021876	8	0.341018	0.157280	0.408150	0.287285	0.385576	0.215948	1.076795	0.387084	0.287285	0.385576	0.157280	
55000	268.021876	7	0.339635	0.234617	0.339635	0.273767	0.339635	0.234617	0.591272	0.303078	0.303078	0.549103	0.171947	
56000	268.021876	9	0.307554	0.277189	0.338356	0.234310	0.338356	0.194034	1.225548	0.510755	0.307554	0.369605	0.288943	
57000	268.021876	8	0.318012	0.256457	0.384005	0.284250	0.284250	0.163151	0.678000	0.384005	0.284250	0.506244	0.154975	
58000	268.021876	8	0.315465	0.195640	0.360165	0.273320	0.312001	0.195640	0.428683	0.395664	0.360165	0.428683	0.123329	
59000	268.021876	11	0.323698	0.171098	0.345965	0.304025	0.276377	0.174973	0.943299	0.375327	0.383226	0.413640	0.286272	
60000	268.021876	5	0.285450	0.204477	0.387001	0.285450	0.387001	0.162280	0.669195	0.387001	0.285450	0.387001	0.204477	
61000	268.021876	9	0.294103	0.283095	0.456764	0.294103	0.300698	0.267090	0.562429	0.562429	0.249994	0.354235	0.250189	
62000	268.021876	8	0.313347	0.269239	0.354455	0.280760	0.243548	0.148897	0.462063	0.344338	0.344338	0.462063	0.269239	
63000	268.021876	10	0.307169	0.276591	0.407861	0.247336	0.276591	0.250151	0.527088	0.410426	0.399293	0.478643	0.090121	
64000	268.021876	8	0.338471	0.280356	0.338471	0.328685	0.338471	0.188241	0.897590	0.328685	0.306731	0.399575	0.220899	
65000	268.021876	7	0.324227	0.224532	0.401658	0.243078	0.324227	0.224532	0.588333	0.401658	0.324227	0.290657	0.166945	
66000	268.021876	7	0.301236	0.252924	0.417737	0.288504	0.301236	0.252924	0.960784	0.417737	0.349983	0.417737	0.156733	
67000	268.021876	9	0.336145	0.269832	0.429986	0.269832	0.304271	0.232141	0.932630	0.570955	0.251830	0.429986	0.341307	
68000	268.021876	6	0.293663	0.257879	0.351933	0.257879	0.351933	0.257879	0.733090	0.503056	0.257879	0.433814	0.257879	
69000	268.021876	9	0.315463	0.239641	0.504304	0.279904	0.348572	0.236864	2.072152	0.504304	0.299698	0.504304	0.287744	
70000	268.021876	8	0.310049	0.245956	0.415245	0.218197	0.310049	0.218197	1.517620	0.571889	0.218197	0.273481	0.486175	
71000	268.021876	8	0.308588	0.297602	0.453080	0.273115	0.337883	0.273115	0.833791	0.453080	0.273115	0.315056	0.472546	
72000	268.021876	5	0.328988	0.197456	0.445654	0.236147	0.328988	0.197456	0.445654	0.328988	0.309548	0.445654	0.197456	
73000	268.021876	11	0.278623	0.271853	0.370432	0.302849	0.342216	0.153949	0.391827	0.326446	0.302881	0.442234	0.303310	
74000	268.021876	6	0.342191	0.177389	0.342191	0.232596	0.330400	0.177389	0.820577	0.342191	0.342191	0.342191	0.285064	
75000	268.021876	8	0.299192	0.169595	0.415540	0.335944	0.371871	0.169595	0.443780	0.410452	0.299192	0.410452	0.139084	
