Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	11.688050	8	0.300603	0.277973	0.433904	0.284560	0.274259	0.277973	0.514661	0.284560	0.387432	0.433904	0.149875	
2000	11.688050	4	0.253050	0.253050	0.402866	0.253050	0.253050	0.253050	0.720876	0.402866	0.253050	0.402866	0.187053	
3000	11.688050	5	0.303720	0.234577	0.351536	0.303720	0.303720	0.234577	0.448403	0.303720	0.303511	0.303720	0.351536	
4000	11.688050	6	0.282199	0.243599	0.481700	0.282199	0.282199	0.176732	0.555616	0.481700	0.282199	0.481700	0.136865	
5000	11.688050	4	0.283242	0.283242	0.447572	0.318756	0.318756	0.129182	0.447572	0.318756	0.283242	0.447572	0.129182	
6000	11.688050	7	0.291895	0.225734	0.375514	0.302680	0.302680	0.165551	0.529422	0.355680	0.302680	0.375514	0.165551	
7000	11.688050	6	0.275314	0.275314	0.432748	0.291851	0.291851	0.275314	0.667667	0.422251	0.291851	0.422251	0.299759	
8000	11.688050	5	0.284019	0.246950	0.392600	0.284019	0.284019	0.246950	0.578038	0.392600	0.246950	0.392600	0.194350	
9000	11.688050	5	0.300756	0.190973	0.500708	0.325909	0.300756	0.190973	0.500708	0.356408	0.325909	0.500708	0.300756	
10000	11.688050	7	0.286849	0.207720	0.466221	0.270693	0.286849	0.207720	0.531005	0.466221	0.269945	0.286849	0.198069	
11000	11.688050	7	0.313362	0.198287	0.424848	0.277277	0.313362	0.183081	0.431693	0.435446	0.313362	0.431693	0.183081	
12000	11.688050	5	0.307452	0.239755	0.387466	0.307452	0.307452	0.180718	0.456968	0.387466	0.307452	0.387466	0.387466	
13000	11.688050	4	0.303403	0.303403	0.464335	0.303403	0.303403	0.153937	0.775968	0.464335	0.303403	0.464335	0.153937	
14000	11.688050	9	0.270791	0.175582	0.383957	0.241706	0.295283	0.175582	0.647273	0.424933	0.270791	0.391137	0.417759	
15000	11.688050	6	0.312763	0.189013	0.462827	0.312763	0.312763	0.189013	0.974113	0.462827	0.238867	0.462827	0.243243	
16000	11.688050	5	0.309459	0.255386	0.407104	0.291955	0.309459	0.255386	0.407104	0.407104	0.255386	0.407104	0.312812	
17000	11.688050	5	0.347748	0.253889	0.508079	0.253889	0.347748	0.237319	0.508079	0.347748	0.237319	0.384927	0.237319	
18000	11.688050	6	0.301096	0.226432	0.362780	0.301096	0.301096	0.226432	0.809248	0.395980	0.301096	0.456003	0.301096	
19000	11.688050	4	0.329313	0.169747	0.364063	0.329313	0.329313	0.169747	0.902303	0.329313	0.329313	0.329313	0.169747	
20000	11.688050	6	0.327860	0.262999	0.405015	0.262999	0.262999	0.192956	0.609641	0.334295	0.262999	0.405015	0.262999	
21000	11.688050	5	0.303910	0.219405	0.380419	0.303910	0.303910	0.219405	0.472025	0.380419	0.265417	0.380419	0.219405	
22000	11.688050	4	0.286356	0.219715	0.296547	0.286356	0.286356	0.219715	1.297988	0.286356	0.286356	0.296547	0.296547	
23000	11.688050	8	0.290089	0.256633	0.470149	0.290089	0.297609	0.130202	0.526340	0.369691	0.312739	0.470149	0.369691	
24000	11.688050	7	0.311210	0.179394	0.472419	0.289392	0.311210	0.167259	0.759960	0.321804	0.289392	0.472419	0.167259	
25000	11.688050	5	0.308968	0.308968	0.417677	0.308968	0.308968	0.197798	0.659973	0.452671	0.308968	0.452671	0.197798	
26000	11.688050	5	0.327803	0.204628	0.440648	0.262173	0.327803	0.204628	0.631733	0.440648	0.262173	0.327803	0.204628	
27000	11.688050	9	0.350718	0.187729	0.421801	0.286004	0.308953	0.187729	0.599440	0.421801	0.373998	0.474774	0.330628	
28000	11.688050	5	0.340476	0.168186	0.340476	0.316304	0.340476	0.168186	0.359395	0.316304	0.340476	0.340476	0.165466	
29000	11.688050	6	0.326059	0.236558	0.504247	0.244778	0.326059	0.236558	0.504247	0.358632	0.326059	0.456474	0.326059	
30000	11.688050	6	0.302427	0.187581	0.394688	0.302427	0.302427	0.194618	1.275554	0.302427	0.302427	0.394688	0.110454	
31000	11.688050	6	0.307649	0.219305	0.326018	0.303153	0.326018	0.165590	0.518979	0.307649	0.326018	0.518979	0.303153	
32000	11.688050	5	0.331800	0.271344	0.419504	0.271344	0.331800	0.271344	1.009193	0.521178	0.331800	0.419504	0.419504	
33000	11.688050	6	0.289832	0.243928	0.373815	0.289832	0.289832	0.166912	0.984612	0.366838	0.289832	0.373815	0.289832	
34000	11.688050	5	0.307389	0.283339	0.386761	0.307389	0.307389	0.140935	1.030760	0.307389	0.307389	0.386761	0.307389	
35000	11.688050	5	0.321009	0.201954	0.321009	0.321009	0.312963	0.201954	0.321009	0.321009	0.321009	0.380760	0.128693	
36000	11.688050	5	0.308029	0.308029	0.392984	0.308029	0.308029	0.174620	0.721130	0.392984	0.308029	0.308029	0.157580	
37000	11.688050	6	0.327755	0.240925	0.434401	0.236378	0.327755	0.183812	0.610464	0.327755	0.327755	0.327755	0.183812	
38000	11.688050	6	0.328403	0.242474	0.380037	0.242474	0.328403	0.150382	0.620188	0.380037	0.328403	0.328403	0.252112	
39000	11.688050	5	0.284775	0.207169	0.429525	0.284775	0.284775	0.207169	0.853399	0.284775	0.284775	0.284775	0.276814	
40000	11.688050	5	0.307620	0.201667	0.401302	0.307620	0.307620	0.201667	0.742517	0.307620	0.312577	0.401302	0.307620	
41000	11.688050	5	0.313544	0.177483	0.327882	0.313544	0.313544	0.177483	0.984270	0.313544	0.359801	0.313544	0.177483	
42000	11.688050	5	0.301793	0.198152	0.385094	0.301793	0.301793	0.198152	1.587300	0.385094	0.301793	0.385094	0.086829	
43000	11.688050	4	0.321082	0.176380	0.422885	0.321082	0.321082	0.180828	0.422885	0.321082	0.422885	0.321082	0.321082	
44000	11.688050	5	0.337045	0.286233	0.383511	0.286233	0.337045	0.167771	1.541810	0.337045	0.337045	0.337045	0.286233	
45000	11.688050	5	0.295100	0.177452	0.406536	0.295100	0.292941	0.177452	0.541357	0.292941	0.295100	0.406536	0.177452	
46000	11.688050	7	0.314628	0.194383	0.345128	0.314628	0.314628	0.186836	0.368849	0.313613	0.313613	0.368849	0.226518	
47000	11.688050	6	0.324105	0.216311	0.388920	0.239860	0.388920	0.189363	0.979334	0.388920	0.324105	0.388920	0.388920	
48000	11.688050	6	0.274511	0.173829	0.348635	0.274511	0.348635	0.169113	0.876478	0.340672	0.274511	0.348635	0.169113	
49000	11.688050	5	0.311958	0.196761	0.317948	0.317948	0.311958	0.196761	0.552292	0.311958	0.348155	0.348155	0.317948	
50000	11.688050	6	0.269590	0.242020	0.412940	0.269590	0.269590	0.193602	1.380729	0.412940	0.271081	0.412940	0.269590	
51000	11.688050	7	0.290061	0.205412	0.426801	0.290061	0.290061	0.196593	0.434791	0.426801	0.290061	0.467874	0.132415	
52000	11.688050	5	0.295164	0.199197	0.489142	0.339428	0.339428	0.199197	0.489142	0.491879	0.295164	0.339428	0.339428	
53000	11.688050	6	0.312794	0.191879	0.400451	0.280674	0.312794	0.191879	0.466131	0.320096	0.280674	0.400451	0.191879	
54000	11.688050	7	0.322433	0.196646	0.382355	0.289616	0.325514	0.196646	0.407371	0.289616	0.322433	0.382355	0.075121	
55000	11.688050	8	0.286352	0.180201	0.449137	0.286352	0.286352	0.180201	0.564084	0.517931	0.303742	0.333806	0.190249	
56000	11.688050	5	0.315764	0.221274	0.419573	0.332492	0.332492	0.221274	1.066640	0.315764	0.221274	0.332492	0.332492	
57000	11.688050	5	0.299975	0.149346	0.410526	0.299975	0.299975	0.160957	0.410526	0.410526	0.299975	0.410526	0.143384	
58000	11.688050	5	0.315286	0.220448	0.435940	0.315286	0.315286	0.220448	1.498721	0.315286	0.315286	0.381972	0.220448	
59000	11.688050	7	0.306225	0.174558	0.457203	0.314336	0.310450	0.174558	0.756047	0.281163	0.306225	0.314336	0.174558	
60000	11.688050	7	0.310181	0.179266	0.414787	0.310181	0.310181	0.192726	0.414787	0.365235	0.290056	0.414800	0.414800	
61000	11.688050	6	0.303948	0.212819	0.404363	0.303948	0.303948	0.212819	0.559576	0.383219	0.303948	0.477740	0.303948	
62000	11.688050	7	0.315144	0.253863	0.382365	0.253863	0.315144	0.208451	0.382365	0.382365	0.377526	0.351086	0.131447	
63000	11.688050	6	0.340952	0.263900	0.487235	0.285264	0.285264	0.205295	0.487235	0.487235	0.350438	0.487235	0.285264	
64000	11.688050	7	0.320641	0.239149	0.387882	0.313681	0.320614	0.239149	1.377371	0.357683	0.320641	0.387882	0.313681	
65000	11.688050	6	0.300475	0.265242	0.433838	0.261906	0.300475	0.149262	2.137000	0.433838	0.265242	0.433838	0.261906	
66000	11.688050	5	0.370982	0.209423	0.370982	0.244329	0.304956	0.209423	0.605891	0.370982	0.244329	0.370982	0.370982	
67000	11.688050	5	0.278616	0.243391	0.438917	0.292114	0.292114	0.243391	0.438917	0.438917	0.292114	0.438917	0.106517	
68000	11.688050	6	0.301784	0.215895	0.368373	0.301784	0.301784	0.215895	0.622414	0.380725	0.301784	0.380725	0.243012	
69000	11.688050	6	0.304586	0.232182	0.458627	0.232182	0.306408	0.232182	0.754996	0.256975	0.306408	0.458627	0.232182	
70000	11.688050	6	0.373831	0.257941	0.451143	0.257941	0.399589	0.187092	0.466745	0.466745	0.257941	0.451143	0.257941	
71000	11.688050	5	0.290976	0.201631	0.414834	0.290976	0.326398	0.201631	0.885861	0.326398	0.290976	0.414834	0.326398	
72000	11.688050	5	0.306745	0.207185	0.497378	0.306745	0.306745	0.207185	0.491884	0.306745	0.306745	0.473520	0.306745	
73000	11.688050	4	0.344117	0.184641	0.541259	0.344117	0.344117	0.184641	0.597252	0.344117	0.344117	0.344117	0.184641	
74000	11.688050	5	0.316591	0.185185	0.416203	0.316591	0.316591	0.185185	0.455750	0.455750	0.316591	0.406896	0.316591	
75000	11.688050	5	0.378743	0.242358	0.483292	0.242358	0.378743	0.193354	0.483292	0.396546	0.242358	0.378743	0.242358	
76000	11.688050	7	0.312836	0.246945	0.588683	0.246945	0.312836	0.143593	0.661511	0.261835	0.261835	0.588683	0.319319	
77000	11.688050	5	0.294253	0.206540	0.411557	0.294253	0.294253	0.206540	0.659347	0.410223	0.294253	0.410223	0.659347	
78000	11.688050	4	0.327909	0.183672	0.536863	0.327909	0.327909	0.183672	0.536863	0.327909	0.327909	0.469973	0.183672	
79000	11.688050	7	0.339798	0.208494	0.505417	0.254611	0.342772	0.208494	0.505417	0.339798	0.286617	0.342772	0.160514	
80000	11.688050	6	0.318827	0.221388	0.519420	0.289610	0.334285	0.221388	0.519420	0.360697	0.360697	0.360697	0.289610	
81000	11.688050	7	0.304345	0.219140	0.464353	0.300809	0.300809	0.153863	0.685020	0.300809	0.300809	0.291941	0.153863	
82000	11.688050	5	0.301795	0.244906	0.445326	0.244906	0.301795	0.244906	0.858685	0.445326	0.268676	0.445326	0.244906	
83000	11.688050	6	0.272857	0.211791	0.446759	0.272857	0.272857	0.211791	0.492890	0.428842	0.326291	0.428842	0.211791	
84000	11.688050	6	0.289680	0.239266	0.396773	0.289680	0.265673	0.239266	0.471907	0.471907	0.265673	0.346857	0.471907	
85000	11.688050	5	0.340086	0.261927	0.443418	0.261927	0.340086	0.261927	0.564884	0.340086	0.261927	0.443418	0.131311	
86000	11.688050	6	0.353769	0.223099	0.376881	0.268837	0.353769	0.223099	0.653333	0.353769	0.268837	0.376881	0.158454	
87000	11.688050	7	0.301289	0.218602	0.441539	0.266017	0.250339	0.218602	0.441539	0.444752	0.250339	0.441539	0.253565	
88000	11.688050	7	0.288248	0.201898	0.439151	0.286701	0.288248	0.201898	0.790619	0.439151	0.480627	0.400570	0.286701	
89000	11.688050	7	0.303690	0.205520	0.411142	0.274703	0.265726	0.205520	1.823001	0.413609	0.303690	0.411142	0.205520	
90000	11.688050	5	0.299121	0.272751	0.337531	0.299121	0.299121	0.156388	0.723681	0.272751	0.272751	0.337531	0.272751	
91000	11.688050	5	0.327519	0.252145	0.465914	0.252145	0.312299	0.211822	0.465914	0.465914	0.252145	0.327519	0.252145	
92000	11.688050	6	0.271271	0.176648	0.465890	0.278460	0.295775	0.176648	0.986509	0.465890	0.295775	0.465890	0.295775	
93000	11.688050	6	0.307403	0.190432	0.440568	0.304082	0.304082	0.190432	0.536300	0.349042	0.304082	0.440568	0.307403	
94000	11.688050	7	0.308730	0.244709	0.427717	0.271229	0.308730	0.144658	0.766174	0.427717	0.256945	0.427717	0.244709	
95000	11.688050	7	0.334696	0.248704	0.537255	0.248704	0.248704	0.177767	0.908998	0.440648	0.248704	0.440648	0.105967	
96000	11.688050	8	0.275981	0.275981	0.413978	0.279142	0.302560	0.275981	0.972873	0.385128	0.288866	0.275981	0.103394	
97000	11.688050	4	0.334781	0.275214	0.334781	0.275214	0.275214	0.275214	0.815671	0.334781	0.334781	0.334781	0.252774	
98000	11.688050	7	0.303071	0.248653	0.436824	0.303071	0.260594	0.248653	0.754969	0.303071	0.261497	0.374927	0.248653	
99000	11.688050	4	0.281956	0.214668	0.549638	0.281956	0.281956	0.214668	0.549638	0.281956	0.281956	0.549638	0.156671	
100000	11.688050	5	0.303701	0.184704	0.399246	0.260657	0.303701	0.184704	1.105243	0.303701	0.260657	0.399246	0.184704	
101000	11.688050	6	0.338952	0.236453	0.398563	0.236453	0.236453	0.166153	0.455289	0.455289	0.280480	0.455289	0.398563	
102000	11.688050	5	0.294140	0.212486	0.416258	0.294140	0.294140	0.190848	0.425294	0.425294	0.294140	0.425294	0.294140	
103000	11.688050	6	0.316745	0.290202	0.363449	0.260863	0.290202	0.135717	1.009307	0.363449	0.290202	0.363449	0.290202	
104000	11.688050	6	0.309550	0.196601	0.407249	0.257937	0.309550	0.196601	0.761340	0.413273	0.309550	0.407249	0.196601	
105000	11.688050	6	0.313098	0.217586	0.404132	0.310654	0.313098	0.168547	0.404132	0.404132	0.261260	0.404132	0.217586	
106000	11.688050	4	0.297449	0.207998	0.467157	0.297449	0.350737	0.207998	0.467157	0.350737	0.207998	0.350737	0.207998	
107000	11.688050	6	0.294545	0.208189	0.376497	0.294545	0.294545	0.169765	0.397084	0.397084	0.294545	0.481006	0.376497	
108000	11.688050	4	0.268154	0.177246	0.463026	0.268154	0.268154	0.177246	0.463026	0.365220	0.268154	0.463026	0.268154	
109000	11.688050	7	0.336652	0.200501	0.531244	0.265282	0.336652	0.200501	0.756508	0.383138	0.289339	0.336652	0.265282	
110000	11.688050	5	0.309416	0.173756	0.367515	0.309416	0.309416	0.173756	0.605699	0.367515	0.309416	0.574063	0.309416	
111000	11.688050	4	0.301725	0.183155	0.345206	0.301725	0.345206	0.183155	0.345206	0.345206	0.264892	0.345206	0.301725	
112000	11.688050	7	0.323297	0.172633	0.410511	0.328005	0.323297	0.172633	0.636239	0.328005	0.231685	0.410511	0.156221	
113000	11.688050	4	0.287329	0.287329	0.455735	0.287329	0.287329	0.261273	0.851906	0.455735	0.287329	0.287329	0.287329	
114000	11.688050	5	0.290284	0.280529	0.474356	0.280529	0.290284	0.217627	0.474356	0.474356	0.290284	0.331536	0.217627	
115000	11.688050	5	0.320727	0.190355	0.415388	0.320727	0.320727	0.170932	0.769459	0.415388	0.320727	0.415388	0.320727	
116000	11.688050	5	0.321906	0.192011	0.327414	0.321906	0.321906	0.187500	1.109161	0.327414	0.321906	0.327414	0.327414	
117000	11.688050	4	0.305425	0.181000	0.572057	0.305425	0.305425	0.181000	0.572057	0.421906	0.305425	0.421906	0.305425	
118000	11.688050	7	0.317145	0.247522	0.489966	0.247522	0.317145	0.247522	0.855667	0.496124	0.296566	0.374271	0.317145	
119000	11.688050	5	0.290129	0.188575	0.349485	0.290129	0.290129	0.188575	0.842770	0.450376	0.290129	0.450376	0.188575	
120000	11.688050	6	0.291327	0.208353	0.451716	0.291327	0.291327	0.215472	0.451716	0.390231	0.291327	0.291327	0.141562	
121000	11.688050	7	0.293099	0.199128	0.414326	0.293099	0.259408	0.187557	0.809408	0.414326	0.293099	0.414326	0.100322	
122000	11.688050	5	0.272327	0.189074	0.387513	0.272327	0.356704	0.189074	0.387513	0.356704	0.272327	0.387513	0.330340	
123000	11.688050	5	0.272207	0.236671	0.364359	0.272207	0.364359	0.182764	0.676016	0.364359	0.272207	0.364359	0.182764	
124000	11.688050	8	0.302990	0.237465	0.416891	0.302990	0.340402	0.158706	0.869579	0.459205	0.237465	0.459205	0.115438	
125000	11.688050	6	0.342790	0.275876	0.408826	0.275876	0.290159	0.170684	0.408826	0.408826	0.290159	0.408826	0.251553	
126000	11.688050	6	0.315518	0.210390	0.488589	0.268567	0.268567	0.210390	0.668996	0.492157	0.268567	0.492157	0.268567	
127000	11.688050	4	0.289047	0.249064	0.428872	0.289047	0.289047	0.148484	0.428872	0.428872	0.289047	0.428872	0.428872	
128000	11.688050	7	0.292391	0.262452	0.446904	0.262452	0.295766	0.199578	1.618645	0.446904	0.262452	0.446904	0.168428	
129000	11.688050	6	0.311059	0.199416	0.406999	0.311059	0.311059	0.199416	1.385081	0.406999	0.269325	0.470319	0.199416	
130000	11.688050	8	0.279951	0.218343	0.403848	0.279951	0.300332	0.196383	0.454597	0.454597	0.228269	0.454597	0.201724	
131000	11.688050	8	0.287087	0.219183	0.518058	0.287087	0.287087	0.188429	0.587744	0.413444	0.246181	0.518058	0.205737	
132000	11.688050	6	0.327714	0.181524	0.428754	0.319361	0.327714	0.161520	0.792842	0.428754	0.327714	0.428754	0.181524	
133000	11.688050	5	0.271407	0.208764	0.406709	0.271407	0.271407	0.208764	0.406709	0.406709	0.271407	0.424815	0.116411	
134000	11.688050	6	0.278780	0.234086	0.370149	0.278780	0.278780	0.141792	0.850996	0.383171	0.278780	0.383171	0.278780	
135000	11.688050	5	0.293948	0.252958	0.502819	0.293948	0.293948	0.252958	0.562670	0.562670	0.306237	0.562670	0.252958	
136000	11.688050	4	0.335203	0.297366	0.423687	0.297366	0.297366	0.297366	2.163034	0.423687	0.297366	0.423687	0.297366	
137000	11.688050	4	0.319362	0.175657	0.408387	0.319362	0.319362	0.175657	0.893768	0.319362	0.319362	0.408387	0.175657	
138000	11.688050	6	0.290004	0.199154	0.425332	0.290004	0.290004	0.190737	0.542557	0.425332	0.290004	0.425332	0.288727	
139000	11.688050	6	0.306611	0.198259	0.521998	0.317279	0.317279	0.198259	0.795857	0.331487	0.317279	0.306611	0.198259	
140000	11.688050	7	0.309694	0.210671	0.411534	0.309694	0.309694	0.157999	0.492718	0.309694	0.258253	0.491172	0.309694	
141000	11.688050	5	0.311238	0.236736	0.467754	0.279113	0.311238	0.231486	0.467754	0.467754	0.279113	0.467754	0.231486	
142000	11.688050	4	0.312811	0.210886	0.375115	0.281019	0.281019	0.210886	0.375115	0.375115	0.281019	0.281019	0.281019	
143000	11.688050	8	0.307651	0.261872	0.422057	0.307651	0.307651	0.163342	1.556893	0.365607	0.307651	0.455107	0.204114	
144000	11.688050	4	0.300254	0.167169	0.471016	0.300254	0.300254	0.167169	0.894182	0.300254	0.300254	0.471016	0.167169	
145000	11.688050	4	0.296160	0.187830	0.428877	0.296160	0.296160	0.187830	0.941547	0.428877	0.296160	0.428877	0.296160	
146000	11.688050	8	0.300379	0.180869	0.397172	0.311626	0.289860	0.180869	0.482054	0.397172	0.299141	0.482054	0.523249	
147000	11.688050	5	0.283081	0.180161	0.429589	0.283081	0.283081	0.180161	0.429589	0.447900	0.283081	0.447900	0.330480	
148000	11.688050	7	0.288716	0.248811	0.329608	0.273964	0.288716	0.210591	1.016536	0.473572	0.329608	0.329608	0.329608	
149000	11.688050	6	0.343761	0.191394	0.526907	0.295517	0.295517	0.191394	0.526907	0.434833	0.295517	0.433757	0.295517	
150000	11.688050	8	0.285379	0.218396	0.391092	0.280625	0.285379	0.138789	0.721308	0.391092	0.330856	0.461276	0.138789	
151000	11.688050	5	0.293895	0.182941	0.442340	0.293895	0.293895	0.162238	0.630278	0.442340	0.293895	0.442340	0.182941	
152000	11.688050	7	0.286743	0.197850	0.403260	0.286743	0.286743	0.197850	0.640292	0.457079	0.286743	0.430504	0.204690	
153000	11.688050	7	0.349306	0.208838	0.394475	0.349306	0.297645	0.165517	0.811511	0.394475	0.297645	0.394475	0.165368	
154000	11.688050	5	0.336750	0.294279	0.512315	0.294279	0.294279	0.294279	0.604582	0.426268	0.294279	0.336750	0.336750	
155000	11.688050	7	0.357921	0.212278	0.449583	0.278213	0.278213	0.169909	0.687891	0.449583	0.278213	0.387411	0.449583	
156000	11.688050	6	0.287495	0.249687	0.421150	0.249687	0.241984	0.166330	0.957736	0.421150	0.249687	0.421150	0.166330	
157000	11.688050	6	0.314039	0.185814	0.377511	0.314039	0.314039	0.185814	0.465275	0.466342	0.314039	0.466342	0.129639	
158000	11.688050	5	0.286935	0.185808	0.420969	0.286935	0.309143	0.185808	0.420969	0.420969	0.309143	0.426144	0.309143	
159000	11.688050	5	0.302093	0.272873	0.378056	0.306685	0.302093	0.272873	1.991687	0.378056	0.272873	0.378056	0.378056	
160000	11.688050	6	0.294070	0.275599	0.437890	0.294070	0.275599	0.179875	1.044571	0.437890	0.275599	0.437890	0.304024	
161000	11.688050	8	0.312825	0.226179	0.425444	0.312825	0.314356	0.161828	0.565269	0.425444	0.425444	0.412414	0.104348	
162000	11.688050	7	0.290622	0.172099	0.420110	0.285367	0.290622	0.172099	0.806578	0.439861	0.285367	0.496459	0.172099	
163000	11.688050	5	0.286932	0.221801	0.394438	0.307729	0.307729	0.221801	0.699567	0.394438	0.286932	0.394438	0.307729	
164000	11.688050	5	0.306217	0.194769	0.377034	0.306217	0.377034	0.192823	1.313105	0.377034	0.306217	0.377034	0.306217	
165000	11.688050	4	0.314493	0.178949	0.381599	0.314493	0.381599	0.178949	0.601478	0.314493	0.314493	0.381599	0.178949	
166000	11.688050	6	0.329575	0.189248	0.425844	0.283436	0.329575	0.189248	0.523325	0.329575	0.309414	0.329575	0.189248	
167000	11.688050	4	0.285885	0.266059	0.421287	0.285885	0.277465	0.266059	0.421287	0.421287	0.285885	0.421287	0.285885	
168000	11.688050	5	0.318418	0.250883	0.420505	0.250883	0.318418	0.250883	0.536017	0.318418	0.250883	0.536017	0.122526	
169000	11.688050	7	0.300935	0.221192	0.380800	0.300935	0.300935	0.194666	1.008394	0.377446	0.300935	0.377446	0.096061	
170000	11.688050	6	0.278503	0.195787	0.378954	0.278503	0.278503	0.195264	1.090290	0.476111	0.278503	0.476111	0.278503	
171000	11.688050	6	0.324296	0.241920	0.420776	0.254973	0.254973	0.241920	0.728536	0.454393	0.254973	0.454393	0.241920	
172000	11.688050	4	0.307032	0.286466	0.396907	0.286466	0.307032	0.286466	0.458429	0.396907	0.286466	0.396907	0.307032	
173000	11.688050	5	0.315296	0.210432	0.647709	0.315296	0.315296	0.210432	0.647709	0.315296	0.315296	0.469076	0.231200	
174000	11.688050	5	0.296591	0.188757	0.427511	0.296591	0.338675	0.188757	0.688384	0.427511	0.338675	0.427511	0.338675	
175000	11.688050	7	0.310507	0.174405	0.520500	0.260595	0.310507	0.174405	0.527128	0.370720	0.520500	0.370720	0.137823	
176000	11.688050	4	0.311633	0.200246	0.530611	0.311633	0.311633	0.200246	0.530611	0.530611	0.311633	0.311633	0.329780	
